name,code_name,logo
Adani Enterprises Ltd,ADANIENT,static/logos/ADANIENT.png
Adani Ports,ADANIPORTS,static/logos/ADANIPORTS.png
Apollo Hospitals,APOLLOHOSP,static/logos/APOLLOHOSP.png
Asian Paints,ASIANPAINT,static/logos/ASIANPAINT.png
Axis Bank,AXISBANK,static/logos/AXISBANK.png
Bajaj Auto,BAJAJ-AUTO,static/logos/BAJAJ-AUTO.png
Bajaj Finserv,BAJAJFINSV,static/logos/BAJAJFINSV.png
Bajaj Finance,BAJFINANCE,static/logos/BAJFINANCE.png
Bharat Electronics Ltd,BEL,static/logos/BEL.png
Bharti Airtel,BHARTIARTL,static/logos/Bharti_Airtel_Logo.svg.png
Bharat Petroleum Corporation Ltd,BPCL,static/logos/Official_BPCL_LOGO_with_tagline_Energising_Lives.pdf.jpg
Britannia,BRITANNIA,static/logos/Britannia_Industries_logo.svg.png
Cipla,CIPLA,static/logos/Cipla_logo.svg.png
Coal India,COALINDIA,static/logos/Coal_India_Logo.svg.png
Dr Reddy's,DRREDDY,static/logos/Dr._Reddy's_Laboratories_logo.svg.png
Eicher Motors,EICHERMOT,static/logos/Eicher_Logo.svg.png
Grasim,GRASIM,static/logos/Aditya_Birla_Grasim_Logo.svg.png
HCL Tech,HCLTECH,static/logos/HCLTech-new-logo.svg.png
HDFC Bank,HDFCBANK,static/logos/HDFC_Bank_Logo.svg.png
HDFC Life Insurance,HDFCLIFE,static/logos/HDFC_Life_Logo.svg.png
Hero MotoCorp,HEROMOTOCO,static/logos/Hero_MotoCorp.svg.png
Hindalco,HINDALCO,static/logos/Hindalco_Logo.svg.png
Hindustan Unilever Ltd,HINDUNILVR,static/logos/Hindustan_Unilever_Logo.svg.png
ICICI Bank,ICICIBANK,static/logos/ICICI_Bank_Logo.svg.png
IndusInd Bank,INDUSINDBK,static/logos/IndusInd_Bank_SVG_Logo.svg.png
Infosys,INFY,static/logos/Infosys_logo.svg.png
ITC,ITC,static/logos/ITC_Limited_Logo.svg.png
JSW Steel,JSWSTEEL,static/logos/JSW-Steel-Logo.png
Kotak Mahindra Bank,KOTAKBANK,static/logos/Kotak_Mahindra_Group_logo.svg.png
Larsen & Toubro,LT,static/logos/Larsen&Toubro_logo.svg.png
Mahindra & Mahindra,M&M,static/logos/Mahindra_logo.svg.png
Maruti Suzuki,MARUTI,static/logos/Maruti_Suzuki_logo.svg.png
Nestle India,NESTLEIND,static/logos/Nestle_textlogo.svg.png
NTPC,NTPC,static/logos/National_Thermal_Power_logo.svg.png
ONGC,ONGC,static/logos/ONGC_Logo.svg.png
Power Grid,POWERGRID,static/logos/Power_Grid_Corporation_of_India_Logo.svg.png
Reliance Industries,RELIANCE,static/logos/Reliance_Industries_Limited_Growth_is_Life.png
SBI Life,SBILIFE,static/logos/SBI_Life_Insurance_Company_Limited.svg.png
SBI,SBIN,static/logos/State_Bank_of_India.svg.png
Shriram Finance Ltd,SHRIRAMFIN,static/logos/Shriram_Group_Official_logo.jpg
Sun Pharma,SUNPHARMA,static/logos/Sun_Pharma_logo.svg.png
Tata Consumer,TATACONSUM,static/logos/TATA-CONSUMER-PRODUCTS_BLUE_LOGO_Feb_13.png
Tata Motors,TATAMOTORS,static/logos/Tata_Motors_Logo.svg.png
Tata Steel,TATASTEEL,static/logos/Tata_Steel_Logo.svg.png
Tata Consultancy Services,TCS,static/logos/TCS.jpg
Tech Mahindra,TECHM,static/logos/Logo-True-Colors-original.png
Titan,TITAN,"static/logos/Logo_of_Titan_Company,_May_2018.svg.png"
Trent Limited,TRENT,static/logos/Trent_Limited_logo.png
Ultratech Cement,ULTRACEMCO,static/logos/Ultratech_Cement_Logo.svg.png
Wipro,WIPRO,static/logos/Wipro_Primary_Logo_Color_RGB.svg.png
