Date,Open,High,Low,Close,Volume
11-Mar-2025,"2,223.15","2,267.85","2,208.30","2,250.60","9,47,079"
10-Mar-2025,"2,245.00","2,288.00","2,220.00","2,228.30","9,40,113"
07-Mar-2025,"2,249.95","2,267.65","2,227.00","2,247.50","8,18,806"
06-Mar-2025,"2,260.00","2,268.90","2,226.15","2,252.85","8,90,270"
05-Mar-2025,"2,153.95","2,258.40","2,148.05","2,245.85","13,70,106"
04-Mar-2025,"2,085.10","2,154.00","2,080.00","2,144.80","8,52,978"
03-Mar-2025,"2,109.00","2,127.25","2,026.55","2,117.10","15,92,611"
28-Feb-2025,"2,107.00","2,111.35","2,072.00","2,096.00","23,73,922"
27-Feb-2025,"2,143.75","2,149.10","2,102.50","2,110.95","9,41,950"
25-Feb-2025,"2,115.15","2,158.30","2,102.00","2,129.85","8,02,131"
24-Feb-2025,"2,128.95","2,138.50","2,096.70","2,115.15","10,32,294"
21-Feb-2025,"2,190.45","2,199.60","2,116.85","2,133.10","15,40,308"
20-Feb-2025,"2,180.80","2,216.35","2,156.80","2,179.00","10,86,670"
19-Feb-2025,"2,166.00","2,219.40","2,127.00","2,180.80","12,03,163"
18-Feb-2025,"2,240.00","2,240.00","2,166.05","2,220.30","11,38,090"
17-Feb-2025,"2,152.65","2,240.40","2,110.65","2,223.70","14,00,160"
14-Feb-2025,"2,245.70","2,249.30","2,124.55","2,152.65","25,50,043"
13-Feb-2025,"2,354.00","2,372.75","2,233.40","2,244.70","25,51,940"
12-Feb-2025,"2,325.00","2,378.45","2,281.00","2,353.45","19,33,098"
11-Feb-2025,"2,312.00","2,397.00","2,306.00","2,321.75","48,95,456"
10-Feb-2025,"2,350.00","2,350.95","2,280.10","2,290.80","7,39,708"
07-Feb-2025,"2,312.45","2,374.90","2,307.35","2,338.80","8,92,900"
06-Feb-2025,"2,340.00","2,340.00","2,298.20","2,312.45","6,80,544"
05-Feb-2025,"2,314.95","2,349.40","2,309.05","2,324.60","5,60,940"
04-Feb-2025,"2,278.90","2,312.00","2,267.55","2,301.50","6,91,187"
03-Feb-2025,"2,266.75","2,279.00","2,213.90","2,261.85","8,24,942"
01-Feb-2025,"2,297.00","2,351.45","2,237.55","2,270.00","9,87,362"
31-Jan-2025,"2,238.85","2,314.95","2,213.75","2,287.80","20,13,345"
30-Jan-2025,"2,325.00","2,351.50","2,201.30","2,252.60","26,01,625"
29-Jan-2025,"2,297.00","2,326.25","2,282.60","2,318.60","7,85,220"
28-Jan-2025,"2,274.20","2,315.85","2,242.00","2,286.05","9,66,497"
27-Jan-2025,"2,310.05","2,318.10","2,250.05","2,259.70","10,32,995"
24-Jan-2025,"2,387.75","2,406.00","2,299.40","2,315.10","13,88,583"
23-Jan-2025,"2,383.00","2,405.15","2,355.00","2,385.00","8,26,721"
22-Jan-2025,"2,399.00","2,399.00","2,325.15","2,376.55","11,47,334"
21-Jan-2025,"2,441.75","2,441.75","2,373.65","2,384.30","12,06,512"
20-Jan-2025,"2,413.75","2,454.00","2,390.00","2,442.80","10,39,435"
17-Jan-2025,"2,450.00","2,450.00","2,380.05","2,399.80","11,22,205"
16-Jan-2025,"2,500.00","2,570.00","2,418.85","2,427.85","28,41,803"
15-Jan-2025,"2,399.00","2,421.95","2,372.65","2,388.15","14,21,437"
14-Jan-2025,"2,241.50","2,422.90","2,241.50","2,380.55","41,20,705"
13-Jan-2025,"2,365.00","2,365.00","2,216.90","2,225.15","15,59,903"
10-Jan-2025,"2,480.00","2,484.60","2,368.25","2,374.40","14,18,808"
09-Jan-2025,"2,517.00","2,517.55","2,469.50","2,477.90","7,05,838"
08-Jan-2025,"2,520.55","2,530.00","2,490.00","2,515.25","8,79,641"
07-Jan-2025,"2,474.65","2,525.00","2,474.65","2,520.55","10,19,131"
06-Jan-2025,"2,557.65","2,568.85","2,463.50","2,474.45","11,21,398"
03-Jan-2025,"2,580.00","2,619.00","2,556.60","2,564.60","9,32,795"
02-Jan-2025,"2,565.70","2,602.00","2,537.00","2,597.70","11,67,236"
01-Jan-2025,"2,536.00","2,644.20","2,518.25","2,554.85","28,75,721"
31-Dec-2024,"2,575.00","2,577.75","2,507.45","2,528.65","27,45,674"
30-Dec-2024,"2,425.00","2,610.00","2,421.95","2,592.35","78,25,097"
27-Dec-2024,"2,415.00","2,446.15","2,390.50","2,409.95","19,82,291"
26-Dec-2024,"2,378.05","2,410.00","2,368.00","2,400.25","8,95,785"
24-Dec-2024,"2,355.20","2,412.90","2,340.00","2,372.45","11,56,186"
23-Dec-2024,"2,373.95","2,379.50","2,332.75","2,338.95","7,58,920"
20-Dec-2024,"2,429.00","2,453.85","2,333.00","2,344.95","13,37,016"
19-Dec-2024,"2,429.00","2,434.00","2,397.10","2,419.35","11,81,898"
18-Dec-2024,"2,489.00","2,496.60","2,452.00","2,457.40","9,90,217"
17-Dec-2024,"2,512.00","2,525.00","2,480.75","2,487.60","10,61,891"
16-Dec-2024,"2,530.00","2,537.50","2,503.00","2,512.40","6,54,321"
13-Dec-2024,"2,504.00","2,545.00","2,479.05","2,527.55","19,40,935"
12-Dec-2024,"2,457.00","2,534.80","2,446.25","2,504.10","25,79,624"
11-Dec-2024,"2,469.00","2,480.00","2,451.00","2,457.25","7,12,674"
10-Dec-2024,"2,501.00","2,501.00","2,455.00","2,467.20","11,19,844"
09-Dec-2024,"2,507.90","2,526.00","2,483.15","2,495.85","9,58,369"
06-Dec-2024,"2,520.00","2,535.00","2,502.50","2,506.40","12,40,437"
05-Dec-2024,"2,505.00","2,538.15","2,470.25","2,522.55","33,33,144"
04-Dec-2024,"2,528.00","2,530.05","2,470.10","2,494.75","23,44,949"
03-Dec-2024,"2,464.00","2,558.00","2,462.05","2,514.20","40,70,042"
02-Dec-2024,"2,491.35","2,508.00","2,426.60","2,457.05","38,07,565"
29-Nov-2024,"2,464.05","2,520.00","2,400.00","2,463.15","81,91,680"
28-Nov-2024,"2,440.00","2,526.30","2,400.00","2,437.10","1,44,45,549"
27-Nov-2024,"2,180.00","2,418.00","2,142.15","2,397.80","1,75,02,156"
26-Nov-2024,"2,265.60","2,292.85","2,136.00","2,150.50","77,23,187"
25-Nov-2024,"2,315.00","2,333.65","2,238.00","2,257.50","74,66,733"
22-Nov-2024,"2,101.00","2,289.70","2,025.00","2,228.00","2,09,39,196"
21-Nov-2024,"2,539.35","2,539.35","2,155.05","2,183.65","2,17,96,668"
19-Nov-2024,"2,831.00","2,894.80","2,809.80","2,821.50","5,36,296"
18-Nov-2024,"2,826.80","2,858.65","2,793.30","2,818.70","4,89,692"
14-Nov-2024,"2,824.00","2,844.80","2,801.00","2,826.80","6,46,797"
13-Nov-2024,"2,860.00","2,889.00","2,808.00","2,816.70","8,90,146"
12-Nov-2024,"2,910.00","2,930.45","2,855.00","2,870.00","5,97,231"
11-Nov-2024,"2,928.00","2,946.80","2,888.00","2,903.65","5,84,144"
08-Nov-2024,"2,965.10","2,995.00","2,911.25","2,929.10","8,35,641"
07-Nov-2024,"3,045.00","3,045.00","2,943.05","2,970.10","12,85,585"
06-Nov-2024,"2,918.00","3,070.00","2,918.00","3,046.25","16,76,755"
05-Nov-2024,"2,897.40","2,924.00","2,870.00","2,915.55","7,52,303"
04-Nov-2024,"2,935.00","2,943.00","2,857.75","2,897.40","10,59,384"
01-Nov-2024,"2,960.00","2,975.60","2,928.40","2,949.50","3,04,673"
31-Oct-2024,"2,967.90","2,976.50","2,933.85","2,947.25","11,56,390"
30-Oct-2024,"2,864.00","2,997.15","2,815.05","2,969.30","28,84,272"
29-Oct-2024,"2,803.00","2,863.05","2,732.85","2,848.60","15,29,844"
28-Oct-2024,"2,701.10","2,822.40","2,672.10","2,798.65","13,85,033"
25-Oct-2024,"2,845.00","2,847.00","2,654.70","2,693.45","19,54,174"
24-Oct-2024,"2,841.05","2,875.15","2,807.90","2,830.20","9,42,066"
23-Oct-2024,"2,840.85","2,879.00","2,820.10","2,835.55","12,70,530"
22-Oct-2024,"2,938.00","2,955.00","2,818.00","2,823.80","12,09,732"
21-Oct-2024,"3,005.15","3,014.95","2,916.95","2,937.65","10,51,690"
18-Oct-2024,"2,990.00","3,031.70","2,968.10","3,002.00","7,96,339"
