Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,137.30","1,145.90","1,124.40","1,135.00","23,99,428"
10-Mar-2025,"1,146.00","1,168.65","1,136.95","1,142.90","24,30,740"
07-Mar-2025,"1,136.20","1,156.95","1,134.10","1,144.50","22,11,623"
06-Mar-2025,"1,118.20","1,148.75","1,101.85","1,136.20","40,20,627"
05-Mar-2025,"1,056.80","1,118.65","1,055.00","1,112.70","37,85,743"
04-Mar-2025,"1,047.95","1,063.00","1,036.50","1,057.95","17,88,886"
03-Mar-2025,"1,074.95","1,081.00","1,040.60","1,053.05","22,74,285"
28-Feb-2025,"1,074.00","1,082.90","1,059.20","1,069.40","28,49,138"
27-Feb-2025,"1,083.00","1,087.95","1,069.10","1,078.95","18,19,078"
25-Feb-2025,"1,074.60","1,091.40","1,067.75","1,080.35","16,65,355"
24-Feb-2025,"1,083.25","1,083.25","1,065.70","1,070.40","16,69,749"
21-Feb-2025,"1,111.70","1,119.10","1,080.00","1,083.25","23,60,177"
20-Feb-2025,"1,074.20","1,126.00","1,074.00","1,111.70","37,14,173"
19-Feb-2025,"1,061.60","1,091.70","1,054.55","1,082.85","17,92,268"
18-Feb-2025,"1,082.90","1,087.90","1,061.95","1,085.15","17,15,308"
17-Feb-2025,"1,058.95","1,089.30","1,040.00","1,082.90","25,18,527"
14-Feb-2025,"1,120.00","1,120.00","1,042.15","1,062.70","45,65,339"
13-Feb-2025,"1,133.80","1,151.65","1,106.05","1,111.55","37,63,868"
12-Feb-2025,"1,140.00","1,144.20","1,098.95","1,128.95","28,62,155"
11-Feb-2025,"1,144.20","1,160.00","1,114.05","1,140.10","49,01,591"
10-Feb-2025,"1,150.00","1,158.85","1,127.25","1,144.20","24,15,627"
07-Feb-2025,"1,160.00","1,175.65","1,132.80","1,146.10","40,79,540"
06-Feb-2025,"1,155.60","1,169.40","1,140.10","1,164.05","62,63,278"
05-Feb-2025,"1,126.00","1,154.90","1,123.55","1,144.35","29,79,646"
04-Feb-2025,"1,100.00","1,127.90","1,091.75","1,125.10","40,71,098"
03-Feb-2025,"1,084.00","1,094.00","1,055.00","1,084.85","39,61,203"
