Date,Open,High,Low,Close,Volume
11-Mar-2025,"6,130.00","6,155.70","6,040.00","6,134.80","5,26,709"
10-Mar-2025,"6,206.40","6,212.00","6,133.90","6,149.60","2,66,044"
07-Mar-2025,"6,292.25","6,314.75","6,197.30","6,216.10","2,99,433"
06-Mar-2025,"6,255.00","6,292.00","6,217.05","6,274.10","2,84,475"
05-Mar-2025,"6,200.00","6,235.05","6,130.65","6,214.40","3,45,922"
04-Mar-2025,"6,133.00","6,220.50","6,112.30","6,188.15","4,45,246"
03-Mar-2025,"6,025.60","6,195.00","6,001.00","6,170.60","3,73,515"
28-Feb-2025,"6,145.05","6,145.05","6,001.35","6,052.60","8,45,516"
27-Feb-2025,"6,261.00","6,282.25","6,145.45","6,185.20","3,97,857"
25-Feb-2025,"6,251.00","6,279.95","6,213.05","6,251.35","4,21,160"
24-Feb-2025,"6,275.00","6,275.00","6,236.00","6,251.40","4,58,224"
21-Feb-2025,"6,362.30","6,395.60","6,292.95","6,317.55","2,20,428"
20-Feb-2025,"6,384.25","6,469.45","6,377.90","6,390.95","1,65,304"
19-Feb-2025,"6,348.25","6,435.00","6,284.25","6,422.65","1,95,067"
18-Feb-2025,"6,320.00","6,390.00","6,320.00","6,376.85","2,20,118"
17-Feb-2025,"6,150.00","6,317.00","6,150.00","6,300.20","4,82,329"
14-Feb-2025,"6,377.25","6,379.90","6,230.60","6,270.50","3,20,088"
13-Feb-2025,"6,372.25","6,425.00","6,344.45","6,372.20","6,36,246"
12-Feb-2025,"6,349.60","6,494.05","6,215.00","6,374.55","11,33,586"
11-Feb-2025,"6,799.90","6,815.00","6,282.50","6,317.35","17,28,723"
10-Feb-2025,"6,817.20","6,834.35","6,686.00","6,761.25","2,13,808"
07-Feb-2025,"6,921.45","6,929.85","6,750.00","6,790.55","2,59,335"
06-Feb-2025,"6,837.40","6,925.00","6,785.55","6,874.25","3,34,197"
05-Feb-2025,"6,826.15","7,008.00","6,796.45","6,944.65","3,89,639"
04-Feb-2025,"6,785.00","6,816.60","6,706.30","6,792.20","2,23,642"
03-Feb-2025,"6,781.60","6,886.75","6,724.95","6,798.65","2,50,589"
01-Feb-2025,"6,810.30","6,940.00","6,810.25","6,841.10","1,17,096"
31-Jan-2025,"6,822.25","6,880.00","6,789.15","6,810.50","1,87,712"
30-Jan-2025,"6,786.25","6,895.00","6,770.35","6,824.65","2,04,648"
29-Jan-2025,"6,741.00","6,798.75","6,697.25","6,784.30","1,46,288"
28-Jan-2025,"6,699.00","6,747.50","6,635.05","6,708.95","2,02,194"
27-Jan-2025,"6,700.00","6,729.80","6,674.35","6,695.45","1,91,705"
24-Jan-2025,"6,915.25","6,915.25","6,728.45","6,745.05","3,17,194"
23-Jan-2025,"6,892.25","6,963.10","6,823.20","6,920.85","2,71,085"
22-Jan-2025,"6,908.00","6,941.95","6,829.90","6,892.90","2,47,081"
21-Jan-2025,"6,838.00","7,014.95","6,838.00","6,919.15","7,99,900"
20-Jan-2025,"6,901.00","6,910.00","6,740.00","6,780.85","1,20,356"
