Date,Open,High,Low,Close,Volume
11-Mar-2025,"2,274.00","2,290.90","2,257.90","2,287.40","6,01,228"
10-Mar-2025,"2,270.00","2,293.00","2,261.85","2,278.60","10,72,395"
07-Mar-2025,"2,267.70","2,277.95","2,248.00","2,270.00","9,21,429"
06-Mar-2025,"2,189.85","2,275.00","2,183.10","2,267.70","19,85,096"
05-Mar-2025,"2,132.00","2,182.80","2,124.75","2,164.15","15,35,212"
04-Mar-2025,"2,154.05","2,159.85","2,124.75","2,132.10","21,81,015"
03-Mar-2025,"2,179.75","2,193.35","2,129.00","2,166.40","9,59,075"
28-Feb-2025,"2,210.00","2,211.35","2,175.80","2,179.75","17,01,193"
27-Feb-2025,"2,214.00","2,228.40","2,198.00","2,213.65","10,27,196"
25-Feb-2025,"2,246.20","2,257.10","2,217.70","2,224.75","9,47,724"
24-Feb-2025,"2,245.90","2,259.00","2,241.00","2,246.20","7,65,060"
21-Feb-2025,"2,249.05","2,265.80","2,237.00","2,257.60","7,55,633"
20-Feb-2025,"2,239.10","2,257.10","2,231.05","2,249.05","6,37,444"
19-Feb-2025,"2,237.60","2,249.80","2,226.10","2,239.10","6,45,236"
18-Feb-2025,"2,248.00","2,251.95","2,218.75","2,237.60","7,35,853"
17-Feb-2025,"2,231.30","2,260.00","2,226.05","2,250.85","9,23,979"
14-Feb-2025,"2,236.40","2,250.55","2,203.00","2,231.30","13,80,052"
13-Feb-2025,"2,228.25","2,249.95","2,220.00","2,236.40","9,21,923"
12-Feb-2025,"2,241.85","2,247.95","2,185.70","2,228.25","11,81,718"
11-Feb-2025,"2,279.00","2,282.90","2,226.00","2,240.85","16,07,952"
10-Feb-2025,"2,271.05","2,278.00","2,254.00","2,270.15","11,81,565"
07-Feb-2025,"2,266.00","2,276.30","2,243.20","2,271.00","13,36,756"
06-Feb-2025,"2,287.20","2,298.90","2,260.25","2,263.40","12,85,982"
05-Feb-2025,"2,269.00","2,295.55","2,237.25","2,275.20","34,74,657"
04-Feb-2025,"2,304.65","2,418.60","2,263.75","2,354.35","53,73,740"
03-Feb-2025,"2,351.15","2,364.45","2,277.70","2,292.25","10,70,392"
01-Feb-2025,"2,312.00","2,389.00","2,285.30","2,351.15","13,18,652"
31-Jan-2025,"2,255.00","2,305.00","2,234.85","2,300.80","12,92,925"
30-Jan-2025,"2,223.15","2,259.25","2,215.00","2,249.85","11,55,749"
29-Jan-2025,"2,241.80","2,246.80","2,212.05","2,223.15","12,81,122"
28-Jan-2025,"2,260.00","2,267.05","2,234.10","2,241.80","8,97,503"
27-Jan-2025,"2,255.30","2,277.75","2,246.20","2,251.50","10,97,947"
24-Jan-2025,"2,283.00","2,296.55","2,255.05","2,262.40","5,43,217"
23-Jan-2025,"2,262.10","2,301.80","2,246.20","2,276.35","11,42,498"
22-Jan-2025,"2,270.00","2,270.00","2,244.90","2,262.10","8,35,523"
21-Jan-2025,"2,280.55","2,315.00","2,255.00","2,260.35","14,10,331"
20-Jan-2025,"2,272.25","2,286.90","2,251.00","2,280.55","5,55,730"
17-Jan-2025,"2,225.65","2,269.05","2,212.50","2,261.00","8,78,871"
16-Jan-2025,"2,239.00","2,239.85","2,207.80","2,215.60","19,36,132"
15-Jan-2025,"2,249.00","2,253.75","2,220.00","2,229.70","13,08,999"
14-Jan-2025,"2,269.00","2,286.35","2,237.00","2,239.95","13,17,678"
13-Jan-2025,"2,291.75","2,301.90","2,246.40","2,252.65","11,81,928"
10-Jan-2025,"2,335.60","2,348.90","2,316.00","2,320.75","12,14,382"
09-Jan-2025,"2,341.90","2,361.40","2,321.30","2,350.20","13,62,314"
08-Jan-2025,"2,287.05","2,338.00","2,272.70","2,334.35","14,39,655"
07-Jan-2025,"2,272.00","2,316.00","2,272.00","2,292.60","7,40,798"
06-Jan-2025,"2,335.95","2,340.00","2,256.70","2,267.15","11,91,044"
03-Jan-2025,"2,344.00","2,348.95","2,322.15","2,335.95","13,55,358"
02-Jan-2025,"2,314.00","2,347.95","2,294.00","2,343.25","13,42,922"
01-Jan-2025,"2,280.00","2,323.20","2,280.00","2,304.65","10,67,329"
31-Dec-2024,"2,280.00","2,297.65","2,273.00","2,281.35","6,85,486"
30-Dec-2024,"2,280.25","2,298.80","2,256.80","2,288.25","10,76,978"
27-Dec-2024,"2,270.25","2,290.80","2,260.05","2,271.40","8,22,000"
26-Dec-2024,"2,284.00","2,287.45","2,256.50","2,262.40","12,67,383"
24-Dec-2024,"2,282.10","2,295.00","2,277.15","2,284.00","6,01,634"
23-Dec-2024,"2,300.00","2,302.55","2,266.05","2,279.20","8,55,677"
20-Dec-2024,"2,297.00","2,318.00","2,276.00","2,282.35","17,19,699"
19-Dec-2024,"2,325.00","2,325.00","2,265.35","2,291.85","27,84,410"
18-Dec-2024,"2,356.80","2,372.70","2,341.00","2,345.45","8,55,724"
17-Dec-2024,"2,388.00","2,399.90","2,350.50","2,356.00","12,58,249"
16-Dec-2024,"2,419.95","2,419.95","2,386.15","2,402.25","9,87,790"
13-Dec-2024,"2,389.55","2,412.00","2,354.00","2,407.65","11,50,900"
12-Dec-2024,"2,413.00","2,415.00","2,380.70","2,389.55","10,89,049"
11-Dec-2024,"2,399.75","2,428.00","2,392.65","2,417.30","13,37,745"
10-Dec-2024,"2,399.90","2,404.65","2,385.05","2,388.90","16,57,888"
09-Dec-2024,"2,438.15","2,439.00","2,387.00","2,391.85","23,01,291"
06-Dec-2024,"2,468.00","2,468.00","2,427.00","2,429.70","17,36,042"
05-Dec-2024,"2,465.00","2,466.90","2,423.90","2,452.20","31,90,866"
04-Dec-2024,"2,478.90","2,479.10","2,453.20","2,459.45","10,05,016"
03-Dec-2024,"2,494.00","2,494.00","2,463.50","2,469.40","13,44,774"
02-Dec-2024,"2,479.60","2,486.00","2,461.35","2,479.05","9,14,674"
29-Nov-2024,"2,458.05","2,491.50","2,455.05","2,479.60","10,30,935"
28-Nov-2024,"2,500.00","2,506.00","2,453.30","2,458.05","15,06,233"
27-Nov-2024,"2,517.50","2,517.65","2,480.00","2,491.90","8,64,733"
26-Nov-2024,"2,459.90","2,518.00","2,457.60","2,505.00","11,52,258"
25-Nov-2024,"2,505.00","2,507.95","2,450.05","2,459.70","18,57,124"
22-Nov-2024,"2,430.00","2,493.95","2,422.95","2,472.20","38,05,854"
21-Nov-2024,"2,454.70","2,465.95","2,425.00","2,428.15","13,77,624"
19-Nov-2024,"2,488.00","2,503.20","2,472.35","2,483.70","9,41,558"
18-Nov-2024,"2,520.00","2,520.00","2,470.80","2,483.70","9,45,477"
14-Nov-2024,"2,482.80","2,501.75","2,466.20","2,483.15","12,06,975"
13-Nov-2024,"2,470.00","2,498.00","2,451.10","2,470.50","18,03,849"
12-Nov-2024,"2,535.00","2,535.00","2,470.00","2,474.85","34,45,983"
11-Nov-2024,"2,565.05","2,598.75","2,506.00","2,543.10","88,55,022"
08-Nov-2024,"2,842.85","2,847.00","2,762.40","2,769.45","20,60,486"
07-Nov-2024,"2,900.00","2,904.95","2,825.00","2,842.85","11,12,515"
06-Nov-2024,"2,890.50","2,907.85","2,860.00","2,897.30","18,17,087"
05-Nov-2024,"2,895.00","2,918.80","2,872.70","2,887.30","9,35,516"
04-Nov-2024,"2,962.15","2,962.15","2,885.50","2,915.30","11,46,008"
01-Nov-2024,"2,958.00","2,965.75","2,930.00","2,939.85","1,12,249"
31-Oct-2024,"2,994.20","2,996.50","2,919.00","2,935.65","10,31,171"
30-Oct-2024,"3,006.00","3,006.00","2,963.55","2,996.65","8,12,725"
29-Oct-2024,"3,020.00","3,028.00","2,941.10","2,992.85","6,13,459"
28-Oct-2024,"2,987.90","3,021.70","2,963.05","3,001.85","5,04,961"
25-Oct-2024,"2,975.50","3,015.55","2,952.00","2,958.00","10,47,769"
24-Oct-2024,"2,989.70","3,002.30","2,951.00","2,972.00","5,71,259"
23-Oct-2024,"2,999.95","3,026.50","2,972.05","2,989.70","6,24,689"
22-Oct-2024,"3,054.00","3,057.95","2,995.25","3,006.85","5,41,838"
21-Oct-2024,"3,007.05","3,057.00","3,000.55","3,049.20","8,06,970"
18-Oct-2024,"3,057.00","3,069.00","2,980.60","2,992.15","8,99,318"
17-Oct-2024,"3,082.90","3,085.00","3,037.00","3,055.85","6,74,481"
16-Oct-2024,"3,088.00","3,103.55","3,066.10","3,082.10","7,64,001"
15-Oct-2024,"3,075.00","3,096.80","3,047.65","3,067.10","12,42,322"
14-Oct-2024,"3,037.00","3,055.00","3,017.20","3,039.15","7,16,011"
11-Oct-2024,"3,059.20","3,064.00","3,026.00","3,037.20","9,76,017"
10-Oct-2024,"3,090.05","3,095.00","3,043.00","3,059.10","11,61,933"
09-Oct-2024,"3,095.55","3,146.70","3,071.75","3,078.85","12,25,598"
08-Oct-2024,"3,058.00","3,099.00","3,045.65","3,088.05","8,17,718"
07-Oct-2024,"3,075.00","3,098.55","3,038.00","3,062.25","9,09,812"
04-Oct-2024,"3,135.00","3,156.75","3,054.55","3,072.50","15,51,818"
03-Oct-2024,"3,192.30","3,225.90","3,126.50","3,149.30","17,41,363"
01-Oct-2024,"3,317.00","3,328.95","3,244.05","3,277.35","9,68,660"
30-Sep-2024,"3,310.75","3,358.00","3,305.15","3,329.10","10,88,162"
27-Sep-2024,"3,290.95","3,337.95","3,277.05","3,310.75","13,15,996"
26-Sep-2024,"3,250.00","3,285.85","3,227.10","3,277.05","9,51,080"
25-Sep-2024,"3,252.00","3,252.00","3,206.75","3,244.75","7,40,636"
24-Sep-2024,"3,277.45","3,297.75","3,241.10","3,248.40","10,57,933"
23-Sep-2024,"3,316.95","3,324.90","3,273.20","3,277.45","5,22,775"
20-Sep-2024,"3,304.00","3,324.80","3,266.05","3,306.95","15,04,277"
19-Sep-2024,"3,294.00","3,320.00","3,275.00","3,293.85","9,63,456"
18-Sep-2024,"3,312.80","3,324.85","3,251.55","3,274.65","4,10,510"
17-Sep-2024,"3,335.80","3,349.90","3,301.80","3,312.80","5,86,834"
16-Sep-2024,"3,360.00","3,394.90","3,330.60","3,335.80","10,19,280"
13-Sep-2024,"3,355.55","3,369.70","3,320.90","3,358.05","10,29,400"
12-Sep-2024,"3,370.00","3,393.00","3,340.30","3,383.25","16,43,536"
11-Sep-2024,"3,315.00","3,382.95","3,315.00","3,367.45","25,61,892"
10-Sep-2024,"3,290.00","3,310.00","3,270.90","3,295.05","9,28,920"
09-Sep-2024,"3,273.70","3,314.00","3,258.00","3,280.75","12,72,289"
06-Sep-2024,"3,238.00","3,285.90","3,225.35","3,273.70","21,31,256"
05-Sep-2024,"3,240.00","3,257.00","3,217.00","3,238.25","14,82,119"
04-Sep-2024,"3,155.50","3,252.00","3,155.50","3,231.65","23,79,110"
03-Sep-2024,"3,164.95","3,174.55","3,147.50","3,154.85","5,77,471"
02-Sep-2024,"3,148.00","3,184.00","3,139.60","3,150.95","7,02,358"
30-Aug-2024,"3,130.05","3,166.75","3,110.70","3,126.80","15,67,031"
29-Aug-2024,"3,125.50","3,143.95","3,092.70","3,115.85","8,49,866"
28-Aug-2024,"3,152.95","3,165.50","3,118.80","3,125.50","5,38,366"
27-Aug-2024,"3,154.00","3,203.65","3,150.00","3,166.20","10,03,501"
26-Aug-2024,"3,155.00","3,177.45","3,141.50","3,171.35","4,72,874"
23-Aug-2024,"3,190.00","3,198.60","3,148.75","3,154.65","7,79,284"
22-Aug-2024,"3,167.00","3,198.65","3,156.05","3,186.60","15,40,888"
21-Aug-2024,"3,101.00","3,170.60","3,084.05","3,151.55","11,86,536"
20-Aug-2024,"3,096.00","3,106.35","3,078.00","3,103.20","6,68,282"
19-Aug-2024,"3,053.95","3,087.85","3,038.35","3,076.30","5,42,858"
16-Aug-2024,"3,054.00","3,054.00","3,003.00","3,048.15","5,14,229"
14-Aug-2024,"3,034.80","3,034.80","2,994.05","3,025.85","4,54,671"
13-Aug-2024,"3,054.90","3,059.80","3,013.00","3,023.55","5,02,260"
12-Aug-2024,"3,020.00","3,084.00","3,003.70","3,053.20","17,36,881"
09-Aug-2024,"3,039.00","3,052.75","2,966.00","3,040.60","16,65,414"
08-Aug-2024,"3,080.00","3,089.70","2,990.40","3,005.40","12,80,109"
07-Aug-2024,"3,101.75","3,118.50","3,060.05","3,101.45","19,07,105"
06-Aug-2024,"3,101.70","3,135.00","3,086.05","3,101.75","8,85,743"
05-Aug-2024,"3,069.95","3,145.00","3,055.30","3,093.40","20,19,141"
02-Aug-2024,"3,070.00","3,129.05","3,060.00","3,106.70","13,48,780"
01-Aug-2024,"3,088.00","3,128.95","3,062.80","3,099.35","16,75,122"
31-Jul-2024,"3,005.05","3,098.00","3,005.05","3,084.45","35,49,501"
30-Jul-2024,"2,973.50","3,032.80","2,970.00","3,005.05","21,44,591"
29-Jul-2024,"2,953.05","2,965.10","2,936.00","2,954.70","8,54,408"
26-Jul-2024,"2,902.20","2,964.45","2,900.70","2,950.15","13,59,780"
25-Jul-2024,"2,892.05","2,908.70","2,885.25","2,901.40","12,39,922"
24-Jul-2024,"2,901.00","2,927.00","2,886.20","2,912.80","14,76,148"
23-Jul-2024,"2,934.30","2,947.30","2,886.00","2,897.10","19,06,312"
22-Jul-2024,"2,937.00","2,973.35","2,917.15","2,934.30","16,16,347"
19-Jul-2024,"2,925.00","2,980.00","2,917.25","2,946.05","21,64,746"
18-Jul-2024,"2,875.00","2,957.90","2,842.00","2,931.55","53,84,611"
16-Jul-2024,"2,959.00","3,015.95","2,941.50","2,974.45","20,85,611"
15-Jul-2024,"2,999.00","2,999.00","2,932.55","2,956.50","24,25,341"
12-Jul-2024,"3,025.00","3,052.00","2,970.90","2,999.15","18,79,930"
11-Jul-2024,"2,999.00","3,030.00","2,973.00","3,022.05","19,68,980"
10-Jul-2024,"2,900.05","3,014.50","2,894.35","2,996.45","22,99,950"
09-Jul-2024,"2,908.95","2,913.20","2,890.00","2,905.00","6,85,431"
08-Jul-2024,"2,935.90","2,935.90","2,890.70","2,898.15","8,28,260"
05-Jul-2024,"2,937.15","2,946.90","2,913.10","2,935.90","8,17,429"
04-Jul-2024,"2,940.00","2,968.45","2,923.00","2,934.90","9,68,666"
03-Jul-2024,"2,929.70","2,948.95","2,916.00","2,925.55","9,25,189"
02-Jul-2024,"2,927.80","2,936.00","2,912.00","2,925.60","10,64,295"
01-Jul-2024,"2,889.30","2,939.00","2,888.00","2,927.80","11,04,110"
28-Jun-2024,"2,865.00","2,932.00","2,862.20","2,917.05","12,06,712"
27-Jun-2024,"2,860.75","2,903.00","2,845.00","2,880.85","16,28,022"
26-Jun-2024,"2,860.20","2,873.85","2,844.05","2,863.35","9,60,622"
25-Jun-2024,"2,876.00","2,894.95","2,856.00","2,858.45","12,17,792"
24-Jun-2024,"2,883.00","2,899.95","2,871.40","2,896.05","8,92,125"
21-Jun-2024,"2,925.00","2,928.00","2,880.10","2,890.85","17,22,379"
20-Jun-2024,"2,885.00","2,924.50","2,872.40","2,915.50","11,29,752"
19-Jun-2024,"2,918.00","2,920.00","2,882.65","2,891.70","10,18,294"
18-Jun-2024,"2,921.60","2,928.00","2,905.00","2,918.50","7,41,098"
