Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,030.40","1,036.80","1,021.10","1,025.65","47,71,085"
10-Mar-2025,"1,036.00","1,050.50","1,032.35","1,035.85","59,95,655"
07-Mar-2025,"1,033.70","1,050.35","1,030.70","1,037.65","75,97,321"
06-Mar-2025,"1,022.60","1,039.50","1,015.15","1,034.10","78,61,120"
05-Mar-2025,"1,003.00","1,017.40","1,002.55","1,014.45","51,33,873"
04-Mar-2025,"1,001.10","1,011.10",998.60,"1,001.80","57,86,420"
03-Mar-2025,"1,017.05","1,019.40",992.00,"1,007.25","67,63,184"
28-Feb-2025,"1,014.80","1,035.50","1,009.95","1,015.55","1,50,26,849"
27-Feb-2025,"1,007.65","1,023.55","1,005.15","1,016.70","97,77,690"
25-Feb-2025,"1,004.00","1,013.70",997.10,"1,009.10","57,08,975"
24-Feb-2025,"1,001.35","1,013.00",998.55,"1,010.05","42,65,454"
21-Feb-2025,"1,012.00","1,021.90","1,000.65","1,008.95","50,19,937"
20-Feb-2025,"1,008.40","1,019.65","1,006.50","1,017.20","50,11,212"
19-Feb-2025,991.65,"1,013.45",988.15,"1,011.35","64,01,381"
18-Feb-2025,992.95,997.35,986.55,994.15,"30,90,004"
17-Feb-2025,992.45,999.65,978.05,992.95,"71,66,803"
14-Feb-2025,"1,010.55","1,016.00",987.65,997.50,"53,75,755"
13-Feb-2025,"1,003.00","1,017.45","1,001.05","1,008.20","63,48,246"
12-Feb-2025,"1,000.00","1,010.65",984.00,"1,006.90","76,69,283"
11-Feb-2025,"1,009.00","1,016.35","1,002.60","1,007.40","48,08,215"
10-Feb-2025,"1,021.00","1,026.75","1,006.20","1,011.75","39,60,565"
07-Feb-2025,"1,019.50","1,027.35","1,007.65","1,024.10","86,38,651"
06-Feb-2025,"1,012.00","1,021.85","1,010.05","1,020.70","58,15,563"
05-Feb-2025,"1,020.60","1,022.05","1,010.50","1,013.30","78,58,373"
04-Feb-2025,994.00,"1,017.10",987.80,"1,015.30","1,60,58,171"
03-Feb-2025,987.10,"1,000.50",983.35,989.40,"71,24,605"
01-Feb-2025,989.50,"1,004.95",982.00,998.15,"48,30,391"
31-Jan-2025,982.00,990.00,978.05,986.10,"90,36,312"
30-Jan-2025,984.65,991.40,974.80,984.70,"1,04,73,118"
29-Jan-2025,988.00,988.65,977.60,983.40,"1,11,75,206"
28-Jan-2025,960.00,993.85,958.20,983.80,"2,17,81,371"
27-Jan-2025,943.10,949.75,933.50,948.10,"1,27,13,296"
24-Jan-2025,948.00,961.80,946.10,948.50,"1,44,21,921"
23-Jan-2025,954.00,963.70,948.00,951.05,"2,46,49,522"
22-Jan-2025,975.75,975.75,954.00,959.30,"1,73,03,146"
21-Jan-2025,993.60,994.45,963.00,970.20,"1,18,94,500"
20-Jan-2025,992.05,994.20,976.50,988.05,"3,34,40,507"
17-Jan-2025,"1,000.00","1,011.70",974.60,991.05,"3,38,31,617"
16-Jan-2025,"1,033.90","1,046.45","1,027.05","1,038.00","1,02,61,727"
15-Jan-2025,"1,043.00","1,052.90","1,014.65","1,026.80","1,14,18,721"
14-Jan-2025,"1,052.95","1,061.00","1,045.50","1,051.65","68,92,897"
13-Jan-2025,"1,026.60","1,063.00","1,023.25","1,049.30","71,80,930"
10-Jan-2025,"1,056.25","1,064.85","1,037.00","1,040.70","56,12,886"
09-Jan-2025,"1,079.60","1,080.15","1,054.25","1,061.75","90,54,190"
08-Jan-2025,"1,063.75","1,082.35","1,059.10","1,074.95","87,80,098"
07-Jan-2025,"1,064.55","1,070.50","1,056.00","1,067.50","46,19,462"
06-Jan-2025,"1,087.75","1,090.00","1,059.90","1,063.40","52,83,413"
03-Jan-2025,"1,086.00","1,093.50","1,079.80","1,084.90","73,57,220"
02-Jan-2025,"1,072.00","1,088.70","1,067.50","1,086.60","65,57,076"
01-Jan-2025,"1,064.15","1,076.95","1,053.95","1,071.80","29,85,355"
31-Dec-2024,"1,062.00","1,070.45","1,058.50","1,064.70","52,92,136"
30-Dec-2024,"1,074.10","1,096.50","1,063.95","1,069.95","94,52,155"
27-Dec-2024,"1,078.10","1,086.25","1,076.00","1,077.45","38,01,667"
26-Dec-2024,"1,083.00","1,092.60","1,072.75","1,076.70","47,75,460"
24-Dec-2024,"1,077.30","1,084.75","1,076.00","1,078.90","43,43,694"
23-Dec-2024,"1,075.10","1,083.55","1,072.40","1,079.15","38,86,921"
