Date,Open,High,Low,Close,Volume
11-Mar-2025,"7,355.50","7,515.95","7,328.00","7,499.95","4,12,703"
10-Mar-2025,"7,573.00","7,573.00","7,352.00","7,383.40","4,95,241"
07-Mar-2025,"7,462.25","7,624.00","7,451.10","7,574.75","9,42,308"
06-Mar-2025,"7,481.00","7,500.00","7,376.95","7,462.25","9,17,093"
05-Mar-2025,"7,332.20","7,443.30","7,301.00","7,420.30","7,49,464"
04-Mar-2025,"7,652.10","7,680.00","7,317.05","7,333.30","10,78,953"
03-Mar-2025,"7,934.95","7,998.30","7,679.60","7,714.80","4,97,052"
28-Feb-2025,"8,234.75","8,234.75","7,886.30","7,902.90","5,80,155"
27-Feb-2025,"8,360.10","8,413.95","8,183.40","8,232.35","3,50,992"
25-Feb-2025,"8,450.00","8,468.10","8,365.05","8,417.90","2,37,383"
24-Feb-2025,"8,450.50","8,488.45","8,341.60","8,446.95","2,75,998"
21-Feb-2025,"8,550.00","8,614.00","8,450.00","8,506.05","2,22,132"
20-Feb-2025,"8,459.95","8,640.00","8,459.90","8,630.20","1,88,845"
19-Feb-2025,"8,440.05","8,527.70","8,405.05","8,479.50","2,00,819"
18-Feb-2025,"8,510.10","8,550.00","8,390.45","8,446.60","2,06,278"
17-Feb-2025,"8,494.00","8,552.05","8,382.65","8,537.15","2,24,417"
14-Feb-2025,"8,700.00","8,722.70","8,419.90","8,506.50","3,69,356"
13-Feb-2025,"8,715.05","8,777.05","8,651.45","8,691.35","2,06,920"
12-Feb-2025,"8,732.00","8,819.40","8,647.00","8,711.60","4,11,042"
11-Feb-2025,"8,830.00","8,877.45","8,732.55","8,762.00","2,82,926"
10-Feb-2025,"8,989.40","9,069.80","8,845.85","8,880.55","1,92,650"
07-Feb-2025,"8,890.55","9,026.00","8,851.05","8,989.40","2,44,178"
06-Feb-2025,"8,922.00","8,961.65","8,811.00","8,846.35","5,80,590"
05-Feb-2025,"8,930.00","8,968.00","8,895.00","8,927.80","3,29,075"
04-Feb-2025,"8,950.00","9,059.65","8,877.60","8,911.40","4,40,468"
03-Feb-2025,"9,150.00","9,150.00","8,886.55","8,926.55","6,67,412"
01-Feb-2025,"8,887.90","9,178.00","8,806.30","9,155.60","4,18,755"
31-Jan-2025,"8,800.00","8,959.90","8,744.05","8,847.80","3,15,913"
30-Jan-2025,"8,659.95","8,824.30","8,602.50","8,747.80","3,22,587"
29-Jan-2025,"8,420.15","8,807.00","8,420.15","8,625.85","8,02,600"
28-Jan-2025,"8,426.45","8,489.00","8,361.35","8,398.40","6,51,069"
27-Jan-2025,"8,378.05","8,418.95","8,290.35","8,384.60","3,24,406"
24-Jan-2025,"8,414.40","8,489.95","8,360.00","8,401.50","2,32,317"
23-Jan-2025,"8,439.15","8,502.20","8,375.65","8,399.95","3,47,894"
22-Jan-2025,"8,480.80","8,534.95","8,395.00","8,460.85","3,44,305"
21-Jan-2025,"8,582.45","8,608.80","8,412.10","8,468.55","3,43,149"
20-Jan-2025,"8,600.00","8,609.60","8,462.70","8,544.40","2,94,136"
17-Jan-2025,"8,565.85","8,666.60","8,531.30","8,581.40","1,83,057"
16-Jan-2025,"8,621.00","8,639.90","8,549.70","8,581.95","2,90,855"
15-Jan-2025,"8,623.90","8,799.00","8,561.30","8,578.00","3,47,402"
14-Jan-2025,"8,620.00","8,698.00","8,525.00","8,611.20","3,55,464"
13-Jan-2025,"8,704.50","8,749.90","8,551.00","8,596.25","3,41,577"
10-Jan-2025,"8,832.45","8,855.00","8,642.10","8,764.00","3,50,859"
09-Jan-2025,"8,719.95","8,898.00","8,692.10","8,835.85","6,12,457"
08-Jan-2025,"8,776.00","8,830.95","8,612.00","8,642.25","4,15,288"
07-Jan-2025,"8,870.00","8,887.95","8,735.10","8,810.30","2,70,785"
06-Jan-2025,"9,004.95","9,093.90","8,795.00","8,823.85","2,38,306"
03-Jan-2025,"9,100.00","9,109.95","8,945.00","8,965.70","3,37,802"
02-Jan-2025,"8,740.50","9,107.30","8,677.55","9,079.50","7,34,590"
01-Jan-2025,"8,754.05","8,767.00","8,551.00","8,740.55","5,58,535"
31-Dec-2024,"8,770.00","8,839.75","8,740.15","8,798.60","2,94,554"
30-Dec-2024,"8,928.00","8,962.45","8,737.55","8,779.90","10,65,253"
27-Dec-2024,"8,896.25","9,179.15","8,896.25","8,928.30","7,13,799"
26-Dec-2024,"8,810.00","8,898.65","8,797.60","8,878.50","2,40,675"
24-Dec-2024,"8,745.00","8,854.00","8,731.00","8,778.05","2,97,827"
23-Dec-2024,"8,849.95","8,874.95","8,719.90","8,768.45","5,14,460"
20-Dec-2024,"8,950.00","9,066.75","8,759.40","8,787.25","3,16,335"
19-Dec-2024,"8,823.00","9,003.00","8,762.55","8,982.65","5,16,640"
18-Dec-2024,"8,825.00","9,006.25","8,800.00","8,956.75","3,03,382"
17-Dec-2024,"8,989.80","8,990.00","8,851.40","8,895.00","4,56,493"
16-Dec-2024,"9,064.00","9,078.75","8,970.00","8,998.35","2,28,470"
13-Dec-2024,"8,964.15","9,051.00","8,903.75","9,021.40","2,43,931"
12-Dec-2024,"9,095.00","9,095.00","8,944.00","8,963.25","5,99,056"
11-Dec-2024,"9,045.05","9,108.40","9,013.65","9,069.85","2,54,311"
10-Dec-2024,"9,075.10","9,094.90","8,980.00","9,013.30","3,93,944"
09-Dec-2024,"9,096.00","9,171.00","9,026.40","9,077.45","3,04,202"
06-Dec-2024,"8,953.90","9,148.95","8,930.10","9,099.90","7,46,013"
05-Dec-2024,"9,044.15","9,044.15","8,746.50","8,891.95","18,03,653"
04-Dec-2024,"9,161.80","9,240.00","8,951.00","8,999.15","4,56,462"
03-Dec-2024,"9,105.00","9,225.05","9,105.00","9,161.80","3,98,985"
02-Dec-2024,"9,078.80","9,175.00","9,056.95","9,130.35","2,98,320"
29-Nov-2024,"9,059.10","9,090.90","8,993.00","9,033.65","4,23,101"
28-Nov-2024,"9,165.10","9,272.40","8,992.25","9,013.50","6,87,966"
27-Nov-2024,"9,175.00","9,256.95","9,103.00","9,190.35","4,61,513"
26-Nov-2024,"9,465.00","9,484.00","9,120.10","9,137.45","7,50,430"
25-Nov-2024,"9,560.00","9,636.35","9,392.00","9,420.95","10,90,141"
22-Nov-2024,"9,545.00","9,602.90","9,444.10","9,481.65","6,19,823"
21-Nov-2024,"9,473.50","9,554.00","9,414.35","9,505.00","2,82,212"
19-Nov-2024,"9,560.00","9,698.60","9,500.45","9,545.70","3,65,397"
18-Nov-2024,"9,459.05","9,603.00","9,435.85","9,516.50","2,92,519"
14-Nov-2024,"9,410.00","9,516.95","9,400.00","9,482.95","2,75,791"
13-Nov-2024,"9,678.70","9,710.00","9,416.10","9,452.15","4,94,123"
12-Nov-2024,"9,900.00","9,999.00","9,662.00","9,678.70","3,16,606"
