Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,830.00","1,836.85","1,788.25","1,805.40","22,98,735"
10-Mar-2025,"1,844.75","1,888.75","1,835.00","1,840.35","17,03,046"
07-Mar-2025,"1,845.15","1,865.55","1,836.50","1,845.30","13,32,323"
06-Mar-2025,"1,818.80","1,853.00","1,784.10","1,845.45","21,76,883"
05-Mar-2025,"1,787.00","1,808.80","1,733.00","1,801.80","21,43,253"
04-Mar-2025,"1,829.75","1,833.50","1,785.25","1,790.30","14,43,339"
03-Mar-2025,"1,884.70","1,884.70","1,818.70","1,838.55","10,46,987"
28-Feb-2025,"1,911.05","1,920.00","1,862.55","1,872.30","17,97,567"
27-Feb-2025,"1,882.15","1,938.80","1,881.00","1,925.55","28,78,330"
25-Feb-2025,"1,857.80","1,896.00","1,857.80","1,875.10","17,61,019"
24-Feb-2025,"1,868.00","1,889.90","1,853.00","1,857.80","10,76,484"
21-Feb-2025,"1,872.20","1,893.30","1,866.40","1,879.35","8,52,037"
20-Feb-2025,"1,867.85","1,887.50","1,861.05","1,881.25","10,12,144"
19-Feb-2025,"1,891.05","1,899.20","1,868.05","1,875.35","7,68,994"
18-Feb-2025,"1,892.00","1,913.80","1,880.80","1,893.70","21,16,513"
17-Feb-2025,"1,841.30","1,898.75","1,830.45","1,894.85","30,22,597"
14-Feb-2025,"1,853.50","1,867.60","1,825.00","1,841.30","18,23,774"
13-Feb-2025,"1,803.95","1,853.50","1,796.65","1,849.25","40,70,038"
12-Feb-2025,"1,749.00","1,800.85","1,727.25","1,788.70","18,88,823"
11-Feb-2025,"1,792.40","1,795.30","1,742.00","1,744.85","19,44,713"
10-Feb-2025,"1,804.90","1,806.95","1,774.80","1,792.40","9,08,769"
07-Feb-2025,"1,801.00","1,822.00","1,784.35","1,798.35","17,48,940"
06-Feb-2025,"1,808.00","1,812.95","1,779.45","1,788.00","11,19,866"
05-Feb-2025,"1,811.00","1,826.55","1,780.00","1,796.75","12,86,850"
04-Feb-2025,"1,800.00","1,818.90","1,772.80","1,813.25","22,85,643"
03-Feb-2025,"1,735.00","1,805.00","1,733.35","1,794.85","29,18,355"
01-Feb-2025,"1,747.00","1,780.00","1,617.00","1,754.00","28,87,325"
31-Jan-2025,"1,713.60","1,753.70","1,698.20","1,736.10","19,17,476"
30-Jan-2025,"1,825.00","1,856.00","1,741.00","1,745.20","51,90,089"
29-Jan-2025,"1,776.95","1,804.95","1,767.25","1,790.40","18,80,079"
28-Jan-2025,"1,732.95","1,788.05","1,715.00","1,768.95","24,39,528"
27-Jan-2025,"1,714.85","1,732.65","1,702.00","1,711.60","10,17,680"
