Date,Open,High,Low,Close,Volume
11-Mar-2025,"8,305.00","8,375.00","8,211.25","8,340.45","8,13,567"
10-Mar-2025,"8,437.75","8,637.90","8,326.05","8,342.60","10,16,453"
07-Mar-2025,"8,409.90","8,470.00","8,366.45","8,404.50","4,72,946"
06-Mar-2025,"8,365.00","8,459.80","8,275.55","8,410.85","8,81,422"
05-Mar-2025,"8,455.00","8,500.00","8,221.00","8,298.70","16,30,092"
04-Mar-2025,"8,522.20","8,619.30","8,513.65","8,585.95","7,65,506"
03-Mar-2025,"8,536.00","8,650.80","8,438.10","8,627.85","8,74,996"
28-Feb-2025,"8,665.00","8,670.00","8,510.05","8,530.30","17,54,580"
27-Feb-2025,"8,542.60","8,739.00","8,542.60","8,705.40","18,38,283"
25-Feb-2025,"8,354.95","8,526.65","8,338.05","8,488.80","10,98,541"
24-Feb-2025,"8,328.00","8,399.00","8,311.05","8,354.95","3,55,260"
21-Feb-2025,"8,360.00","8,420.30","8,288.00","8,396.70","6,08,647"
20-Feb-2025,"8,355.85","8,455.60","8,345.65","8,399.45","7,90,070"
19-Feb-2025,"8,459.15","8,529.00","8,400.00","8,439.45","8,96,198"
18-Feb-2025,"8,430.00","8,480.00","8,360.70","8,465.90","8,68,977"
17-Feb-2025,"8,220.25","8,488.00","8,220.25","8,426.60","8,62,799"
14-Feb-2025,"8,408.55","8,455.60","8,282.00","8,392.30","8,63,315"
13-Feb-2025,"8,197.05","8,498.00","8,197.05","8,409.00","18,00,313"
12-Feb-2025,"8,149.65","8,284.00","8,025.00","8,214.05","14,83,731"
11-Feb-2025,"8,299.00","8,355.10","8,139.35","8,191.20","9,63,059"
10-Feb-2025,"8,478.80","8,488.00","8,220.00","8,286.80","12,43,838"
07-Feb-2025,"8,585.00","8,585.00","8,383.90","8,474.25","9,66,540"
06-Feb-2025,"8,534.25","8,662.80","8,462.00","8,507.30","17,09,473"
05-Feb-2025,"8,500.00","8,588.70","8,445.50","8,509.45","18,67,493"
04-Feb-2025,"8,425.00","8,490.00","8,303.00","8,475.35","19,66,300"
03-Feb-2025,"7,922.20","8,439.30","7,921.05","8,425.80","43,36,926"
01-Feb-2025,"7,880.00","8,109.95","7,784.40","8,000.10","16,15,378"
31-Jan-2025,"7,925.00","7,980.65","7,791.00","7,885.10","18,33,546"
30-Jan-2025,"7,850.00","8,250.65","7,850.00","7,901.65","56,48,883"
29-Jan-2025,"7,657.25","7,787.00","7,568.95","7,759.65","15,14,920"
28-Jan-2025,"7,390.00","7,706.80","7,345.00","7,606.60","24,78,933"
27-Jan-2025,"7,380.10","7,474.50","7,260.00","7,295.45","6,92,810"
24-Jan-2025,"7,443.25","7,505.00","7,338.30","7,438.60","6,79,687"
23-Jan-2025,"7,341.00","7,524.00","7,325.00","7,443.25","10,30,295"
22-Jan-2025,"7,339.00","7,420.25","7,260.35","7,397.15","7,27,368"
21-Jan-2025,"7,450.00","7,485.00","7,277.60","7,291.65","10,03,206"
20-Jan-2025,"7,182.10","7,470.00","7,182.10","7,440.10","10,67,971"
17-Jan-2025,"7,221.00","7,284.95","7,156.30","7,182.10","6,65,274"
16-Jan-2025,"7,200.00","7,289.00","7,194.05","7,259.75","8,60,849"
15-Jan-2025,"7,340.50","7,350.00","7,105.20","7,177.40","6,81,750"
14-Jan-2025,"7,230.00","7,388.00","7,191.15","7,335.00","9,98,011"
13-Jan-2025,"7,240.00","7,255.10","7,134.00","7,150.95","6,64,274"
10-Jan-2025,"7,277.45","7,367.05","7,245.05","7,288.05","8,08,963"
09-Jan-2025,"7,338.45","7,355.40","7,236.00","7,277.45","6,68,141"
08-Jan-2025,"7,361.85","7,388.45","7,256.70","7,355.40","8,44,466"
07-Jan-2025,"7,354.95","7,446.90","7,301.45","7,353.95","10,42,538"
06-Jan-2025,"7,500.00","7,599.90","7,316.75","7,349.35","19,05,976"
03-Jan-2025,"7,389.75","7,500.00","7,359.25","7,407.25","15,05,928"
02-Jan-2025,"6,980.00","7,430.00","6,971.00","7,389.20","31,71,651"
01-Jan-2025,"6,823.00","6,947.95","6,806.00","6,935.30","4,18,721"
