Date,Open,High,Low,Close,Volume
11-Mar-2025,271.95,278.5,269.05,277.18,"2,09,80,143"
10-Mar-2025,278.6,283.47,271.55,272.33,"2,09,86,855"
07-Mar-2025,275.8,279.73,274.0,276.99,"2,55,42,382"
06-Mar-2025,276.21,281.0,271.83,272.95,"2,25,86,087"
05-Mar-2025,265.0,275.8,263.33,274.92,"2,84,99,877"
04-Mar-2025,253.89,266.5,252.5,264.71,"2,49,98,454"
03-Mar-2025,247.5,258.9,244.36,257.39,"2,46,44,079"
28-Feb-2025,250.0,250.95,243.5,246.25,"1,77,54,591"
27-Feb-2025,257.1,258.4,251.9,252.45,"1,10,87,404"
25-Feb-2025,256.35,258.55,255.35,256.65,"1,47,70,656"
24-Feb-2025,251.0,258.45,250.5,256.35,"1,54,09,569"
21-Feb-2025,259.5,262.5,254.4,256.1,"1,65,94,628"
20-Feb-2025,252.0,260.95,250.25,260.25,"1,89,22,988"
19-Feb-2025,240.7,254.0,240.25,253.4,"2,15,16,255"
18-Feb-2025,249.0,249.75,240.55,244.6,"2,11,80,375"
17-Feb-2025,248.95,250.0,242.6,248.5,"2,49,47,159"
14-Feb-2025,262.2,264.5,248.2,250.35,"2,56,83,310"
13-Feb-2025,259.15,265.5,258.6,261.55,"1,80,16,813"
12-Feb-2025,264.95,265.75,254.0,259.15,"2,79,97,028"
11-Feb-2025,273.8,274.0,262.75,265.05,"2,38,39,025"
10-Feb-2025,278.9,282.2,272.0,273.45,"2,17,89,085"
07-Feb-2025,280.75,282.3,273.1,277.05,"2,66,82,639"
06-Feb-2025,288.95,289.95,279.0,279.75,"1,68,34,939"
05-Feb-2025,285.65,291.8,285.0,288.95,"1,88,18,511"
04-Feb-2025,276.0,286.0,275.9,284.5,"2,90,35,155"
03-Feb-2025,277.85,277.85,263.3,274.15,"4,17,86,023"
01-Feb-2025,295.95,299.6,269.3,281.8,"6,18,32,253"
31-Jan-2025,283.9,294.2,281.6,292.65,"5,02,52,116"
30-Jan-2025,268.85,280.5,267.9,278.75,"4,67,35,932"
29-Jan-2025,259.0,268.0,259.0,267.2,"1,43,61,301"
28-Jan-2025,263.5,265.7,252.7,258.25,"2,90,49,716"
27-Jan-2025,267.0,267.0,261.8,262.95,"1,37,10,859"
24-Jan-2025,273.95,276.7,268.8,270.15,"1,01,64,897"
23-Jan-2025,268.8,276.95,267.1,273.95,"1,19,78,782"
22-Jan-2025,279.0,279.3,266.3,270.35,"2,12,72,549"
21-Jan-2025,285.8,286.9,278.25,279.0,"1,30,20,489"
20-Jan-2025,283.2,287.8,280.7,285.8,"1,04,83,849"
17-Jan-2025,275.45,283.9,274.05,282.15,"1,27,41,720"
16-Jan-2025,273.4,278.05,271.4,276.15,"1,72,34,302"
15-Jan-2025,272.0,272.2,266.3,267.85,"1,13,76,064"
14-Jan-2025,263.0,271.0,261.2,269.9,"1,89,38,129"
13-Jan-2025,265.0,268.9,258.3,259.6,"1,94,29,753"
10-Jan-2025,280.0,281.0,270.0,271.0,"1,53,17,565"
09-Jan-2025,281.25,284.1,279.6,281.25,"1,27,15,512"
08-Jan-2025,287.0,287.0,280.1,282.1,"1,09,96,122"
07-Jan-2025,282.15,288.2,281.05,287.0,"1,32,47,733"
06-Jan-2025,292.55,292.55,280.55,282.15,"1,26,38,091"
03-Jan-2025,296.5,297.25,291.5,291.95,"81,67,968"
02-Jan-2025,294.45,297.8,291.35,296.8,"1,33,61,957"
01-Jan-2025,293.15,294.6,290.25,293.9,"69,54,271"
31-Dec-2024,284.5,294.0,284.25,293.15,"1,57,25,947"
30-Dec-2024,292.05,292.5,282.85,284.9,"2,58,76,258"
27-Dec-2024,295.85,296.15,291.35,292.05,"94,95,184"
26-Dec-2024,293.0,296.0,292.5,295.2,"91,72,485"
24-Dec-2024,296.25,297.35,291.5,292.45,"1,06,85,518"
23-Dec-2024,294.0,295.3,288.0,294.35,"1,02,01,072"
20-Dec-2024,298.0,302.1,289.35,290.85,"1,49,64,677"
19-Dec-2024,295.0,300.45,295.0,298.5,"1,33,49,532"
18-Dec-2024,310.2,310.6,301.65,303.8,"1,65,98,070"
17-Dec-2024,315.55,318.65,310.0,310.6,"1,80,53,073"
16-Dec-2024,315.8,317.35,314.0,316.2,"1,05,43,307"
13-Dec-2024,313.0,316.35,308.15,315.65,"1,55,57,064"
12-Dec-2024,313.55,316.0,312.1,312.95,"1,09,78,075"
11-Dec-2024,314.9,316.5,313.0,314.1,"92,81,006"
10-Dec-2024,317.55,318.3,314.0,314.85,"1,58,11,501"
09-Dec-2024,313.6,317.1,313.25,314.6,"1,18,30,104"
06-Dec-2024,314.5,315.85,313.1,313.75,"83,59,798"
05-Dec-2024,314.0,315.4,310.6,314.5,"1,79,11,694"
04-Dec-2024,316.0,320.85,311.2,312.85,"4,14,41,172"
03-Dec-2024,309.0,312.75,307.8,312.1,"2,14,05,136"
02-Dec-2024,307.8,309.4,303.3,306.9,"1,55,49,685"
29-Nov-2024,305.7,310.6,305.0,308.0,"2,32,41,947"
28-Nov-2024,308.0,309.5,304.35,305.75,"2,77,72,319"
27-Nov-2024,298.85,307.95,297.45,307.35,"3,94,64,505"
26-Nov-2024,294.0,301.0,293.15,297.9,"2,73,47,402"
25-Nov-2024,290.0,299.0,287.95,292.35,"4,93,66,681"
22-Nov-2024,276.0,283.5,275.5,280.85,"1,32,68,900"
21-Nov-2024,278.45,278.45,270.25,275.45,"1,48,58,108"
19-Nov-2024,280.0,285.2,277.0,279.0,"1,31,60,982"
18-Nov-2024,283.0,286.7,277.25,278.05,"1,30,00,137"
14-Nov-2024,282.0,284.45,275.5,280.95,"2,05,41,591"
13-Nov-2024,288.0,288.85,279.45,281.55,"2,00,01,842"
12-Nov-2024,300.0,300.85,287.3,290.15,"1,42,92,965"
11-Nov-2024,297.5,303.8,294.4,299.75,"2,01,55,408"
08-Nov-2024,300.35,304.5,295.75,297.75,"2,29,35,845"
07-Nov-2024,301.0,302.0,296.1,300.35,"2,43,57,430"
06-Nov-2024,287.5,304.3,287.2,301.85,"5,28,04,364"
05-Nov-2024,282.5,287.2,277.15,286.35,"1,87,61,867"
04-Nov-2024,289.0,289.0,280.3,284.15,"1,51,57,659"
01-Nov-2024,286.65,290.25,286.0,288.65,"52,65,231"
31-Oct-2024,287.95,288.45,283.75,284.9,"1,87,20,310"
30-Oct-2024,283.45,294.75,282.05,288.55,"4,07,87,587"
29-Oct-2024,271.2,284.5,270.85,283.65,"3,42,71,117"
28-Oct-2024,276.7,277.95,267.4,270.05,"2,44,79,817"
25-Oct-2024,271.0,276.0,257.45,272.35,"4,04,06,841"
24-Oct-2024,269.0,273.15,268.35,271.35,"1,07,00,271"
23-Oct-2024,271.0,274.7,266.3,268.65,"1,35,03,954"
22-Oct-2024,282.0,282.15,270.65,271.65,"1,52,40,897"
21-Oct-2024,286.3,287.45,281.1,282.3,"83,93,942"
18-Oct-2024,282.9,287.8,277.8,287.15,"1,00,95,514"
17-Oct-2024,286.05,287.9,281.7,284.55,"1,16,95,551"
16-Oct-2024,288.15,291.05,284.75,285.7,"1,18,35,439"
15-Oct-2024,287.15,289.45,285.75,288.85,"1,47,01,531"
14-Oct-2024,286.1,289.2,284.65,285.7,"1,13,86,559"
11-Oct-2024,287.2,288.65,284.15,285.9,"96,77,338"
10-Oct-2024,283.95,289.6,283.4,286.9,"1,91,55,691"
09-Oct-2024,282.0,286.6,278.5,282.4,"1,89,84,175"
08-Oct-2024,267.0,281.5,265.55,280.25,"2,91,90,708"
07-Oct-2024,277.4,278.9,265.0,267.35,"2,17,04,629"
04-Oct-2024,278.7,281.9,273.55,277.2,"1,74,51,235"
