Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,630.00","1,676.40","1,624.05","1,662.95","60,78,564"
10-Mar-2025,"1,640.00","1,654.90","1,626.60","1,630.95","37,78,450"
07-Mar-2025,"1,629.00","1,642.40","1,615.60","1,630.70","30,35,558"
06-Mar-2025,"1,618.00","1,631.75","1,590.45","1,626.90","51,74,009"
05-Mar-2025,"1,578.00","1,626.10","1,577.10","1,618.25","62,95,425"
04-Mar-2025,"1,589.00","1,590.50","1,568.00","1,575.35","52,19,668"
03-Mar-2025,"1,579.00","1,602.75","1,572.75","1,595.80","69,93,525"
28-Feb-2025,"1,641.95","1,648.45","1,559.50","1,570.20","1,36,40,211"
27-Feb-2025,"1,643.40","1,656.00","1,638.65","1,650.40","75,68,745"
25-Feb-2025,"1,597.00","1,649.15","1,597.00","1,641.40","62,86,808"
24-Feb-2025,"1,627.00","1,637.55","1,598.00","1,601.30","46,73,190"
21-Feb-2025,"1,643.50","1,658.70","1,629.20","1,639.25","54,47,583"
20-Feb-2025,"1,639.85","1,649.80","1,627.25","1,643.50","55,24,503"
19-Feb-2025,"1,670.00","1,673.45","1,638.45","1,645.20","77,76,555"
18-Feb-2025,"1,692.00","1,695.95","1,655.80","1,668.90","75,29,598"
17-Feb-2025,"1,711.75","1,716.90","1,666.25","1,675.55","49,06,462"
14-Feb-2025,"1,714.00","1,724.10","1,705.25","1,717.05","51,25,863"
13-Feb-2025,"1,710.00","1,728.40","1,703.90","1,714.60","53,56,002"
12-Feb-2025,"1,704.00","1,713.70","1,684.50","1,711.55","71,48,192"
11-Feb-2025,"1,706.00","1,706.65","1,686.20","1,696.75","89,65,266"
10-Feb-2025,"1,698.85","1,700.00","1,678.05","1,693.05","67,82,878"
07-Feb-2025,"1,635.05","1,707.55","1,635.00","1,676.75","1,48,73,255"
06-Feb-2025,"1,665.90","1,667.30","1,613.25","1,619.75","52,29,162"
05-Feb-2025,"1,670.00","1,675.20","1,649.10","1,660.45","39,20,893"
04-Feb-2025,"1,662.15","1,668.30","1,629.05","1,661.45","63,85,876"
03-Feb-2025,"1,619.90","1,661.00","1,608.10","1,652.35","41,46,970"
01-Feb-2025,"1,627.00","1,644.00","1,609.20","1,623.25","27,41,589"
31-Jan-2025,"1,639.10","1,639.10","1,574.25","1,626.30","83,40,866"
30-Jan-2025,"1,606.70","1,644.95","1,595.20","1,640.75","42,83,637"
29-Jan-2025,"1,620.00","1,626.90","1,593.15","1,600.45","50,09,227"
28-Jan-2025,"1,607.65","1,630.30","1,597.00","1,618.35","52,16,471"
27-Jan-2025,"1,638.95","1,647.20","1,593.70","1,602.60","66,22,807"
24-Jan-2025,"1,634.05","1,661.90","1,634.05","1,644.80","36,20,058"
23-Jan-2025,"1,624.50","1,645.40","1,617.20","1,636.00","24,57,080"
22-Jan-2025,"1,627.50","1,641.00","1,622.55","1,631.75","32,62,136"
21-Jan-2025,"1,654.00","1,656.70","1,620.30","1,626.15","79,58,844"
20-Jan-2025,"1,638.00","1,645.00","1,618.10","1,641.15","39,33,044"
17-Jan-2025,"1,630.10","1,639.00","1,623.00","1,627.50","26,78,801"
16-Jan-2025,"1,619.05","1,635.00","1,600.55","1,630.20","52,99,325"
15-Jan-2025,"1,608.05","1,613.85","1,593.00","1,607.45","29,60,985"
14-Jan-2025,"1,604.70","1,633.40","1,578.50","1,600.10","72,84,572"
13-Jan-2025,"1,580.00","1,614.70","1,578.10","1,597.20","37,05,039"
10-Jan-2025,"1,608.00","1,625.00","1,591.80","1,615.90","41,45,892"
09-Jan-2025,"1,600.00","1,620.20","1,592.40","1,607.05","46,84,859"
08-Jan-2025,"1,598.75","1,613.45","1,577.85","1,599.20","36,74,564"
07-Jan-2025,"1,594.00","1,603.00","1,584.05","1,590.85","28,30,856"
06-Jan-2025,"1,596.15","1,609.85","1,567.10","1,588.45","45,84,188"
03-Jan-2025,"1,615.00","1,617.00","1,593.30","1,598.85","36,69,685"
02-Jan-2025,"1,599.90","1,619.60","1,588.40","1,609.70","37,28,040"
01-Jan-2025,"1,593.00","1,606.55","1,584.05","1,595.70","14,05,565"
31-Dec-2024,"1,583.00","1,597.20","1,563.35","1,587.75","22,49,626"
30-Dec-2024,"1,605.00","1,613.05","1,581.10","1,586.90","44,38,130"
27-Dec-2024,"1,599.50","1,628.45","1,596.30","1,599.85","25,59,578"
26-Dec-2024,"1,583.90","1,606.85","1,581.10","1,599.50","34,00,479"
24-Dec-2024,"1,590.00","1,598.80","1,575.00","1,583.90","36,10,076"
23-Dec-2024,"1,586.00","1,607.45","1,578.35","1,586.90","43,63,599"
20-Dec-2024,"1,610.00","1,622.30","1,573.40","1,578.10","97,38,879"
19-Dec-2024,"1,586.40","1,609.75","1,585.45","1,600.30","58,65,855"
18-Dec-2024,"1,621.40","1,623.00","1,596.10","1,601.90","39,05,144"
17-Dec-2024,"1,650.50","1,658.65","1,608.50","1,615.30","61,82,486"
16-Dec-2024,"1,681.75","1,687.00","1,660.15","1,662.55","43,75,126"
13-Dec-2024,"1,618.00","1,685.00","1,606.80","1,681.75","1,29,00,707"
12-Dec-2024,"1,578.50","1,617.90","1,578.50","1,610.55","1,31,20,939"
11-Dec-2024,"1,588.00","1,588.00","1,571.20","1,586.00","38,53,182"
10-Dec-2024,"1,610.55","1,611.85","1,570.05","1,578.65","1,46,45,786"
09-Dec-2024,"1,595.90","1,605.90","1,589.05","1,602.55","42,64,409"
06-Dec-2024,"1,618.00","1,624.65","1,594.80","1,597.85","42,96,866"
05-Dec-2024,"1,600.00","1,622.05","1,585.35","1,615.35","1,03,24,005"
04-Dec-2024,"1,629.75","1,630.50","1,582.40","1,584.10","87,72,014"
03-Dec-2024,"1,652.90","1,652.90","1,613.15","1,620.55","91,31,055"
02-Dec-2024,"1,627.15","1,646.20","1,617.20","1,643.60","37,90,108"
29-Nov-2024,"1,551.15","1,648.90","1,551.15","1,627.15","1,07,75,801"
28-Nov-2024,"1,571.00","1,588.50","1,556.95","1,560.40","67,14,728"
27-Nov-2024,"1,569.15","1,583.75","1,554.15","1,577.65","49,82,785"
26-Nov-2024,"1,590.00","1,604.85","1,566.00","1,577.25","40,30,593"
25-Nov-2024,"1,581.95","1,609.25","1,562.55","1,578.75","1,21,55,641"
22-Nov-2024,"1,533.00","1,575.00","1,520.20","1,569.30","76,40,321"
21-Nov-2024,"1,538.00","1,542.05","1,511.00","1,525.15","73,56,679"
19-Nov-2024,"1,537.00","1,558.00","1,519.30","1,525.50","62,38,241"
18-Nov-2024,"1,568.95","1,568.95","1,529.45","1,537.00","48,16,078"
14-Nov-2024,"1,550.00","1,568.00","1,536.55","1,550.50","51,39,154"
13-Nov-2024,"1,559.90","1,572.50","1,546.35","1,550.45","58,16,699"
12-Nov-2024,"1,568.80","1,595.00","1,550.10","1,555.65","44,79,934"
11-Nov-2024,"1,561.00","1,581.60","1,551.80","1,560.55","36,64,301"
08-Nov-2024,"1,571.00","1,579.50","1,558.85","1,569.90","30,96,384"
07-Nov-2024,"1,595.95","1,608.55","1,569.65","1,575.80","51,60,994"
06-Nov-2024,"1,583.00","1,610.75","1,566.50","1,598.80","66,31,728"
05-Nov-2024,"1,583.25","1,593.90","1,566.00","1,578.40","64,73,278"
04-Nov-2024,"1,619.15","1,623.85","1,573.05","1,591.25","60,94,029"
01-Nov-2024,"1,620.00","1,626.35","1,605.35","1,616.45","2,79,441"
31-Oct-2024,"1,634.00","1,638.80","1,602.15","1,612.60","49,21,681"
30-Oct-2024,"1,627.80","1,651.00","1,617.80","1,633.35","46,22,628"
29-Oct-2024,"1,650.50","1,667.95","1,610.00","1,637.10","69,90,747"
28-Oct-2024,"1,658.15","1,677.85","1,645.65","1,663.35","28,11,651"
25-Oct-2024,"1,681.10","1,684.75","1,655.85","1,666.00","34,34,386"
24-Oct-2024,"1,687.00","1,693.00","1,657.40","1,678.45","36,69,575"
23-Oct-2024,"1,690.00","1,701.35","1,680.10","1,685.80","27,64,757"
22-Oct-2024,"1,692.00","1,712.90","1,687.35","1,692.25","30,70,057"
21-Oct-2024,"1,705.55","1,708.95","1,662.00","1,692.55","38,36,168"
18-Oct-2024,"1,710.00","1,716.10","1,685.20","1,707.85","41,54,915"
