Date,Open,High,Low,Close,Volume
11-Mar-2025,255.99,264.97,254.35,264.58,"1,23,06,539"
10-Mar-2025,261.26,265.96,256.06,256.93,"84,87,911"
07-Mar-2025,264.96,265.79,260.0,261.26,"70,57,204"
06-Mar-2025,260.0,265.95,259.0,265.04,"1,28,28,381"
05-Mar-2025,249.9,256.93,249.9,255.84,"78,02,519"
04-Mar-2025,241.0,250.94,236.1,249.92,"72,01,075"
03-Mar-2025,239.0,243.64,234.01,242.41,"68,64,635"
28-Feb-2025,244.05,244.05,236.15,237.3,"1,40,66,882"
27-Feb-2025,248.45,249.4,242.1,244.75,"73,76,510"
25-Feb-2025,251.9,252.9,247.7,248.45,"41,72,676"
24-Feb-2025,251.25,253.5,248.75,251.0,"67,73,845"
21-Feb-2025,258.0,259.4,250.65,251.3,"98,45,416"
20-Feb-2025,254.0,259.65,253.2,258.6,"81,55,780"
19-Feb-2025,251.0,256.45,249.55,255.6,"68,87,175"
18-Feb-2025,252.25,253.55,246.85,252.75,"55,34,272"
17-Feb-2025,251.0,253.55,246.35,252.3,"58,99,597"
14-Feb-2025,256.4,258.6,247.45,251.0,"52,05,573"
13-Feb-2025,256.2,260.1,255.0,255.75,"55,14,711"
12-Feb-2025,255.15,256.8,249.05,255.6,"65,68,833"
11-Feb-2025,259.5,259.75,253.75,255.15,"68,19,100"
10-Feb-2025,264.55,265.8,257.5,259.9,"80,52,376"
07-Feb-2025,262.1,264.9,260.05,264.3,"65,57,480"
06-Feb-2025,263.0,267.2,261.65,262.55,"1,40,58,587"
05-Feb-2025,260.25,265.65,260.25,261.25,"1,00,88,345"
04-Feb-2025,250.65,256.65,250.2,255.95,"70,00,612"
03-Feb-2025,250.95,251.8,242.2,249.55,"2,15,17,136"
01-Feb-2025,261.75,262.05,248.0,255.65,"1,14,64,565"
31-Jan-2025,257.9,262.0,254.25,261.1,"87,90,578"
30-Jan-2025,259.9,260.9,256.5,257.15,"94,10,974"
29-Jan-2025,256.95,257.95,251.5,257.0,"94,35,973"
28-Jan-2025,262.25,263.9,254.3,258.05,"1,33,21,189"
27-Jan-2025,263.7,263.7,258.35,261.3,"1,00,83,126"
24-Jan-2025,274.0,279.4,263.0,263.8,"1,84,80,516"
23-Jan-2025,283.0,285.0,270.3,271.25,"1,88,06,324"
22-Jan-2025,282.0,283.55,274.05,277.6,"63,01,894"
21-Jan-2025,278.55,287.0,278.15,280.2,"1,53,04,149"
20-Jan-2025,275.0,278.4,268.8,277.3,"96,23,368"
17-Jan-2025,268.8,275.2,267.25,273.6,"93,00,647"
16-Jan-2025,267.35,268.95,263.5,266.9,"1,37,54,046"
15-Jan-2025,273.9,275.9,265.25,267.0,"1,34,48,052"
14-Jan-2025,267.1,271.5,266.0,270.2,"67,10,730"
13-Jan-2025,271.25,274.7,264.25,265.3,"1,04,88,655"
10-Jan-2025,280.5,283.5,275.6,277.65,"90,73,218"
09-Jan-2025,287.0,287.85,279.05,280.0,"62,15,902"
08-Jan-2025,282.8,287.9,280.5,286.8,"60,37,032"
07-Jan-2025,287.1,290.5,280.7,282.8,"83,06,436"
06-Jan-2025,296.4,297.25,284.1,284.85,"73,61,716"
03-Jan-2025,296.0,299.15,294.35,296.4,"48,06,469"
02-Jan-2025,295.3,297.7,291.8,296.9,"68,46,413"
01-Jan-2025,292.3,295.9,290.3,295.3,"35,45,200"
31-Dec-2024,291.45,294.4,290.8,292.45,"41,61,509"
30-Dec-2024,293.55,295.25,289.75,293.3,"82,36,910"
27-Dec-2024,295.05,297.4,292.5,293.55,"37,08,404"
26-Dec-2024,294.85,299.3,292.55,295.6,"1,13,10,555"
24-Dec-2024,289.95,295.45,287.35,292.0,"79,37,629"
23-Dec-2024,292.0,294.9,288.0,289.1,"68,19,725"
20-Dec-2024,293.55,299.2,287.0,289.05,"99,79,749"
19-Dec-2024,282.05,295.85,282.05,294.55,"1,18,22,064"
18-Dec-2024,291.75,293.0,287.65,288.3,"65,35,229"
17-Dec-2024,299.85,299.85,292.1,293.0,"84,15,828"
16-Dec-2024,300.95,301.7,295.8,297.95,"86,96,443"
13-Dec-2024,302.0,305.15,296.0,301.7,"77,26,611"
12-Dec-2024,307.05,307.45,301.3,302.15,"74,54,904"
11-Dec-2024,303.45,308.95,302.1,307.45,"1,08,67,782"
10-Dec-2024,302.3,306.7,300.85,303.5,"86,49,367"
09-Dec-2024,300.95,304.2,299.1,303.45,"1,16,37,358"
06-Dec-2024,297.9,303.9,296.4,300.35,"95,86,531"
05-Dec-2024,295.1,298.25,291.3,297.0,"92,87,638"
04-Dec-2024,294.2,299.55,292.85,293.65,"98,40,659"
03-Dec-2024,297.5,297.8,292.05,294.25,"91,98,285"
02-Dec-2024,292.65,295.9,290.5,294.15,"51,93,026"
29-Nov-2024,292.4,294.25,289.4,292.1,"81,25,467"
28-Nov-2024,294.45,298.75,289.5,290.95,"1,31,30,411"
27-Nov-2024,296.95,297.0,291.05,293.45,"59,95,425"
26-Nov-2024,297.95,301.0,293.35,293.85,"51,60,007"
25-Nov-2024,292.05,304.4,292.0,296.55,"1,69,03,527"
22-Nov-2024,282.6,287.0,281.05,285.85,"65,39,977"
21-Nov-2024,287.45,287.45,279.35,282.4,"82,73,120"
19-Nov-2024,292.65,297.9,286.5,287.5,"99,12,544"
18-Nov-2024,298.15,299.65,288.3,289.2,"79,40,666"
14-Nov-2024,305.8,306.0,296.4,298.2,"1,10,61,057"
13-Nov-2024,307.95,309.0,302.0,305.85,"73,06,795"
12-Nov-2024,314.1,318.55,309.05,309.8,"71,92,998"
11-Nov-2024,308.0,314.0,304.05,312.55,"52,77,147"
08-Nov-2024,315.0,315.1,306.8,310.45,"93,04,376"
07-Nov-2024,316.35,317.7,311.1,315.0,"73,87,875"
06-Nov-2024,311.8,319.0,307.25,317.0,"1,07,87,602"
05-Nov-2024,301.0,309.05,300.2,307.95,"95,42,018"
04-Nov-2024,313.0,313.5,298.1,303.45,"1,40,63,318"
01-Nov-2024,311.95,313.85,311.8,313.0,"7,10,149"
31-Oct-2024,310.5,316.2,307.8,310.75,"1,13,75,689"
30-Oct-2024,309.0,314.9,307.35,311.3,"62,48,318"
29-Oct-2024,312.0,312.95,302.25,311.45,"84,37,903"
28-Oct-2024,307.3,315.5,305.3,310.4,"1,32,99,872"
25-Oct-2024,323.45,323.6,303.1,306.3,"1,15,83,887"
24-Oct-2024,323.0,325.4,320.0,321.45,"57,06,821"
23-Oct-2024,322.0,325.85,316.55,323.05,"66,39,274"
22-Oct-2024,332.0,332.55,322.0,322.9,"63,72,285"
21-Oct-2024,342.55,345.5,330.2,331.65,"86,09,636"
18-Oct-2024,342.7,343.9,334.3,342.5,"73,28,694"
17-Oct-2024,349.15,350.6,341.85,342.7,"1,10,23,063"
16-Oct-2024,352.0,355.9,348.05,350.75,"1,70,73,700"
15-Oct-2024,344.2,351.5,343.9,348.75,"1,71,83,945"
14-Oct-2024,340.0,344.6,337.25,340.75,"79,67,181"
11-Oct-2024,335.45,339.4,334.0,337.65,"40,46,559"
10-Oct-2024,342.0,343.3,334.55,335.45,"57,06,365"
09-Oct-2024,345.0,350.0,337.75,338.85,"1,35,23,561"
08-Oct-2024,331.5,339.45,328.25,338.0,"95,65,667"
07-Oct-2024,342.0,343.3,332.8,335.0,"78,47,806"
04-Oct-2024,342.5,347.95,334.35,340.25,"1,81,85,208"
03-Oct-2024,353.75,361.6,347.0,348.85,"2,07,54,875"
01-Oct-2024,370.0,373.35,364.15,368.25,"94,40,793"
30-Sep-2024,367.15,376.0,360.15,369.95,"2,38,60,696"
27-Sep-2024,347.0,370.5,346.35,367.3,"4,07,56,678"
26-Sep-2024,340.0,346.95,335.15,345.1,"95,17,367"
25-Sep-2024,341.0,341.8,335.15,339.8,"60,87,353"
24-Sep-2024,338.55,343.2,336.7,339.15,"70,68,491"
23-Sep-2024,333.0,339.5,331.3,338.1,"61,10,287"
20-Sep-2024,326.45,333.1,324.45,331.2,"1,46,42,546"
19-Sep-2024,337.95,337.95,322.95,324.45,"1,25,49,677"
18-Sep-2024,339.0,339.9,334.45,336.1,"41,11,826"
17-Sep-2024,339.95,340.85,335.05,338.4,"72,37,522"
