Date,Open,High,Low,Close,Volume
11-Mar-2025,"4,720.00","4,795.00","4,711.55","4,762.05","1,47,357"
10-Mar-2025,"4,749.00","4,823.95","4,710.05","4,737.70","2,90,019"
07-Mar-2025,"4,690.00","4,765.00","4,660.00","4,748.25","1,91,644"
06-Mar-2025,"4,725.00","4,799.90","4,654.65","4,702.55","4,60,852"
05-Mar-2025,"4,579.90","4,735.20","4,560.00","4,722.15","3,50,741"
04-Mar-2025,"4,530.05","4,581.00","4,506.00","4,575.20","3,21,501"
03-Mar-2025,"4,595.45","4,672.00","4,548.15","4,596.60","4,12,033"
28-Feb-2025,"4,782.80","4,786.45","4,553.80","4,595.45","6,76,501"
27-Feb-2025,"4,798.05","4,860.70","4,766.50","4,782.80","3,86,556"
25-Feb-2025,"4,785.90","4,853.70","4,760.00","4,798.05","4,79,647"
24-Feb-2025,"4,750.00","4,829.50","4,702.00","4,804.30","2,59,886"
21-Feb-2025,"4,850.00","4,850.20","4,783.55","4,831.90","3,34,003"
20-Feb-2025,"4,819.00","4,847.00","4,792.00","4,832.40","3,19,761"
19-Feb-2025,"4,881.00","4,899.00","4,812.35","4,837.50","2,15,919"
18-Feb-2025,"4,963.70","4,967.05","4,859.40","4,891.20","3,14,216"
17-Feb-2025,"4,934.50","4,969.00","4,911.90","4,963.70","2,75,352"
14-Feb-2025,"4,891.70","4,955.00","4,873.75","4,939.65","4,89,241"
13-Feb-2025,"4,915.95","4,950.75","4,867.25","4,888.70","3,41,650"
12-Feb-2025,"4,899.05","4,932.95","4,843.55","4,918.30","3,36,331"
11-Feb-2025,"4,910.95","4,939.55","4,854.00","4,904.05","2,79,638"
10-Feb-2025,"4,915.00","5,009.00","4,877.00","4,909.65","6,25,074"
07-Feb-2025,"5,010.00","5,075.40","4,844.00","4,870.50","7,01,024"
06-Feb-2025,"4,932.10","4,978.80","4,906.05","4,956.05","4,66,931"
05-Feb-2025,"5,058.00","5,058.00","4,924.35","4,932.65","3,84,948"
04-Feb-2025,"5,118.00","5,118.00","4,990.30","5,028.35","4,34,664"
03-Feb-2025,"5,232.60","5,232.60","5,015.00","5,105.55","5,17,520"
01-Feb-2025,"5,160.00","5,379.00","5,051.00","5,201.35","6,34,040"
31-Jan-2025,"5,104.00","5,170.00","5,040.10","5,129.65","3,16,771"
30-Jan-2025,"5,037.10","5,105.00","5,034.95","5,075.35","3,54,016"
29-Jan-2025,"5,100.00","5,100.00","4,991.00","5,037.05","2,98,533"
28-Jan-2025,"5,181.15","5,216.25","5,018.20","5,060.75","4,56,912"
27-Jan-2025,"5,103.65","5,215.00","5,103.05","5,176.25","9,37,878"
24-Jan-2025,"5,037.70","5,108.00","5,013.15","5,101.55","5,09,954"
23-Jan-2025,"4,944.15","5,042.95","4,883.20","5,012.60","3,61,082"
22-Jan-2025,"4,930.00","4,975.20","4,883.20","4,956.70","4,60,132"
21-Jan-2025,"4,885.40","4,944.15","4,850.10","4,903.85","3,77,457"
20-Jan-2025,"4,860.00","4,908.00","4,836.65","4,885.40","1,55,962"
17-Jan-2025,"4,846.10","4,923.50","4,815.70","4,854.40","4,92,847"
16-Jan-2025,"4,886.05","4,900.00","4,743.10","4,844.55","4,54,269"
15-Jan-2025,"4,871.00","4,937.20","4,804.10","4,877.00","2,42,422"
14-Jan-2025,"4,948.95","4,950.00","4,850.10","4,862.40","2,83,367"
13-Jan-2025,"4,922.20","4,997.90","4,906.00","4,927.05","4,48,698"
10-Jan-2025,"4,928.50","4,958.40","4,881.65","4,939.20","3,05,669"
09-Jan-2025,"4,860.55","5,050.00","4,840.05","4,926.30","8,32,814"
08-Jan-2025,"4,850.00","4,871.90","4,760.15","4,859.90","3,71,105"
07-Jan-2025,"4,804.95","4,885.80","4,804.95","4,832.25","4,50,200"
06-Jan-2025,"4,873.50","4,873.50","4,773.30","4,791.25","6,19,930"
03-Jan-2025,"4,800.00","4,859.45","4,785.75","4,834.10","3,41,848"
02-Jan-2025,"4,790.05","4,806.95","4,723.10","4,787.80","4,02,766"
01-Jan-2025,"4,752.20","4,819.70","4,752.20","4,794.75","87,260"
31-Dec-2024,"4,795.00","4,795.00","4,741.20","4,762.75","2,55,918"
30-Dec-2024,"4,759.70","4,818.00","4,738.00","4,799.45","2,71,403"
27-Dec-2024,"4,776.00","4,807.35","4,738.45","4,769.30","1,31,505"
26-Dec-2024,"4,754.90","4,797.10","4,708.00","4,761.65","3,98,117"
24-Dec-2024,"4,702.05","4,766.55","4,690.05","4,744.10","2,27,672"
23-Dec-2024,"4,705.00","4,735.00","4,663.80","4,704.35","3,32,554"
20-Dec-2024,"4,790.00","4,807.50","4,680.50","4,698.10","3,63,168"
19-Dec-2024,"4,750.00","4,803.80","4,725.65","4,785.75","2,47,805"
18-Dec-2024,"4,775.00","4,798.90","4,752.55","4,782.65","2,28,821"
17-Dec-2024,"4,816.50","4,839.90","4,765.15","4,776.75","3,12,523"
16-Dec-2024,"4,869.00","4,869.00","4,790.00","4,846.50","2,08,757"
13-Dec-2024,"4,824.00","4,863.10","4,773.00","4,850.10","2,84,721"
12-Dec-2024,"4,900.00","4,908.95","4,810.00","4,828.35","4,06,271"
11-Dec-2024,"4,808.00","4,915.00","4,793.25","4,889.50","3,58,246"
10-Dec-2024,"4,799.85","4,829.95","4,783.05","4,787.25","2,64,213"
09-Dec-2024,"4,844.95","4,855.90","4,750.05","4,793.00","4,67,154"
06-Dec-2024,"4,872.00","4,906.70","4,840.00","4,870.85","2,36,965"
05-Dec-2024,"4,860.00","4,893.00","4,805.60","4,872.00","5,26,114"
04-Dec-2024,"4,916.45","4,973.90","4,841.00","4,851.55","3,92,107"
03-Dec-2024,"4,899.55","4,919.80","4,875.85","4,909.60","2,89,449"
02-Dec-2024,"4,930.50","4,959.00","4,866.20","4,907.25","3,14,800"
29-Nov-2024,"4,880.00","4,955.95","4,880.00","4,941.15","2,12,644"
28-Nov-2024,"4,986.60","5,012.55","4,891.15","4,923.65","3,21,308"
27-Nov-2024,"5,013.60","5,025.00","4,941.00","4,984.15","2,55,840"
26-Nov-2024,"4,903.95","5,030.30","4,892.95","5,013.60","3,14,200"
25-Nov-2024,"4,905.00","4,980.00","4,874.00","4,903.95","7,22,912"
22-Nov-2024,"4,789.05","4,871.00","4,765.60","4,848.35","4,10,476"
21-Nov-2024,"4,875.00","4,885.00","4,746.90","4,803.35","10,36,549"
19-Nov-2024,"4,924.95","4,951.35","4,878.60","4,892.70","4,36,205"
18-Nov-2024,"4,970.00","4,970.00","4,791.65","4,911.35","4,39,087"
14-Nov-2024,"5,046.50","5,050.50","4,901.00","4,915.60","4,79,979"
13-Nov-2024,"5,009.00","5,087.60","4,938.45","5,046.50","9,28,244"
12-Nov-2024,"5,420.00","5,426.90","5,005.00","5,027.55","24,41,209"
11-Nov-2024,"5,801.65","5,902.15","5,401.15","5,434.65","8,04,824"
08-Nov-2024,"5,682.20","5,792.85","5,641.55","5,747.15","3,06,281"
07-Nov-2024,"5,710.00","5,713.70","5,606.00","5,688.90","2,84,538"
06-Nov-2024,"5,636.30","5,719.00","5,608.05","5,694.90","2,33,799"
05-Nov-2024,"5,634.15","5,669.00","5,584.55","5,605.10","1,85,870"
04-Nov-2024,"5,685.00","5,698.95","5,541.85","5,625.20","2,49,780"
01-Nov-2024,"5,768.55","5,768.55","5,652.05","5,693.05","31,706"
31-Oct-2024,"5,779.00","5,781.00","5,708.00","5,726.90","2,08,893"
30-Oct-2024,"5,666.60","5,799.00","5,641.60","5,782.50","2,18,180"
29-Oct-2024,"5,730.80","5,759.90","5,611.05","5,667.50","2,04,751"
28-Oct-2024,"5,677.00","5,779.00","5,669.40","5,722.30","1,31,887"
25-Oct-2024,"5,612.40","5,706.45","5,610.00","5,669.40","1,76,680"
24-Oct-2024,"5,750.85","5,780.50","5,601.60","5,612.40","2,69,803"
23-Oct-2024,"5,698.60","5,797.60","5,690.05","5,748.85","1,23,095"
22-Oct-2024,"5,787.40","5,804.00","5,711.80","5,727.00","3,20,607"
21-Oct-2024,"5,887.20","5,895.50","5,762.60","5,778.30","2,96,733"
18-Oct-2024,"5,984.95","5,998.00","5,870.00","5,887.20","3,54,901"
17-Oct-2024,"6,090.10","6,095.90","5,966.25","5,988.50","1,88,121"
16-Oct-2024,"6,065.00","6,114.00","6,021.15","6,090.10","2,76,677"
15-Oct-2024,"6,016.35","6,082.95","5,986.95","6,068.70","4,26,219"
14-Oct-2024,"6,005.10","6,024.30","5,900.00","5,978.05","2,19,597"
11-Oct-2024,"6,030.55","6,039.50","5,961.10","5,978.50","94,953"
10-Oct-2024,"6,127.00","6,159.85","5,980.05","6,002.15","2,87,475"
09-Oct-2024,"6,158.65","6,185.00","6,070.05","6,097.25","5,51,094"
08-Oct-2024,"6,137.70","6,234.80","6,052.05","6,204.40","7,08,471"
07-Oct-2024,"6,222.65","6,235.00","6,105.00","6,120.30","3,74,593"
04-Oct-2024,"6,278.25","6,339.95","6,179.85","6,206.00","3,95,753"
03-Oct-2024,"6,444.20","6,469.90","6,290.00","6,331.75","4,95,791"
01-Oct-2024,"6,306.90","6,463.60","6,306.90","6,446.05","4,16,639"
30-Sep-2024,"6,252.65","6,362.90","6,241.10","6,338.15","4,42,617"
27-Sep-2024,"6,237.70","6,332.95","6,180.80","6,268.80","4,00,543"
26-Sep-2024,"6,200.00","6,270.40","6,154.35","6,254.10","3,27,297"
25-Sep-2024,"6,203.00","6,203.00","6,101.55","6,180.30","3,57,145"
24-Sep-2024,"6,200.75","6,245.90","6,185.05","6,203.15","2,34,706"
23-Sep-2024,"6,235.25","6,250.00","6,190.80","6,211.20","3,12,563"
20-Sep-2024,"6,165.35","6,258.65","6,125.85","6,210.55","6,63,556"
19-Sep-2024,"6,128.90","6,225.00","6,113.65","6,134.50","3,62,388"
18-Sep-2024,"6,135.00","6,166.55","6,060.05","6,123.25","2,18,424"
17-Sep-2024,"6,073.45","6,204.65","6,069.15","6,111.05","5,27,917"
16-Sep-2024,"6,000.00","6,130.00","5,936.80","6,063.00","3,52,336"
13-Sep-2024,"6,138.00","6,148.80","6,057.35","6,133.10","2,74,846"
12-Sep-2024,"6,018.65","6,128.70","6,004.70","6,109.25","5,48,745"
11-Sep-2024,"5,953.05","6,047.05","5,947.25","6,008.65","4,37,060"
10-Sep-2024,"5,980.05","6,010.00","5,930.05","5,969.90","3,37,831"
09-Sep-2024,"5,859.95","5,961.20","5,846.20","5,939.45","3,21,187"
06-Sep-2024,"5,846.70","5,884.80","5,827.10","5,843.55","2,13,556"
05-Sep-2024,"5,911.75","5,920.00","5,833.30","5,850.00","1,70,014"
04-Sep-2024,"5,849.95","5,935.35","5,828.00","5,926.55","2,19,283"
03-Sep-2024,"5,933.00","5,944.00","5,870.00","5,916.05","2,58,133"
02-Sep-2024,"5,882.05","5,933.95","5,865.00","5,922.15","3,07,023"
30-Aug-2024,"5,842.95","5,908.90","5,793.25","5,855.25","5,19,387"
29-Aug-2024,"5,710.00","5,845.00","5,696.15","5,831.40","3,51,330"
28-Aug-2024,"5,746.55","5,775.40","5,690.05","5,703.35","1,61,445"
27-Aug-2024,"5,828.80","5,845.40","5,735.00","5,764.30","1,75,740"
26-Aug-2024,"5,800.00","5,860.00","5,776.25","5,796.95","2,65,107"
23-Aug-2024,"5,837.00","5,850.00","5,784.35","5,792.65","1,24,435"
22-Aug-2024,"5,858.00","5,858.00","5,808.65","5,836.80","1,60,154"
21-Aug-2024,"5,773.80","5,849.90","5,756.50","5,837.35","1,69,215"
20-Aug-2024,"5,740.45","5,773.80","5,728.25","5,765.80","1,89,035"
19-Aug-2024,"5,745.00","5,763.25","5,718.10","5,732.50","1,02,452"
16-Aug-2024,"5,670.50","5,742.45","5,662.50","5,729.65","1,44,969"
14-Aug-2024,"5,676.00","5,695.20","5,594.15","5,659.15","1,64,575"
13-Aug-2024,"5,678.95","5,714.95","5,617.05","5,666.50","2,36,505"
12-Aug-2024,"5,745.00","5,774.50","5,625.00","5,645.75","6,22,193"
09-Aug-2024,"5,770.40","5,785.55","5,720.00","5,740.30","2,32,215"
08-Aug-2024,"5,844.75","5,861.95","5,725.00","5,744.65","2,71,628"
07-Aug-2024,"5,890.20","5,924.80","5,809.05","5,836.80","3,14,935"
06-Aug-2024,"5,724.55","5,921.00","5,710.15","5,854.50","7,27,869"
05-Aug-2024,"5,709.95","5,842.95","5,650.05","5,697.90","11,14,298"
02-Aug-2024,"5,708.05","5,808.00","5,630.30","5,720.35","4,06,998"
01-Aug-2024,"5,784.45","5,839.90","5,700.00","5,730.15","3,04,411"
31-Jul-2024,"5,897.00","5,897.00","5,770.15","5,784.45","2,71,796"
30-Jul-2024,"5,898.40","5,989.40","5,831.30","5,842.20","1,91,681"
29-Jul-2024,"5,898.00","5,957.60","5,840.05","5,897.60","1,29,350"
26-Jul-2024,"5,830.00","5,882.65","5,813.10","5,872.80","1,46,736"
25-Jul-2024,"5,824.90","5,865.00","5,801.70","5,829.60","3,03,638"
24-Jul-2024,"5,949.40","5,974.40","5,815.00","5,829.50","2,33,649"
