Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,448.00","1,459.00","1,438.00","1,445.75","12,31,247"
10-Mar-2025,"1,458.35","1,482.20","1,457.00","1,462.75","9,05,854"
07-Mar-2025,"1,465.95","1,471.10","1,451.55","1,458.45","6,78,497"
06-Mar-2025,"1,424.95","1,464.45","1,419.75","1,461.75","15,25,159"
05-Mar-2025,"1,395.10","1,431.90","1,393.10","1,419.75","21,87,830"
04-Mar-2025,"1,402.45","1,405.00","1,389.30","1,401.80","14,56,530"
03-Mar-2025,"1,400.00","1,418.10","1,396.00","1,407.55","8,54,264"
28-Feb-2025,"1,440.00","1,448.70","1,400.00","1,407.50","33,40,343"
27-Feb-2025,"1,452.00","1,464.30","1,436.00","1,441.15","12,60,808"
25-Feb-2025,"1,471.00","1,482.40","1,454.60","1,463.35","9,92,994"
24-Feb-2025,"1,460.00","1,489.00","1,457.60","1,476.75","14,03,090"
21-Feb-2025,"1,489.00","1,502.00","1,468.65","1,475.75","14,13,123"
20-Feb-2025,"1,462.00","1,483.00","1,461.50","1,479.70","16,52,209"
19-Feb-2025,"1,454.95","1,474.00","1,426.35","1,464.15","12,10,464"
18-Feb-2025,"1,474.65","1,483.85","1,466.10","1,482.10","9,67,394"
17-Feb-2025,"1,457.45","1,480.70","1,451.30","1,474.65","11,13,888"
14-Feb-2025,"1,478.00","1,480.15","1,438.55","1,459.45","17,03,559"
13-Feb-2025,"1,449.20","1,493.00","1,447.10","1,472.15","18,79,916"
12-Feb-2025,"1,453.15","1,462.30","1,435.15","1,449.20","17,91,670"
11-Feb-2025,"1,465.00","1,468.00","1,443.40","1,453.15","19,38,792"
10-Feb-2025,"1,476.20","1,477.60","1,431.55","1,458.85","12,82,801"
07-Feb-2025,"1,473.50","1,481.85","1,455.00","1,472.25","14,45,335"
06-Feb-2025,"1,443.95","1,475.30","1,438.15","1,471.50","29,18,537"
05-Feb-2025,"1,457.85","1,458.00","1,429.30","1,436.80","25,16,488"
04-Feb-2025,"1,425.90","1,463.25","1,423.50","1,449.05","17,50,660"
03-Feb-2025,"1,435.00","1,439.30","1,406.15","1,420.55","17,57,831"
01-Feb-2025,"1,479.40","1,486.50","1,427.25","1,439.50","13,06,859"
31-Jan-2025,"1,460.00","1,491.00","1,452.10","1,479.40","20,83,385"
30-Jan-2025,"1,431.00","1,469.80","1,426.00","1,457.45","17,73,294"
29-Jan-2025,"1,440.00","1,455.00","1,410.60","1,423.95","37,75,947"
28-Jan-2025,"1,395.05","1,473.00","1,366.10","1,420.60","56,27,159"
27-Jan-2025,"1,408.10","1,414.90","1,384.20","1,396.10","14,48,841"
24-Jan-2025,"1,445.25","1,451.00","1,408.00","1,411.40","16,15,412"
23-Jan-2025,"1,432.55","1,458.20","1,432.55","1,451.15","10,70,838"
22-Jan-2025,"1,431.10","1,440.95","1,420.20","1,439.40","8,08,605"
21-Jan-2025,"1,450.50","1,464.80","1,425.00","1,428.00","8,20,225"
20-Jan-2025,"1,442.30","1,449.55","1,428.90","1,445.45","7,38,447"
17-Jan-2025,"1,443.50","1,449.65","1,434.00","1,442.30","6,58,778"
16-Jan-2025,"1,451.75","1,454.30","1,430.85","1,443.50","10,80,833"
15-Jan-2025,"1,454.95","1,455.00","1,429.85","1,447.20","11,26,634"
14-Jan-2025,"1,436.00","1,451.95","1,434.45","1,447.75","10,28,726"
13-Jan-2025,"1,460.00","1,463.95","1,436.35","1,439.20","8,73,093"
10-Jan-2025,"1,483.10","1,497.70","1,465.15","1,468.80","9,30,723"
09-Jan-2025,"1,490.10","1,499.40","1,481.00","1,488.20","9,95,821"
08-Jan-2025,"1,504.90","1,513.00","1,487.55","1,494.90","12,77,871"
07-Jan-2025,"1,490.00","1,510.00","1,487.95","1,497.45","10,45,516"
06-Jan-2025,"1,500.00","1,509.25","1,479.50","1,491.40","9,81,443"
03-Jan-2025,"1,539.00","1,539.00","1,505.10","1,511.25","15,81,838"
02-Jan-2025,"1,534.90","1,543.45","1,527.25","1,537.90","14,48,048"
01-Jan-2025,"1,531.95","1,547.85","1,518.70","1,529.10","15,78,715"
31-Dec-2024,"1,517.90","1,535.95","1,514.60","1,529.00","16,64,122"
30-Dec-2024,"1,509.00","1,526.70","1,495.10","1,521.40","15,01,086"
27-Dec-2024,"1,488.60","1,512.75","1,484.00","1,506.60","14,46,303"
26-Dec-2024,"1,475.75","1,494.95","1,466.25","1,490.55","12,54,464"
24-Dec-2024,"1,476.00","1,487.60","1,461.30","1,475.75","9,09,994"
23-Dec-2024,"1,473.95","1,491.00","1,458.80","1,476.05","7,60,728"
20-Dec-2024,"1,506.55","1,506.60","1,469.05","1,472.05","21,96,991"
19-Dec-2024,"1,450.00","1,510.05","1,449.90","1,506.55","34,26,222"
18-Dec-2024,"1,455.00","1,482.95","1,453.20","1,472.40","24,99,842"
17-Dec-2024,"1,470.00","1,483.00","1,448.00","1,450.85","35,00,888"
16-Dec-2024,"1,448.00","1,457.55","1,436.10","1,448.45","20,76,469"
13-Dec-2024,"1,445.10","1,449.50","1,423.80","1,447.30","13,18,852"
12-Dec-2024,"1,460.00","1,461.35","1,438.60","1,445.40","26,51,833"
11-Dec-2024,"1,456.10","1,467.90","1,448.00","1,454.10","24,48,702"
10-Dec-2024,"1,476.95","1,479.00","1,452.30","1,455.20","33,97,465"
09-Dec-2024,"1,480.00","1,484.75","1,467.30","1,469.00","21,44,057"
06-Dec-2024,"1,513.25","1,513.25","1,476.00","1,477.40","37,68,932"
05-Dec-2024,"1,507.00","1,507.00","1,470.10","1,498.25","40,84,059"
04-Dec-2024,"1,530.00","1,536.75","1,492.25","1,500.85","29,71,135"
03-Dec-2024,"1,517.05","1,549.40","1,508.50","1,533.90","19,51,182"
02-Dec-2024,"1,532.00","1,548.50","1,504.30","1,507.70","53,28,936"
29-Nov-2024,"1,490.00","1,547.70","1,490.00","1,533.90","32,56,635"
28-Nov-2024,"1,485.10","1,505.00","1,473.90","1,492.75","43,58,321"
27-Nov-2024,"1,487.10","1,502.00","1,468.50","1,491.15","16,76,606"
26-Nov-2024,"1,515.00","1,515.00","1,490.05","1,492.70","8,73,585"
25-Nov-2024,"1,495.90","1,507.50","1,487.50","1,503.30","24,53,548"
22-Nov-2024,"1,466.00","1,496.15","1,460.05","1,486.50","7,04,859"
21-Nov-2024,"1,470.00","1,478.10","1,453.85","1,465.50","13,63,706"
19-Nov-2024,"1,465.00","1,485.85","1,456.85","1,471.55","11,16,002"
18-Nov-2024,"1,497.50","1,505.15","1,460.85","1,465.25","17,60,344"
14-Nov-2024,"1,497.00","1,517.00","1,490.25","1,499.75","14,69,143"
13-Nov-2024,"1,516.50","1,525.90","1,501.20","1,505.60","15,52,443"
12-Nov-2024,"1,551.05","1,556.95","1,521.95","1,525.15","27,82,808"
11-Nov-2024,"1,590.10","1,599.75","1,544.50","1,552.80","17,25,382"
08-Nov-2024,"1,575.10","1,597.75","1,568.70","1,592.60","17,18,495"
07-Nov-2024,"1,600.00","1,602.00","1,558.55","1,576.15","15,12,145"
06-Nov-2024,"1,610.20","1,612.35","1,581.00","1,594.05","20,74,821"
05-Nov-2024,"1,583.60","1,609.95","1,577.65","1,601.20","22,38,168"
04-Nov-2024,"1,584.00","1,602.95","1,563.00","1,584.60","41,90,449"
01-Nov-2024,"1,565.10","1,573.45","1,551.75","1,559.55","5,38,362"
31-Oct-2024,"1,560.05","1,565.95","1,518.05","1,551.75","1,74,47,689"
