Date,Open,High,Low,Close,Volume
11-Mar-2025,371.0,380.0,368.0,379.05,"53,40,552"
10-Mar-2025,380.7,386.6,374.05,375.15,"55,41,001"
07-Mar-2025,382.6,389.6,379.4,380.65,"83,21,771"
06-Mar-2025,370.05,384.15,368.1,382.6,"1,12,47,215"
05-Mar-2025,362.05,368.9,362.05,368.25,"57,30,797"
04-Mar-2025,356.1,366.5,352.6,363.85,"55,35,218"
03-Mar-2025,370.0,371.0,352.4,360.35,"1,26,75,744"
28-Feb-2025,366.8,375.75,365.3,369.35,"2,18,99,478"
27-Feb-2025,359.0,367.8,356.15,363.85,"61,96,610"
25-Feb-2025,364.0,365.4,358.7,361.15,"45,25,493"
24-Feb-2025,368.05,368.5,361.15,364.8,"45,33,486"
21-Feb-2025,367.55,371.2,365.3,369.95,"52,35,241"
20-Feb-2025,360.0,369.45,360.0,367.95,"46,24,287"
19-Feb-2025,360.0,365.3,358.0,362.3,"30,97,726"
18-Feb-2025,360.25,362.35,353.8,361.1,"38,43,725"
17-Feb-2025,354.2,362.0,349.25,360.1,"60,17,586"
14-Feb-2025,363.9,365.0,350.5,354.2,"44,64,446"
13-Feb-2025,362.0,367.55,358.6,361.65,"37,12,240"
12-Feb-2025,359.9,361.8,351.55,360.35,"45,65,992"
11-Feb-2025,370.0,370.5,357.5,359.0,"68,03,431"
10-Feb-2025,377.0,379.85,369.0,370.5,"33,80,494"
07-Feb-2025,379.5,383.0,376.0,378.25,"30,06,598"
06-Feb-2025,382.8,384.65,377.2,379.6,"46,52,107"
05-Feb-2025,378.0,385.1,377.9,382.85,"59,14,200"
04-Feb-2025,377.5,380.7,374.9,376.55,"46,49,921"
03-Feb-2025,384.0,384.15,366.5,374.0,"76,89,700"
01-Feb-2025,395.9,399.45,379.05,385.3,"70,15,540"
31-Jan-2025,379.5,396.95,374.65,395.9,"1,03,39,434"
30-Jan-2025,381.7,387.35,380.4,385.05,"63,00,164"
29-Jan-2025,372.5,385.0,370.8,379.45,"66,80,927"
28-Jan-2025,376.0,377.6,367.75,370.65,"1,08,66,038"
27-Jan-2025,380.9,383.0,372.75,375.75,"66,45,109"
24-Jan-2025,386.05,392.25,381.7,383.05,"53,51,964"
23-Jan-2025,377.5,388.2,376.2,385.8,"58,44,752"
22-Jan-2025,381.5,383.9,374.65,379.2,"1,06,53,690"
21-Jan-2025,388.0,389.65,381.0,381.55,"2,08,54,879"
20-Jan-2025,389.6,391.0,382.65,387.05,"1,45,97,375"
17-Jan-2025,380.0,389.3,378.55,387.65,"83,80,692"
16-Jan-2025,378.45,381.5,374.8,378.85,"69,23,722"
15-Jan-2025,371.9,381.45,369.3,374.6,"1,11,17,714"
14-Jan-2025,365.0,374.0,363.0,369.25,"56,98,113"
13-Jan-2025,366.1,370.4,361.25,362.9,"86,61,589"
10-Jan-2025,371.4,373.2,364.7,368.5,"48,93,721"
09-Jan-2025,381.55,381.55,370.8,372.2,"62,47,612"
08-Jan-2025,380.05,382.05,376.0,380.35,"74,07,778"
07-Jan-2025,380.55,384.25,376.5,379.8,"65,42,121"
06-Jan-2025,394.05,394.05,377.15,378.75,"87,74,141"
03-Jan-2025,393.0,399.3,389.5,393.65,"71,22,319"
02-Jan-2025,388.4,393.95,384.05,392.95,"75,38,972"
01-Jan-2025,383.55,388.15,382.5,386.4,"35,84,876"
31-Dec-2024,377.9,384.7,376.1,384.15,"76,86,615"
30-Dec-2024,380.5,382.3,375.7,377.9,"2,23,28,728"
27-Dec-2024,387.5,388.45,379.55,380.5,"59,09,271"
26-Dec-2024,386.4,390.3,385.05,386.6,"41,90,081"
24-Dec-2024,384.85,386.75,381.4,384.5,"42,42,999"
23-Dec-2024,386.0,388.6,382.4,382.95,"51,63,415"
20-Dec-2024,393.0,393.7,380.5,382.0,"79,23,854"
19-Dec-2024,390.95,394.5,387.0,391.95,"57,45,829"
18-Dec-2024,403.5,404.8,394.55,395.8,"71,76,597"
17-Dec-2024,410.45,410.95,402.0,402.9,"50,70,262"
16-Dec-2024,410.5,412.85,406.5,410.45,"54,34,635"
13-Dec-2024,409.1,411.25,402.0,410.3,"94,39,175"
12-Dec-2024,416.5,417.85,407.1,409.1,"94,09,378"
11-Dec-2024,416.0,419.65,415.55,416.95,"53,53,413"
10-Dec-2024,415.5,417.2,411.5,414.05,"60,35,289"
09-Dec-2024,418.0,420.95,412.5,414.0,"66,62,023"
06-Dec-2024,420.0,421.5,416.4,417.15,"42,52,732"
05-Dec-2024,418.15,421.25,412.0,418.4,"95,00,273"
04-Dec-2024,422.1,425.9,415.0,416.65,"68,36,472"
03-Dec-2024,425.0,425.5,419.35,422.1,"79,28,558"
02-Dec-2024,418.4,423.4,416.8,421.7,"64,04,844"
29-Nov-2024,415.3,418.0,411.0,416.4,"70,57,742"
28-Nov-2024,420.0,424.9,413.5,415.2,"77,88,912"
27-Nov-2024,420.0,421.0,412.7,417.15,"92,19,932"
26-Nov-2024,418.45,420.0,409.7,411.5,"57,98,977"
25-Nov-2024,421.0,427.45,415.7,417.45,"1,09,03,727"
22-Nov-2024,407.4,415.75,406.4,414.05,"81,55,453"
21-Nov-2024,413.05,413.9,404.15,406.0,"1,41,41,967"
19-Nov-2024,415.95,422.0,410.7,412.25,"62,91,292"
18-Nov-2024,413.95,418.5,411.0,413.35,"73,52,509"
14-Nov-2024,407.2,413.35,402.6,409.75,"87,76,485"
13-Nov-2024,414.0,415.5,405.7,406.9,"71,70,870"
12-Nov-2024,422.5,424.8,412.8,414.05,"65,64,348"
11-Nov-2024,423.0,425.75,417.35,421.55,"72,01,246"
08-Nov-2024,435.35,436.0,421.25,424.05,"99,34,413"
07-Nov-2024,437.8,440.35,434.65,435.35,"58,61,077"
06-Nov-2024,437.8,438.9,431.2,435.8,"91,30,749"
05-Nov-2024,429.1,436.25,427.0,434.9,"1,01,86,343"
04-Nov-2024,458.0,458.15,435.5,443.3,"1,57,20,990"
01-Nov-2024,454.65,459.55,452.35,454.15,"30,95,957"
31-Oct-2024,452.0,454.5,443.2,452.05,"84,75,238"
30-Oct-2024,448.0,455.8,445.0,449.15,"78,18,123"
29-Oct-2024,444.2,446.6,438.8,445.55,"76,80,865"
28-Oct-2024,452.0,458.0,435.25,441.65,"2,13,78,247"
25-Oct-2024,478.1,479.05,459.0,461.1,"1,03,30,954"
24-Oct-2024,474.1,483.8,473.05,477.25,"50,45,880"
23-Oct-2024,468.35,476.05,458.95,474.1,"1,06,86,743"
22-Oct-2024,485.0,487.5,467.2,468.35,"86,71,135"
21-Oct-2024,492.0,494.75,482.35,485.4,"47,37,527"
18-Oct-2024,488.0,493.75,483.35,492.2,"45,73,163"
17-Oct-2024,495.75,497.25,487.2,489.9,"43,34,990"
16-Oct-2024,495.0,499.4,492.9,495.75,"80,00,451"
15-Oct-2024,498.3,499.35,490.05,494.45,"42,79,311"
14-Oct-2024,494.95,502.45,492.95,498.3,"53,69,297"
11-Oct-2024,487.5,493.9,487.45,492.95,"43,64,566"
10-Oct-2024,488.7,493.95,486.05,488.1,"47,00,891"
09-Oct-2024,492.0,496.0,485.65,486.95,"68,74,313"
08-Oct-2024,480.8,492.75,476.45,491.85,"60,49,075"
07-Oct-2024,498.1,500.55,475.35,480.45,"89,40,891"
04-Oct-2024,499.6,504.65,494.05,497.2,"71,70,285"
03-Oct-2024,499.5,509.9,499.5,502.35,"1,12,85,134"
01-Oct-2024,512.0,516.0,506.15,508.5,"47,43,517"
30-Sep-2024,513.0,513.45,502.5,510.15,"88,81,502"
27-Sep-2024,506.55,517.85,504.9,516.1,"1,54,43,031"
26-Sep-2024,506.0,507.45,500.05,506.55,"68,77,039"
25-Sep-2024,506.5,507.0,502.0,505.3,"50,59,851"
24-Sep-2024,505.0,506.65,501.55,504.3,"73,06,001"
23-Sep-2024,493.5,502.5,490.5,500.6,"61,23,879"
20-Sep-2024,480.95,498.0,480.3,490.95,"1,29,82,128"
19-Sep-2024,489.0,491.6,476.25,477.95,"1,00,14,450"
18-Sep-2024,489.8,493.6,486.15,487.1,"65,27,832"
17-Sep-2024,493.25,494.8,487.65,488.5,"50,63,902"
16-Sep-2024,492.5,494.9,487.35,493.25,"52,44,657"
13-Sep-2024,497.0,497.85,489.5,490.25,"80,93,877"
12-Sep-2024,487.0,497.25,482.25,495.65,"1,20,58,489"
11-Sep-2024,492.85,493.55,481.95,483.95,"81,34,497"
10-Sep-2024,487.3,492.0,481.8,491.1,"98,09,547"
09-Sep-2024,488.0,488.5,478.05,484.45,"1,01,89,742"
06-Sep-2024,499.0,499.0,481.05,488.55,"1,31,10,103"
05-Sep-2024,507.5,507.5,495.15,497.0,"1,08,30,621"
04-Sep-2024,516.85,516.85,500.55,503.65,"1,67,83,593"
03-Sep-2024,521.0,523.6,518.25,519.6,"55,26,155"
02-Sep-2024,527.0,529.0,517.65,520.85,"63,70,038"
30-Aug-2024,530.0,537.0,522.0,524.95,"3,09,21,282"
29-Aug-2024,526.35,530.0,516.1,527.55,"91,47,836"
28-Aug-2024,533.9,535.55,525.45,526.35,"60,66,259"
27-Aug-2024,539.1,541.7,530.0,531.4,"78,65,530"
26-Aug-2024,542.0,543.55,534.7,538.1,"71,93,307"
23-Aug-2024,528.95,541.15,528.85,538.85,"1,25,66,904"
22-Aug-2024,534.0,535.45,526.8,528.85,"85,31,700"
21-Aug-2024,526.5,535.25,524.4,532.2,"90,67,794"
20-Aug-2024,524.35,528.45,521.05,524.6,"81,91,127"
19-Aug-2024,513.8,523.45,513.15,522.0,"1,07,37,456"
16-Aug-2024,507.7,515.75,502.5,512.3,"73,13,429"
14-Aug-2024,522.9,527.9,499.05,504.7,"1,47,66,889"
13-Aug-2024,525.0,529.9,520.0,521.75,"52,01,294"
12-Aug-2024,529.0,530.5,523.3,523.95,"52,38,736"
09-Aug-2024,530.0,531.35,521.85,529.8,"64,68,264"
08-Aug-2024,534.0,535.0,521.25,523.45,"1,36,24,148"
07-Aug-2024,507.7,532.8,507.7,531.5,"1,82,93,730"
06-Aug-2024,508.1,517.2,498.0,499.6,"71,42,269"
05-Aug-2024,515.0,515.0,497.55,506.8,"1,18,35,031"
02-Aug-2024,534.0,537.2,522.3,524.5,"1,09,85,150"
01-Aug-2024,535.0,542.25,528.0,540.4,"3,47,63,894"
31-Jul-2024,523.45,525.4,510.5,522.2,"1,19,72,565"
30-Jul-2024,512.15,525.6,509.95,519.35,"1,31,97,520"
29-Jul-2024,514.5,515.7,507.5,512.15,"72,59,754"
26-Jul-2024,498.25,511.7,498.25,509.85,"2,04,37,968"
25-Jul-2024,491.0,503.55,484.0,494.0,"1,02,81,157"
24-Jul-2024,486.7,499.4,485.1,493.8,"68,23,248"
23-Jul-2024,494.0,495.8,464.55,487.0,"1,13,11,831"
22-Jul-2024,488.0,496.0,483.55,491.2,"72,81,653"
19-Jul-2024,505.3,506.4,486.75,488.0,"99,71,704"
18-Jul-2024,515.35,515.8,501.25,505.25,"1,25,40,956"
16-Jul-2024,498.0,518.4,498.0,512.45,"2,31,69,665"
15-Jul-2024,500.0,503.6,492.55,497.75,"71,06,020"
12-Jul-2024,504.0,508.6,495.5,496.2,"81,98,389"
11-Jul-2024,492.0,506.0,488.55,500.05,"2,01,46,927"
10-Jul-2024,493.8,494.9,480.55,490.75,"59,81,477"
09-Jul-2024,496.95,496.95,491.1,493.8,"64,44,684"
08-Jul-2024,492.7,496.0,487.2,493.3,"74,77,292"
05-Jul-2024,489.5,493.3,486.9,491.5,"57,54,517"
04-Jul-2024,488.75,492.8,485.3,489.55,"77,96,954"
03-Jul-2024,481.9,487.65,479.4,484.95,"72,44,652"
02-Jul-2024,478.0,485.0,473.35,479.1,"1,46,29,287"
01-Jul-2024,473.35,476.3,471.25,474.8,"85,79,861"
28-Jun-2024,470.0,476.0,468.0,473.15,"83,02,706"
