Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,117.00","1,126.95","1,110.65","1,116.65","8,84,438"
10-Mar-2025,"1,134.95","1,137.15","1,115.40","1,120.20","9,50,503"
07-Mar-2025,"1,140.10","1,145.20","1,130.00","1,133.25","7,90,599"
06-Mar-2025,"1,135.00","1,145.70","1,118.65","1,140.10","16,48,697"
05-Mar-2025,"1,120.50","1,129.00","1,110.55","1,126.40","12,60,157"
04-Mar-2025,"1,111.10","1,124.15","1,105.05","1,120.15","10,74,133"
03-Mar-2025,"1,118.35","1,130.25","1,103.90","1,119.60","18,10,605"
28-Feb-2025,"1,128.70","1,132.00","1,104.55","1,116.50","38,95,033"
27-Feb-2025,"1,128.50","1,136.35","1,115.00","1,125.55","34,35,069"
25-Feb-2025,"1,167.15","1,169.55","1,122.50","1,128.15","64,63,238"
24-Feb-2025,"1,151.80","1,173.90","1,151.00","1,164.55","20,17,521"
21-Feb-2025,"1,170.70","1,170.75","1,145.25","1,151.80","68,28,902"
20-Feb-2025,"1,164.50","1,174.15","1,156.25","1,170.95","15,79,890"
19-Feb-2025,"1,166.00","1,176.95","1,127.50","1,165.85","30,62,142"
18-Feb-2025,"1,198.95","1,204.95","1,182.00","1,197.40","17,13,796"
17-Feb-2025,"1,196.85","1,202.00","1,183.15","1,198.95","6,13,030"
14-Feb-2025,"1,223.50","1,230.00","1,186.25","1,197.05","12,11,843"
13-Feb-2025,"1,216.90","1,243.00","1,216.90","1,223.60","44,47,231"
12-Feb-2025,"1,218.00","1,220.40","1,202.85","1,215.85","13,06,601"
11-Feb-2025,"1,220.00","1,222.90","1,201.25","1,209.80","18,19,297"
10-Feb-2025,"1,239.70","1,239.70","1,211.05","1,220.95","15,65,579"
07-Feb-2025,"1,240.00","1,243.75","1,226.00","1,240.40","12,36,992"
06-Feb-2025,"1,234.90","1,254.00","1,230.20","1,236.65","29,90,483"
05-Feb-2025,"1,227.00","1,233.10","1,215.85","1,227.55","14,60,238"
04-Feb-2025,"1,207.00","1,233.00","1,201.45","1,219.95","22,39,920"
03-Feb-2025,"1,200.00","1,220.00","1,196.80","1,203.85","14,07,877"
01-Feb-2025,"1,220.40","1,220.40","1,200.10","1,204.95","10,67,956"
31-Jan-2025,"1,202.00","1,221.00","1,196.00","1,217.35","15,05,147"
30-Jan-2025,"1,188.00","1,204.80","1,184.00","1,194.50","32,90,757"
29-Jan-2025,"1,187.40","1,192.45","1,173.50","1,181.20","34,58,251"
28-Jan-2025,"1,197.65","1,197.65","1,164.65","1,181.25","31,42,189"
27-Jan-2025,"1,224.40","1,234.35","1,191.50","1,197.65","21,84,847"
24-Jan-2025,"1,229.95","1,252.65","1,203.50","1,224.40","70,82,467"
23-Jan-2025,"1,289.00","1,303.95","1,274.55","1,289.40","14,48,659"
22-Jan-2025,"1,291.00","1,308.00","1,288.00","1,296.25","13,01,422"
21-Jan-2025,"1,302.35","1,312.95","1,285.65","1,288.15","7,38,787"
20-Jan-2025,"1,308.35","1,309.00","1,293.65","1,302.35","5,61,642"
17-Jan-2025,"1,298.00","1,320.70","1,288.00","1,309.40","14,32,206"
16-Jan-2025,"1,340.90","1,347.00","1,297.00","1,302.75","11,95,731"
15-Jan-2025,"1,345.00","1,345.00","1,313.95","1,337.20","19,40,371"
14-Jan-2025,"1,335.15","1,348.85","1,323.65","1,337.55","13,70,223"
13-Jan-2025,"1,354.05","1,354.15","1,330.20","1,335.10","28,22,318"
10-Jan-2025,"1,366.10","1,386.00","1,352.60","1,354.40","15,82,776"
09-Jan-2025,"1,380.00","1,382.95","1,364.10","1,371.60","16,07,980"
08-Jan-2025,"1,369.50","1,405.90","1,358.00","1,370.75","34,56,684"
07-Jan-2025,"1,352.00","1,373.05","1,347.50","1,351.55","17,23,188"
06-Jan-2025,"1,360.40","1,361.30","1,333.80","1,350.35","15,39,970"
03-Jan-2025,"1,375.05","1,378.15","1,347.20","1,352.65","15,73,592"
02-Jan-2025,"1,371.45","1,387.95","1,370.05","1,375.05","17,26,305"
01-Jan-2025,"1,388.45","1,389.05","1,355.35","1,369.00","16,58,723"
31-Dec-2024,"1,370.30","1,395.00","1,366.55","1,388.50","18,92,083"
30-Dec-2024,"1,389.60","1,392.00","1,372.10","1,376.90","24,62,657"
27-Dec-2024,"1,363.05","1,398.25","1,345.50","1,389.45","36,56,253"
26-Dec-2024,"1,350.90","1,360.20","1,342.75","1,355.15","15,31,359"
24-Dec-2024,"1,347.00","1,365.00","1,336.20","1,350.90","25,87,142"
23-Dec-2024,"1,362.00","1,367.00","1,330.30","1,341.35","37,40,109"
20-Dec-2024,"1,326.00","1,368.70","1,317.40","1,343.65","74,99,087"
19-Dec-2024,"1,275.00","1,331.35","1,271.65","1,325.60","71,85,903"
18-Dec-2024,"1,251.90","1,281.00","1,249.55","1,275.40","28,23,838"
17-Dec-2024,"1,269.00","1,270.95","1,243.25","1,247.65","27,06,166"
16-Dec-2024,"1,246.35","1,274.15","1,245.20","1,269.95","19,20,945"
13-Dec-2024,"1,240.30","1,250.20","1,226.45","1,246.35","12,58,819"
12-Dec-2024,"1,244.80","1,250.20","1,226.35","1,245.40","16,48,944"
11-Dec-2024,"1,240.30","1,243.40","1,226.70","1,238.55","11,78,864"
10-Dec-2024,"1,250.00","1,253.60","1,233.00","1,240.35","20,25,890"
09-Dec-2024,"1,254.65","1,261.80","1,243.25","1,255.15","12,69,332"
06-Dec-2024,"1,246.00","1,255.15","1,236.35","1,253.70","17,17,216"
05-Dec-2024,"1,216.55","1,249.50","1,210.10","1,239.85","33,24,867"
04-Dec-2024,"1,224.50","1,229.10","1,209.60","1,215.55","14,35,443"
03-Dec-2024,"1,229.00","1,229.00","1,217.55","1,224.50","22,37,453"
02-Dec-2024,"1,214.25","1,225.25","1,202.30","1,221.75","18,26,479"
29-Nov-2024,"1,206.00","1,219.35","1,198.65","1,202.30","25,35,820"
28-Nov-2024,"1,209.05","1,209.90","1,188.45","1,191.95","28,19,269"
27-Nov-2024,"1,212.00","1,215.60","1,198.05","1,199.90","14,02,977"
26-Nov-2024,"1,209.00","1,218.35","1,203.20","1,208.65","11,90,121"
25-Nov-2024,"1,233.95","1,247.00","1,205.75","1,209.30","32,80,431"
22-Nov-2024,"1,199.00","1,223.20","1,193.60","1,214.45","7,63,755"
21-Nov-2024,"1,174.90","1,206.70","1,172.50","1,195.35","21,21,476"
19-Nov-2024,"1,193.00","1,232.00","1,186.25","1,213.45","15,09,716"
18-Nov-2024,"1,206.10","1,219.80","1,170.20","1,193.55","33,67,815"
14-Nov-2024,"1,249.90","1,253.00","1,222.20","1,226.70","13,46,891"
13-Nov-2024,"1,258.00","1,265.05","1,238.30","1,245.00","9,95,217"
12-Nov-2024,"1,287.85","1,288.40","1,258.30","1,263.90","11,10,785"
11-Nov-2024,"1,284.00","1,295.25","1,262.15","1,287.90","11,75,591"
08-Nov-2024,"1,292.80","1,293.00","1,259.15","1,283.65","13,28,199"
07-Nov-2024,"1,304.95","1,309.00","1,280.55","1,287.35","14,79,152"
06-Nov-2024,"1,274.00","1,321.90","1,251.60","1,302.10","39,08,554"
05-Nov-2024,"1,265.10","1,279.00","1,241.25","1,272.20","16,03,920"
04-Nov-2024,"1,259.60","1,276.90","1,250.55","1,268.30","17,71,490"
01-Nov-2024,"1,280.00","1,289.00","1,201.80","1,259.60","5,40,201"
31-Oct-2024,"1,258.60","1,283.65","1,248.00","1,274.20","19,02,206"
30-Oct-2024,"1,273.00","1,273.00","1,228.80","1,249.85","20,65,575"
29-Oct-2024,"1,327.00","1,335.40","1,263.50","1,274.70","14,43,741"
28-Oct-2024,"1,320.00","1,325.90","1,290.25","1,311.50","8,29,374"
25-Oct-2024,"6,570.00","6,582.00","6,450.10","6,514.70","2,57,166"
24-Oct-2024,"6,644.00","6,644.00","6,569.20","6,582.70","3,17,461"
23-Oct-2024,"6,659.35","6,688.10","6,590.00","6,607.90","3,09,772"
22-Oct-2024,"6,727.00","6,755.00","6,632.30","6,662.40","3,80,997"
