Date,Open,High,Low,Close,Volume
11-Mar-2025,"4,950.00","5,010.00","4,912.05","4,985.55","2,28,128"
10-Mar-2025,"5,123.00","5,130.00","4,970.65","4,990.55","3,16,750"
07-Mar-2025,"5,094.40","5,131.40","5,073.00","5,100.70","5,90,548"
06-Mar-2025,"4,995.60","5,107.10","4,995.60","5,094.40","6,48,307"
05-Mar-2025,"4,808.00","5,004.00","4,780.90","4,988.30","5,51,830"
04-Mar-2025,"4,887.00","4,887.00","4,788.30","4,815.10","6,38,281"
03-Mar-2025,"4,827.00","4,928.00","4,827.00","4,906.60","5,03,560"
28-Feb-2025,"4,910.05","4,931.95","4,755.00","4,773.60","10,76,243"
27-Feb-2025,"4,960.50","5,000.00","4,889.85","4,935.50","5,61,804"
25-Feb-2025,"5,028.00","5,075.00","4,978.05","4,989.80","4,02,917"
24-Feb-2025,"4,936.00","5,049.90","4,915.55","5,010.80","4,10,180"
21-Feb-2025,"4,888.00","4,982.90","4,855.00","4,962.45","3,24,027"
20-Feb-2025,"4,780.00","4,899.00","4,777.00","4,888.40","2,77,284"
19-Feb-2025,"4,700.00","4,821.00","4,677.05","4,810.60","2,75,722"
18-Feb-2025,"4,769.00","4,772.50","4,684.45","4,719.40","2,54,026"
17-Feb-2025,"4,700.00","4,755.00","4,646.00","4,745.20","2,32,211"
14-Feb-2025,"4,831.10","4,850.00","4,686.05","4,703.35","4,76,473"
13-Feb-2025,"4,850.65","4,907.05","4,790.00","4,820.40","5,71,526"
12-Feb-2025,"4,950.00","5,000.00","4,834.40","4,849.45","8,13,864"
11-Feb-2025,"5,138.85","5,139.50","4,954.95","4,972.35","22,72,410"
10-Feb-2025,"5,400.00","5,444.90","5,307.40","5,335.35","6,31,815"
07-Feb-2025,"5,368.65","5,399.00","5,320.05","5,372.55","6,04,384"
06-Feb-2025,"5,428.10","5,445.05","5,330.90","5,342.00","3,61,000"
05-Feb-2025,"5,450.00","5,470.00","5,351.00","5,417.20","4,42,234"
04-Feb-2025,"5,536.55","5,554.15","5,442.00","5,450.10","5,91,631"
03-Feb-2025,"5,575.00","5,575.50","5,406.90","5,485.25","13,30,533"
01-Feb-2025,"5,214.80","5,423.05","5,130.10","5,390.15","6,09,534"
31-Jan-2025,"5,165.00","5,244.00","5,145.00","5,194.30","3,94,118"
30-Jan-2025,"5,182.90","5,268.00","5,140.05","5,164.35","4,80,830"
29-Jan-2025,"5,080.55","5,235.00","5,080.55","5,182.90","3,57,310"
28-Jan-2025,"5,160.00","5,194.00","5,090.00","5,105.40","6,03,950"
27-Jan-2025,"5,190.00","5,208.00","5,115.60","5,144.50","4,18,597"
24-Jan-2025,"5,134.00","5,224.50","5,115.05","5,206.30","7,30,641"
23-Jan-2025,"4,996.60","5,158.00","4,977.80","5,116.20","4,42,186"
22-Jan-2025,"4,980.00","5,025.00","4,953.20","5,009.70","4,94,734"
21-Jan-2025,"5,032.35","5,080.00","4,960.00","4,969.95","4,16,551"
20-Jan-2025,"5,012.35","5,038.45","4,930.00","5,016.75","2,55,315"
17-Jan-2025,"5,005.00","5,075.40","4,998.05","5,012.30","1,97,564"
