Date,Open,High,Low,Close,Volume
11-Mar-2025,"2,372.00","2,425.00","2,363.95","2,413.55","4,45,250"
10-Mar-2025,"2,407.25","2,425.00","2,373.30","2,383.95","6,50,796"
07-Mar-2025,"2,380.00","2,415.00","2,380.00","2,407.25","3,17,388"
06-Mar-2025,"2,401.65","2,415.00","2,353.50","2,393.65","7,54,593"
05-Mar-2025,"2,404.00","2,408.95","2,376.35","2,391.65","7,55,361"
04-Mar-2025,"2,356.00","2,404.20","2,351.60","2,394.65","5,21,061"
03-Mar-2025,"2,328.50","2,382.90","2,317.90","2,377.45","7,90,068"
28-Feb-2025,"2,347.15","2,361.75","2,301.65","2,306.65","11,53,007"
27-Feb-2025,"2,373.00","2,379.30","2,317.10","2,339.95","10,45,684"
25-Feb-2025,"2,392.00","2,403.50","2,367.10","2,379.30","4,97,013"
24-Feb-2025,"2,412.00","2,420.00","2,381.00","2,393.70","5,43,080"
21-Feb-2025,"2,440.00","2,453.35","2,401.05","2,431.05","5,04,415"
20-Feb-2025,"2,451.00","2,477.95","2,443.25","2,453.70","4,27,274"
19-Feb-2025,"2,448.00","2,481.50","2,446.30","2,463.20","2,89,053"
18-Feb-2025,"2,480.00","2,482.95","2,412.80","2,463.20","5,96,040"
17-Feb-2025,"2,431.30","2,471.15","2,405.55","2,463.85","6,46,841"
14-Feb-2025,"2,499.00","2,507.75","2,405.50","2,431.30","6,77,910"
13-Feb-2025,"2,481.00","2,532.95","2,474.15","2,490.10","7,08,830"
12-Feb-2025,"2,479.00","2,498.90","2,433.75","2,484.95","4,54,023"
11-Feb-2025,"2,460.00","2,542.00","2,456.05","2,491.45","17,10,410"
10-Feb-2025,"2,485.00","2,491.00","2,438.10","2,473.25","7,17,668"
07-Feb-2025,"2,504.00","2,522.75","2,466.45","2,487.60","7,38,201"
06-Feb-2025,"2,499.00","2,508.30","2,475.90","2,499.00","5,95,946"
05-Feb-2025,"2,499.00","2,499.90","2,474.30","2,490.00","4,64,164"
04-Feb-2025,"2,465.00","2,491.80","2,446.50","2,484.70","3,37,002"
03-Feb-2025,"2,418.00","2,479.75","2,418.00","2,473.65","4,27,217"
01-Feb-2025,"2,500.00","2,514.05","2,429.40","2,440.75","4,32,668"
31-Jan-2025,"2,491.70","2,518.30","2,475.80","2,508.85","4,31,982"
30-Jan-2025,"2,458.70","2,508.55","2,446.50","2,491.70","3,97,046"
29-Jan-2025,"2,403.00","2,464.00","2,397.00","2,453.65","2,00,039"
28-Jan-2025,"2,458.00","2,459.95","2,399.80","2,411.30","7,40,041"
27-Jan-2025,"2,475.50","2,484.40","2,430.40","2,458.05","4,58,264"
24-Jan-2025,"2,466.35","2,514.05","2,453.45","2,490.75","15,10,105"
23-Jan-2025,"2,388.00","2,475.75","2,365.40","2,461.15","5,96,720"
22-Jan-2025,"2,380.95","2,396.45","2,370.30","2,388.15","3,36,546"
21-Jan-2025,"2,404.90","2,426.50","2,361.65","2,367.50","3,16,019"
20-Jan-2025,"2,380.05","2,410.65","2,373.00","2,402.00","6,81,711"
17-Jan-2025,"2,363.10","2,387.25","2,348.65","2,375.85","4,43,089"
16-Jan-2025,"2,330.00","2,359.75","2,313.15","2,350.70","13,95,232"
15-Jan-2025,"2,326.90","2,349.75","2,296.75","2,317.55","5,83,299"
14-Jan-2025,"2,308.00","2,330.45","2,294.15","2,310.60","8,65,382"
13-Jan-2025,"2,329.95","2,348.20","2,276.95","2,288.15","4,22,845"
10-Jan-2025,"2,400.00","2,424.90","2,352.20","2,364.10","4,13,994"
09-Jan-2025,"2,435.05","2,438.80","2,396.40","2,410.40","7,66,796"
08-Jan-2025,"2,468.85","2,476.35","2,433.15","2,435.75","5,43,301"
07-Jan-2025,"2,460.60","2,497.00","2,456.60","2,467.25","4,95,162"
06-Jan-2025,"2,517.00","2,527.95","2,445.75","2,460.55","3,93,162"
03-Jan-2025,"2,541.20","2,553.90","2,501.10","2,510.00","5,95,091"
02-Jan-2025,"2,445.00","2,559.50","2,445.00","2,543.95","9,70,593"
01-Jan-2025,"2,440.00","2,473.85","2,425.95","2,442.15","4,87,637"
31-Dec-2024,"2,430.00","2,447.00","2,413.10","2,442.70","5,30,535"
30-Dec-2024,"2,489.00","2,490.00","2,436.00","2,443.50","7,63,318"
27-Dec-2024,"2,482.05","2,520.60","2,474.90","2,480.30","4,28,996"
26-Dec-2024,"2,500.25","2,518.25","2,472.50","2,482.05","5,59,646"
24-Dec-2024,"2,515.00","2,542.40","2,495.00","2,501.85","3,64,336"
23-Dec-2024,"2,495.70","2,553.70","2,495.00","2,526.20","3,47,378"
20-Dec-2024,"2,530.00","2,563.20","2,479.75","2,488.70","7,34,974"
19-Dec-2024,"2,570.00","2,594.00","2,527.25","2,539.05","5,10,040"
18-Dec-2024,"2,607.00","2,617.90","2,576.25","2,594.15","3,69,646"
17-Dec-2024,"2,685.00","2,685.00","2,595.35","2,599.70","8,87,083"
16-Dec-2024,"2,680.10","2,718.00","2,672.25","2,685.15","3,29,525"
13-Dec-2024,"2,641.00","2,700.00","2,620.50","2,692.70","4,12,267"
12-Dec-2024,"2,683.00","2,683.00","2,639.00","2,660.05","3,76,376"
11-Dec-2024,"2,666.00","2,699.90","2,661.10","2,670.75","3,19,450"
10-Dec-2024,"2,702.90","2,708.00","2,641.10","2,655.30","6,37,387"
