Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,529.95","1,573.95","1,522.60","1,567.85","18,46,190"
10-Mar-2025,"1,557.00","1,572.45","1,547.00","1,549.30","18,55,766"
07-Mar-2025,"1,582.65","1,587.00","1,555.60","1,557.95","20,91,986"
06-Mar-2025,"1,580.00","1,594.70","1,575.15","1,585.45","20,11,489"
05-Mar-2025,"1,532.00","1,581.40","1,531.05","1,572.95","31,12,003"
04-Mar-2025,"1,560.00","1,560.00","1,523.00","1,535.50","32,46,644"
03-Mar-2025,"1,575.05","1,603.40","1,568.45","1,572.40","17,84,684"
28-Feb-2025,"1,612.00","1,614.95","1,562.45","1,575.05","49,10,121"
27-Feb-2025,"1,620.00","1,660.00","1,615.20","1,629.20","22,66,866"
25-Feb-2025,"1,636.00","1,651.95","1,631.25","1,636.10","19,51,519"
24-Feb-2025,"1,685.00","1,690.00","1,637.60","1,644.05","44,55,420"
21-Feb-2025,"1,690.00","1,704.15","1,685.15","1,700.70","12,22,563"
20-Feb-2025,"1,705.20","1,714.55","1,683.55","1,687.55","16,81,532"
19-Feb-2025,"1,723.20","1,731.60","1,703.45","1,712.30","12,94,110"
18-Feb-2025,"1,706.00","1,728.50","1,701.25","1,725.50","15,11,900"
17-Feb-2025,"1,711.25","1,720.15","1,694.10","1,709.90","11,27,023"
14-Feb-2025,"1,711.00","1,723.40","1,699.95","1,711.25","14,60,459"
13-Feb-2025,"1,712.00","1,729.95","1,700.25","1,703.10","18,38,463"
12-Feb-2025,"1,723.90","1,742.40","1,699.15","1,717.30","22,14,307"
11-Feb-2025,"1,742.80","1,749.00","1,715.00","1,723.20","17,02,553"
10-Feb-2025,"1,723.95","1,740.00","1,712.10","1,733.85","18,23,071"
07-Feb-2025,"1,723.15","1,731.00","1,700.65","1,725.65","24,28,098"
06-Feb-2025,"1,723.85","1,728.45","1,712.85","1,723.50","20,57,798"
05-Feb-2025,"1,730.00","1,746.80","1,710.00","1,712.85","26,81,942"
04-Feb-2025,"1,695.10","1,735.90","1,692.05","1,732.55","36,47,768"
03-Feb-2025,"1,665.00","1,700.60","1,661.50","1,692.00","26,59,929"
01-Feb-2025,"1,726.00","1,731.95","1,688.00","1,694.00","5,69,018"
31-Jan-2025,"1,709.05","1,738.20","1,709.05","1,725.45","20,33,832"
30-Jan-2025,"1,722.00","1,732.95","1,697.85","1,713.10","25,43,744"
29-Jan-2025,"1,696.00","1,724.10","1,696.00","1,719.00","37,33,620"
28-Jan-2025,"1,711.95","1,730.50","1,691.00","1,693.25","50,79,829"
27-Jan-2025,"1,775.00","1,779.75","1,707.30","1,711.95","41,74,844"
24-Jan-2025,"1,800.00","1,829.40","1,791.10","1,792.85","31,71,259"
23-Jan-2025,"1,817.05","1,828.95","1,804.20","1,807.00","37,50,930"
22-Jan-2025,"1,808.20","1,831.45","1,804.05","1,827.70","30,09,261"
21-Jan-2025,"1,791.40","1,820.75","1,791.40","1,802.40","40,05,357"
20-Jan-2025,"1,790.10","1,799.00","1,762.60","1,796.20","34,01,004"
17-Jan-2025,"1,773.00","1,793.10","1,750.05","1,788.90","24,24,374"
16-Jan-2025,"1,833.00","1,837.95","1,785.30","1,792.25","53,62,008"
15-Jan-2025,"1,836.00","1,843.55","1,812.55","1,825.70","33,50,594"
14-Jan-2025,"1,936.10","1,939.00","1,797.75","1,813.55","1,58,19,311"
13-Jan-2025,"1,994.90","2,012.20","1,965.40","1,989.40","56,94,121"
10-Jan-2025,"1,936.00","2,002.35","1,935.25","1,995.10","48,02,079"
09-Jan-2025,"1,926.80","1,944.45","1,920.00","1,934.80","27,42,139"
08-Jan-2025,"1,906.30","1,938.50","1,894.55","1,932.25","23,72,138"
07-Jan-2025,"1,960.00","1,981.00","1,908.90","1,915.90","24,94,547"
06-Jan-2025,"1,951.25","1,973.40","1,930.00","1,953.05","17,89,037"
03-Jan-2025,"1,980.00","1,992.10","1,941.00","1,946.65","28,53,344"
02-Jan-2025,"1,911.95","1,976.30","1,910.05","1,972.20","34,87,645"
01-Jan-2025,"1,917.40","1,936.95","1,907.90","1,911.95","8,80,695"
31-Dec-2024,"1,915.20","1,927.80","1,878.55","1,917.40","19,68,650"
30-Dec-2024,"1,888.00","1,968.95","1,865.65","1,928.95","62,62,203"
27-Dec-2024,"1,900.00","1,902.90","1,882.70","1,892.00","13,28,546"
26-Dec-2024,"1,905.60","1,908.90","1,886.30","1,900.75","10,65,107"
24-Dec-2024,"1,908.60","1,923.65","1,889.25","1,896.95","13,10,301"
23-Dec-2024,"1,918.50","1,939.40","1,899.15","1,903.00","20,58,339"
20-Dec-2024,"1,954.60","1,957.65","1,896.40","1,911.35","37,86,921"
19-Dec-2024,"1,910.00","1,946.20","1,910.00","1,934.25","19,16,115"
18-Dec-2024,"1,949.00","1,971.95","1,946.75","1,960.35","34,60,812"
17-Dec-2024,"1,945.30","1,963.20","1,938.00","1,950.60","19,87,909"
16-Dec-2024,"1,970.85","1,980.00","1,950.25","1,954.40","13,71,189"
13-Dec-2024,"1,939.00","1,975.00","1,912.35","1,968.80","25,69,918"
12-Dec-2024,"1,924.95","1,949.00","1,921.50","1,936.20","23,06,173"
11-Dec-2024,"1,926.25","1,934.80","1,916.00","1,930.90","13,87,117"
10-Dec-2024,"1,916.45","1,942.80","1,912.20","1,936.35","26,95,207"
09-Dec-2024,"1,915.00","1,926.05","1,901.00","1,909.90","13,79,520"
06-Dec-2024,"1,926.00","1,939.35","1,915.30","1,922.70","22,50,408"
05-Dec-2024,"1,885.00","1,938.10","1,884.00","1,924.00","38,81,814"
04-Dec-2024,"1,882.00","1,911.00","1,877.60","1,897.65","37,30,643"
03-Dec-2024,"1,884.00","1,896.30","1,872.05","1,890.75","29,54,648"
02-Dec-2024,"1,848.05","1,878.55","1,835.45","1,871.50","20,14,744"
29-Nov-2024,"1,842.00","1,872.30","1,833.95","1,848.05","24,82,280"
28-Nov-2024,"1,885.10","1,900.50","1,835.00","1,840.90","36,31,255"
27-Nov-2024,"1,896.75","1,917.00","1,887.10","1,891.05","16,31,975"
26-Nov-2024,"1,890.10","1,914.95","1,889.15","1,899.55","20,79,873"
25-Nov-2024,"1,919.00","1,919.95","1,878.50","1,891.70","65,31,524"
22-Nov-2024,"1,846.35","1,902.00","1,836.50","1,898.40","27,65,950"
21-Nov-2024,"1,835.00","1,839.55","1,820.20","1,836.35","18,41,245"
19-Nov-2024,"1,837.00","1,865.00","1,817.30","1,820.55","23,54,204"
18-Nov-2024,"1,858.95","1,865.05","1,815.00","1,835.00","24,83,933"
14-Nov-2024,"1,872.00","1,897.00","1,846.35","1,858.95","24,62,563"
13-Nov-2024,"1,866.00","1,879.60","1,859.10","1,864.75","12,54,074"
12-Nov-2024,"1,891.00","1,892.95","1,864.45","1,872.85","27,11,052"
11-Nov-2024,"1,846.70","1,874.00","1,834.00","1,867.30","16,79,869"
08-Nov-2024,"1,838.95","1,854.15","1,828.05","1,837.50","15,21,324"
07-Nov-2024,"1,850.05","1,862.55","1,814.20","1,831.95","21,73,869"
06-Nov-2024,"1,791.10","1,853.00","1,783.00","1,838.40","34,77,029"
05-Nov-2024,"1,769.00","1,783.35","1,761.50","1,773.55","18,18,350"
04-Nov-2024,"1,763.00","1,782.10","1,745.00","1,762.95","28,43,690"
01-Nov-2024,"1,777.00","1,781.30","1,751.00","1,757.40","2,42,223"
31-Oct-2024,"1,840.00","1,843.90","1,756.55","1,766.05","36,16,088"
30-Oct-2024,"1,861.00","1,869.45","1,835.30","1,838.80","17,32,047"
29-Oct-2024,"1,871.75","1,875.90","1,851.20","1,871.75","17,19,955"
28-Oct-2024,"1,845.10","1,876.80","1,845.10","1,871.75","24,18,907"
25-Oct-2024,"1,860.00","1,871.55","1,840.20","1,852.35","40,78,295"
24-Oct-2024,"1,845.00","1,862.95","1,837.70","1,844.90","16,21,637"
23-Oct-2024,"1,793.50","1,865.00","1,793.50","1,845.75","25,22,186"
22-Oct-2024,"1,829.80","1,852.00","1,819.50","1,822.75","20,89,660"
21-Oct-2024,"1,875.30","1,888.50","1,840.00","1,843.60","12,84,980"
18-Oct-2024,"1,867.00","1,873.90","1,843.00","1,857.70","23,66,406"
17-Oct-2024,"1,869.90","1,877.05","1,851.45","1,867.80","23,99,099"
16-Oct-2024,"1,869.00","1,885.00","1,854.05","1,865.25","21,44,442"
15-Oct-2024,"1,830.00","1,882.75","1,829.95","1,870.10","56,96,544"
14-Oct-2024,"1,846.05","1,865.50","1,832.40","1,855.90","17,51,092"
11-Oct-2024,"1,804.00","1,852.80","1,800.65","1,839.65","29,77,110"
10-Oct-2024,"1,820.00","1,839.95","1,797.00","1,808.65","37,53,869"
09-Oct-2024,"1,793.05","1,825.00","1,790.15","1,809.70","24,99,596"
08-Oct-2024,"1,774.00","1,794.00","1,743.00","1,789.45","23,53,030"
07-Oct-2024,"1,784.95","1,804.20","1,767.90","1,776.95","34,19,048"
04-Oct-2024,"1,778.00","1,807.90","1,767.25","1,776.60","29,82,759"
03-Oct-2024,"1,778.00","1,809.30","1,770.00","1,778.55","35,52,386"
01-Oct-2024,"1,790.00","1,822.45","1,790.00","1,816.50","16,42,542"
30-Sep-2024,"1,808.00","1,820.70","1,789.15","1,796.10","21,17,894"
27-Sep-2024,"1,810.00","1,828.55","1,796.55","1,808.40","40,99,016"
26-Sep-2024,"1,782.25","1,808.40","1,778.90","1,783.85","43,03,250"
25-Sep-2024,"1,778.80","1,784.05","1,755.00","1,782.40","22,40,579"
24-Sep-2024,"1,750.00","1,783.50","1,738.35","1,775.60","19,07,389"
23-Sep-2024,"1,764.00","1,764.00","1,732.50","1,752.80","15,41,597"
20-Sep-2024,"1,748.00","1,766.10","1,721.40","1,760.05","46,44,317"
19-Sep-2024,"1,776.00","1,776.00","1,721.50","1,736.50","41,67,373"
18-Sep-2024,"1,808.10","1,808.10","1,740.10","1,756.50","26,29,136"
17-Sep-2024,"1,811.95","1,828.00","1,807.20","1,813.75","8,30,317"
16-Sep-2024,"1,819.00","1,824.25","1,808.20","1,811.85","8,36,199"
13-Sep-2024,"1,805.00","1,820.00","1,795.65","1,812.80","15,99,349"
12-Sep-2024,"1,800.00","1,814.20","1,777.10","1,807.60","33,49,489"
11-Sep-2024,"1,778.20","1,796.85","1,773.70","1,778.75","23,03,930"
10-Sep-2024,"1,749.45","1,789.30","1,747.15","1,779.10","23,07,528"
09-Sep-2024,"1,758.35","1,766.30","1,741.15","1,746.75","14,18,238"
06-Sep-2024,"1,788.00","1,795.75","1,740.05","1,756.10","33,51,716"
05-Sep-2024,"1,792.00","1,797.70","1,767.30","1,790.55","28,78,565"
04-Sep-2024,"1,765.10","1,795.65","1,765.00","1,785.25","26,44,961"
03-Sep-2024,"1,806.00","1,817.15","1,787.05","1,790.45","25,53,290"
02-Sep-2024,"1,764.20","1,812.00","1,760.00","1,806.65","44,45,349"
30-Aug-2024,"1,751.85","1,766.30","1,742.20","1,753.25","47,92,561"
29-Aug-2024,"1,714.00","1,756.00","1,697.25","1,751.85","51,12,407"
28-Aug-2024,"1,712.55","1,737.75","1,693.05","1,719.45","25,16,461"
27-Aug-2024,"1,725.85","1,756.85","1,705.10","1,711.60","35,56,487"
26-Aug-2024,"1,671.00","1,734.00","1,667.10","1,719.45","26,72,708"
23-Aug-2024,"1,676.05","1,685.95","1,657.15","1,661.45","21,58,185"
22-Aug-2024,"1,687.00","1,687.00","1,673.00","1,676.15","17,49,127"
21-Aug-2024,"1,686.00","1,688.85","1,673.75","1,677.25","14,10,370"
20-Aug-2024,"1,680.00","1,695.05","1,669.20","1,686.75","27,86,109"
19-Aug-2024,"1,665.00","1,685.00","1,659.05","1,678.50","16,31,947"
16-Aug-2024,"1,635.00","1,674.00","1,632.70","1,668.25","31,01,056"
14-Aug-2024,"1,600.10","1,629.75","1,598.25","1,626.15","39,32,148"
13-Aug-2024,"1,578.00","1,608.40","1,577.65","1,592.65","19,73,825"
12-Aug-2024,"1,590.00","1,600.50","1,573.85","1,585.25","12,73,739"
09-Aug-2024,"1,584.90","1,602.00","1,575.85","1,589.95","20,21,762"
08-Aug-2024,"1,597.00","1,602.00","1,554.55","1,557.85","23,73,805"
07-Aug-2024,"1,605.00","1,615.00","1,590.00","1,594.60","18,97,787"
06-Aug-2024,"1,563.00","1,605.00","1,563.00","1,582.75","21,38,704"
05-Aug-2024,"1,575.00","1,595.70","1,537.00","1,562.40","32,79,717"
02-Aug-2024,"1,620.05","1,639.00","1,601.15","1,609.30","16,92,851"
01-Aug-2024,"1,640.05","1,655.50","1,636.10","1,640.55","17,85,188"
31-Jul-2024,"1,621.00","1,645.00","1,619.20","1,642.60","19,84,986"
30-Jul-2024,"1,629.00","1,633.00","1,618.00","1,630.25","17,83,877"
29-Jul-2024,"1,640.20","1,645.00","1,620.00","1,632.35","16,39,491"
26-Jul-2024,"1,602.80","1,640.00","1,594.00","1,635.35","28,14,159"
25-Jul-2024,"1,570.00","1,594.00","1,562.85","1,587.60","29,34,731"
24-Jul-2024,"1,594.00","1,598.00","1,576.85","1,583.70","24,84,299"
23-Jul-2024,"1,574.00","1,600.80","1,551.10","1,598.35","29,07,674"
22-Jul-2024,"1,588.60","1,594.50","1,570.90","1,577.10","27,04,495"
19-Jul-2024,"1,610.50","1,616.45","1,588.60","1,594.55","56,33,838"
18-Jul-2024,"1,558.05","1,599.25","1,557.00","1,594.55","43,99,468"
16-Jul-2024,"1,565.00","1,583.00","1,555.00","1,569.55","35,40,661"
15-Jul-2024,"1,580.00","1,636.40","1,567.40","1,569.60","1,03,37,489"
12-Jul-2024,"1,530.00","1,566.00","1,510.50","1,560.20","64,30,647"
11-Jul-2024,"1,515.00","1,534.00","1,508.05","1,511.90","33,04,053"
10-Jul-2024,"1,531.10","1,532.60","1,487.85","1,509.95","35,07,096"
09-Jul-2024,"1,533.40","1,546.30","1,525.00","1,531.10","26,58,608"
08-Jul-2024,"1,528.00","1,540.00","1,506.20","1,533.40","29,39,620"
05-Jul-2024,"1,523.00","1,529.25","1,505.55","1,519.40","30,61,687"
04-Jul-2024,"1,485.00","1,534.55","1,485.00","1,522.35","68,22,557"
03-Jul-2024,"1,489.00","1,489.00","1,471.20","1,481.00","20,70,876"
02-Jul-2024,"1,475.00","1,492.45","1,473.00","1,480.80","38,11,366"
01-Jul-2024,"1,465.00","1,478.60","1,455.00","1,468.85","37,23,295"
28-Jun-2024,"1,468.00","1,468.70","1,442.00","1,459.60","49,43,575"
27-Jun-2024,"1,435.00","1,460.55","1,423.50","1,454.90","66,13,193"
26-Jun-2024,"1,447.95","1,453.30","1,438.20","1,443.70","19,17,424"
25-Jun-2024,"1,440.95","1,450.10","1,426.45","1,447.95","20,79,037"
24-Jun-2024,"1,437.85","1,443.95","1,426.60","1,440.85","19,88,692"
21-Jun-2024,"1,462.00","1,481.95","1,439.20","1,447.85","64,89,262"
20-Jun-2024,"1,448.95","1,448.95","1,429.55","1,443.45","31,63,919"
19-Jun-2024,"1,440.05","1,451.90","1,430.30","1,445.85","31,17,522"
18-Jun-2024,"1,431.05","1,439.75","1,427.05","1,437.20","22,23,029"
14-Jun-2024,"1,444.15","1,446.00","1,424.40","1,431.05","30,65,114"
13-Jun-2024,"1,447.75","1,457.70","1,437.10","1,444.15","42,32,861"
12-Jun-2024,"1,472.00","1,472.00","1,434.50","1,438.75","59,90,861"
11-Jun-2024,"1,425.00","1,437.95","1,415.40","1,428.80","22,69,082"
10-Jun-2024,"1,440.00","1,442.00","1,397.50","1,418.75","32,93,739"
07-Jun-2024,"1,407.00","1,438.65","1,398.00","1,431.50","58,84,025"
06-Jun-2024,"1,354.00","1,399.80","1,350.90","1,397.50","59,36,709"
05-Jun-2024,"1,320.00","1,356.90","1,316.10","1,343.70","30,05,139"
04-Jun-2024,"1,325.00","1,325.00","1,235.00","1,303.55","54,47,244"
03-Jun-2024,"1,350.55","1,354.75","1,309.85","1,314.45","53,84,064"
31-May-2024,"1,331.85","1,340.90","1,315.75","1,324.10","1,03,19,045"
30-May-2024,"1,346.00","1,351.55","1,325.10","1,331.85","41,50,461"
29-May-2024,"1,366.00","1,366.60","1,346.95","1,353.10","38,45,920"
28-May-2024,"1,357.85","1,363.30","1,345.60","1,358.40","21,47,233"
27-May-2024,"1,351.00","1,359.60","1,338.00","1,353.30","19,42,325"
24-May-2024,"1,360.00","1,360.00","1,340.85","1,345.20","17,69,966"
23-May-2024,"1,346.65","1,358.45","1,338.00","1,353.55","33,26,149"
22-May-2024,"1,348.95","1,352.90","1,340.00","1,343.05","23,90,777"
21-May-2024,"1,314.00","1,349.85","1,314.00","1,341.90","49,66,721"
18-May-2024,"1,335.05","1,340.00","1,333.05","1,338.90","1,07,491"
17-May-2024,"1,351.00","1,351.00","1,330.20","1,333.20","24,87,831"
16-May-2024,"1,345.00","1,357.80","1,328.50","1,348.15","50,55,915"
15-May-2024,"1,319.25","1,340.30","1,318.25","1,332.90","29,75,965"
14-May-2024,"1,322.00","1,326.95","1,308.70","1,321.05","32,00,462"
13-May-2024,"1,316.20","1,321.90","1,301.65","1,312.90","23,16,566"
10-May-2024,"1,320.10","1,322.90","1,303.60","1,316.20","33,57,203"
09-May-2024,"1,315.00","1,339.00","1,314.50","1,320.05","56,53,762"
08-May-2024,"1,330.95","1,334.00","1,307.30","1,313.65","68,32,455"
07-May-2024,"1,347.95","1,348.90","1,326.15","1,330.95","50,96,525"
06-May-2024,"1,358.00","1,365.00","1,348.50","1,358.80","25,04,082"
03-May-2024,"1,370.00","1,370.00","1,333.55","1,348.05","59,64,228"
02-May-2024,"1,358.00","1,377.90","1,358.00","1,360.70","65,55,505"
30-Apr-2024,"1,376.40","1,397.90","1,362.45","1,366.60","76,06,726"
29-Apr-2024,"1,415.00","1,436.00","1,381.00","1,387.40","1,14,93,223"
26-Apr-2024,"1,516.85","1,531.45","1,464.95","1,473.85","43,28,477"
25-Apr-2024,"1,479.95","1,515.05","1,479.95","1,504.15","45,58,032"
24-Apr-2024,"1,490.00","1,496.95","1,476.30","1,479.25","13,21,471"
23-Apr-2024,"1,474.90","1,501.45","1,471.10","1,486.65","27,83,858"
22-Apr-2024,"1,452.20","1,473.30","1,450.50","1,465.90","19,39,632"
19-Apr-2024,"1,442.00","1,455.50","1,435.00","1,447.50","52,19,506"
18-Apr-2024,"1,477.05","1,480.90","1,452.10","1,466.85","51,80,223"
16-Apr-2024,"1,486.35","1,501.60","1,467.30","1,477.30","24,46,933"
15-Apr-2024,"1,507.10","1,530.50","1,494.00","1,505.05","32,95,684"
12-Apr-2024,"1,537.00","1,542.95","1,516.20","1,521.50","43,19,991"
10-Apr-2024,"1,541.05","1,552.15","1,536.20","1,539.15","18,29,986"
09-Apr-2024,"1,540.00","1,561.80","1,534.55","1,540.50","24,32,095"
08-Apr-2024,"1,554.00","1,554.00","1,537.65","1,540.05","18,20,136"
05-Apr-2024,"1,542.45","1,547.70","1,523.80","1,545.25","27,73,570"
04-Apr-2024,"1,540.80","1,552.50","1,518.70","1,539.65","33,88,449"
03-Apr-2024,"1,525.35","1,558.45","1,518.00","1,535.85","33,43,884"
02-Apr-2024,"1,559.00","1,565.00","1,525.10","1,528.30","20,31,775"
01-Apr-2024,"1,549.00","1,569.00","1,548.00","1,556.70","10,14,857"
28-Mar-2024,"1,549.00","1,561.05","1,531.00","1,543.55","53,01,493"
27-Mar-2024,"1,569.00","1,576.85","1,540.00","1,546.20","25,89,697"
26-Mar-2024,"1,562.25","1,592.55","1,555.55","1,562.25","44,96,344"
22-Mar-2024,"1,560.00","1,571.45","1,508.20","1,557.85","74,68,824"
21-Mar-2024,"1,608.00","1,619.95","1,583.35","1,595.80","26,84,744"
20-Mar-2024,"1,604.75","1,619.10","1,578.10","1,587.10","18,15,178"
19-Mar-2024,"1,641.55","1,641.55","1,594.10","1,599.15","19,15,379"
18-Mar-2024,"1,649.90","1,663.30","1,634.25","1,643.40","11,83,544"
15-Mar-2024,"1,677.00","1,677.00","1,642.85","1,647.30","39,31,561"
14-Mar-2024,"1,634.00","1,683.00","1,610.00","1,679.25","35,13,306"
13-Mar-2024,"1,638.75","1,651.25","1,610.35","1,631.50","25,64,135"
12-Mar-2024,"1,635.90","1,665.00","1,633.05","1,635.60","24,14,182"
11-Mar-2024,"1,655.00","1,659.80","1,632.05","1,638.65","29,70,902"
