Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,682.40","1,694.00","1,670.05","1,685.50","99,49,215"
10-Mar-2025,"1,689.00","1,699.90","1,683.05","1,687.50","78,02,025"
07-Mar-2025,"1,682.00","1,701.15","1,677.60","1,689.25","66,86,457"
06-Mar-2025,"1,687.00","1,699.90","1,672.25","1,691.20","1,64,83,044"
05-Mar-2025,"1,701.95","1,710.80","1,688.25","1,690.00","1,07,91,936"
04-Mar-2025,"1,698.00","1,714.30","1,693.25","1,710.00","99,60,479"
03-Mar-2025,"1,739.80","1,743.05","1,694.10","1,701.55","1,06,02,682"
28-Feb-2025,"1,685.00","1,737.25","1,685.00","1,732.40","2,72,58,364"
27-Feb-2025,"1,682.55","1,710.75","1,682.55","1,700.70","1,78,93,400"
25-Feb-2025,"1,671.10","1,688.00","1,671.10","1,682.35","1,20,69,354"
24-Feb-2025,"1,681.10","1,684.20","1,661.10","1,677.10","1,03,46,823"
21-Feb-2025,"1,680.90","1,694.95","1,677.25","1,692.50","78,40,470"
20-Feb-2025,"1,711.00","1,714.70","1,685.30","1,687.10","1,31,95,255"
19-Feb-2025,"1,717.00","1,737.90","1,712.45","1,727.20","59,42,056"
18-Feb-2025,"1,713.05","1,731.55","1,706.15","1,723.05","81,75,455"
17-Feb-2025,"1,685.20","1,720.00","1,681.25","1,717.35","64,69,473"
14-Feb-2025,"1,701.90","1,701.90","1,680.00","1,694.85","99,79,946"
13-Feb-2025,"1,699.00","1,714.25","1,693.55","1,697.70","63,01,217"
12-Feb-2025,"1,693.00","1,712.00","1,681.20","1,706.80","1,14,04,785"
11-Feb-2025,"1,703.00","1,711.00","1,688.70","1,701.40","1,13,62,352"
10-Feb-2025,"1,717.30","1,723.45","1,708.50","1,715.75","85,97,975"
07-Feb-2025,"1,750.00","1,767.00","1,725.00","1,732.75","1,17,54,800"
06-Feb-2025,"1,735.50","1,749.00","1,724.00","1,743.85","1,33,80,358"
05-Feb-2025,"1,733.00","1,744.20","1,718.90","1,737.80","1,18,37,753"
04-Feb-2025,"1,688.70","1,725.80","1,680.05","1,720.90","1,43,08,251"
03-Feb-2025,"1,670.00","1,686.80","1,663.45","1,678.00","1,01,38,270"
01-Feb-2025,"1,697.50","1,713.00","1,676.05","1,690.95","27,93,764"
31-Jan-2025,"1,687.25","1,704.70","1,683.95","1,698.75","79,10,843"
30-Jan-2025,"1,681.00","1,697.90","1,672.55","1,691.50","1,28,72,423"
29-Jan-2025,"1,675.00","1,681.15","1,668.85","1,677.30","63,09,945"
28-Jan-2025,"1,647.00","1,684.30","1,647.00","1,670.40","1,50,89,656"
27-Jan-2025,"1,641.10","1,643.60","1,626.00","1,629.80","1,14,02,083"
24-Jan-2025,"1,660.00","1,670.30","1,644.50","1,649.80","1,21,18,100"
23-Jan-2025,"1,687.00","1,687.00","1,651.25","1,664.90","1,74,54,579"
22-Jan-2025,"1,642.40","1,671.90","1,625.45","1,666.05","1,53,09,653"
21-Jan-2025,"1,658.25","1,661.05","1,633.05","1,642.40","1,55,79,072"
20-Jan-2025,"1,626.00","1,660.95","1,626.00","1,651.25","87,78,809"
17-Jan-2025,"1,643.50","1,650.50","1,628.50","1,636.75","1,15,56,038"
16-Jan-2025,"1,652.85","1,660.55","1,642.85","1,652.05","1,06,06,227"
15-Jan-2025,"1,656.50","1,662.70","1,636.30","1,643.05","70,11,446"
14-Jan-2025,"1,639.90","1,656.20","1,637.00","1,646.60","1,33,30,716"
13-Jan-2025,"1,640.00","1,646.75","1,624.30","1,630.85","1,08,34,533"
10-Jan-2025,"1,671.00","1,674.90","1,654.00","1,656.75","87,26,640"
09-Jan-2025,"1,684.15","1,689.00","1,658.10","1,667.80","2,02,10,111"
08-Jan-2025,"1,708.25","1,711.65","1,683.35","1,694.30","98,69,095"
07-Jan-2025,"1,715.00","1,721.00","1,700.00","1,713.40","67,63,953"
06-Jan-2025,"1,740.10","1,757.20","1,705.80","1,710.50","94,08,174"
03-Jan-2025,"1,791.00","1,795.25","1,746.30","1,749.20","1,22,13,097"
02-Jan-2025,"1,777.10","1,803.45","1,773.00","1,793.75","92,79,288"
01-Jan-2025,"1,773.45","1,794.00","1,761.10","1,782.75","36,56,903"
31-Dec-2024,"1,770.30","1,781.80","1,765.60","1,772.85","70,58,618"
30-Dec-2024,"1,792.20","1,815.00","1,771.00","1,777.90","1,11,11,109"
27-Dec-2024,"1,794.80","1,805.95","1,789.10","1,798.25","36,29,665"
26-Dec-2024,"1,798.55","1,812.00","1,780.75","1,790.75","52,40,839"
24-Dec-2024,"1,802.05","1,808.70","1,789.55","1,798.10","72,42,917"
23-Dec-2024,"1,782.00","1,806.00","1,781.30","1,801.00","55,22,296"
20-Dec-2024,"1,782.20","1,797.55","1,767.05","1,771.50","1,28,46,174"
19-Dec-2024,"1,799.60","1,801.10","1,779.00","1,793.50","1,26,90,385"
18-Dec-2024,"1,829.85","1,836.00","1,807.15","1,810.70","1,17,11,156"
17-Dec-2024,"1,856.35","1,862.35","1,826.50","1,833.25","1,05,39,766"
16-Dec-2024,"1,865.10","1,869.95","1,855.25","1,865.20","65,53,541"
13-Dec-2024,"1,862.50","1,875.00","1,829.25","1,871.75","95,04,501"
12-Dec-2024,"1,851.00","1,868.65","1,848.70","1,859.25","86,46,895"
11-Dec-2024,"1,861.70","1,871.90","1,856.75","1,863.10","70,22,713"
10-Dec-2024,"1,877.70","1,877.70","1,858.55","1,868.10","66,62,740"
