Date,Open,High,Low,Close,Volume
11-Mar-2025,623.0,637.55,614.65,636.95,"26,77,293"
10-Mar-2025,625.05,633.0,623.0,625.9,"23,16,148"
07-Mar-2025,618.3,633.0,618.15,625.2,"31,69,440"
06-Mar-2025,621.2,628.0,612.6,618.25,"24,91,123"
05-Mar-2025,613.0,625.0,612.0,621.2,"26,61,830"
04-Mar-2025,613.1,620.8,609.3,616.5,"32,62,295"
03-Mar-2025,608.5,620.15,607.0,618.0,"36,24,490"
28-Feb-2025,614.0,616.95,600.35,608.5,"50,13,148"
27-Feb-2025,625.0,627.85,615.0,618.4,"18,31,493"
25-Feb-2025,617.05,623.3,613.1,622.15,"16,06,709"
24-Feb-2025,616.0,621.5,614.5,617.0,"9,83,443"
21-Feb-2025,617.8,623.9,613.45,622.85,"16,27,631"
20-Feb-2025,623.0,630.0,616.3,620.0,"28,81,981"
19-Feb-2025,617.0,624.0,613.8,622.85,"20,07,325"
18-Feb-2025,624.0,626.0,611.35,618.95,"18,87,686"
17-Feb-2025,626.2,627.0,613.95,623.25,"18,60,572"
14-Feb-2025,630.0,633.9,622.5,626.2,"16,93,078"
13-Feb-2025,629.15,640.0,627.65,629.6,"28,08,139"
12-Feb-2025,618.1,636.9,608.15,629.15,"33,78,279"
11-Feb-2025,632.25,634.85,612.95,618.6,"23,27,875"
10-Feb-2025,636.0,640.8,626.75,635.7,"33,94,573"
07-Feb-2025,631.95,637.5,624.55,635.7,"25,38,330"
06-Feb-2025,626.45,638.4,623.15,631.95,"48,37,012"
05-Feb-2025,626.0,639.0,624.7,627.85,"44,67,504"
04-Feb-2025,627.95,628.0,615.4,625.9,"32,44,955"
03-Feb-2025,615.5,630.35,610.0,621.4,"32,93,387"
01-Feb-2025,639.05,667.55,595.25,625.5,"1,00,39,413"
31-Jan-2025,638.0,641.0,630.15,638.05,"10,12,392"
30-Jan-2025,624.7,636.1,624.0,634.15,"28,99,445"
29-Jan-2025,612.0,629.7,605.15,628.35,"20,05,819"
28-Jan-2025,610.95,614.0,600.1,611.55,"26,62,789"
27-Jan-2025,618.0,619.75,606.4,610.2,"17,30,503"
24-Jan-2025,620.55,625.0,613.3,621.1,"17,93,560"
23-Jan-2025,618.0,625.2,612.6,621.0,"16,73,008"
22-Jan-2025,629.0,629.0,612.9,618.2,"22,96,057"
21-Jan-2025,636.0,637.05,622.9,624.0,"18,20,019"
20-Jan-2025,642.0,644.05,630.55,634.05,"19,56,252"
17-Jan-2025,640.0,649.95,633.4,642.2,"36,71,715"
16-Jan-2025,630.1,663.6,628.95,641.4,"2,41,98,675"
15-Jan-2025,604.5,604.5,584.3,594.2,"56,33,587"
14-Jan-2025,605.0,608.05,594.85,600.45,"31,22,102"
13-Jan-2025,607.0,608.45,597.3,599.75,"21,05,862"
10-Jan-2025,610.05,614.9,603.0,608.65,"19,66,939"
09-Jan-2025,616.1,621.1,609.9,612.2,"21,41,675"
08-Jan-2025,620.05,623.25,615.1,618.0,"18,61,556"
07-Jan-2025,606.0,620.7,605.5,619.85,"28,13,892"
06-Jan-2025,627.0,627.0,603.35,605.95,"57,43,310"
03-Jan-2025,619.0,624.05,615.65,623.0,"29,56,679"
02-Jan-2025,617.0,621.1,614.0,620.15,"24,49,967"
01-Jan-2025,615.1,619.5,612.65,617.2,"13,86,549"
31-Dec-2024,617.2,619.15,611.05,617.05,"26,45,522"
30-Dec-2024,620.35,623.9,614.35,617.4,"15,64,417"
27-Dec-2024,626.4,629.4,620.6,621.9,"7,26,298"
26-Dec-2024,619.9,629.45,619.2,626.4,"35,23,864"
24-Dec-2024,622.55,628.05,619.0,622.5,"14,45,089"
23-Dec-2024,625.05,626.45,613.6,622.55,"29,24,609"
20-Dec-2024,619.7,626.5,618.2,623.8,"39,96,244"
19-Dec-2024,618.05,625.0,615.3,623.55,"37,79,968"
18-Dec-2024,623.15,629.8,620.3,624.55,"43,31,195"
17-Dec-2024,634.95,636.35,625.6,626.75,"31,79,067"
16-Dec-2024,632.55,636.4,628.55,634.95,"21,75,242"
13-Dec-2024,625.0,633.9,621.15,632.55,"25,73,194"
12-Dec-2024,636.0,636.8,619.9,626.55,"38,07,072"
11-Dec-2024,634.8,640.6,632.8,634.65,"23,96,993"
10-Dec-2024,641.8,644.45,630.35,633.3,"61,58,405"
09-Dec-2024,637.9,646.35,634.7,641.8,"40,27,169"
06-Dec-2024,645.0,647.45,635.2,636.5,"64,55,327"
05-Dec-2024,650.2,653.5,639.35,643.15,"61,63,444"
04-Dec-2024,635.0,651.0,635.0,650.25,"73,92,523"
03-Dec-2024,646.8,646.8,632.3,634.0,"82,56,858"
02-Dec-2024,650.0,664.0,639.1,640.2,"49,77,558"
29-Nov-2024,670.0,674.1,651.3,657.75,"59,34,406"
28-Nov-2024,682.0,690.15,638.65,657.7,"1,36,25,371"
27-Nov-2024,681.85,689.3,679.3,680.55,"24,22,336"
26-Nov-2024,684.0,693.4,675.0,682.4,"17,67,673"
25-Nov-2024,690.0,695.8,681.4,684.8,"46,22,983"
22-Nov-2024,680.0,691.3,674.15,688.2,"17,88,502"
21-Nov-2024,680.4,680.95,668.85,674.4,"21,94,259"
19-Nov-2024,688.05,693.0,668.3,680.4,"64,38,490"
18-Nov-2024,687.0,693.95,682.5,690.5,"16,66,040"
14-Nov-2024,681.5,696.7,681.5,694.0,"17,15,862"
13-Nov-2024,695.0,698.85,683.15,685.05,"20,80,391"
12-Nov-2024,707.55,719.85,696.1,700.0,"25,02,158"
11-Nov-2024,704.1,711.6,695.8,705.35,"18,88,427"
08-Nov-2024,709.5,719.85,707.0,708.5,"12,72,302"
07-Nov-2024,708.7,713.7,703.3,711.7,"19,35,062"
06-Nov-2024,717.0,718.0,704.35,708.7,"28,78,220"
05-Nov-2024,710.8,726.6,685.4,717.25,"50,36,300"
04-Nov-2024,720.2,727.6,706.1,710.85,"20,47,984"
01-Nov-2024,721.95,726.0,720.15,723.7,"1,98,743"
31-Oct-2024,723.1,726.75,713.15,720.15,"20,28,752"
