Date,Open,High,Low,Close,Volume
11-Mar-2025,"3,579.00","3,663.50","3,552.75","3,650.65","6,18,870"
10-Mar-2025,"3,653.00","3,665.75","3,575.70","3,582.85","6,75,889"
07-Mar-2025,"3,664.00","3,733.70","3,625.00","3,652.50","6,21,576"
06-Mar-2025,"3,629.50","3,658.00","3,582.70","3,648.75","6,54,829"
05-Mar-2025,"3,515.00","3,609.60","3,513.50","3,588.75","6,11,959"
04-Mar-2025,"3,625.00","3,639.90","3,495.00","3,514.85","9,46,922"
03-Mar-2025,"3,644.05","3,715.00","3,617.00","3,630.75","6,91,809"
28-Feb-2025,"3,745.60","3,746.95","3,662.15","3,681.10","9,95,134"
27-Feb-2025,"3,808.15","3,810.30","3,725.25","3,759.55","8,77,741"
25-Feb-2025,"3,877.00","3,883.30","3,817.10","3,828.25","6,61,184"
24-Feb-2025,"3,839.85","3,891.10","3,800.10","3,884.85","2,72,543"
21-Feb-2025,"3,900.00","3,916.85","3,828.65","3,852.60","4,26,337"
20-Feb-2025,"3,864.50","3,938.00","3,855.50","3,909.10","4,38,563"
19-Feb-2025,"3,840.90","3,898.90","3,815.00","3,879.15","4,53,662"
18-Feb-2025,"3,880.00","3,891.90","3,810.00","3,840.50","4,82,022"
17-Feb-2025,"3,845.05","3,886.15","3,757.65","3,876.45","9,13,565"
14-Feb-2025,"3,960.05","3,981.10","3,850.00","3,862.40","4,75,952"
13-Feb-2025,"4,005.00","4,025.10","3,945.10","3,956.55","5,57,075"
12-Feb-2025,"4,007.00","4,066.60","3,955.05","4,015.75","6,19,474"
11-Feb-2025,"4,200.00","4,239.00","4,071.00","4,085.55","5,93,081"
10-Feb-2025,"4,306.30","4,320.95","4,170.10","4,196.45","7,79,450"
07-Feb-2025,"4,319.95","4,319.95","4,215.60","4,274.65","13,44,288"
06-Feb-2025,"4,289.00","4,334.65","4,216.90","4,230.05","5,76,470"
05-Feb-2025,"4,238.00","4,290.00","4,212.60","4,270.40","4,08,928"
04-Feb-2025,"4,324.00","4,350.00","4,220.00","4,237.10","5,54,233"
