Date,Open,High,Low,Close,Volume
11-Mar-2025,684.0,699.0,676.8,695.5,"52,62,297"
10-Mar-2025,689.8,709.3,686.5,689.15,"1,07,07,412"
07-Mar-2025,678.6,694.6,678.6,691.35,"81,42,832"
06-Mar-2025,664.95,687.6,661.85,681.95,"1,09,93,614"
05-Mar-2025,638.0,662.5,638.0,657.35,"78,76,653"
04-Mar-2025,628.0,643.85,624.1,641.65,"44,30,660"
03-Mar-2025,634.45,643.5,620.7,636.55,"53,68,388"
28-Feb-2025,630.0,636.6,619.45,634.35,"1,30,41,185"
27-Feb-2025,625.1,633.9,619.5,631.95,"72,63,151"
25-Feb-2025,636.0,638.45,617.1,619.45,"1,02,49,548"
24-Feb-2025,642.0,647.9,636.25,641.9,"59,31,712"
21-Feb-2025,639.2,656.2,637.95,653.55,"74,90,723"
20-Feb-2025,627.0,644.2,625.0,638.8,"69,04,537"
19-Feb-2025,607.0,628.35,606.55,626.3,"61,01,855"
18-Feb-2025,609.0,613.7,601.7,611.45,"29,56,837"
17-Feb-2025,606.2,611.9,589.65,610.85,"44,70,099"
14-Feb-2025,609.0,616.0,595.05,606.2,"1,14,75,440"
13-Feb-2025,596.05,607.95,590.1,602.5,"44,15,122"
12-Feb-2025,599.05,604.95,586.35,598.9,"37,64,143"
11-Feb-2025,594.05,607.0,591.65,595.85,"53,03,293"
10-Feb-2025,605.0,606.1,589.5,596.0,"34,34,505"
07-Feb-2025,595.45,610.6,594.0,607.4,"46,87,823"
06-Feb-2025,601.05,606.8,591.25,595.45,"35,71,342"
05-Feb-2025,584.5,604.5,584.5,600.6,"39,74,704"
04-Feb-2025,580.5,595.9,580.2,583.95,"53,18,376"
03-Feb-2025,575.0,576.6,557.6,574.05,"81,69,543"
01-Feb-2025,594.0,595.4,582.0,586.45,"17,40,719"
31-Jan-2025,590.0,596.4,584.3,594.3,"37,50,965"
30-Jan-2025,586.9,601.85,581.7,587.85,"46,04,752"
29-Jan-2025,576.5,587.85,571.6,584.1,"46,18,198"
28-Jan-2025,590.1,591.65,568.3,573.85,"62,50,865"
27-Jan-2025,600.05,601.6,585.35,586.9,"29,19,161"
24-Jan-2025,608.7,615.35,599.9,606.9,"46,08,870"
23-Jan-2025,611.0,616.2,607.2,608.25,"68,26,419"
22-Jan-2025,615.0,615.4,605.35,613.45,"44,26,051"
21-Jan-2025,626.05,628.35,613.45,614.95,"35,29,837"
20-Jan-2025,617.05,621.95,612.25,618.15,"29,95,173"
17-Jan-2025,603.85,619.0,603.7,617.0,"64,14,327"
16-Jan-2025,596.0,607.0,590.55,602.6,"49,59,410"
15-Jan-2025,594.0,596.2,586.55,591.55,"43,90,121"
14-Jan-2025,569.9,591.95,568.35,590.9,"85,06,497"
13-Jan-2025,571.6,573.95,562.0,563.75,"76,89,295"
10-Jan-2025,586.0,589.25,571.6,574.45,"1,06,13,705"
09-Jan-2025,580.0,596.85,578.65,589.25,"75,95,188"
08-Jan-2025,582.75,587.6,577.45,586.65,"40,77,369"
07-Jan-2025,573.05,588.4,572.05,584.5,"53,79,682"
06-Jan-2025,592.6,593.85,571.6,574.1,"1,12,02,314"
03-Jan-2025,599.0,599.75,590.0,591.15,"62,91,674"
02-Jan-2025,594.9,600.55,588.6,599.0,"85,25,001"
01-Jan-2025,601.5,603.75,587.5,592.95,"92,17,246"
31-Dec-2024,601.4,605.9,597.45,602.45,"38,07,525"
30-Dec-2024,615.4,620.3,599.15,601.1,"80,23,050"
27-Dec-2024,628.75,632.85,615.7,617.4,"33,91,148"
26-Dec-2024,630.0,633.45,626.75,628.75,"44,76,967"
24-Dec-2024,635.0,638.1,625.75,627.45,"48,30,151"
23-Dec-2024,625.55,635.9,625.55,634.15,"29,21,238"
20-Dec-2024,629.35,640.6,620.7,622.65,"59,64,142"
19-Dec-2024,620.6,633.25,614.1,629.35,"51,98,027"
18-Dec-2024,641.95,642.05,628.25,633.0,"37,53,662"
17-Dec-2024,649.5,653.6,637.1,639.45,"48,00,541"
16-Dec-2024,661.3,666.6,652.05,653.5,"26,19,582"
13-Dec-2024,663.0,665.55,648.0,662.1,"41,98,819"
12-Dec-2024,675.0,679.8,662.0,668.7,"65,85,440"
11-Dec-2024,671.0,679.8,668.05,670.5,"34,18,716"
10-Dec-2024,675.0,676.0,664.7,668.9,"39,50,822"
09-Dec-2024,666.95,672.5,654.25,670.9,"50,79,369"
06-Dec-2024,673.45,676.5,667.25,670.15,"27,23,680"
05-Dec-2024,664.0,673.95,658.7,670.85,"51,56,111"
04-Dec-2024,667.55,671.25,659.65,663.05,"27,85,457"
03-Dec-2024,665.4,669.6,657.0,667.55,"33,06,465"
02-Dec-2024,656.2,663.4,653.05,662.6,"21,74,126"
29-Nov-2024,652.5,658.6,649.1,656.2,"34,12,007"
28-Nov-2024,661.0,663.15,647.6,650.25,"46,86,850"
27-Nov-2024,667.2,669.8,660.15,661.1,"29,10,507"
26-Nov-2024,662.9,670.25,659.25,666.1,"36,04,133"
25-Nov-2024,660.1,663.0,654.45,659.85,"57,60,810"
22-Nov-2024,652.95,657.3,647.4,652.1,"35,86,402"
21-Nov-2024,641.0,653.9,634.3,648.05,"79,10,597"
19-Nov-2024,651.1,655.55,637.65,640.0,"50,15,887"
18-Nov-2024,641.9,663.1,639.9,651.05,"1,36,18,683"
14-Nov-2024,630.0,636.45,625.15,627.35,"69,37,416"
13-Nov-2024,648.0,649.9,622.55,626.6,"78,67,492"
12-Nov-2024,668.0,673.5,648.15,651.65,"1,20,09,560"
11-Nov-2024,647.45,657.6,638.7,655.35,"49,33,389"
08-Nov-2024,654.75,660.45,647.0,650.45,"78,86,228"
07-Nov-2024,682.0,687.7,646.3,648.1,"2,66,71,445"
06-Nov-2024,706.0,714.25,687.85,708.2,"55,00,043"
05-Nov-2024,675.6,701.45,674.8,697.55,"49,31,994"
04-Nov-2024,689.0,689.9,661.6,674.3,"52,45,661"
01-Nov-2024,687.5,693.9,687.2,690.9,"4,72,898"
31-Oct-2024,686.85,689.55,679.25,686.05,"44,78,581"
30-Oct-2024,690.95,698.8,685.4,688.4,"32,84,187"
29-Oct-2024,692.9,696.2,676.45,693.6,"42,93,867"
28-Oct-2024,681.0,697.0,680.8,692.9,"25,87,719"
25-Oct-2024,694.5,694.9,668.45,678.75,"40,91,651"
24-Oct-2024,715.0,715.0,666.75,690.7,"1,49,09,729"
23-Oct-2024,716.0,731.15,713.3,717.1,"65,22,834"
22-Oct-2024,733.0,745.8,718.3,720.25,"56,72,302"
21-Oct-2024,760.0,765.45,737.0,739.6,"29,81,749"
18-Oct-2024,734.8,756.45,725.05,753.5,"54,74,367"
17-Oct-2024,741.1,747.3,732.35,734.8,"62,13,860"
16-Oct-2024,728.5,738.9,726.05,733.1,"32,07,796"
15-Oct-2024,746.0,750.0,720.65,726.95,"30,56,619"
14-Oct-2024,746.0,755.0,739.45,743.0,"25,40,789"
11-Oct-2024,736.0,749.95,733.05,747.35,"52,24,383"
10-Oct-2024,731.9,738.2,726.3,730.15,"38,90,250"
09-Oct-2024,710.0,735.75,710.0,727.55,"37,33,320"
08-Oct-2024,723.5,732.0,708.0,721.8,"54,18,558"
07-Oct-2024,753.0,753.0,722.5,731.3,"58,62,059"
04-Oct-2024,742.65,757.55,740.05,747.9,"46,24,509"
03-Oct-2024,750.0,772.65,744.7,747.1,"56,49,089"
01-Oct-2024,755.0,765.5,745.2,761.55,"44,02,151"
30-Sep-2024,750.0,764.45,749.45,756.2,"85,66,640"
27-Sep-2024,746.95,757.7,742.1,747.15,"1,29,36,973"
26-Sep-2024,718.45,736.15,710.7,734.65,"1,05,73,166"
25-Sep-2024,725.0,730.9,715.55,718.45,"95,25,319"
24-Sep-2024,697.6,719.7,693.0,717.85,"1,52,01,960"
23-Sep-2024,695.5,698.0,687.95,690.55,"28,08,114"
20-Sep-2024,692.1,698.8,688.75,694.4,"97,53,966"
19-Sep-2024,690.0,690.85,668.2,684.2,"51,34,590"
18-Sep-2024,685.0,687.95,673.35,685.25,"34,04,940"
17-Sep-2024,689.0,692.0,681.1,683.0,"33,95,470"
16-Sep-2024,680.1,687.55,676.55,685.15,"42,58,546"
13-Sep-2024,686.0,686.4,670.6,673.25,"59,77,861"
12-Sep-2024,658.0,677.9,651.5,676.2,"85,94,764"
11-Sep-2024,658.6,658.6,645.4,647.7,"38,25,823"
10-Sep-2024,664.9,666.8,653.7,659.5,"33,04,741"
09-Sep-2024,664.0,664.0,651.0,658.55,"51,44,488"
06-Sep-2024,668.25,677.0,665.45,667.1,"63,11,131"
05-Sep-2024,670.0,672.4,667.25,669.95,"37,49,608"
04-Sep-2024,666.65,673.8,661.25,666.8,"58,16,848"
03-Sep-2024,687.65,692.7,677.55,678.9,"44,57,291"
02-Sep-2024,706.7,706.7,683.2,683.9,"61,86,645"
30-Aug-2024,699.0,708.5,695.1,701.35,"74,04,373"
29-Aug-2024,697.65,702.35,691.4,700.5,"57,28,640"
28-Aug-2024,706.0,710.7,701.15,705.05,"35,99,946"
27-Aug-2024,711.9,712.95,702.75,703.5,"64,65,241"
26-Aug-2024,694.4,712.9,689.5,711.85,"1,15,17,668"
23-Aug-2024,690.05,694.7,677.8,685.1,"77,74,920"
22-Aug-2024,691.5,692.0,677.2,685.55,"61,88,728"
21-Aug-2024,668.9,696.6,667.8,685.6,"78,15,238"
20-Aug-2024,663.0,674.3,661.05,672.9,"1,02,95,836"
19-Aug-2024,636.5,660.3,636.5,658.85,"95,10,274"
16-Aug-2024,633.95,642.0,630.2,634.15,"65,66,337"
14-Aug-2024,626.85,633.95,611.6,621.45,"86,46,288"
13-Aug-2024,634.4,634.4,619.2,621.4,"67,93,767"
12-Aug-2024,619.0,634.4,616.5,629.35,"35,86,449"
09-Aug-2024,622.0,626.5,614.8,622.9,"36,29,264"
08-Aug-2024,625.0,631.0,613.0,614.05,"53,96,272"
07-Aug-2024,625.0,629.45,616.75,623.7,"48,39,670"
06-Aug-2024,625.0,629.0,608.0,610.3,"70,63,441"
05-Aug-2024,628.05,633.85,609.25,614.3,"1,34,51,475"
02-Aug-2024,659.8,665.6,646.55,648.05,"67,17,210"
01-Aug-2024,680.0,690.9,667.35,673.5,"88,31,127"
31-Jul-2024,667.0,674.0,664.25,669.6,"85,51,592"
30-Jul-2024,665.0,665.0,654.6,660.5,"67,14,850"
29-Jul-2024,676.75,676.75,665.0,666.85,"60,32,470"
26-Jul-2024,660.0,668.5,655.0,667.6,"47,30,539"
25-Jul-2024,641.95,649.0,633.3,646.55,"61,71,776"
24-Jul-2024,653.0,656.65,645.0,651.6,"26,10,134"
23-Jul-2024,672.3,673.2,638.7,653.5,"96,02,846"
22-Jul-2024,655.0,675.0,650.85,672.3,"32,91,634"
19-Jul-2024,683.9,685.7,658.65,663.0,"62,07,375"
18-Jul-2024,686.0,695.85,684.1,689.95,"78,41,505"
16-Jul-2024,700.3,703.15,689.0,690.8,"45,70,179"
15-Jul-2024,692.05,701.6,688.45,700.1,"28,48,268"
12-Jul-2024,697.5,702.45,686.1,692.05,"38,39,953"
11-Jul-2024,702.0,702.0,692.0,696.3,"68,56,272"
10-Jul-2024,708.0,712.1,685.3,693.3,"53,27,276"
09-Jul-2024,702.0,710.65,695.55,707.0,"55,07,357"
08-Jul-2024,703.65,705.9,691.65,697.2,"26,36,146"
05-Jul-2024,694.0,702.5,693.5,699.15,"51,74,673"
04-Jul-2024,697.7,705.75,690.55,691.85,"59,24,057"
03-Jul-2024,698.9,703.0,683.4,691.65,"58,75,690"
02-Jul-2024,689.9,703.3,688.4,694.75,"54,82,768"
01-Jul-2024,699.0,701.85,688.4,689.85,"48,70,114"
28-Jun-2024,690.25,697.5,686.0,693.55,"61,01,211"
27-Jun-2024,678.0,687.7,672.1,685.25,"71,35,387"
26-Jun-2024,683.55,683.55,671.35,674.7,"60,69,407"
25-Jun-2024,688.8,696.0,680.9,685.5,"57,78,636"
24-Jun-2024,679.6,687.7,675.1,685.25,"80,14,595"
21-Jun-2024,680.0,691.2,677.0,684.5,"1,19,73,903"
20-Jun-2024,665.0,684.35,661.75,676.5,"66,46,966"
19-Jun-2024,680.05,682.0,660.4,662.4,"47,70,356"
18-Jun-2024,683.6,688.0,677.0,678.75,"40,13,739"
14-Jun-2024,690.0,690.0,677.4,683.6,"83,26,865"
13-Jun-2024,678.0,684.65,676.05,680.7,"95,55,904"
12-Jun-2024,674.0,683.0,671.85,673.9,"1,07,83,822"
11-Jun-2024,680.0,681.25,672.05,672.95,"51,57,918"
10-Jun-2024,677.05,684.85,673.05,676.4,"40,54,802"
07-Jun-2024,677.5,687.0,672.45,680.35,"71,72,942"
06-Jun-2024,695.0,695.0,673.0,677.5,"1,04,20,244"
05-Jun-2024,627.0,700.65,607.0,695.25,"2,58,36,374"
04-Jun-2024,697.0,697.0,594.25,649.05,"2,42,50,212"
03-Jun-2024,715.0,715.25,692.8,695.95,"70,81,956"
31-May-2024,698.9,703.45,684.35,689.35,"1,36,20,282"
30-May-2024,704.85,713.05,693.35,695.15,"1,03,61,716"
29-May-2024,695.0,713.5,682.3,705.3,"2,26,84,652"
28-May-2024,682.0,698.0,678.35,681.3,"1,29,25,385"
27-May-2024,685.05,689.5,675.5,677.85,"1,04,75,785"
24-May-2024,679.25,690.45,671.05,673.25,"1,59,30,052"
23-May-2024,675.15,678.55,665.95,676.8,"97,49,101"
22-May-2024,698.55,698.7,677.4,684.55,"80,04,434"
21-May-2024,666.3,695.4,663.2,693.6,"1,59,76,672"
