Date,Open,High,Low,Close,Volume
11-Mar-2025,"2,240.00","2,262.45","2,211.25","2,216.95","13,25,891"
10-Mar-2025,"2,208.00","2,267.15","2,194.65","2,247.75","12,42,387"
07-Mar-2025,"2,226.70","2,226.70","2,189.20","2,204.55","17,38,356"
06-Mar-2025,"2,175.00","2,229.80","2,163.75","2,218.95","18,56,868"
05-Mar-2025,"2,152.00","2,191.90","2,150.00","2,170.45","11,45,673"
04-Mar-2025,"2,179.95","2,180.00","2,136.00","2,157.35","18,00,330"
03-Mar-2025,"2,199.00","2,199.00","2,158.50","2,176.85","13,06,470"
28-Feb-2025,"2,245.05","2,249.60","2,185.85","2,190.25","36,83,249"
27-Feb-2025,"2,269.65","2,269.65","2,233.10","2,244.95","16,99,658"
25-Feb-2025,"2,243.00","2,269.60","2,237.95","2,259.30","19,88,040"
24-Feb-2025,"2,230.00","2,251.00","2,218.80","2,241.45","16,27,949"
21-Feb-2025,"2,248.05","2,253.55","2,226.40","2,241.65","17,81,509"
20-Feb-2025,"2,250.40","2,254.45","2,226.50","2,248.05","22,06,196"
19-Feb-2025,"2,298.75","2,305.70","2,248.00","2,250.40","15,21,343"
18-Feb-2025,"2,329.40","2,338.55","2,288.00","2,296.00","10,35,705"
17-Feb-2025,"2,318.35","2,336.00","2,300.00","2,329.40","14,09,168"
14-Feb-2025,"2,322.00","2,366.00","2,313.40","2,318.35","11,35,380"
13-Feb-2025,"2,330.10","2,345.60","2,313.35","2,321.50","13,34,967"
12-Feb-2025,"2,325.70","2,339.90","2,305.10","2,332.50","13,41,909"
11-Feb-2025,"2,371.00","2,377.95","2,296.55","2,315.25","13,89,260"
10-Feb-2025,"2,370.90","2,398.00","2,352.05","2,361.45","13,26,354"
07-Feb-2025,"2,380.00","2,381.95","2,336.10","2,363.85","8,55,602"
06-Feb-2025,"2,400.00","2,408.95","2,360.30","2,372.70","11,32,113"
05-Feb-2025,"2,453.00","2,453.00","2,387.00","2,391.05","13,57,416"
04-Feb-2025,"2,450.00","2,450.00","2,402.85","2,438.05","19,92,474"
03-Feb-2025,"2,505.00","2,520.00","2,416.50","2,441.95","25,28,480"
01-Feb-2025,"2,475.00","2,602.00","2,435.15","2,506.05","29,70,999"
31-Jan-2025,"2,401.50","2,479.00","2,401.50","2,468.80","21,16,148"
30-Jan-2025,"2,384.00","2,425.00","2,384.00","2,408.75","14,19,960"
29-Jan-2025,"2,385.15","2,396.00","2,364.00","2,383.95","6,99,576"
28-Jan-2025,"2,401.00","2,407.00","2,379.45","2,388.85","18,92,156"
27-Jan-2025,"2,365.00","2,409.70","2,361.15","2,392.85","24,77,358"
24-Jan-2025,"2,332.85","2,380.80","2,323.00","2,368.10","16,88,664"
23-Jan-2025,"2,315.00","2,341.30","2,253.85","2,321.70","34,08,925"
22-Jan-2025,"2,342.55","2,362.00","2,332.20","2,342.95","26,58,047"
21-Jan-2025,"2,353.50","2,377.30","2,332.45","2,340.50","18,42,885"
20-Jan-2025,"2,356.45","2,368.00","2,335.65","2,345.20","13,82,273"
17-Jan-2025,"2,350.00","2,379.30","2,343.00","2,354.00","13,33,005"
16-Jan-2025,"2,376.95","2,380.00","2,326.05","2,345.00","27,62,596"
15-Jan-2025,"2,373.90","2,384.90","2,350.10","2,373.00","12,15,150"
14-Jan-2025,"2,465.00","2,468.00","2,364.10","2,367.95","20,52,741"
13-Jan-2025,"2,417.05","2,460.50","2,409.05","2,451.00","25,95,013"
10-Jan-2025,"2,435.40","2,456.00","2,413.80","2,442.05","16,51,911"
09-Jan-2025,"2,405.05","2,473.65","2,386.40","2,435.40","24,25,267"
08-Jan-2025,"2,391.00","2,409.00","2,368.00","2,401.00","9,53,351"
07-Jan-2025,"2,377.15","2,402.25","2,375.25","2,390.80","9,22,768"
06-Jan-2025,"2,418.00","2,418.95","2,361.65","2,376.20","9,00,419"
