Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,217.20","1,248.00","1,217.20","1,245.40","1,09,27,950"
10-Mar-2025,"1,208.00","1,225.80","1,208.00","1,214.85","73,63,437"
07-Mar-2025,"1,211.10","1,217.85","1,206.30","1,214.55","66,20,284"
06-Mar-2025,"1,227.95","1,227.95","1,209.00","1,218.05","1,19,49,475"
05-Mar-2025,"1,217.00","1,225.95","1,211.30","1,215.70","90,52,846"
04-Mar-2025,"1,207.15","1,216.65","1,206.25","1,210.40","95,74,490"
03-Mar-2025,"1,210.50","1,217.00","1,204.15","1,206.20","81,58,881"
28-Feb-2025,"1,216.00","1,225.00","1,200.10","1,204.10","2,02,15,075"
27-Feb-2025,"1,225.15","1,234.85","1,218.45","1,222.45","1,20,08,162"
25-Feb-2025,"1,226.60","1,231.65","1,221.00","1,224.15","1,10,59,417"
24-Feb-2025,"1,226.70","1,231.90","1,210.25","1,218.35","1,15,22,480"
21-Feb-2025,"1,241.10","1,244.70","1,224.55","1,232.95","77,86,428"
20-Feb-2025,"1,255.35","1,264.00","1,246.75","1,249.95","83,98,849"
19-Feb-2025,"1,234.85","1,264.45","1,230.25","1,261.65","1,06,83,412"
18-Feb-2025,"1,252.90","1,257.60","1,237.05","1,243.05","81,35,042"
17-Feb-2025,"1,251.15","1,258.15","1,233.25","1,251.15","83,86,151"
14-Feb-2025,"1,252.10","1,263.50","1,244.45","1,260.10","1,03,68,438"
13-Feb-2025,"1,252.55","1,266.00","1,245.90","1,248.90","72,63,785"
12-Feb-2025,"1,257.20","1,269.75","1,244.65","1,251.80","88,09,352"
11-Feb-2025,"1,255.85","1,261.85","1,248.40","1,252.75","65,86,627"
10-Feb-2025,"1,257.20","1,265.00","1,249.35","1,262.60","57,40,361"
07-Feb-2025,"1,272.00","1,275.00","1,249.55","1,256.90","73,82,039"
06-Feb-2025,"1,275.00","1,279.00","1,263.20","1,272.40","83,96,554"
05-Feb-2025,"1,270.20","1,277.75","1,265.15","1,267.70","68,40,709"
04-Feb-2025,"1,262.80","1,280.50","1,260.00","1,268.20","1,48,39,077"
03-Feb-2025,"1,246.85","1,260.00","1,237.80","1,253.00","61,76,831"
01-Feb-2025,"1,251.15","1,261.35","1,233.80","1,255.55","30,11,914"
31-Jan-2025,"1,254.50","1,256.00","1,239.10","1,252.80","1,01,95,417"
30-Jan-2025,"1,250.00","1,259.85","1,239.50","1,255.60","1,19,21,041"
29-Jan-2025,"1,252.00","1,255.80","1,243.05","1,251.65","76,66,777"
28-Jan-2025,"1,247.35","1,264.00","1,236.00","1,246.90","1,80,66,499"
27-Jan-2025,"1,195.00","1,234.65","1,193.10","1,227.95","1,61,64,687"
24-Jan-2025,"1,203.10","1,218.00","1,202.00","1,209.20","92,16,792"
23-Jan-2025,"1,197.25","1,207.90","1,186.00","1,201.75","87,70,650"
22-Jan-2025,"1,201.00","1,207.50","1,191.80","1,200.45","1,03,77,123"
21-Jan-2025,"1,236.95","1,238.95","1,192.70","1,196.15","2,05,20,898"
20-Jan-2025,"1,223.90","1,241.75","1,215.25","1,232.95","76,76,418"
17-Jan-2025,"1,243.35","1,249.00","1,218.00","1,225.45","97,90,533"
16-Jan-2025,"1,245.10","1,255.50","1,239.65","1,249.10","1,18,95,924"
15-Jan-2025,"1,234.00","1,244.40","1,230.00","1,238.25","53,55,382"
14-Jan-2025,"1,233.35","1,244.85","1,227.45","1,240.30","1,03,42,698"
13-Jan-2025,"1,234.90","1,243.95","1,224.90","1,229.75","96,69,336"
10-Jan-2025,"1,259.00","1,264.95","1,243.10","1,249.85","78,54,524"
09-Jan-2025,"1,258.00","1,264.75","1,248.10","1,262.40","86,84,920"
08-Jan-2025,"1,280.55","1,285.00","1,252.35","1,263.75","75,66,309"
07-Jan-2025,"1,266.50","1,288.95","1,266.50","1,279.25","75,39,758"
06-Jan-2025,"1,268.05","1,277.75","1,257.00","1,264.10","75,04,047"
03-Jan-2025,"1,286.20","1,288.00","1,262.25","1,265.05","1,11,94,997"
02-Jan-2025,"1,285.10","1,293.40","1,278.40","1,290.60","74,33,222"
01-Jan-2025,"1,281.65","1,293.00","1,267.10","1,283.65","47,05,399"
31-Dec-2024,"1,286.90","1,289.95","1,280.10","1,281.65","84,49,607"
30-Dec-2024,"1,304.95","1,326.50","1,289.45","1,294.65","1,42,07,425"
27-Dec-2024,"1,298.55","1,315.95","1,298.55","1,307.55","47,56,066"
26-Dec-2024,"1,307.00","1,312.75","1,289.20","1,297.35","73,38,444"
24-Dec-2024,"1,296.80","1,304.50","1,290.25","1,297.25","71,38,516"
23-Dec-2024,"1,294.65","1,307.00","1,287.05","1,296.80","68,27,512"
20-Dec-2024,"1,283.95","1,297.75","1,272.40","1,288.40","5,84,91,181"
