Date,Open,High,Low,Close,Volume
11-Mar-2025,810.45,810.45,649.00,655.95,"10,10,75,220"
10-Mar-2025,895.00,913.35,881.10,900.50,"1,60,14,401"
07-Mar-2025,971.00,976.60,932.30,936.75,"77,37,031"
06-Mar-2025,976.00,984.10,962.20,971.70,"39,28,358"
05-Mar-2025,984.25,995.25,970.65,971.85,"39,44,062"
04-Mar-2025,978.00,"1,003.60",966.95,987.60,"32,71,190"
03-Mar-2025,978.95,986.30,947.00,984.00,"61,58,061"
28-Feb-2025,"1,040.00","1,040.65",970.10,990.10,"5,56,66,745"
27-Feb-2025,"1,046.90","1,063.30","1,040.70","1,046.70","59,51,737"
25-Feb-2025,"1,028.20","1,041.70","1,026.35","1,034.25","36,28,538"
24-Feb-2025,"1,030.10","1,038.75","1,021.10","1,029.15","30,74,297"
21-Feb-2025,"1,041.55","1,055.80","1,038.95","1,043.75","25,89,619"
20-Feb-2025,"1,029.95","1,049.90","1,025.60","1,047.65","18,19,683"
19-Feb-2025,"1,024.10","1,042.05","1,015.90","1,035.80","24,64,555"
18-Feb-2025,"1,045.00","1,051.50","1,021.35","1,024.10","26,20,716"
17-Feb-2025,"1,024.40","1,050.95","1,013.10","1,048.25","27,95,714"
14-Feb-2025,"1,049.60","1,058.10","1,018.20","1,024.40","40,36,016"
13-Feb-2025,"1,039.50","1,056.95","1,025.40","1,047.25","45,39,780"
12-Feb-2025,"1,060.45","1,063.95","1,020.25","1,039.65","47,98,340"
11-Feb-2025,"1,063.50","1,074.90","1,047.65","1,054.15","41,09,028"
10-Feb-2025,"1,076.00","1,082.00","1,062.70","1,068.00","44,57,091"
07-Feb-2025,"1,061.50","1,086.55","1,061.50","1,079.10","39,75,043"
06-Feb-2025,"1,062.10","1,076.75","1,058.05","1,065.55","38,89,634"
05-Feb-2025,"1,052.40","1,078.70","1,052.40","1,061.20","50,00,442"
04-Feb-2025,"1,022.45","1,053.90","1,014.70","1,047.15","98,61,468"
03-Feb-2025,994.00,"1,023.95",990.10,"1,012.70","36,55,089"
01-Feb-2025,977.00,"1,023.00",972.40,"1,009.40","60,54,296"
31-Jan-2025,957.55,999.30,953.10,991.20,"53,65,839"
30-Jan-2025,948.30,967.40,946.10,957.05,"45,09,409"
29-Jan-2025,935.70,953.00,931.95,948.30,"25,71,504"
28-Jan-2025,937.35,948.95,925.70,934.15,"57,08,478"
27-Jan-2025,947.00,947.00,923.70,926.45,"39,07,787"
24-Jan-2025,970.85,973.00,948.25,950.80,"29,38,649"
23-Jan-2025,965.95,988.55,962.50,970.95,"33,59,986"
22-Jan-2025,964.45,977.55,949.15,970.95,"26,39,472"
21-Jan-2025,971.55,978.50,958.00,960.45,"33,69,291"
20-Jan-2025,966.20,980.45,948.10,970.70,"44,85,164"
17-Jan-2025,972.85,975.60,959.00,970.95,"30,66,978"
16-Jan-2025,967.00,990.65,967.00,975.35,"39,48,431"
15-Jan-2025,971.25,983.00,954.65,962.45,"36,33,812"
14-Jan-2025,945.10,979.30,945.10,962.10,"57,35,697"
13-Jan-2025,936.90,973.50,934.50,941.70,"87,52,532"
10-Jan-2025,971.75,975.00,933.05,937.60,"56,11,356"
09-Jan-2025,981.05,985.35,970.40,980.90,"31,34,034"
08-Jan-2025,985.90,986.00,967.10,981.05,"37,81,895"
07-Jan-2025,970.15,994.55,970.15,983.60,"35,81,533"
06-Jan-2025,"1,004.95","1,004.95",963.20,970.05,"33,70,654"
03-Jan-2025,993.00,"1,025.40",990.65,997.90,"58,96,120"
02-Jan-2025,975.50,998.00,968.80,991.35,"39,56,740"
01-Jan-2025,958.60,979.30,953.50,969.40,"40,24,591"
31-Dec-2024,958.00,961.45,949.05,960.15,"22,95,670"
30-Dec-2024,953.30,973.50,948.85,963.50,"81,65,774"
27-Dec-2024,933.05,971.10,933.05,953.40,"63,00,341"
26-Dec-2024,940.00,945.00,928.25,931.95,"52,62,262"
24-Dec-2024,941.00,946.00,929.80,935.30,"56,03,093"
23-Dec-2024,938.95,948.80,930.05,945.70,"25,02,370"
20-Dec-2024,960.00,966.85,926.45,929.45,"44,66,131"
19-Dec-2024,959.00,966.85,948.00,964.40,"36,65,813"
18-Dec-2024,976.80,979.30,960.50,965.20,"29,58,191"
17-Dec-2024,"1,002.00","1,002.00",972.00,975.65,"32,94,161"
16-Dec-2024,987.90,"1,007.95",985.55,999.35,"30,58,066"
13-Dec-2024,991.00,997.65,965.55,986.65,"56,74,567"
12-Dec-2024,986.00,"1,005.50",986.00,997.95,"57,71,673"
11-Dec-2024,985.50,999.90,981.25,984.85,"46,79,888"
10-Dec-2024,983.00,988.40,979.10,984.30,"38,43,321"
09-Dec-2024,992.80,994.00,977.80,982.60,"35,65,285"
06-Dec-2024,"1,000.00","1,003.05",986.30,990.35,"62,58,019"
05-Dec-2024,"1,006.00","1,006.00",990.55,998.20,"52,54,145"
04-Dec-2024,"1,005.00","1,005.95",990.50,998.85,"42,56,690"
03-Dec-2024,993.00,"1,011.50",991.40,998.35,"46,65,094"
02-Dec-2024,990.05,993.15,979.00,990.95,"49,69,967"
29-Nov-2024,998.10,999.50,987.30,995.85,"48,15,934"
28-Nov-2024,"1,005.95","1,013.40",991.35,993.60,"48,22,835"
27-Nov-2024,"1,012.00","1,012.00",994.50,"1,001.95","47,98,242"
26-Nov-2024,"1,011.70","1,017.70",998.10,"1,009.60","23,90,208"
