Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,680.00","1,680.00","1,637.05","1,661.60","1,26,71,234"
10-Mar-2025,"1,686.00","1,719.00","1,676.20","1,701.45","75,58,981"
07-Mar-2025,"1,703.10","1,705.00","1,675.50","1,686.00","80,19,331"
06-Mar-2025,"1,715.00","1,722.30","1,691.10","1,715.85","1,06,10,547"
05-Mar-2025,"1,692.45","1,732.95","1,692.45","1,711.50","81,80,782"
04-Mar-2025,"1,695.00","1,699.00","1,670.00","1,688.30","67,59,673"
03-Mar-2025,"1,692.30","1,728.60","1,692.30","1,708.60","75,04,969"
28-Feb-2025,"1,755.05","1,755.10","1,682.45","1,687.70","1,21,82,167"
27-Feb-2025,"1,755.20","1,775.85","1,751.10","1,764.30","57,57,079"
25-Feb-2025,"1,745.15","1,778.45","1,745.15","1,767.70","50,92,963"
24-Feb-2025,"1,800.05","1,808.00","1,750.25","1,764.10","75,94,720"
21-Feb-2025,"1,821.80","1,829.85","1,806.20","1,815.00","33,79,879"
20-Feb-2025,"1,805.55","1,831.00","1,805.55","1,825.15","22,18,020"
19-Feb-2025,"1,847.40","1,849.20","1,805.90","1,810.80","46,11,411"
18-Feb-2025,"1,842.30","1,861.65","1,837.60","1,851.95","43,65,260"
17-Feb-2025,"1,838.55","1,852.75","1,822.15","1,842.30","44,28,956"
14-Feb-2025,"1,854.00","1,859.30","1,828.35","1,856.40","52,92,961"
13-Feb-2025,"1,868.50","1,873.50","1,835.65","1,843.25","52,37,744"
12-Feb-2025,"1,885.00","1,894.60","1,847.00","1,863.15","56,33,947"
11-Feb-2025,"1,883.10","1,903.00","1,870.00","1,875.65","44,11,601"
10-Feb-2025,"1,905.00","1,905.00","1,878.60","1,880.30","38,28,734"
07-Feb-2025,"1,919.30","1,923.70","1,889.45","1,903.65","41,26,260"
06-Feb-2025,"1,917.00","1,924.00","1,900.00","1,915.65","47,65,255"
05-Feb-2025,"1,906.00","1,919.70","1,894.30","1,897.05","49,96,744"
04-Feb-2025,"1,889.00","1,911.20","1,875.00","1,898.80","73,34,787"
03-Feb-2025,"1,836.00","1,876.55","1,832.40","1,863.30","48,23,228"
01-Feb-2025,"1,880.30","1,890.60","1,846.00","1,851.35","17,01,402"
31-Jan-2025,"1,871.00","1,897.45","1,871.00","1,879.80","58,20,470"
30-Jan-2025,"1,873.15","1,887.20","1,844.00","1,859.95","73,36,056"
29-Jan-2025,"1,845.00","1,888.65","1,840.50","1,881.25","51,45,155"
28-Jan-2025,"1,830.00","1,863.50","1,824.90","1,829.75","69,99,495"
27-Jan-2025,"1,848.75","1,863.00","1,812.00","1,822.00","76,52,371"
24-Jan-2025,"1,865.50","1,894.90","1,864.25","1,875.45","48,87,027"
23-Jan-2025,"1,858.00","1,879.55","1,852.70","1,865.45","59,07,471"
22-Jan-2025,"1,807.40","1,865.80","1,805.15","1,856.45","83,73,913"
21-Jan-2025,"1,819.05","1,831.65","1,793.05","1,800.70","71,69,109"
20-Jan-2025,"1,822.95","1,827.95","1,793.15","1,813.30","43,33,011"
17-Jan-2025,"1,851.00","1,858.00","1,812.00","1,815.45","1,64,09,953"
16-Jan-2025,"1,965.95","1,966.95","1,916.85","1,928.45","75,33,579"
15-Jan-2025,"1,947.00","1,958.05","1,937.10","1,949.65","29,85,439"
14-Jan-2025,"1,968.85","1,971.80","1,931.10","1,940.05","57,92,162"
13-Jan-2025,"1,956.00","1,982.80","1,949.00","1,962.20","58,04,152"
10-Jan-2025,"1,937.00","1,977.80","1,932.25","1,966.95","80,36,913"
09-Jan-2025,"1,934.05","1,951.85","1,910.55","1,917.30","68,33,503"
08-Jan-2025,"1,930.00","1,938.60","1,888.75","1,933.15","54,82,050"
07-Jan-2025,"1,945.00","1,958.55","1,923.65","1,930.85","42,94,832"
06-Jan-2025,"1,952.00","1,973.00","1,928.00","1,937.85","71,64,403"
03-Jan-2025,"1,952.95","1,952.95","1,922.00","1,938.75","62,18,003"
02-Jan-2025,"1,887.00","1,962.65","1,885.30","1,957.85","70,83,645"
01-Jan-2025,"1,874.00","1,892.95","1,874.00","1,882.50","18,38,368"
31-Dec-2024,"1,892.30","1,897.00","1,845.05","1,880.00","36,13,063"
30-Dec-2024,"1,915.70","1,916.00","1,886.50","1,906.00","77,89,055"
27-Dec-2024,"1,909.40","1,924.15","1,903.90","1,916.75","39,37,500"
