Date,Open,High,Low,Close,Volume
11-Mar-2025,401.5,408.4,401.2,406.2,"1,10,99,475"
10-Mar-2025,401.05,406.85,400.4,405.0,"97,85,018"
07-Mar-2025,403.55,405.85,401.7,403.9,"1,11,80,761"
06-Mar-2025,409.15,409.7,400.55,405.7,"1,78,69,996"
05-Mar-2025,394.5,412.75,394.5,405.05,"1,56,65,018"
04-Mar-2025,395.4,397.2,392.85,394.85,"1,34,04,774"
03-Mar-2025,395.95,399.0,391.2,397.45,"1,07,02,826"
28-Feb-2025,399.0,402.5,392.2,395.0,"3,19,54,776"
27-Feb-2025,404.85,406.5,399.5,401.6,"1,90,51,003"
25-Feb-2025,402.0,407.0,400.5,404.85,"1,57,60,891"
24-Feb-2025,400.0,403.4,398.75,401.9,"70,37,625"
21-Feb-2025,402.05,403.25,399.2,400.9,"82,40,986"
20-Feb-2025,399.95,403.9,396.2,402.05,"1,53,55,585"
19-Feb-2025,404.8,408.8,404.5,406.4,"70,79,032"
18-Feb-2025,408.0,410.85,404.0,405.25,"1,29,98,403"
17-Feb-2025,409.8,411.4,406.75,408.6,"1,19,75,265"
14-Feb-2025,411.75,416.2,408.4,410.25,"1,41,24,236"
13-Feb-2025,409.95,413.95,409.0,409.7,"1,29,89,029"
12-Feb-2025,413.15,413.8,407.6,409.9,"1,38,84,574"
11-Feb-2025,428.8,430.55,417.5,418.3,"1,42,88,751"
10-Feb-2025,427.0,433.3,426.5,427.2,"1,22,27,140"
07-Feb-2025,440.0,445.5,428.4,430.85,"1,88,75,982"
06-Feb-2025,450.0,450.0,438.2,441.1,"1,74,69,129"
05-Feb-2025,455.15,455.85,446.5,448.15,"1,28,36,283"
04-Feb-2025,458.0,460.35,448.75,455.15,"1,89,23,681"
03-Feb-2025,462.0,465.2,452.3,454.35,"1,69,91,730"
01-Feb-2025,448.0,471.5,439.55,462.55,"3,03,93,007"
31-Jan-2025,436.5,448.2,435.1,447.5,"1,35,46,181"
30-Jan-2025,433.0,438.0,431.45,436.2,"2,24,96,695"
29-Jan-2025,435.95,437.5,430.1,433.35,"1,51,58,510"
28-Jan-2025,440.0,441.8,434.5,435.45,"2,08,13,072"
27-Jan-2025,440.8,445.0,436.55,440.1,"1,04,80,203"
24-Jan-2025,439.4,445.0,439.05,441.6,"96,65,384"
23-Jan-2025,435.0,441.85,434.1,440.2,"88,88,248"
22-Jan-2025,439.9,441.95,436.55,437.0,"96,19,648"
21-Jan-2025,438.0,447.0,435.25,437.55,"1,56,86,500"
20-Jan-2025,439.0,441.2,436.0,437.7,"87,42,771"
17-Jan-2025,433.0,441.8,432.5,440.2,"1,12,70,061"
16-Jan-2025,438.05,439.45,431.1,432.85,"1,57,74,070"
15-Jan-2025,436.6,441.8,435.35,437.35,"97,86,805"
14-Jan-2025,441.0,441.5,435.85,436.6,"1,80,48,459"
13-Jan-2025,435.0,444.0,435.0,439.05,"1,77,99,607"
10-Jan-2025,449.95,452.0,442.5,444.9,"91,45,729"
09-Jan-2025,449.4,460.65,446.05,450.1,"1,97,32,649"
08-Jan-2025,443.0,452.05,437.1,449.55,"1,34,82,926"
07-Jan-2025,445.5,447.6,440.15,441.1,"1,42,94,780"
06-Jan-2025,455.6,461.75,441.25,442.65,"2,20,09,958"
03-Jan-2025,490.25,491.0,479.85,481.6,"3,70,72,992"
02-Jan-2025,485.35,490.0,482.3,489.05,"2,61,24,980"
01-Jan-2025,486.0,486.85,482.15,483.95,"1,82,29,128"
31-Dec-2024,478.45,484.65,474.55,483.65,"1,32,76,195"
30-Dec-2024,480.75,481.45,476.0,477.0,"1,30,74,810"
27-Dec-2024,479.75,481.9,476.0,478.6,"1,62,79,450"
26-Dec-2024,480.55,481.85,476.0,476.95,"88,48,065"
24-Dec-2024,474.9,480.25,472.65,478.45,"1,15,64,497"
23-Dec-2024,471.2,477.7,467.6,474.25,"1,88,37,469"
20-Dec-2024,466.5,467.45,459.3,464.65,"1,94,81,288"
19-Dec-2024,469.0,474.35,465.3,466.55,"1,45,99,270"
18-Dec-2024,472.7,473.8,466.9,470.5,"1,23,65,167"
17-Dec-2024,470.0,475.8,463.05,469.55,"1,98,44,152"
16-Dec-2024,470.25,474.4,468.0,470.1,"90,07,264"
13-Dec-2024,460.0,474.4,451.65,470.0,"3,17,53,858"
12-Dec-2024,465.5,467.9,459.15,460.6,"1,28,84,401"
11-Dec-2024,467.2,468.2,464.7,465.25,"67,45,816"
10-Dec-2024,465.35,466.45,462.6,465.45,"88,23,805"
09-Dec-2024,471.5,472.0,462.95,464.95,"1,17,03,384"
06-Dec-2024,470.0,474.95,467.7,471.15,"75,51,407"
05-Dec-2024,467.55,472.75,462.5,467.5,"2,64,15,053"
04-Dec-2024,474.4,478.2,466.4,467.1,"1,34,39,484"
03-Dec-2024,466.0,473.4,462.75,472.55,"2,22,18,251"
02-Dec-2024,476.0,479.3,473.4,477.2,"54,78,598"
29-Nov-2024,473.2,478.9,472.6,476.75,"83,46,687"
28-Nov-2024,477.0,483.8,470.55,474.9,"1,44,12,539"
27-Nov-2024,477.5,480.1,473.0,476.95,"70,67,013"
26-Nov-2024,480.0,482.65,474.1,477.0,"65,39,846"
25-Nov-2024,479.0,482.2,472.4,476.8,"1,38,91,991"
22-Nov-2024,456.2,476.5,455.5,474.65,"1,94,64,568"
21-Nov-2024,461.0,464.05,455.4,457.15,"1,95,59,847"
19-Nov-2024,468.0,473.75,466.25,467.35,"68,57,374"
18-Nov-2024,466.0,467.8,462.0,466.55,"81,35,260"
14-Nov-2024,471.2,472.95,462.25,465.95,"1,16,39,562"
13-Nov-2024,470.05,474.7,468.25,472.2,"1,11,20,381"
12-Nov-2024,477.6,477.95,471.15,472.85,"50,41,916"
11-Nov-2024,478.05,481.5,474.1,476.95,"54,88,948"
08-Nov-2024,477.9,480.7,474.6,478.05,"60,90,462"
07-Nov-2024,481.75,482.7,476.1,477.9,"89,24,280"
06-Nov-2024,480.2,484.4,478.0,481.1,"1,13,13,985"
05-Nov-2024,482.95,485.05,476.95,480.2,"73,27,830"
04-Nov-2024,493.45,493.45,479.55,484.6,"84,29,731"
01-Nov-2024,491.0,492.1,489.3,490.3,"14,61,602"
31-Oct-2024,492.0,493.0,484.7,488.8,"78,10,874"
30-Oct-2024,487.95,493.25,486.5,491.55,"63,93,835"
29-Oct-2024,485.0,489.2,481.3,487.95,"68,66,704"
28-Oct-2024,481.95,485.9,476.0,484.15,"86,14,446"
25-Oct-2024,475.8,493.5,474.2,482.3,"3,09,61,625"
24-Oct-2024,482.0,482.4,470.0,471.7,"1,30,92,399"
