Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,003.85","1,021.00","1,001.45","1,018.65","15,95,868"
10-Mar-2025,"1,011.15","1,032.75","1,010.25","1,013.50","18,55,010"
07-Mar-2025,"1,011.00","1,020.40","1,005.55","1,011.15","7,59,943"
06-Mar-2025,"1,013.00","1,016.20",997.10,"1,011.10","22,03,409"
05-Mar-2025,975.00,"1,008.00",970.90,"1,002.70","24,72,192"
04-Mar-2025,960.00,978.10,959.95,974.10,"10,77,034"
03-Mar-2025,959.00,981.55,953.00,976.05,"17,44,769"
28-Feb-2025,968.10,968.60,940.55,950.70,"25,53,800"
27-Feb-2025,958.75,981.00,958.70,975.00,"20,49,890"
25-Feb-2025,967.00,973.45,957.50,958.75,"10,95,348"
24-Feb-2025,971.00,984.90,957.75,966.80,"18,98,963"
21-Feb-2025,979.10,990.95,975.55,981.90,"15,99,075"
20-Feb-2025,977.00,987.65,975.00,981.15,"14,74,610"
19-Feb-2025,975.60,989.90,971.10,977.35,"15,81,818"
18-Feb-2025,975.00,981.20,962.80,978.80,"18,00,070"
17-Feb-2025,964.60,975.00,954.10,973.55,"13,21,057"
14-Feb-2025,972.90,983.70,954.25,964.60,"26,90,126"
13-Feb-2025,954.00,984.00,953.25,969.80,"14,14,535"
12-Feb-2025,952.90,962.95,938.10,956.40,"27,68,806"
11-Feb-2025,950.05,967.50,948.55,954.50,"25,35,726"
10-Feb-2025,974.00,974.00,948.25,959.15,"16,65,049"
07-Feb-2025,950.95,985.00,947.80,980.75,"28,46,285"
06-Feb-2025,950.55,956.55,942.00,948.40,"30,60,140"
05-Feb-2025,941.10,954.80,941.10,949.90,"12,09,743"
04-Feb-2025,936.35,949.45,934.30,944.25,"12,62,634"
03-Feb-2025,915.00,937.45,914.00,933.95,"11,30,056"
01-Feb-2025,947.85,955.20,911.65,934.25,"13,39,508"
31-Jan-2025,949.75,959.90,940.55,945.00,"20,37,829"
30-Jan-2025,937.90,956.00,936.20,950.85,"20,20,147"
29-Jan-2025,913.60,941.05,908.00,937.60,"12,98,065"
28-Jan-2025,923.40,925.60,904.50,916.15,"11,01,031"
27-Jan-2025,901.10,927.00,901.10,919.35,"39,08,402"
24-Jan-2025,930.00,953.00,925.15,932.45,"35,38,998"
23-Jan-2025,919.05,937.35,912.80,929.90,"12,67,989"
22-Jan-2025,932.00,932.00,907.15,919.40,"10,80,075"
21-Jan-2025,925.00,933.00,919.55,926.85,"14,74,919"
20-Jan-2025,908.60,925.65,900.50,919.20,"12,99,378"
17-Jan-2025,906.80,917.50,905.25,908.60,"9,11,260"
16-Jan-2025,910.00,914.40,900.10,906.80,"19,46,590"
15-Jan-2025,910.00,912.70,901.50,904.05,"15,81,897"
14-Jan-2025,882.50,911.30,882.50,906.05,"19,48,192"
13-Jan-2025,895.95,898.70,880.00,883.75,"14,16,585"
10-Jan-2025,890.95,908.00,880.25,900.10,"16,14,629"
09-Jan-2025,901.00,908.95,888.80,890.95,"14,59,142"
08-Jan-2025,910.00,911.95,895.15,902.30,"7,44,601"
07-Jan-2025,901.55,913.70,899.20,911.80,"6,88,211"
06-Jan-2025,915.05,919.85,897.90,900.90,"11,04,617"
03-Jan-2025,914.00,924.70,908.50,915.05,"26,91,743"
02-Jan-2025,909.50,915.70,901.45,912.50,"16,36,373"
01-Jan-2025,901.15,910.00,890.70,905.45,"10,20,555"
31-Dec-2024,898.05,906.40,896.60,901.50,"10,31,176"
30-Dec-2024,913.30,916.70,895.60,898.95,"19,59,379"
27-Dec-2024,914.65,926.50,911.25,913.30,"19,17,836"
26-Dec-2024,921.85,929.40,913.10,914.45,"20,56,005"
24-Dec-2024,937.05,937.95,918.45,921.85,"20,48,135"
23-Dec-2024,936.00,950.95,921.60,937.05,"39,88,457"
20-Dec-2024,926.00,941.70,912.05,917.35,"2,90,03,345"
19-Dec-2024,934.05,942.70,921.60,925.95,"19,26,448"
18-Dec-2024,967.05,969.50,941.55,946.85,"16,12,799"
17-Dec-2024,990.35,990.80,961.00,966.85,"16,73,092"
16-Dec-2024,"1,004.00","1,006.30",984.00,990.35,"12,20,082"
13-Dec-2024,995.00,"1,003.50",973.05,999.85,"24,44,182"
12-Dec-2024,"1,005.00","1,012.95",991.00,"1,005.80","15,10,341"
11-Dec-2024,"1,015.90","1,020.50",997.10,"1,000.20","12,46,315"
