Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,923.00","1,944.00","1,904.45","1,935.20","32,07,052"
10-Mar-2025,"1,932.50","1,940.05","1,916.35","1,921.75","22,28,534"
07-Mar-2025,"1,917.00","1,940.60","1,910.05","1,935.40","27,80,338"
06-Mar-2025,"1,944.00","1,944.95","1,909.85","1,921.70","51,93,093"
05-Mar-2025,"1,903.10","1,953.65","1,895.40","1,933.10","38,11,688"
04-Mar-2025,"1,901.15","1,916.00","1,896.75","1,907.80","31,72,050"
03-Mar-2025,"1,905.55","1,923.65","1,895.20","1,914.60","26,07,790"
28-Feb-2025,"1,937.05","1,937.05","1,893.90","1,902.95","69,70,315"
27-Feb-2025,"1,972.00","1,975.00","1,939.90","1,947.55","37,08,068"
25-Feb-2025,"1,969.00","1,979.55","1,958.60","1,967.25","40,19,894"
24-Feb-2025,"1,938.30","1,970.00","1,933.55","1,966.10","22,18,081"
21-Feb-2025,"1,970.55","1,978.35","1,934.50","1,953.05","40,08,552"
20-Feb-2025,"1,982.30","1,982.35","1,960.00","1,970.55","47,24,372"
19-Feb-2025,"1,963.95","1,994.90","1,962.00","1,985.00","39,14,165"
18-Feb-2025,"1,942.05","1,966.00","1,939.15","1,963.35","43,44,125"
17-Feb-2025,"1,955.00","1,963.95","1,932.65","1,945.30","23,00,119"
14-Feb-2025,"1,974.00","1,974.00","1,933.35","1,952.40","26,10,048"
13-Feb-2025,"1,963.00","1,992.80","1,960.55","1,972.80","1,26,78,373"
12-Feb-2025,"1,923.45","1,949.00","1,904.95","1,943.95","32,19,004"
11-Feb-2025,"1,964.60","1,970.50","1,906.60","1,918.60","35,06,682"
10-Feb-2025,"1,935.30","1,965.00","1,923.55","1,960.15","35,69,373"
07-Feb-2025,"1,921.00","1,960.60","1,907.90","1,929.25","44,14,174"
06-Feb-2025,"1,917.00","1,920.00","1,896.45","1,915.95","31,93,971"
05-Feb-2025,"1,937.80","1,938.95","1,902.35","1,911.75","34,27,385"
04-Feb-2025,"1,891.05","1,941.20","1,877.20","1,928.50","53,32,618"
03-Feb-2025,"1,893.60","1,903.80","1,881.55","1,884.50","33,19,808"
