Date,Open,High,Low,Close,Volume
11-Mar-2025,"3,170.30","3,204.40","3,161.10","3,195.45","12,74,649"
10-Mar-2025,"3,246.00","3,246.30","3,169.05","3,177.70","17,77,752"
07-Mar-2025,"3,259.90","3,289.00","3,240.10","3,244.70","9,30,240"
06-Mar-2025,"3,250.10","3,266.45","3,215.00","3,259.90","18,54,837"
05-Mar-2025,"3,213.00","3,245.00","3,187.85","3,239.65","19,45,855"
04-Mar-2025,"3,171.05","3,221.00","3,167.80","3,213.00","14,42,098"
03-Mar-2025,"3,165.95","3,227.00","3,160.00","3,197.30","13,52,460"
28-Feb-2025,"3,199.80","3,199.80","3,141.00","3,163.85","24,94,680"
27-Feb-2025,"3,238.00","3,258.50","3,184.00","3,209.50","25,72,065"
25-Feb-2025,"3,233.00","3,248.95","3,206.40","3,225.90","25,29,084"
24-Feb-2025,"3,289.70","3,325.50","3,250.00","3,257.70","15,12,844"
21-Feb-2025,"3,275.80","3,324.90","3,270.90","3,315.10","17,06,850"
20-Feb-2025,"3,260.05","3,285.45","3,247.75","3,275.80","12,36,693"
19-Feb-2025,"3,220.15","3,302.85","3,211.60","3,275.90","16,77,978"
18-Feb-2025,"3,227.00","3,241.00","3,183.00","3,220.15","24,28,215"
17-Feb-2025,"3,213.55","3,239.40","3,194.55","3,221.85","19,66,689"
14-Feb-2025,"3,275.05","3,285.80","3,221.55","3,237.65","13,78,340"
13-Feb-2025,"3,289.65","3,314.90","3,252.95","3,263.65","21,27,644"
12-Feb-2025,"3,259.00","3,300.00","3,222.25","3,289.65","16,32,415"
11-Feb-2025,"3,360.95","3,361.00","3,231.00","3,239.65","25,93,537"
10-Feb-2025,"3,347.80","3,349.00","3,294.05","3,328.65","12,36,663"
07-Feb-2025,"3,367.00","3,369.95","3,311.10","3,336.90","17,22,789"
06-Feb-2025,"3,404.00","3,404.00","3,342.70","3,352.75","28,74,856"
05-Feb-2025,"3,444.65","3,450.95","3,379.45","3,383.20","26,70,316"
04-Feb-2025,"3,316.00","3,449.00","3,307.25","3,439.15","47,42,516"
03-Feb-2025,"3,420.00","3,420.00","3,270.00","3,289.20","60,77,580"
01-Feb-2025,"3,578.00","3,629.20","3,402.00","3,447.50","47,52,505"
31-Jan-2025,"3,501.05","3,590.00","3,481.05","3,567.40","39,95,513"
30-Jan-2025,"3,455.00","3,517.80","3,395.00","3,420.95","27,17,740"
29-Jan-2025,"3,431.00","3,455.00","3,412.00","3,449.70","12,38,704"
28-Jan-2025,"3,464.95","3,482.15","3,404.05","3,413.90","16,57,689"
27-Jan-2025,"3,447.20","3,493.90","3,401.15","3,457.65","15,52,938"
24-Jan-2025,"3,514.50","3,521.10","3,446.05","3,458.20","12,06,454"
23-Jan-2025,"3,492.00","3,527.80","3,460.60","3,503.25","19,93,204"
22-Jan-2025,"3,563.00","3,582.35","3,490.10","3,518.20","16,26,055"
21-Jan-2025,"3,612.75","3,643.30","3,528.10","3,541.10","25,76,596"
20-Jan-2025,"3,574.90","3,617.15","3,556.50","3,593.00","15,93,334"
17-Jan-2025,"3,524.00","3,579.85","3,511.95","3,568.65","16,00,246"
16-Jan-2025,"3,535.00","3,543.45","3,483.75","3,507.90","23,05,460"
15-Jan-2025,"3,471.30","3,526.15","3,471.30","3,501.40","11,55,446"
14-Jan-2025,"3,465.85","3,491.95","3,448.60","3,462.60","29,24,491"
13-Jan-2025,"3,505.55","3,534.50","3,448.60","3,464.30","21,37,212"
10-Jan-2025,"3,499.95","3,552.20","3,492.30","3,536.15","17,94,238"
09-Jan-2025,"3,599.90","3,606.30","3,486.00","3,527.90","29,21,681"
08-Jan-2025,"3,662.00","3,663.85","3,590.00","3,596.35","18,13,201"
07-Jan-2025,"3,607.10","3,649.85","3,595.70","3,643.30","14,53,540"
06-Jan-2025,"3,684.75","3,692.25","3,585.50","3,603.20","12,12,012"
03-Jan-2025,"3,708.00","3,719.90","3,651.45","3,659.90","12,90,107"
02-Jan-2025,"3,676.60","3,724.10","3,650.05","3,713.50","18,82,900"
01-Jan-2025,"3,600.00","3,689.00","3,599.95","3,667.50","12,02,029"
31-Dec-2024,"3,562.55","3,620.60","3,550.00","3,607.65","12,67,628"
30-Dec-2024,"3,607.90","3,623.00","3,566.00","3,578.95","15,91,690"
27-Dec-2024,"3,632.40","3,643.65","3,603.50","3,608.10","13,09,122"
26-Dec-2024,"3,658.00","3,665.15","3,610.35","3,629.50","11,24,705"
24-Dec-2024,"3,647.95","3,679.00","3,632.40","3,639.75","6,27,922"
23-Dec-2024,"3,670.00","3,700.00","3,617.05","3,640.50","12,17,612"
20-Dec-2024,"3,716.35","3,725.00","3,607.10","3,629.85","27,96,593"
19-Dec-2024,"3,702.15","3,762.20","3,700.00","3,716.35","18,56,838"
