Date,Open,High,Low,Close,Volume
11-Mar-2025,"2,684.75","2,685.00","2,613.15","2,645.60","36,16,140"
10-Mar-2025,"2,695.00","2,734.65","2,665.10","2,702.60","25,20,931"
07-Mar-2025,"2,721.30","2,765.95","2,708.10","2,727.85","18,86,774"
06-Mar-2025,"2,748.00","2,766.85","2,695.00","2,742.40","37,06,264"
05-Mar-2025,"2,661.95","2,736.90","2,642.65","2,726.60","36,65,710"
04-Mar-2025,"2,561.00","2,627.30","2,550.00","2,613.35","19,84,876"
03-Mar-2025,"2,613.80","2,695.95","2,595.00","2,611.90","43,40,806"
28-Feb-2025,"2,695.10","2,699.00","2,572.20","2,585.10","75,49,863"
27-Feb-2025,"2,837.00","2,840.00","2,703.50","2,726.55","26,69,767"
25-Feb-2025,"2,740.00","2,803.95","2,728.15","2,777.85","49,16,248"
24-Feb-2025,"2,669.00","2,716.80","2,631.15","2,709.20","61,67,313"
21-Feb-2025,"2,815.20","2,815.20","2,653.35","2,669.35","89,40,621"
20-Feb-2025,"2,745.10","2,844.50","2,690.05","2,839.45","37,99,854"
19-Feb-2025,"2,750.00","2,782.65","2,728.00","2,757.40","26,71,072"
18-Feb-2025,"2,844.00","2,845.00","2,755.90","2,790.05","23,01,836"
17-Feb-2025,"2,940.80","2,955.00","2,792.25","2,831.95","47,73,279"
14-Feb-2025,"2,999.00","3,020.00","2,907.05","2,942.60","19,59,802"
13-Feb-2025,"3,024.95","3,047.00","2,971.05","2,978.00","24,81,783"
12-Feb-2025,"3,068.55","3,075.00","2,955.10","2,987.20","46,09,887"
11-Feb-2025,"3,146.85","3,154.00","3,071.10","3,085.95","24,70,280"
10-Feb-2025,"3,209.20","3,270.95","3,128.80","3,137.25","38,52,783"
07-Feb-2025,"3,168.00","3,219.95","3,110.00","3,198.45","47,90,111"
06-Feb-2025,"3,170.00","3,180.85","3,121.25","3,139.95","23,41,341"
05-Feb-2025,"3,189.05","3,218.65","3,142.00","3,178.75","22,64,208"
04-Feb-2025,"3,225.00","3,270.55","3,137.85","3,189.05","38,62,456"
03-Feb-2025,"3,056.60","3,187.95","3,044.75","3,173.30","36,64,084"
01-Feb-2025,"2,990.00","3,098.95","2,990.00","3,076.75","26,74,573"
31-Jan-2025,"2,970.00","3,049.85","2,955.10","2,989.85","24,12,370"
30-Jan-2025,"2,924.35","3,008.90","2,919.00","2,971.45","30,55,352"
29-Jan-2025,"2,883.95","2,933.50","2,856.30","2,924.35","18,08,565"
28-Jan-2025,"2,835.00","2,925.00","2,784.00","2,870.60","24,32,787"
27-Jan-2025,"2,772.30","2,846.90","2,754.15","2,831.60","20,22,141"
24-Jan-2025,"2,875.00","2,896.00","2,790.00","2,801.40","26,65,366"
23-Jan-2025,"2,826.45","2,899.40","2,810.00","2,886.45","26,50,506"
22-Jan-2025,"2,848.00","2,851.90","2,805.85","2,826.45","31,33,157"
21-Jan-2025,"2,900.10","2,907.00","2,808.90","2,821.30","33,81,309"
20-Jan-2025,"2,910.00","2,935.95","2,877.30","2,888.10","29,05,527"
17-Jan-2025,"2,969.95","2,970.35","2,903.10","2,917.35","20,02,830"
16-Jan-2025,"2,978.15","2,997.40","2,945.00","2,980.60","25,98,449"
15-Jan-2025,"3,057.10","3,063.95","2,951.00","2,960.25","24,40,803"
14-Jan-2025,"3,000.00","3,078.45","2,999.65","3,049.50","28,51,530"
13-Jan-2025,"3,053.65","3,066.85","2,993.45","2,999.65","22,07,294"
10-Jan-2025,"3,110.00","3,149.60","3,055.00","3,092.85","23,41,303"
09-Jan-2025,"3,103.80","3,157.90","3,085.35","3,126.50","24,34,207"
08-Jan-2025,"3,135.00","3,135.00","3,057.00","3,086.10","27,15,102"
07-Jan-2025,"3,110.00","3,131.30","3,081.75","3,108.85","19,78,328"
06-Jan-2025,"3,209.60","3,235.00","3,090.10","3,105.70","26,57,204"
03-Jan-2025,"3,215.00","3,237.05","3,175.70","3,190.55","22,57,218"
