Date,Open,High,Low,Close,Volume
11-Mar-2025,"11,579.50","11,692.00","11,510.00","11,646.95","2,45,822"
10-Mar-2025,"11,600.00","11,697.90","11,533.65","11,586.05","1,53,894"
07-Mar-2025,"11,650.00","11,742.30","11,601.00","11,664.15","2,59,055"
06-Mar-2025,"11,701.00","11,729.50","11,480.00","11,666.40","3,15,309"
05-Mar-2025,"11,605.00","11,830.00","11,568.35","11,617.35","3,49,730"
04-Mar-2025,"11,690.00","11,724.25","11,591.00","11,616.25","2,55,726"
03-Mar-2025,"11,886.00","12,059.45","11,757.75","11,775.60","1,86,884"
28-Feb-2025,"12,338.50","12,338.50","11,811.70","11,945.85","6,05,149"
27-Feb-2025,"12,531.70","12,550.00","12,312.00","12,380.60","2,36,805"
25-Feb-2025,"12,388.75","12,507.40","12,350.00","12,476.35","3,63,355"
24-Feb-2025,"12,248.35","12,432.50","12,220.10","12,345.20","3,99,571"
21-Feb-2025,"12,420.00","12,438.60","12,245.00","12,323.45","4,77,013"
20-Feb-2025,"12,650.00","12,650.00","12,380.00","12,440.65","4,23,739"
19-Feb-2025,"12,727.00","12,769.15","12,651.00","12,686.15","2,88,694"
18-Feb-2025,"12,764.95","12,884.95","12,735.15","12,786.20","2,67,936"
17-Feb-2025,"12,601.60","12,774.00","12,578.10","12,762.90","1,92,210"
14-Feb-2025,"12,700.00","12,780.00","12,584.10","12,680.25","2,33,454"
13-Feb-2025,"12,675.00","12,744.95","12,614.75","12,671.30","1,86,742"
12-Feb-2025,"12,700.00","12,765.35","12,608.05","12,655.55","4,25,735"
11-Feb-2025,"12,899.95","13,017.25","12,699.45","12,724.35","3,54,195"
10-Feb-2025,"13,050.00","13,060.00","12,886.65","12,900.75","2,94,142"
07-Feb-2025,"13,060.00","13,108.50","13,012.00","13,049.50","3,55,223"
06-Feb-2025,"13,060.00","13,130.00","13,006.80","13,074.00","4,14,134"
05-Feb-2025,"13,110.00","13,150.00","13,003.50","13,086.80","2,71,633"
04-Feb-2025,"13,250.00","13,259.95","12,971.50","13,109.95","5,30,749"
03-Feb-2025,"12,990.00","13,461.20","12,921.65","13,139.95","9,26,127"
01-Feb-2025,"12,320.00","13,150.00","12,228.65","12,916.50","11,01,170"
31-Jan-2025,"12,000.00","12,390.00","12,000.00","12,310.65","7,09,009"
30-Jan-2025,"12,021.00","12,110.85","11,923.10","12,000.00","4,18,442"
29-Jan-2025,"12,120.00","12,320.70","11,885.05","11,977.90","8,17,549"
28-Jan-2025,"12,018.35","12,164.70","11,884.95","12,123.75","5,33,451"
27-Jan-2025,"11,901.90","12,046.90","11,811.05","11,993.85","2,51,783"
24-Jan-2025,"11,930.00","12,093.00","11,914.10","11,967.90","3,10,343"
23-Jan-2025,"12,005.00","12,106.30","11,961.30","12,045.75","4,80,876"
22-Jan-2025,"11,900.05","12,078.85","11,900.05","12,020.35","3,96,590"
21-Jan-2025,"12,017.05","12,139.80","11,862.05","11,883.70","3,00,038"
20-Jan-2025,"12,147.05","12,147.05","11,984.05","12,020.05","2,51,731"
17-Jan-2025,"12,101.90","12,189.90","12,004.30","12,136.35","2,85,370"
16-Jan-2025,"11,981.45","12,134.00","11,956.20","12,092.30","5,51,211"
15-Jan-2025,"11,890.55","12,192.40","11,861.00","11,947.40","6,92,822"
14-Jan-2025,"11,533.95","11,785.55","11,531.00","11,741.15","6,27,463"
13-Jan-2025,"11,468.50","11,654.45","11,468.00","11,497.70","2,53,524"
10-Jan-2025,"11,690.00","11,760.00","11,570.00","11,631.10","2,18,246"
09-Jan-2025,"11,822.00","11,850.00","11,659.65","11,740.55","2,66,413"
08-Jan-2025,"11,726.00","11,859.95","11,725.30","11,822.00","3,03,100"
07-Jan-2025,"11,755.65","11,825.95","11,673.70","11,721.30","3,08,104"
06-Jan-2025,"11,929.00","11,979.90","11,690.70","11,755.65","3,83,268"
03-Jan-2025,"11,849.95","12,049.80","11,787.95","11,934.25","7,01,315"
02-Jan-2025,"11,285.00","11,859.15","11,226.00","11,841.30","14,17,042"
01-Jan-2025,"10,858.00","11,273.95","10,800.20","11,208.30","3,83,202"
31-Dec-2024,"10,765.00","10,893.70","10,750.60","10,858.40","1,98,997"
30-Dec-2024,"10,941.05","10,950.00","10,750.10","10,798.95","3,35,481"
27-Dec-2024,"10,929.50","11,133.00","10,912.60","10,941.05","2,57,973"
26-Dec-2024,"10,770.50","10,974.80","10,770.00","10,896.00","3,49,811"
24-Dec-2024,"10,822.00","10,887.45","10,725.00","10,736.60","1,51,149"
23-Dec-2024,"10,928.00","10,989.80","10,755.40","10,822.00","2,37,165"
20-Dec-2024,"10,940.00","11,077.00","10,865.95","10,901.05","4,04,608"
19-Dec-2024,"10,888.00","11,035.40","10,852.45","10,955.35","4,35,360"
18-Dec-2024,"11,085.00","11,098.05","10,970.10","11,002.45","4,97,103"
17-Dec-2024,"11,263.00","11,272.45","11,059.70","11,108.55","2,95,445"
16-Dec-2024,"11,255.55","11,329.45","11,205.00","11,277.00","2,23,389"
13-Dec-2024,"11,137.40","11,290.00","11,033.60","11,272.55","2,63,579"
12-Dec-2024,"11,299.35","11,299.35","11,078.25","11,167.40","3,96,561"
11-Dec-2024,"11,229.90","11,320.85","11,220.60","11,277.75","2,26,584"
10-Dec-2024,"11,275.00","11,314.35","11,170.00","11,198.20","4,10,569"
09-Dec-2024,"11,322.00","11,368.90","11,252.55","11,279.80","2,54,485"
06-Dec-2024,"11,200.00","11,375.95","11,121.00","11,317.95","4,17,214"
05-Dec-2024,"11,134.95","11,270.00","11,031.00","11,182.25","5,45,501"
04-Dec-2024,"11,281.00","11,300.00","11,106.00","11,129.85","5,54,674"
03-Dec-2024,"11,250.00","11,309.00","11,203.00","11,279.25","2,58,644"
02-Dec-2024,"11,151.00","11,330.00","11,151.00","11,239.30","4,46,880"
29-Nov-2024,"10,949.95","11,130.10","10,920.00","11,074.20","3,38,207"
28-Nov-2024,"11,060.40","11,080.60","10,888.00","10,949.85","6,07,669"
27-Nov-2024,"10,936.00","11,116.90","10,870.00","11,058.35","3,43,332"
26-Nov-2024,"11,025.15","11,077.95","10,891.45","10,943.95","4,06,586"
25-Nov-2024,"11,202.00","11,247.95","10,990.05","11,025.15","6,35,726"
22-Nov-2024,"10,905.00","11,106.65","10,827.25","11,063.60","4,93,678"
21-Nov-2024,"10,921.15","10,958.20","10,770.00","10,861.45","5,40,201"
19-Nov-2024,"11,090.00","11,195.25","10,896.40","10,959.30","8,64,067"
18-Nov-2024,"10,950.00","11,182.95","10,915.00","11,093.95","3,33,440"
14-Nov-2024,"11,055.00","11,117.70","10,892.10","11,006.05","4,31,348"
13-Nov-2024,"11,140.00","11,142.85","10,864.30","11,049.60","5,07,710"
12-Nov-2024,"11,392.05","11,516.90","11,107.25","11,143.10","5,49,747"
11-Nov-2024,"11,331.50","11,518.15","11,310.00","11,399.70","4,50,681"
08-Nov-2024,"11,260.50","11,344.00","11,125.60","11,303.00","2,69,993"
07-Nov-2024,"11,305.15","11,385.00","11,186.60","11,300.15","5,30,194"
06-Nov-2024,"11,219.00","11,430.00","11,172.60","11,354.25","4,16,027"
05-Nov-2024,"11,042.00","11,275.00","11,011.90","11,170.10","3,21,159"
04-Nov-2024,"11,295.00","11,295.00","10,860.00","11,052.45","4,44,462"
01-Nov-2024,"11,150.00","11,209.55","11,080.00","11,110.00","65,670"
31-Oct-2024,"11,225.00","11,247.55","11,050.00","11,076.45","8,38,211"
30-Oct-2024,"10,979.00","11,520.00","10,945.00","11,256.45","16,72,966"
29-Oct-2024,"11,450.00","11,483.00","10,742.45","11,046.00","22,68,683"
28-Oct-2024,"11,504.80","11,632.65","11,440.00","11,483.25","6,13,830"
25-Oct-2024,"11,763.60","11,794.30","11,440.00","11,502.85","6,24,582"
24-Oct-2024,"11,998.95","11,998.95","11,636.90","11,763.70","5,52,495"
23-Oct-2024,"11,923.30","12,119.90","11,753.45","11,956.20","4,12,638"
22-Oct-2024,"12,215.95","12,289.80","11,840.00","11,923.30","9,04,901"
21-Oct-2024,"12,145.55","12,250.00","11,944.55","12,175.90","3,75,275"
18-Oct-2024,"12,070.00","12,141.25","11,844.45","12,105.10","5,06,871"
17-Oct-2024,"12,400.00","12,420.10","12,070.00","12,143.75","8,75,937"
16-Oct-2024,"12,414.05","12,454.95","12,231.00","12,383.90","4,18,138"
15-Oct-2024,"12,709.00","12,709.00","12,355.00","12,446.75","5,32,135"
14-Oct-2024,"12,775.00","12,799.00","12,462.30","12,537.85","4,88,067"
11-Oct-2024,"12,944.10","12,980.00","12,725.00","12,776.65","2,74,243"
10-Oct-2024,"12,798.90","12,965.00","12,711.50","12,944.10","4,92,698"
09-Oct-2024,"12,554.95","12,850.00","12,540.50","12,760.70","4,65,231"
08-Oct-2024,"12,502.25","12,630.10","12,462.05","12,531.95","3,87,060"
07-Oct-2024,"12,626.05","12,648.00","12,378.00","12,527.50","4,65,500"
04-Oct-2024,"12,689.90","12,877.85","12,512.50","12,605.75","6,79,362"
03-Oct-2024,"12,941.05","13,148.00","12,592.30","12,647.35","8,63,520"
01-Oct-2024,"13,238.00","13,300.45","13,000.05","13,166.00","3,88,888"
30-Sep-2024,"13,343.55","13,500.00","13,208.70","13,238.00","4,15,743"
27-Sep-2024,"13,383.00","13,541.65","13,274.45","13,495.60","8,65,698"
26-Sep-2024,"12,835.00","13,411.00","12,830.00","13,383.80","14,71,069"
25-Sep-2024,"12,727.25","12,816.20","12,611.00","12,785.30","3,41,172"
24-Sep-2024,"12,583.10","12,778.95","12,583.10","12,738.60","4,25,916"
23-Sep-2024,"12,625.00","12,749.00","12,625.00","12,683.10","2,35,586"
20-Sep-2024,"12,360.40","12,705.15","12,360.05","12,614.50","8,75,654"
19-Sep-2024,"12,259.95","12,410.00","12,206.40","12,351.50","4,65,608"
18-Sep-2024,"12,240.05","12,337.95","12,170.00","12,204.10","1,82,282"
17-Sep-2024,"12,285.00","12,285.00","12,151.65","12,245.75","5,68,161"
16-Sep-2024,"12,321.95","12,364.00","12,256.00","12,289.00","1,70,114"
13-Sep-2024,"12,365.00","12,395.00","12,291.05","12,316.05","3,61,093"
12-Sep-2024,"12,262.10","12,427.00","12,151.35","12,400.85","5,47,830"
11-Sep-2024,"12,260.00","12,334.00","12,165.00","12,242.60","3,49,799"
10-Sep-2024,"12,150.10","12,288.05","12,098.00","12,263.40","2,85,122"
09-Sep-2024,"12,197.50","12,219.85","12,102.00","12,145.75","4,15,790"
06-Sep-2024,"12,250.00","12,304.85","12,094.70","12,186.15","7,33,354"
05-Sep-2024,"12,337.00","12,370.00","12,230.00","12,298.60","5,95,865"
04-Sep-2024,"12,325.05","12,398.00","12,234.10","12,336.25","7,35,076"
03-Sep-2024,"12,474.00","12,474.30","12,359.90","12,397.10","4,45,514"
02-Sep-2024,"12,373.00","12,525.00","12,350.40","12,427.40","3,31,514"
30-Aug-2024,"12,460.00","12,570.00","12,316.20","12,403.00","22,71,179"
29-Aug-2024,"12,343.00","12,480.00","12,250.00","12,453.80","6,08,598"
28-Aug-2024,"12,500.00","12,519.95","12,330.00","12,357.50","3,13,227"
27-Aug-2024,"12,245.00","12,530.00","12,225.10","12,496.90","4,77,609"
26-Aug-2024,"12,325.00","12,334.50","12,222.00","12,243.80","2,32,805"
23-Aug-2024,"12,300.00","12,375.05","12,254.40","12,302.30","4,40,809"
22-Aug-2024,"12,280.00","12,325.00","12,181.00","12,276.35","5,01,316"
21-Aug-2024,"12,214.95","12,248.95","12,177.05","12,220.95","2,95,984"
20-Aug-2024,"12,160.50","12,310.00","12,150.10","12,214.95","4,71,927"
19-Aug-2024,"12,195.00","12,244.05","12,126.80","12,149.80","2,77,319"
16-Aug-2024,"12,314.95","12,343.95","12,111.00","12,213.30","5,52,732"
14-Aug-2024,"12,239.00","12,239.00","12,130.00","12,205.65","4,49,827"
13-Aug-2024,"12,337.00","12,340.05","12,122.00","12,176.25","4,64,483"
12-Aug-2024,"12,200.00","12,370.00","12,100.00","12,273.25","2,91,212"
09-Aug-2024,"12,390.00","12,390.00","12,195.10","12,224.20","3,20,211"
08-Aug-2024,"12,371.00","12,392.70","12,152.15","12,218.85","3,58,577"
07-Aug-2024,"12,399.00","12,450.00","12,265.90","12,371.50","4,33,514"
06-Aug-2024,"12,390.00","12,554.90","12,110.00","12,131.10","6,23,565"
05-Aug-2024,"12,490.00","12,490.00","12,027.65","12,200.85","11,31,415"
02-Aug-2024,"13,126.00","13,174.90","12,673.05","12,726.40","13,33,355"
01-Aug-2024,"13,393.00","13,680.00","13,112.00","13,359.05","20,40,384"
31-Jul-2024,"12,980.00","13,375.00","12,895.15","13,115.80","8,36,405"
30-Jul-2024,"12,760.00","12,968.80","12,709.90","12,873.65","5,26,539"
29-Jul-2024,"12,709.00","12,773.70","12,603.00","12,751.55","3,88,263"
26-Jul-2024,"12,470.00","12,743.10","12,389.20","12,663.70","5,37,693"
25-Jul-2024,"12,388.05","12,525.00","12,388.05","12,509.20","3,96,789"
24-Jul-2024,"12,634.00","12,663.20","12,458.20","12,487.25","2,85,860"
23-Jul-2024,"12,720.00","12,734.95","12,360.00","12,629.05","3,32,258"
22-Jul-2024,"12,500.00","12,658.95","12,400.05","12,641.25","2,49,631"
