Date,Open,High,Low,Close,Volume
11-Mar-2025,"2,240.80","2,272.45","2,233.75","2,251.40","4,78,555"
10-Mar-2025,"2,239.20","2,274.00","2,155.10","2,248.40","5,06,580"
07-Mar-2025,"2,201.00","2,246.00","2,191.25","2,238.45","5,25,606"
06-Mar-2025,"2,187.00","2,216.40","2,170.30","2,201.20","12,57,461"
05-Mar-2025,"2,110.00","2,209.35","2,110.00","2,197.00","8,46,664"
04-Mar-2025,"2,160.00","2,164.10","2,118.00","2,146.50","10,42,522"
03-Mar-2025,"2,188.25","2,200.00","2,150.80","2,185.55","5,21,775"
28-Feb-2025,"2,261.00","2,270.00","2,185.00","2,189.65","18,43,566"
27-Feb-2025,"2,260.20","2,281.80","2,250.00","2,278.20","7,51,003"
25-Feb-2025,"2,222.45","2,256.40","2,213.85","2,250.40","6,42,834"
24-Feb-2025,"2,199.00","2,237.85","2,196.05","2,220.40","4,84,042"
21-Feb-2025,"2,216.95","2,218.10","2,189.30","2,214.95","5,94,245"
20-Feb-2025,"2,204.95","2,214.95","2,186.80","2,206.75","6,58,467"
19-Feb-2025,"2,206.00","2,224.00","2,197.55","2,204.95","4,26,479"
18-Feb-2025,"2,216.50","2,229.50","2,199.95","2,222.40","4,53,059"
17-Feb-2025,"2,195.85","2,220.00","2,170.00","2,216.50","8,01,515"
14-Feb-2025,"2,177.55","2,225.00","2,170.05","2,195.85","9,60,861"
13-Feb-2025,"2,193.75","2,210.20","2,172.65","2,177.55","5,11,147"
12-Feb-2025,"2,214.00","2,214.00","2,171.70","2,193.75","5,03,258"
11-Feb-2025,"2,221.05","2,232.10","2,177.95","2,195.50","4,76,837"
10-Feb-2025,"2,235.00","2,252.50","2,206.20","2,221.05","7,60,181"
07-Feb-2025,"2,234.00","2,238.00","2,207.55","2,225.10","7,92,558"
06-Feb-2025,"2,269.00","2,269.00","2,227.00","2,239.45","9,86,957"
05-Feb-2025,"2,283.80","2,297.90","2,225.25","2,248.95","14,75,295"
04-Feb-2025,"2,322.40","2,322.80","2,283.70","2,299.45","12,43,517"
03-Feb-2025,"2,327.20","2,374.00","2,311.70","2,317.10","11,40,871"
01-Feb-2025,"2,313.00","2,374.00","2,257.25","2,327.20","12,46,565"
31-Jan-2025,"2,217.35","2,387.00","2,209.50","2,313.20","31,39,887"
30-Jan-2025,"2,189.00","2,232.70","2,180.70","2,217.35","5,74,560"
29-Jan-2025,"2,156.30","2,184.90","2,131.25","2,180.70","3,97,145"
28-Jan-2025,"2,174.75","2,181.85","2,142.60","2,156.30","7,21,033"
27-Jan-2025,"2,182.05","2,231.90","2,168.60","2,174.75","5,49,986"
24-Jan-2025,"2,202.00","2,222.75","2,190.10","2,207.90","6,63,600"
23-Jan-2025,"2,194.15","2,209.60","2,165.00","2,198.95","4,96,007"
22-Jan-2025,"2,196.45","2,212.95","2,194.15","2,207.80","4,48,036"
21-Jan-2025,"2,225.00","2,240.00","2,191.55","2,196.45","7,64,414"
20-Jan-2025,"2,219.20","2,225.00","2,202.35","2,214.00","4,01,108"
17-Jan-2025,"2,180.65","2,226.35","2,172.55","2,217.20","4,55,901"
16-Jan-2025,"2,205.10","2,218.25","2,156.50","2,169.30","13,25,809"
15-Jan-2025,"2,219.05","2,220.10","2,172.20","2,199.65","7,23,625"
14-Jan-2025,"2,251.20","2,256.60","2,199.25","2,219.05","7,02,549"
13-Jan-2025,"2,245.00","2,261.15","2,221.55","2,237.35","8,04,531"
10-Jan-2025,"2,272.05","2,278.00","2,241.25","2,247.90","8,09,854"
09-Jan-2025,"2,215.45","2,271.80","2,204.05","2,256.05","11,47,318"
08-Jan-2025,"2,223.00","2,224.95","2,194.55","2,219.90","4,49,500"
07-Jan-2025,"2,190.20","2,216.30","2,179.90","2,212.65","5,95,819"
06-Jan-2025,"2,243.50","2,244.90","2,170.00","2,185.00","11,38,466"
03-Jan-2025,"2,200.20","2,237.95","2,198.05","2,232.70","10,11,450"
02-Jan-2025,"2,169.00","2,207.75","2,163.15","2,200.20","6,29,164"
01-Jan-2025,"2,170.00","2,179.25","2,157.30","2,169.25","4,54,290"
31-Dec-2024,"2,155.00","2,174.55","2,147.75","2,170.05","6,35,557"
30-Dec-2024,"2,174.00","2,177.00","2,149.00","2,159.90","12,35,490"
27-Dec-2024,"2,159.00","2,169.05","2,151.00","2,165.60","4,62,667"
26-Dec-2024,"2,158.20","2,176.00","2,146.40","2,149.90","5,23,926"
24-Dec-2024,"2,151.70","2,175.00","2,151.70","2,166.70","3,22,566"
23-Dec-2024,"2,170.00","2,180.00","2,147.70","2,151.60","4,38,717"
20-Dec-2024,"2,160.00","2,175.00","2,145.40","2,163.50","16,51,762"
19-Dec-2024,"2,185.00","2,194.25","2,147.40","2,160.40","15,53,990"
18-Dec-2024,"2,202.95","2,213.95","2,180.50","2,188.05","9,66,166"
17-Dec-2024,"2,226.00","2,233.95","2,200.00","2,202.95","14,98,906"
16-Dec-2024,"2,253.50","2,257.50","2,228.55","2,238.75","6,65,686"
13-Dec-2024,"2,225.00","2,257.85","2,208.25","2,253.50","5,54,661"
12-Dec-2024,"2,249.95","2,254.00","2,215.10","2,224.05","9,65,610"
11-Dec-2024,"2,225.00","2,254.00","2,223.00","2,241.05","7,34,861"
10-Dec-2024,"2,229.00","2,240.00","2,210.00","2,214.45","9,15,298"
09-Dec-2024,"2,270.00","2,276.60","2,213.65","2,228.85","9,69,851"
06-Dec-2024,"2,266.45","2,291.95","2,255.10","2,267.80","6,45,601"
05-Dec-2024,"2,257.80","2,277.00","2,221.00","2,265.50","11,87,784"
04-Dec-2024,"2,261.00","2,275.00","2,241.45","2,257.80","9,68,869"
03-Dec-2024,"2,262.00","2,266.85","2,250.00","2,261.70","7,66,232"
02-Dec-2024,"2,242.80","2,257.00","2,223.10","2,251.85","4,68,272"
29-Nov-2024,"2,227.00","2,263.00","2,227.00","2,234.65","13,49,160"
28-Nov-2024,"2,274.05","2,289.50","2,228.00","2,236.25","12,46,378"
27-Nov-2024,"2,276.60","2,276.80","2,250.45","2,273.95","4,37,361"
26-Nov-2024,"2,270.00","2,287.95","2,250.50","2,265.25","3,17,122"
25-Nov-2024,"2,258.55","2,283.65","2,246.25","2,256.95","20,29,802"
22-Nov-2024,"2,214.20","2,252.85","2,204.20","2,247.30","7,71,958"
21-Nov-2024,"2,205.55","2,250.00","2,187.00","2,211.20","8,27,884"
19-Nov-2024,"2,225.00","2,243.65","2,203.90","2,214.15","8,06,020"
18-Nov-2024,"2,190.70","2,218.95","2,168.70","2,213.20","6,91,665"
14-Nov-2024,"2,239.05","2,244.95","2,178.40","2,182.80","11,59,238"
13-Nov-2024,"2,241.25","2,251.95","2,222.00","2,235.25","7,63,388"
12-Nov-2024,"2,290.45","2,290.45","2,241.00","2,256.20","11,05,339"
11-Nov-2024,"2,280.00","2,294.85","2,254.20","2,279.05","7,73,595"
08-Nov-2024,"2,270.00","2,298.00","2,258.80","2,295.65","8,34,995"
07-Nov-2024,"2,273.00","2,284.85","2,241.70","2,262.85","8,91,957"
06-Nov-2024,"2,268.00","2,279.70","2,258.05","2,275.60","8,06,973"
05-Nov-2024,"2,256.00","2,267.90","2,236.30","2,262.45","7,25,930"
04-Nov-2024,"2,283.00","2,287.00","2,230.90","2,246.20","9,63,160"
01-Nov-2024,"2,292.90","2,292.95","2,268.35","2,282.30","1,21,614"
31-Oct-2024,"2,287.00","2,287.00","2,260.00","2,262.95","6,59,765"
30-Oct-2024,"2,278.75","2,297.25","2,260.20","2,276.30","8,93,773"
29-Oct-2024,"2,280.00","2,285.80","2,260.75","2,267.40","9,29,831"
28-Oct-2024,"2,270.95","2,319.00","2,256.05","2,272.05","8,75,565"
25-Oct-2024,"2,269.00","2,286.50","2,257.00","2,260.70","13,41,509"
24-Oct-2024,"2,339.00","2,340.00","2,216.00","2,258.65","29,55,497"
23-Oct-2024,"2,350.05","2,374.90","2,320.10","2,327.15","7,07,261"
22-Oct-2024,"2,354.50","2,385.00","2,340.05","2,350.25","9,67,131"
21-Oct-2024,"2,360.00","2,374.00","2,333.00","2,354.65","7,48,704"
18-Oct-2024,"2,380.00","2,383.65","2,326.10","2,350.25","16,39,185"
17-Oct-2024,"2,474.95","2,474.95","2,365.00","2,378.70","26,27,754"
16-Oct-2024,"2,490.00","2,493.05","2,431.45","2,462.25","12,36,643"
15-Oct-2024,"2,502.05","2,502.05","2,472.00","2,484.25","7,95,154"
14-Oct-2024,"2,519.70","2,519.70","2,493.15","2,502.05","6,70,384"
11-Oct-2024,"2,520.00","2,522.00","2,496.10","2,511.80","6,28,464"
10-Oct-2024,"2,529.00","2,531.70","2,506.00","2,512.45","10,30,002"
09-Oct-2024,"2,579.00","2,580.00","2,468.95","2,516.00","23,66,595"
08-Oct-2024,"2,570.60","2,594.00","2,551.60","2,581.75","12,02,170"
07-Oct-2024,"2,604.95","2,620.00","2,566.90","2,573.85","11,02,858"
04-Oct-2024,"2,663.00","2,678.35","2,590.30","2,598.15","10,33,034"
03-Oct-2024,"2,685.00","2,695.00","2,650.35","2,674.85","8,12,365"
01-Oct-2024,"2,690.00","2,710.00","2,672.90","2,707.05","5,52,759"
30-Sep-2024,"2,720.00","2,740.00","2,684.80","2,689.95","8,83,192"
27-Sep-2024,"2,750.00","2,778.00","2,731.00","2,745.70","10,97,167"
26-Sep-2024,"2,707.95","2,762.45","2,707.95","2,755.50","11,58,606"
25-Sep-2024,"2,685.25","2,704.60","2,659.05","2,697.35","7,18,957"
24-Sep-2024,"2,725.00","2,766.80","2,674.00","2,696.40","15,40,033"
23-Sep-2024,"2,705.15","2,729.85","2,690.00","2,725.15","10,72,247"
20-Sep-2024,"2,644.00","2,704.25","2,631.15","2,699.55","23,22,758"
19-Sep-2024,"2,603.00","2,677.00","2,597.15","2,634.20","25,34,289"
18-Sep-2024,"2,549.95","2,601.10","2,546.00","2,597.15","11,77,029"
17-Sep-2024,"2,551.15","2,585.30","2,538.70","2,546.85","6,95,187"
16-Sep-2024,"2,530.00","2,555.60","2,500.00","2,549.60","3,94,397"
13-Sep-2024,"2,530.00","2,561.00","2,528.25","2,531.40","7,32,717"
12-Sep-2024,"2,529.90","2,540.00","2,488.00","2,527.85","15,54,879"
11-Sep-2024,"2,547.00","2,561.60","2,519.45","2,526.85","9,79,938"
10-Sep-2024,"2,529.00","2,547.90","2,514.00","2,535.50","15,22,039"
09-Sep-2024,"2,495.15","2,520.00","2,488.75","2,516.75","5,83,598"
06-Sep-2024,"2,508.60","2,519.25","2,488.05","2,503.20","8,36,700"
05-Sep-2024,"2,534.75","2,535.00","2,492.15","2,504.90","11,19,296"
04-Sep-2024,"2,525.05","2,541.45","2,513.70","2,534.75","5,02,943"
03-Sep-2024,"2,502.00","2,559.00","2,502.00","2,530.75","9,87,527"
