Date,Open,High,Low,Close,Volume
11-Mar-2025,327.0,333.25,323.7,330.3,"1,02,99,324"
10-Mar-2025,329.45,334.95,326.3,329.4,"1,13,83,132"
07-Mar-2025,335.85,338.75,328.7,329.55,"89,92,315"
06-Mar-2025,329.0,338.8,323.2,337.9,"2,62,94,903"
05-Mar-2025,313.55,327.3,313.5,326.2,"1,04,93,615"
04-Mar-2025,311.3,314.9,308.0,313.75,"87,34,999"
03-Mar-2025,311.3,317.8,307.7,314.4,"97,79,703"
28-Feb-2025,314.0,315.65,306.55,311.45,"2,11,27,180"
27-Feb-2025,315.35,319.3,314.5,315.7,"73,02,366"
25-Feb-2025,320.1,321.5,315.75,318.7,"1,06,86,112"
24-Feb-2025,322.1,325.4,319.45,320.1,"60,34,113"
21-Feb-2025,323.3,329.75,321.55,326.25,"1,08,09,296"
20-Feb-2025,312.55,327.15,311.5,325.15,"2,28,88,146"
19-Feb-2025,311.2,316.35,310.6,314.8,"1,30,79,903"
18-Feb-2025,301.15,312.4,297.5,311.2,"1,57,93,327"
17-Feb-2025,297.5,303.2,292.8,302.35,"64,64,173"
14-Feb-2025,306.85,308.25,298.35,300.35,"74,46,248"
13-Feb-2025,306.15,308.6,303.1,306.7,"90,86,906"
12-Feb-2025,306.2,307.5,300.0,306.25,"76,16,083"
11-Feb-2025,312.35,312.35,304.15,305.6,"1,32,41,830"
10-Feb-2025,316.5,316.85,309.0,310.5,"68,06,132"
07-Feb-2025,313.5,319.25,312.1,316.95,"89,37,447"
06-Feb-2025,322.6,322.7,311.4,312.8,"1,33,84,442"
05-Feb-2025,321.0,323.05,318.4,319.6,"1,22,26,722"
04-Feb-2025,314.85,320.45,310.3,319.1,"1,21,41,064"
03-Feb-2025,310.1,314.05,304.0,311.25,"1,58,81,217"
01-Feb-2025,326.05,330.8,316.75,317.7,"1,00,97,627"
31-Jan-2025,322.45,326.25,317.55,324.0,"1,31,95,557"
30-Jan-2025,322.25,326.8,321.15,323.0,"1,03,75,720"
29-Jan-2025,320.0,322.9,313.3,321.25,"1,60,56,888"
28-Jan-2025,322.5,323.85,308.15,318.25,"2,20,08,929"
27-Jan-2025,323.65,325.05,315.0,322.2,"1,38,03,855"
24-Jan-2025,324.8,329.9,322.1,323.65,"74,92,600"
23-Jan-2025,321.0,325.1,319.55,323.65,"64,77,347"
22-Jan-2025,327.0,327.0,317.35,322.4,"1,10,68,145"
21-Jan-2025,337.8,338.25,323.8,324.3,"1,27,74,630"
20-Jan-2025,326.2,337.0,324.55,336.05,"1,79,91,880"
17-Jan-2025,325.3,329.0,323.35,326.15,"71,29,232"
16-Jan-2025,324.7,327.3,321.65,325.5,"1,48,65,186"
15-Jan-2025,312.55,324.3,312.55,321.35,"2,18,94,626"
14-Jan-2025,300.45,312.7,300.2,310.4,"2,27,32,888"
13-Jan-2025,301.1,309.95,296.85,298.2,"2,96,30,336"
10-Jan-2025,320.35,321.0,307.6,308.25,"1,59,41,143"
09-Jan-2025,324.05,325.95,319.8,320.35,"1,24,03,467"
08-Jan-2025,330.5,330.5,321.85,325.4,"89,93,608"
07-Jan-2025,327.0,330.35,325.1,328.6,"1,38,91,401"
06-Jan-2025,341.7,341.7,326.45,327.5,"1,05,38,077"
03-Jan-2025,338.05,344.5,337.05,339.85,"86,89,629"
02-Jan-2025,333.65,338.6,330.0,338.0,"1,65,43,382"
01-Jan-2025,333.0,334.65,328.8,333.65,"78,43,971"
31-Dec-2024,330.1,334.6,326.2,333.35,"85,80,998"
30-Dec-2024,335.0,336.8,327.4,331.4,"3,66,57,549"
27-Dec-2024,336.65,340.0,334.2,335.0,"90,90,597"
26-Dec-2024,335.3,337.4,332.25,334.65,"90,30,212"
24-Dec-2024,335.1,336.85,331.75,335.3,"77,55,462"
23-Dec-2024,335.9,338.25,330.5,333.65,"88,84,187"
20-Dec-2024,337.8,343.9,331.0,333.25,"2,03,75,797"
19-Dec-2024,337.0,340.6,335.05,337.4,"1,45,13,129"
18-Dec-2024,349.55,351.0,340.0,341.75,"1,46,72,392"
17-Dec-2024,352.0,353.85,347.25,349.05,"1,56,46,176"
16-Dec-2024,357.15,358.9,351.7,352.9,"1,21,68,143"
13-Dec-2024,355.75,358.3,348.05,357.15,"1,42,69,143"
12-Dec-2024,366.0,367.0,353.0,355.6,"2,25,38,216"
11-Dec-2024,369.25,370.75,364.7,365.5,"99,98,662"
10-Dec-2024,369.0,371.2,366.4,369.15,"79,13,822"
09-Dec-2024,370.9,373.3,367.75,369.85,"1,08,78,679"
06-Dec-2024,369.45,371.2,368.05,369.5,"97,36,086"
05-Dec-2024,372.75,373.95,364.4,369.15,"1,87,58,283"
04-Dec-2024,368.95,375.15,368.0,372.75,"2,20,35,954"
03-Dec-2024,359.0,370.0,358.2,367.45,"1,42,05,760"
02-Dec-2024,363.65,363.9,357.0,358.2,"1,25,10,350"
29-Nov-2024,363.25,365.4,360.2,363.65,"1,42,80,017"
28-Nov-2024,369.7,371.85,359.6,362.05,"1,68,37,860"
27-Nov-2024,363.8,371.6,361.35,369.3,"1,42,25,274"
26-Nov-2024,370.0,370.4,360.25,361.65,"1,12,22,231"
25-Nov-2024,374.0,377.2,367.5,368.4,"1,83,88,844"
22-Nov-2024,357.05,367.1,355.7,365.45,"1,59,49,254"
21-Nov-2024,363.7,364.35,354.8,356.15,"2,12,76,150"
19-Nov-2024,368.0,378.5,365.05,366.7,"1,70,55,094"
18-Nov-2024,380.0,380.0,362.65,366.7,"1,63,83,636"
14-Nov-2024,380.05,385.2,371.35,372.5,"1,50,86,601"
13-Nov-2024,384.0,387.6,379.35,381.35,"2,06,02,407"
12-Nov-2024,393.15,394.8,379.05,380.3,"1,05,49,517"
11-Nov-2024,398.15,400.9,391.8,392.55,"1,22,43,693"
08-Nov-2024,403.15,404.2,395.55,397.65,"75,36,509"
07-Nov-2024,410.9,410.9,402.0,403.8,"75,89,295"
06-Nov-2024,406.7,410.8,403.15,408.9,"97,00,643"
05-Nov-2024,400.0,404.1,397.15,403.1,"66,65,326"
04-Nov-2024,413.85,414.3,393.7,400.95,"1,38,66,505"
01-Nov-2024,412.0,415.45,410.35,411.35,"21,45,479"
31-Oct-2024,409.0,410.65,403.5,408.15,"1,22,04,072"
30-Oct-2024,414.15,414.8,405.8,408.5,"1,22,64,297"
29-Oct-2024,409.0,414.3,404.45,412.15,"2,02,84,308"
28-Oct-2024,398.9,406.5,397.8,403.9,"1,17,16,022"
25-Oct-2024,402.5,407.5,391.6,398.9,"1,96,42,277"
24-Oct-2024,409.25,415.25,406.8,411.9,"94,00,171"
23-Oct-2024,414.0,414.75,401.7,408.3,"2,25,22,821"
22-Oct-2024,422.85,426.3,413.45,415.75,"1,42,42,323"
21-Oct-2024,426.05,428.75,419.1,425.0,"91,39,781"
18-Oct-2024,417.7,425.95,414.45,424.95,"88,28,971"
17-Oct-2024,423.65,425.6,416.6,417.75,"1,19,68,387"
16-Oct-2024,425.3,429.4,421.25,424.25,"62,19,440"
15-Oct-2024,426.65,427.2,423.55,426.6,"93,65,964"
14-Oct-2024,424.6,426.0,420.0,424.5,"84,83,177"
11-Oct-2024,423.95,426.65,419.6,422.5,"86,39,087"
10-Oct-2024,420.7,429.9,420.5,422.7,"1,58,66,037"
09-Oct-2024,424.45,424.75,417.0,418.45,"1,39,16,492"
08-Oct-2024,414.0,427.7,411.3,420.95,"1,87,06,355"
07-Oct-2024,430.6,433.0,409.05,415.45,"2,34,31,004"
04-Oct-2024,432.9,439.35,426.3,430.45,"1,83,47,292"
03-Oct-2024,432.0,442.5,432.0,435.35,"1,35,63,784"
01-Oct-2024,446.0,447.75,438.8,440.1,"1,59,84,996"
