Date,Open,High,Low,Close,Volume
11-Mar-2025,220.9,227.26,220.1,226.72,"1,09,41,588"
10-Mar-2025,232.89,235.0,222.48,223.19,"1,64,89,167"
07-Mar-2025,232.6,236.47,231.17,232.89,"90,79,049"
06-Mar-2025,231.49,233.57,226.71,232.6,"1,04,39,208"
05-Mar-2025,227.12,231.25,226.76,228.94,"74,66,729"
04-Mar-2025,220.1,227.75,215.48,226.76,"1,24,28,265"
03-Mar-2025,224.75,226.0,218.36,225.13,"1,19,28,529"
28-Feb-2025,230.0,230.5,223.15,225.25,"1,72,37,276"
27-Feb-2025,233.5,233.85,228.5,231.0,"96,64,032"
25-Feb-2025,235.0,236.7,232.55,233.0,"55,19,036"
24-Feb-2025,236.3,237.95,234.0,234.35,"68,83,143"
21-Feb-2025,241.9,243.05,238.1,239.9,"56,97,387"
20-Feb-2025,236.8,242.65,236.5,241.9,"89,29,816"
19-Feb-2025,236.0,238.8,234.5,238.3,"61,68,581"
18-Feb-2025,232.2,237.15,229.55,236.6,"61,70,974"
17-Feb-2025,230.2,234.3,225.05,233.65,"66,92,422"
14-Feb-2025,235.0,237.95,226.75,230.5,"80,65,352"
13-Feb-2025,238.5,239.45,234.2,234.95,"1,00,79,210"
12-Feb-2025,239.0,241.25,234.15,237.4,"59,85,956"
11-Feb-2025,242.45,242.45,236.8,238.95,"67,11,630"
10-Feb-2025,248.95,249.6,241.8,242.45,"75,82,536"
07-Feb-2025,252.95,253.85,247.5,248.9,"1,00,98,454"
06-Feb-2025,262.65,262.95,254.3,256.15,"1,23,27,998"
05-Feb-2025,259.0,263.0,257.75,261.65,"1,15,90,755"
04-Feb-2025,252.4,257.5,252.0,254.1,"84,02,532"
03-Feb-2025,255.6,256.35,244.85,249.0,"2,57,19,512"
01-Feb-2025,259.55,262.5,253.75,257.55,"1,09,21,673"
31-Jan-2025,257.01,263.49,255.21,262.61,"88,50,307"
30-Jan-2025,252.0,259.4,250.94,256.72,"1,25,88,155"
29-Jan-2025,248.9,252.0,247.0,251.4,"56,51,586"
28-Jan-2025,250.0,252.4,246.71,248.68,"80,29,472"
27-Jan-2025,255.0,256.44,249.51,250.78,"69,44,911"
24-Jan-2025,262.99,265.64,255.75,256.51,"63,06,281"
23-Jan-2025,263.0,263.83,261.17,263.05,"50,26,675"
22-Jan-2025,266.0,266.39,261.71,264.05,"79,19,682"
21-Jan-2025,268.05,269.35,264.81,265.8,"89,89,218"
20-Jan-2025,268.1,270.47,265.01,269.36,"96,76,264"
17-Jan-2025,262.0,267.0,261.3,266.57,"1,21,48,143"
16-Jan-2025,260.0,265.63,260.0,263.18,"1,41,95,450"
15-Jan-2025,260.9,264.47,257.69,258.18,"93,44,731"
14-Jan-2025,257.52,262.0,256.82,260.37,"84,70,150"
13-Jan-2025,266.03,268.6,254.61,255.73,"2,04,16,370"
10-Jan-2025,264.0,266.5,258.47,263.02,"1,30,53,552"
