Date,Open,High,Low,Close,Volume
11-Mar-2025,270.0,271.85,265.85,267.3,"92,55,499"
10-Mar-2025,261.05,274.25,261.05,271.3,"3,02,33,763"
07-Mar-2025,266.0,268.65,261.6,263.3,"1,00,43,068"
06-Mar-2025,265.15,267.3,260.7,266.65,"1,19,26,868"
05-Mar-2025,256.95,267.2,255.75,264.4,"1,45,36,637"
04-Mar-2025,250.0,257.15,249.45,254.0,"1,19,47,033"
03-Mar-2025,253.0,253.8,248.5,252.5,"98,73,539"
28-Feb-2025,255.9,257.0,247.3,250.85,"3,85,12,868"
27-Feb-2025,254.0,257.45,253.45,256.25,"1,36,14,799"
25-Feb-2025,258.8,259.95,254.9,255.75,"2,12,87,363"
24-Feb-2025,258.0,261.8,257.25,259.15,"1,45,99,185"
21-Feb-2025,265.3,265.75,259.4,261.9,"1,07,57,038"
20-Feb-2025,262.75,266.45,261.3,265.75,"1,53,12,926"
19-Feb-2025,262.5,268.5,262.3,263.05,"1,46,02,009"
18-Feb-2025,263.85,267.9,260.2,266.95,"1,04,83,635"
17-Feb-2025,256.9,264.0,252.2,263.2,"83,32,653"
14-Feb-2025,260.4,261.5,254.75,257.35,"1,13,39,563"
13-Feb-2025,257.25,261.35,256.1,259.15,"1,22,57,226"
12-Feb-2025,259.5,262.1,254.0,257.05,"1,78,61,265"
11-Feb-2025,268.7,268.8,260.0,261.45,"2,20,83,955"
10-Feb-2025,275.0,276.0,268.1,268.7,"1,67,09,670"
07-Feb-2025,273.1,281.9,270.0,278.15,"1,71,93,482"
06-Feb-2025,287.5,290.95,279.75,281.15,"2,14,18,561"
05-Feb-2025,285.6,290.75,284.55,285.2,"1,53,37,191"
04-Feb-2025,281.0,286.4,272.1,285.65,"1,98,36,427"
03-Feb-2025,290.0,292.0,278.0,283.8,"1,49,78,897"
01-Feb-2025,301.65,305.35,288.65,289.85,"69,45,157"
31-Jan-2025,297.0,303.45,295.9,301.65,"1,41,41,459"
30-Jan-2025,287.85,297.1,287.85,295.35,"1,09,69,499"
29-Jan-2025,285.35,289.15,283.3,287.85,"48,00,024"
28-Jan-2025,287.15,288.8,279.35,283.95,"1,12,98,068"
27-Jan-2025,295.0,295.0,283.75,287.0,"1,34,77,947"
24-Jan-2025,295.3,302.5,294.35,295.85,"1,11,42,914"
23-Jan-2025,297.5,299.6,293.6,294.35,"1,22,28,286"
22-Jan-2025,302.0,302.3,295.8,297.55,"97,23,333"
21-Jan-2025,307.0,309.95,301.5,302.35,"1,39,11,546"
