Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,240.00","1,249.50","1,229.75","1,247.30","1,00,89,838"
10-Mar-2025,"1,245.00","1,258.00","1,235.40","1,238.40","1,19,31,051"
07-Mar-2025,"1,216.00","1,254.80","1,212.00","1,249.80","1,64,74,965"
06-Mar-2025,"1,197.00","1,213.95","1,185.15","1,209.60","1,44,68,014"
05-Mar-2025,"1,161.00","1,183.00","1,157.00","1,175.60","86,64,095"
04-Mar-2025,"1,162.20","1,174.00","1,159.55","1,161.90","1,13,77,373"
03-Mar-2025,"1,204.00","1,206.45","1,156.00","1,171.25","1,79,44,938"
28-Feb-2025,"1,202.00","1,217.35","1,193.30","1,200.10","2,30,07,298"
27-Feb-2025,"1,212.80","1,215.00","1,200.65","1,207.10","1,15,09,215"
25-Feb-2025,"1,211.00","1,221.00","1,201.50","1,204.00","1,15,52,182"
24-Feb-2025,"1,216.55","1,223.25","1,210.50","1,214.55","71,72,498"
21-Feb-2025,"1,228.70","1,240.00","1,222.15","1,228.15","69,04,025"
20-Feb-2025,"1,223.95","1,239.35","1,222.00","1,233.00","77,95,582"
19-Feb-2025,"1,219.50","1,232.75","1,217.55","1,227.45","62,17,338"
18-Feb-2025,"1,224.85","1,229.90","1,216.10","1,225.40","66,73,250"
17-Feb-2025,"1,211.10","1,227.50","1,204.50","1,224.90","81,66,683"
14-Feb-2025,"1,219.00","1,224.00","1,205.45","1,217.25","1,02,98,145"
13-Feb-2025,"1,217.05","1,228.00","1,212.00","1,216.10","85,11,216"
12-Feb-2025,"1,219.45","1,226.90","1,193.35","1,216.55","2,11,31,654"
11-Feb-2025,"1,264.55","1,264.55","1,230.10","1,234.85","88,59,714"
10-Feb-2025,"1,264.50","1,266.50","1,245.55","1,253.65","69,70,972"
07-Feb-2025,"1,276.15","1,283.70","1,262.00","1,266.70","87,64,283"
06-Feb-2025,"1,273.70","1,288.00","1,270.35","1,281.55","99,56,001"
05-Feb-2025,"1,282.65","1,290.50","1,276.70","1,278.20","1,01,12,028"
04-Feb-2025,"1,248.05","1,288.80","1,246.60","1,285.20","1,66,91,069"
03-Feb-2025,"1,251.00","1,256.00","1,237.55","1,245.90","92,52,345"
01-Feb-2025,"1,265.10","1,270.55","1,241.00","1,264.60","71,18,453"
