Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,403.00","1,424.40","1,397.45","1,417.25","6,91,907"
10-Mar-2025,"1,419.00","1,427.75","1,404.35","1,419.45","10,92,967"
07-Mar-2025,"1,421.35","1,446.20","1,406.55","1,411.60","9,01,496"
06-Mar-2025,"1,417.10","1,426.40","1,395.00","1,421.30","16,06,815"
05-Mar-2025,"1,391.15","1,424.00","1,379.85","1,420.70","11,18,219"
04-Mar-2025,"1,392.20","1,415.00","1,390.00","1,393.10","9,77,231"
03-Mar-2025,"1,432.55","1,452.15","1,405.10","1,408.50","10,56,418"
28-Feb-2025,"1,460.00","1,462.05","1,411.85","1,430.50","23,97,364"
27-Feb-2025,"1,464.00","1,479.90","1,454.00","1,469.75","14,21,562"
25-Feb-2025,"1,480.00","1,484.05","1,463.45","1,471.75","9,64,505"
24-Feb-2025,"1,480.00","1,495.20","1,475.20","1,486.50","11,16,079"
21-Feb-2025,"1,469.70","1,501.40","1,461.70","1,495.40","10,51,158"
20-Feb-2025,"1,473.00","1,489.65","1,466.00","1,469.80","3,46,720"
19-Feb-2025,"1,475.00","1,482.20","1,465.05","1,475.60","3,91,966"
18-Feb-2025,"1,476.25","1,481.00","1,454.40","1,475.35","6,79,042"
17-Feb-2025,"1,460.50","1,481.55","1,451.85","1,476.20","7,17,439"
14-Feb-2025,"1,470.50","1,477.15","1,450.00","1,465.45","6,25,676"
13-Feb-2025,"1,452.15","1,479.40","1,446.00","1,470.50","9,83,142"
12-Feb-2025,"1,427.45","1,466.95","1,407.50","1,452.15","15,90,502"
11-Feb-2025,"1,448.20","1,450.00","1,402.90","1,419.00","14,48,104"
10-Feb-2025,"1,462.90","1,474.55","1,445.00","1,448.20","5,30,759"
07-Feb-2025,"1,472.45","1,475.95","1,454.25","1,470.95","5,62,410"
06-Feb-2025,"1,470.00","1,480.40","1,456.45","1,465.10","15,10,856"
05-Feb-2025,"1,472.40","1,484.30","1,465.00","1,469.15","7,91,375"
04-Feb-2025,"1,461.25","1,478.70","1,454.05","1,472.40","6,14,905"
03-Feb-2025,"1,434.35","1,481.90","1,434.35","1,459.95","11,27,198"
01-Feb-2025,"1,475.60","1,528.00","1,372.55","1,454.35","43,29,907"
31-Jan-2025,"1,479.70","1,490.00","1,467.00","1,483.60","8,92,312"
30-Jan-2025,"1,465.90","1,480.00","1,453.90","1,472.90","10,16,159"
29-Jan-2025,"1,419.50","1,470.10","1,410.50","1,460.90","10,21,447"
28-Jan-2025,"1,420.00","1,435.70","1,411.85","1,419.50","15,27,262"
27-Jan-2025,"1,435.00","1,445.95","1,416.00","1,424.40","8,96,819"
24-Jan-2025,"1,451.30","1,455.60","1,418.15","1,440.40","15,04,123"
23-Jan-2025,"1,458.05","1,463.70","1,447.15","1,449.85","13,01,601"
22-Jan-2025,"1,466.10","1,470.75","1,450.05","1,460.05","6,31,080"
21-Jan-2025,"1,499.70","1,505.95","1,460.00","1,466.55","8,77,160"
20-Jan-2025,"1,547.80","1,547.80","1,487.30","1,499.70","40,33,718"
17-Jan-2025,"1,519.50","1,555.00","1,500.00","1,540.50","26,03,818"
16-Jan-2025,"1,486.00","1,545.00","1,486.00","1,513.60","29,29,496"
15-Jan-2025,"1,504.50","1,504.85","1,469.35","1,472.75","14,33,596"
