Date,Open,High,Low,Close,Volume
11-Mar-2025,724.9,734.05,722.7,729.85,"55,38,789"
10-Mar-2025,732.75,738.5,726.6,728.9,"74,00,109"
07-Mar-2025,732.05,734.85,728.0,732.75,"72,46,729"
06-Mar-2025,736.0,736.75,727.0,732.05,"1,09,28,847"
05-Mar-2025,717.55,731.3,717.0,730.35,"1,04,09,805"
04-Mar-2025,693.0,718.45,692.1,716.05,"1,43,86,214"
03-Mar-2025,690.15,697.4,680.0,695.3,"1,05,98,479"
28-Feb-2025,700.9,701.35,682.6,688.8,"1,57,80,609"
27-Feb-2025,716.0,717.7,701.1,703.9,"1,20,33,139"
25-Feb-2025,718.95,718.95,710.0,710.9,"85,99,635"
24-Feb-2025,710.5,719.75,710.5,716.4,"69,12,148"
21-Feb-2025,727.3,731.7,720.0,722.0,"65,71,602"
20-Feb-2025,724.9,731.5,723.35,729.7,"74,23,268"
19-Feb-2025,722.05,734.85,722.05,727.3,"67,66,606"
18-Feb-2025,727.7,728.25,717.35,725.8,"85,62,003"
17-Feb-2025,719.05,728.75,711.55,727.7,"90,93,600"
14-Feb-2025,730.95,732.9,716.2,722.15,"1,04,17,539"
13-Feb-2025,734.4,737.5,726.15,727.65,"1,23,70,571"
12-Feb-2025,733.15,738.7,717.15,733.15,"1,26,97,743"
11-Feb-2025,737.45,740.15,726.55,731.1,"1,30,17,060"
10-Feb-2025,740.0,743.9,733.4,736.8,"1,26,67,049"
07-Feb-2025,759.8,759.9,731.75,737.2,"3,72,40,692"
06-Feb-2025,769.0,770.85,750.05,752.25,"3,27,45,391"
05-Feb-2025,780.0,782.0,765.0,766.05,"1,34,19,162"
04-Feb-2025,767.0,781.25,765.65,779.2,"1,20,20,807"
03-Feb-2025,762.8,762.8,753.15,760.95,"78,62,190"
01-Feb-2025,774.8,778.75,752.15,766.0,"93,63,077"
31-Jan-2025,764.9,777.55,759.5,772.9,"1,00,83,763"
30-Jan-2025,758.55,765.0,754.75,762.6,"1,10,85,824"
29-Jan-2025,753.0,760.8,749.8,758.45,"92,51,973"
28-Jan-2025,757.0,759.75,745.4,752.4,"1,41,40,860"
27-Jan-2025,740.0,755.35,735.9,749.2,"1,14,33,353"
24-Jan-2025,749.9,753.7,739.0,744.15,"1,05,79,213"
23-Jan-2025,750.0,755.65,743.1,745.9,"1,09,86,405"
22-Jan-2025,762.0,763.0,738.0,753.45,"99,08,339"
21-Jan-2025,784.8,784.9,756.05,759.05,"1,37,51,780"
20-Jan-2025,769.0,785.0,767.85,779.25,"91,98,929"
17-Jan-2025,766.3,767.95,759.4,764.1,"57,66,573"
16-Jan-2025,760.4,776.7,760.4,766.3,"1,18,16,079"
15-Jan-2025,753.15,758.9,750.0,753.7,"77,92,299"
14-Jan-2025,732.95,757.0,732.95,748.15,"1,19,60,975"
13-Jan-2025,741.5,743.95,722.5,729.5,"1,04,14,733"
10-Jan-2025,760.35,763.4,742.05,743.25,"1,17,79,296"
09-Jan-2025,771.15,771.35,726.25,760.45,"1,53,51,029"
08-Jan-2025,780.9,783.95,760.1,771.15,"1,56,41,490"
07-Jan-2025,779.85,783.85,774.85,778.75,"96,69,152"
06-Jan-2025,797.4,797.6,773.15,776.4,"1,14,19,367"
