Date,Open,High,Low,Close,Volume
11-Mar-2025,624.20,640.00,615.55,638.25,"67,34,891"
10-Mar-2025,631.55,641.50,622.85,625.60,"49,06,168"
07-Mar-2025,644.35,647.65,627.45,630.85,"58,29,062"
06-Mar-2025,638.80,650.80,637.00,644.35,"80,75,827"
05-Mar-2025,626.60,637.50,621.50,631.30,"95,32,495"
04-Mar-2025,618.60,635.40,613.40,632.90,"53,69,562"
03-Mar-2025,625.30,630.00,614.90,621.30,"1,02,84,029"
28-Feb-2025,609.95,620.00,602.25,617.30,"2,37,71,834"
27-Feb-2025,581.30,608.80,580.30,606.80,"1,70,99,035"
25-Feb-2025,581.80,586.75,571.50,574.25,"62,22,936"
24-Feb-2025,576.00,581.75,568.80,577.20,"45,23,171"
21-Feb-2025,580.85,594.70,576.70,585.10,"93,28,402"
20-Feb-2025,557.00,582.25,557.00,580.85,"75,90,778"
19-Feb-2025,547.80,559.75,546.50,557.80,"40,66,886"
18-Feb-2025,550.95,554.45,539.10,553.35,"29,88,732"
17-Feb-2025,537.00,553.00,525.10,550.35,"43,97,756"
14-Feb-2025,550.95,554.95,526.80,539.15,"67,63,071"
13-Feb-2025,547.00,560.25,538.00,548.65,"57,23,009"
12-Feb-2025,538.55,551.50,527.00,547.15,"54,67,745"
11-Feb-2025,566.00,566.00,534.00,538.55,"64,16,783"
10-Feb-2025,561.70,566.60,546.50,560.80,"42,53,881"
07-Feb-2025,567.90,579.10,554.85,559.55,"57,47,620"
06-Feb-2025,570.00,570.00,554.35,566.35,"63,45,455"
05-Feb-2025,577.00,590.80,568.40,571.30,"69,53,215"
04-Feb-2025,556.00,579.90,545.40,576.75,"1,22,90,382"
03-Feb-2025,525.00,558.00,516.00,546.15,"74,42,129"
01-Feb-2025,547.90,549.65,518.00,531.80,"38,74,882"
31-Jan-2025,546.40,550.90,536.20,543.75,"40,58,608"
30-Jan-2025,553.50,560.00,536.85,538.30,"71,72,857"
29-Jan-2025,531.15,555.65,530.25,553.50,"91,35,552"
28-Jan-2025,520.05,541.80,508.60,530.10,"1,62,22,471"
27-Jan-2025,525.90,530.65,508.15,511.65,"85,23,575"
24-Jan-2025,531.95,541.80,509.15,527.45,"76,02,501"
23-Jan-2025,518.65,533.45,511.60,529.80,"51,50,004"
22-Jan-2025,520.35,528.35,513.05,518.65,"58,95,189"
21-Jan-2025,518.00,530.75,513.45,520.30,"77,53,705"
20-Jan-2025,511.00,521.50,493.35,516.70,"1,27,01,612"
