Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,616.10","1,663.60","1,605.35","1,655.30","33,25,416"
10-Mar-2025,"1,621.95","1,641.45","1,602.75","1,611.50","16,00,589"
07-Mar-2025,"1,624.00","1,628.75","1,605.65","1,609.30","9,80,890"
06-Mar-2025,"1,598.25","1,617.90","1,572.55","1,614.00","24,58,676"
05-Mar-2025,"1,564.60","1,586.30","1,553.05","1,582.45","24,28,171"
04-Mar-2025,"1,585.00","1,590.00","1,556.00","1,566.50","17,17,135"
03-Mar-2025,"1,585.30","1,607.40","1,582.20","1,585.10","14,25,492"
28-Feb-2025,"1,671.00","1,671.00","1,586.40","1,593.25","35,49,979"
27-Feb-2025,"1,628.95","1,653.10","1,605.05","1,647.50","27,44,489"
25-Feb-2025,"1,639.50","1,647.80","1,606.25","1,613.60","28,36,717"
24-Feb-2025,"1,629.75","1,669.90","1,627.05","1,639.50","23,57,441"
21-Feb-2025,"1,678.05","1,684.40","1,632.00","1,643.75","22,44,190"
20-Feb-2025,"1,667.15","1,677.95","1,663.00","1,669.30","16,70,915"
19-Feb-2025,"1,665.10","1,699.00","1,647.10","1,676.60","25,76,319"
18-Feb-2025,"1,714.20","1,729.75","1,698.40","1,701.60","21,63,972"
17-Feb-2025,"1,700.50","1,735.35","1,696.05","1,714.20","22,77,889"
14-Feb-2025,"1,747.35","1,748.95","1,685.00","1,700.50","21,23,774"
13-Feb-2025,"1,700.00","1,752.75","1,699.95","1,746.35","27,50,390"
12-Feb-2025,"1,706.45","1,714.95","1,688.05","1,693.85","17,57,284"
11-Feb-2025,"1,725.20","1,734.20","1,695.05","1,699.75","27,79,274"
10-Feb-2025,"1,741.25","1,750.00","1,723.70","1,732.10","12,37,839"
07-Feb-2025,"1,751.40","1,753.00","1,727.30","1,749.80","13,71,545"
06-Feb-2025,"1,753.00","1,768.35","1,736.30","1,742.00","34,21,791"
05-Feb-2025,"1,773.80","1,773.80","1,735.20","1,752.75","17,87,905"
04-Feb-2025,"1,749.30","1,776.25","1,740.65","1,765.25","27,96,294"
03-Feb-2025,"1,781.45","1,785.90","1,710.55","1,740.60","22,10,231"
01-Feb-2025,"1,740.00","1,789.00","1,733.30","1,742.20","14,77,972"
31-Jan-2025,"1,742.00","1,769.85","1,706.05","1,743.95","42,75,269"
30-Jan-2025,"1,740.45","1,760.30","1,725.30","1,739.10","20,17,991"
29-Jan-2025,"1,705.50","1,744.00","1,696.00","1,735.35","14,33,336"
28-Jan-2025,"1,779.80","1,780.00","1,693.10","1,705.50","59,72,497"
27-Jan-2025,"1,818.10","1,824.25","1,774.30","1,786.85","14,52,975"
24-Jan-2025,"1,829.00","1,843.10","1,808.20","1,822.20","12,77,935"
23-Jan-2025,"1,788.10","1,839.75","1,786.05","1,833.60","19,74,760"
22-Jan-2025,"1,777.00","1,803.60","1,773.85","1,798.95","22,62,270"
21-Jan-2025,"1,772.10","1,805.75","1,759.50","1,762.70","24,89,267"
20-Jan-2025,"1,789.35","1,800.45","1,768.30","1,778.25","13,41,246"
17-Jan-2025,"1,779.00","1,791.95","1,767.60","1,786.55","11,63,986"
16-Jan-2025,"1,775.05","1,775.60","1,740.80","1,763.30","21,80,496"
15-Jan-2025,"1,772.80","1,775.00","1,747.70","1,756.85","8,57,867"
14-Jan-2025,"1,755.00","1,784.05","1,742.10","1,770.85","19,62,645"
13-Jan-2025,"1,784.60","1,785.55","1,742.45","1,746.90","16,45,287"
10-Jan-2025,"1,825.45","1,834.60","1,772.75","1,784.80","8,57,827"
09-Jan-2025,"1,841.00","1,841.00","1,814.00","1,826.35","11,99,181"
08-Jan-2025,"1,862.60","1,862.60","1,829.20","1,837.75","12,98,188"
07-Jan-2025,"1,848.55","1,865.00","1,845.65","1,853.40","16,15,649"
06-Jan-2025,"1,850.50","1,856.50","1,825.65","1,847.40","13,97,724"
03-Jan-2025,"1,878.00","1,884.00","1,844.00","1,849.65","15,15,825"
02-Jan-2025,"1,892.00","1,896.00","1,864.95","1,878.00","25,07,223"
01-Jan-2025,"1,889.90","1,902.95","1,878.65","1,889.95","13,38,092"
31-Dec-2024,"1,876.80","1,910.00","1,868.80","1,886.35","18,44,944"
30-Dec-2024,"1,862.05","1,895.75","1,855.00","1,883.90","60,21,550"
27-Dec-2024,"1,845.50","1,866.00","1,836.75","1,861.25","16,68,898"
26-Dec-2024,"1,820.00","1,845.05","1,814.40","1,841.35","14,02,706"
24-Dec-2024,"1,814.90","1,831.75","1,803.15","1,819.00","11,21,058"
23-Dec-2024,"1,811.00","1,828.00","1,796.65","1,814.60","12,99,181"
20-Dec-2024,"1,823.30","1,825.95","1,794.10","1,808.85","25,13,418"
19-Dec-2024,"1,801.00","1,829.40","1,790.80","1,823.30","19,24,091"
18-Dec-2024,"1,798.00","1,822.45","1,792.80","1,801.05","17,32,860"
17-Dec-2024,"1,810.00","1,815.75","1,783.10","1,789.05","16,08,164"
16-Dec-2024,"1,818.70","1,822.50","1,792.35","1,809.80","14,83,330"
13-Dec-2024,"1,804.75","1,816.80","1,774.05","1,813.45","13,91,111"
12-Dec-2024,"1,819.00","1,820.00","1,798.05","1,805.45","10,82,394"
11-Dec-2024,"1,824.30","1,826.35","1,805.05","1,814.00","17,45,911"
10-Dec-2024,"1,821.00","1,823.00","1,796.00","1,809.95","20,43,634"
09-Dec-2024,"1,814.80","1,819.95","1,796.70","1,806.65","15,28,215"
06-Dec-2024,"1,815.85","1,823.95","1,801.00","1,804.85","15,90,478"
05-Dec-2024,"1,808.70","1,825.95","1,775.40","1,813.45","27,42,263"
04-Dec-2024,"1,810.50","1,814.85","1,785.00","1,800.20","23,20,116"
