Date,Open,High,Low,Close,Volume
11-Mar-2025,956.00,962.40,930.10,959.85,"27,48,541"
10-Mar-2025,960.00,969.30,953.00,957.30,"16,60,207"
07-Mar-2025,957.00,967.40,950.15,962.05,"9,45,675"
06-Mar-2025,964.00,965.00,943.05,958.15,"24,21,530"
05-Mar-2025,948.50,965.95,948.00,956.80,"27,73,457"
04-Mar-2025,945.10,957.85,943.15,954.55,"19,16,433"
03-Mar-2025,963.70,970.00,948.40,953.90,"13,23,481"
28-Feb-2025,995.00,"1,001.50",957.35,963.70,"50,82,193"
27-Feb-2025,"1,005.00","1,010.15",998.25,"1,008.00","13,62,115"
25-Feb-2025,994.00,"1,010.00",993.15,"1,004.85","16,63,313"
24-Feb-2025,990.00,"1,011.10",990.00,"1,002.40","10,02,365"
21-Feb-2025,"1,008.00","1,013.65",991.45,"1,004.00","13,30,146"
20-Feb-2025,"1,020.00","1,030.25","1,003.65","1,008.90","8,78,748"
19-Feb-2025,"1,024.00","1,032.85","1,021.30","1,025.30","7,82,204"
18-Feb-2025,"1,019.10","1,027.95","1,018.55","1,026.95","7,89,814"
17-Feb-2025,"1,022.00","1,027.45","1,005.05","1,023.25","9,25,113"
14-Feb-2025,"1,027.90","1,037.85","1,018.00","1,022.55","20,32,391"
13-Feb-2025,"1,029.75","1,037.00","1,016.85","1,022.80","11,69,309"
12-Feb-2025,"1,019.00","1,039.00","1,010.05","1,029.75","10,82,392"
11-Feb-2025,"1,029.90","1,035.45","1,009.10","1,013.80","12,04,012"
10-Feb-2025,"1,020.00","1,036.85","1,015.80","1,027.50","14,18,998"
07-Feb-2025,"1,031.90","1,031.90","1,012.55","1,021.20","9,41,811"
06-Feb-2025,"1,020.40","1,026.30","1,010.15","1,023.35","11,72,479"
05-Feb-2025,"1,035.10","1,035.25","1,010.55","1,015.30","16,28,436"
04-Feb-2025,"1,040.00","1,043.80","1,019.05","1,034.20","22,51,233"
03-Feb-2025,"1,067.35","1,074.45","1,033.65","1,036.30","12,98,543"
01-Feb-2025,"1,026.00","1,075.00","1,014.75","1,069.85","30,77,657"
31-Jan-2025,970.00,"1,031.20",967.90,"1,024.65","50,28,986"
30-Jan-2025,965.95,975.00,953.00,966.70,"17,06,978"
29-Jan-2025,961.25,966.65,938.00,960.50,"14,79,070"
28-Jan-2025,970.95,979.25,958.00,961.25,"16,47,098"
27-Jan-2025,989.05,998.40,960.00,965.80,"18,06,238"
24-Jan-2025,988.75,"1,004.00",986.40,992.35,"22,01,712"
23-Jan-2025,967.35,993.50,961.15,983.90,"12,35,360"
22-Jan-2025,976.90,981.70,958.15,967.40,"17,59,236"
21-Jan-2025,961.05,978.00,957.90,972.10,"22,81,022"
20-Jan-2025,960.00,968.60,944.45,960.30,"7,02,848"
17-Jan-2025,942.00,959.35,935.35,954.45,"6,77,451"
16-Jan-2025,960.00,960.00,926.05,937.70,"20,19,985"
15-Jan-2025,963.15,963.15,944.60,955.55,"31,90,709"
14-Jan-2025,965.70,977.00,958.60,963.15,"15,58,290"
13-Jan-2025,945.20,969.05,945.00,965.45,"18,76,479"
10-Jan-2025,965.20,980.00,959.00,972.80,"14,43,387"
09-Jan-2025,957.45,982.80,954.50,970.10,"21,30,681"
08-Jan-2025,955.00,963.85,945.45,961.60,"12,35,226"
07-Jan-2025,952.00,972.00,949.75,955.00,"24,13,582"
06-Jan-2025,935.00,955.00,929.10,946.90,"26,92,614"
03-Jan-2025,932.70,941.90,926.00,939.45,"18,32,664"
02-Jan-2025,921.00,931.25,913.05,929.65,"17,05,632"
01-Jan-2025,913.00,922.50,911.00,920.30,"6,41,424"
31-Dec-2024,899.00,917.15,893.10,914.70,"11,20,133"
30-Dec-2024,907.95,912.00,898.70,903.50,"18,30,048"
27-Dec-2024,902.00,911.40,899.00,907.95,"8,70,974"
26-Dec-2024,908.00,911.35,898.60,900.95,"5,95,956"
24-Dec-2024,904.95,912.95,896.80,907.30,"10,38,280"
23-Dec-2024,894.95,906.00,890.00,902.75,"10,54,695"
20-Dec-2024,907.00,916.50,882.90,889.45,"24,41,036"
19-Dec-2024,908.00,918.00,901.10,907.10,"25,89,001"
18-Dec-2024,905.00,916.90,904.45,909.35,"11,54,541"
17-Dec-2024,920.35,922.00,900.00,904.90,"15,97,108"
16-Dec-2024,929.70,934.65,917.00,920.35,"8,48,667"
13-Dec-2024,919.25,931.00,907.40,929.70,"12,78,151"
12-Dec-2024,937.00,938.45,916.00,921.25,"19,13,140"
11-Dec-2024,931.40,942.95,929.40,935.05,"13,56,603"
10-Dec-2024,938.50,938.60,925.20,926.75,"19,90,270"
09-Dec-2024,974.00,974.00,931.50,933.95,"36,79,131"
06-Dec-2024,970.00,976.40,964.10,974.45,"18,93,714"
05-Dec-2024,965.00,970.95,946.25,966.45,"20,43,341"
04-Dec-2024,956.00,963.85,949.65,961.20,"12,36,061"
03-Dec-2024,958.05,959.75,948.65,955.00,"13,46,981"
02-Dec-2024,958.65,962.85,947.30,957.00,"9,16,920"
29-Nov-2024,941.80,964.40,941.50,958.65,"14,82,253"
28-Nov-2024,960.00,972.70,938.30,941.05,"18,34,887"
27-Nov-2024,964.00,965.10,952.70,960.05,"7,86,040"
26-Nov-2024,960.00,967.45,951.95,963.55,"6,38,057"
25-Nov-2024,950.00,962.75,946.60,955.70,"24,68,847"
22-Nov-2024,916.25,948.50,912.85,945.20,"14,27,895"
21-Nov-2024,917.15,922.00,900.50,911.70,"15,50,618"
19-Nov-2024,935.00,940.50,915.05,917.15,"18,44,903"
18-Nov-2024,929.80,942.50,916.00,930.75,"21,93,819"
14-Nov-2024,950.00,955.25,922.00,925.00,"19,50,720"
13-Nov-2024,965.00,969.95,950.00,952.75,"9,48,691"
12-Nov-2024,975.95,986.35,965.55,967.55,"9,68,082"
11-Nov-2024,993.20,997.95,973.25,975.95,"11,08,758"
08-Nov-2024,989.00,997.30,975.40,992.95,"9,73,252"
07-Nov-2024,"1,007.50","1,010.00",983.55,984.85,"11,44,864"
06-Nov-2024,"1,002.00","1,010.65",997.90,"1,007.05","6,83,591"
05-Nov-2024,985.10,"1,013.10",985.10,"1,000.75","11,63,041"
04-Nov-2024,998.00,"1,000.95",976.05,994.60,"14,27,199"
01-Nov-2024,"1,002.55","1,012.00","1,000.00","1,004.10","2,12,772"
31-Oct-2024,"1,025.00","1,027.90",997.10,"1,002.55","13,81,633"
30-Oct-2024,991.25,"1,027.00",988.15,"1,022.70","20,48,134"
29-Oct-2024,982.00,995.30,973.80,992.05,"12,56,095"
28-Oct-2024,973.05,983.35,964.00,975.90,"23,64,081"
25-Oct-2024,996.90,"1,003.55",970.50,973.05,"22,58,366"
24-Oct-2024,"1,017.95","1,022.10",994.90,996.45,"20,14,701"
23-Oct-2024,"1,000.00","1,016.80",995.00,"1,014.55","19,36,612"
22-Oct-2024,"1,023.30","1,023.85",994.50,998.25,"27,42,491"
21-Oct-2024,"1,047.00","1,059.45",986.35,"1,017.05","1,14,84,692"
18-Oct-2024,"1,090.15","1,098.15","1,072.05","1,093.25","9,53,926"
17-Oct-2024,"1,113.00","1,117.00","1,087.65","1,090.15","9,75,432"
16-Oct-2024,"1,115.20","1,120.00","1,102.10","1,113.95","7,38,403"
15-Oct-2024,"1,116.00","1,119.00","1,106.10","1,115.25","7,68,815"
14-Oct-2024,"1,120.00","1,138.00","1,105.60","1,113.55","5,13,799"
11-Oct-2024,"1,118.00","1,122.35","1,101.65","1,113.10","5,69,469"
10-Oct-2024,"1,117.80","1,129.00","1,111.40","1,114.15","11,76,370"
09-Oct-2024,"1,127.00","1,132.00","1,110.00","1,117.80","13,22,027"
08-Oct-2024,"1,111.40","1,124.40","1,105.45","1,119.05","17,38,272"
07-Oct-2024,"1,130.40","1,142.65","1,106.95","1,111.40","15,42,124"
04-Oct-2024,"1,150.00","1,154.75","1,125.20","1,130.40","17,73,781"
03-Oct-2024,"1,186.00","1,190.00","1,150.15","1,152.75","19,12,206"
01-Oct-2024,"1,196.95","1,205.45","1,191.60","1,196.25","8,92,381"
30-Sep-2024,"1,194.95","1,213.65","1,194.95","1,196.95","12,23,096"
27-Sep-2024,"1,213.95","1,215.70","1,199.00","1,201.55","21,77,204"
26-Sep-2024,"1,195.00","1,217.00","1,191.15","1,213.45","23,23,705"
25-Sep-2024,"1,213.90","1,216.00","1,182.05","1,189.60","24,48,744"
