Date,Open,High,Low,Close,Volume
11-Mar-2025,640.00,651.15,638.45,648.05,"95,34,750"
10-Mar-2025,648.30,654.25,643.35,648.15,"1,03,09,166"
07-Mar-2025,640.00,651.50,635.00,648.30,"1,01,23,450"
06-Mar-2025,653.25,655.95,635.60,639.65,"1,69,91,501"
05-Mar-2025,619.00,641.60,618.60,640.80,"1,23,73,061"
04-Mar-2025,613.45,629.15,613.00,619.20,"1,18,78,225"
03-Mar-2025,620.65,626.85,606.30,621.15,"1,83,62,700"
28-Feb-2025,645.00,645.00,618.45,620.65,"2,04,77,619"
27-Feb-2025,662.00,665.00,645.65,648.55,"1,22,81,857"
25-Feb-2025,667.75,672.50,660.00,661.60,"1,02,51,257"
24-Feb-2025,670.00,676.60,666.00,668.25,"88,61,769"
21-Feb-2025,686.00,690.00,671.10,673.20,"1,45,77,524"
20-Feb-2025,680.00,692.85,675.00,689.80,"86,73,335"
19-Feb-2025,681.75,690.95,675.05,681.00,"99,86,815"
18-Feb-2025,686.60,687.95,672.15,682.40,"78,10,143"
17-Feb-2025,678.00,690.70,667.05,686.60,"1,03,13,575"
14-Feb-2025,685.95,690.95,669.15,680.65,"99,68,127"
13-Feb-2025,684.35,693.15,679.35,683.85,"84,90,769"
12-Feb-2025,680.00,687.55,667.05,684.35,"1,23,12,424"
11-Feb-2025,696.00,697.00,675.10,677.75,"1,19,39,990"
10-Feb-2025,709.75,709.90,693.05,696.00,"1,09,81,963"
07-Feb-2025,711.00,715.95,703.10,706.75,"1,22,59,132"
06-Feb-2025,723.00,723.40,708.15,709.65,"1,00,16,927"
05-Feb-2025,711.00,725.45,710.70,717.05,"1,29,07,325"
04-Feb-2025,696.30,713.35,693.75,710.55,"1,67,92,005"
03-Feb-2025,700.00,700.00,686.00,687.45,"1,78,06,760"
01-Feb-2025,719.50,724.75,700.90,706.55,"1,40,87,493"
31-Jan-2025,706.00,717.00,696.45,716.10,"1,91,57,717"
30-Jan-2025,709.00,710.70,683.20,696.85,"5,93,90,998"
29-Jan-2025,731.50,755.00,726.55,752.50,"1,24,61,404"
28-Jan-2025,716.50,740.85,707.50,728.25,"1,61,04,653"
27-Jan-2025,732.95,732.95,709.30,713.05,"1,41,23,990"
24-Jan-2025,750.05,754.15,732.20,734.10,"95,13,166"
23-Jan-2025,742.75,759.70,739.80,752.50,"79,16,689"
22-Jan-2025,764.15,765.45,731.00,742.75,"1,24,18,474"
21-Jan-2025,775.00,786.65,758.40,760.75,"1,16,57,178"
20-Jan-2025,780.00,783.00,767.00,774.35,"99,56,101"
17-Jan-2025,773.90,785.50,772.25,779.75,"70,07,239"
16-Jan-2025,769.90,781.00,767.35,774.35,"86,80,163"
15-Jan-2025,771.00,785.00,756.05,763.60,"1,05,00,910"
14-Jan-2025,751.50,779.00,751.50,770.50,"1,13,77,053"
13-Jan-2025,769.00,773.55,748.80,751.00,"1,22,30,175"
10-Jan-2025,780.05,787.95,766.80,774.65,"1,11,44,005"
09-Jan-2025,800.00,810.00,769.45,780.10,"1,79,48,464"
08-Jan-2025,792.60,797.00,781.65,794.95,"1,18,61,066"
07-Jan-2025,776.00,796.95,772.50,793.25,"1,55,47,971"
06-Jan-2025,797.70,797.70,765.30,776.25,"1,69,48,151"
03-Jan-2025,768.00,800.60,761.45,790.40,"2,47,73,025"
02-Jan-2025,759.30,767.35,749.35,765.05,"1,52,94,572"
01-Jan-2025,740.45,751.10,736.00,749.25,"77,92,251"
31-Dec-2024,733.65,743.40,732.75,740.15,"70,92,699"
30-Dec-2024,753.90,754.90,730.70,733.65,"1,74,41,198"
27-Dec-2024,749.00,766.85,745.70,750.50,"1,58,35,079"
26-Dec-2024,736.10,747.80,735.55,740.80,"93,43,210"
24-Dec-2024,723.50,745.30,722.50,736.10,"1,25,53,555"
23-Dec-2024,733.70,734.40,717.70,722.20,"96,53,868"
20-Dec-2024,744.30,749.55,721.50,724.05,"1,79,62,656"
19-Dec-2024,744.45,755.80,741.40,744.05,"1,71,19,599"
18-Dec-2024,774.00,774.25,754.00,755.70,"1,90,85,263"
17-Dec-2024,785.50,796.35,778.00,779.75,"1,02,70,253"
16-Dec-2024,791.40,793.95,783.00,784.80,"1,00,15,361"
13-Dec-2024,789.00,792.50,775.00,790.30,"1,41,01,869"
12-Dec-2024,799.20,802.00,785.50,786.35,"1,06,02,758"
11-Dec-2024,802.90,806.95,798.20,799.10,"77,63,357"
10-Dec-2024,804.80,810.45,797.45,799.90,"1,31,13,082"
09-Dec-2024,816.80,820.35,797.00,798.75,"1,55,73,233"
06-Dec-2024,793.00,818.85,785.30,816.80,"1,97,16,910"
05-Dec-2024,793.00,797.50,781.00,792.55,"1,21,69,428"
04-Dec-2024,805.00,806.00,784.05,788.10,"1,23,92,259"
03-Dec-2024,795.00,806.00,790.00,801.25,"98,74,135"
02-Dec-2024,787.30,796.75,785.00,790.05,"84,25,826"
29-Nov-2024,779.50,789.40,777.05,786.45,"1,03,58,590"
28-Nov-2024,783.00,792.55,778.00,779.45,"1,09,39,142"
27-Nov-2024,785.05,791.90,779.10,783.95,"1,00,14,685"
