Date,Open,High,Low,Close,Volume
11-Mar-2025,148.1,151.7,148.0,150.75,"3,59,16,900"
10-Mar-2025,151.56,154.24,150.41,151.05,"5,44,50,331"
07-Mar-2025,149.74,152.45,149.27,151.56,"8,18,21,791"
06-Mar-2025,146.79,152.2,146.2,150.44,"7,91,21,467"
05-Mar-2025,139.0,146.49,139.0,146.1,"6,21,09,377"
04-Mar-2025,136.15,140.94,135.81,139.34,"2,86,34,645"
03-Mar-2025,137.0,139.05,134.31,138.57,"3,11,54,401"
28-Feb-2025,137.8,137.8,134.06,137.2,"4,55,40,594"
27-Feb-2025,137.21,138.99,135.88,138.69,"3,07,47,044"
25-Feb-2025,138.49,139.35,136.7,137.07,"2,35,75,603"
24-Feb-2025,138.81,140.66,136.66,137.65,"2,51,93,205"
21-Feb-2025,137.91,141.6,137.15,140.76,"4,19,87,785"
20-Feb-2025,135.27,138.36,135.0,138.04,"2,41,39,808"
19-Feb-2025,134.5,136.88,133.03,135.76,"1,84,47,487"
18-Feb-2025,134.29,134.9,131.75,134.54,"2,39,57,576"
17-Feb-2025,132.91,134.8,130.73,134.29,"2,11,89,637"
14-Feb-2025,136.25,139.25,133.33,134.47,"4,14,69,242"
13-Feb-2025,132.28,137.69,131.86,136.25,"5,20,36,196"
12-Feb-2025,129.35,133.29,128.31,132.28,"3,79,27,696"
11-Feb-2025,133.0,134.34,129.7,130.11,"2,36,35,428"
10-Feb-2025,138.1,138.1,133.0,134.04,"2,61,20,805"
07-Feb-2025,133.3,138.75,132.56,138.31,"5,29,50,146"
06-Feb-2025,134.5,134.87,132.02,132.54,"2,24,08,168"
05-Feb-2025,133.15,135.39,133.08,134.4,"1,69,58,362"
04-Feb-2025,132.8,134.34,131.87,133.42,"2,50,32,519"
03-Feb-2025,131.29,132.51,127.81,131.82,"2,77,65,357"
01-Feb-2025,135.0,135.5,130.25,132.97,"2,11,73,846"
31-Jan-2025,131.12,135.0,129.93,134.62,"2,66,89,228"
30-Jan-2025,130.8,132.15,130.1,131.12,"2,52,56,096"
29-Jan-2025,129.0,131.34,128.55,130.8,"1,66,74,706"
28-Jan-2025,126.37,130.49,124.74,128.62,"4,03,73,804"
27-Jan-2025,129.02,129.45,125.74,126.37,"2,46,50,571"
24-Jan-2025,130.5,133.2,129.31,129.74,"3,70,92,106"
23-Jan-2025,127.85,130.75,127.7,130.37,"2,07,22,538"
22-Jan-2025,130.25,130.35,127.12,128.92,"2,75,05,569"
21-Jan-2025,132.06,132.4,129.25,129.7,"3,22,38,213"
20-Jan-2025,130.99,132.1,128.91,131.66,"2,05,71,916"
17-Jan-2025,127.9,131.16,127.64,130.28,"2,74,21,959"
16-Jan-2025,128.0,128.47,126.56,127.81,"2,21,64,393"
15-Jan-2025,128.0,128.31,125.78,126.53,"1,87,73,125"
14-Jan-2025,122.94,127.64,122.94,126.93,"3,68,77,365"
