Date,Open,High,Low,Close,Volume
11-Mar-2025,"3,558.00","3,588.75","3,537.65","3,575.30","19,95,450"
10-Mar-2025,"3,606.50","3,622.10","3,582.60","3,589.65","10,04,626"
07-Mar-2025,"3,600.00","3,625.00","3,574.40","3,611.20","20,51,315"
06-Mar-2025,"3,557.00","3,609.45","3,536.10","3,601.60","27,86,513"
05-Mar-2025,"3,520.85","3,600.35","3,520.85","3,547.05","25,01,894"
04-Mar-2025,"3,474.00","3,551.00","3,464.30","3,532.05","27,97,737"
03-Mar-2025,"3,485.00","3,523.25","3,476.15","3,493.05","49,90,439"
28-Feb-2025,"3,584.95","3,600.00","3,457.00","3,483.25","70,85,018"
27-Feb-2025,"3,611.70","3,638.00","3,600.70","3,612.55","38,23,856"
25-Feb-2025,"3,625.00","3,658.00","3,621.25","3,629.55","41,01,954"
24-Feb-2025,"3,743.15","3,763.20","3,670.00","3,675.60","25,08,516"
21-Feb-2025,"3,776.10","3,817.00","3,775.00","3,786.00","18,33,931"
20-Feb-2025,"3,761.50","3,788.00","3,751.30","3,779.40","28,88,572"
19-Feb-2025,"3,872.20","3,874.95","3,768.15","3,784.10","43,66,672"
18-Feb-2025,"3,898.40","3,924.40","3,864.50","3,873.20","21,49,879"
17-Feb-2025,"3,856.50","3,934.00","3,856.20","3,904.50","17,99,806"
14-Feb-2025,"3,925.00","3,948.00","3,900.00","3,934.85","16,81,975"
13-Feb-2025,"3,968.00","3,984.45","3,902.25","3,910.15","22,77,310"
12-Feb-2025,"3,971.10","4,021.75","3,940.15","3,950.15","16,78,002"
11-Feb-2025,"4,018.40","4,040.00","3,955.00","3,963.55","18,10,908"
10-Feb-2025,"4,040.00","4,052.00","4,014.35","4,036.95","13,39,511"
07-Feb-2025,"4,090.00","4,090.00","4,008.00","4,029.40","15,48,940"
06-Feb-2025,"4,105.40","4,139.50","4,051.55","4,082.75","22,84,536"
05-Feb-2025,"4,150.00","4,150.00","4,076.00","4,091.10","16,93,912"
04-Feb-2025,"4,083.70","4,118.85","4,066.05","4,107.05","25,47,132"
03-Feb-2025,"4,030.90","4,077.00","3,998.70","4,068.65","12,65,713"
01-Feb-2025,"4,113.00","4,135.90","4,056.00","4,073.15","4,37,172"
31-Jan-2025,"4,110.00","4,128.45","4,085.25","4,112.40","14,92,943"
30-Jan-2025,"4,099.90","4,129.90","4,058.50","4,100.05","15,31,251"
29-Jan-2025,"4,054.00","4,107.85","4,054.00","4,099.80","12,17,089"
28-Jan-2025,"4,070.80","4,102.00","4,028.30","4,040.30","24,68,272"
27-Jan-2025,"4,102.00","4,156.35","4,041.05","4,065.15","15,51,782"
24-Jan-2025,"4,104.00","4,178.00","4,104.00","4,152.35","19,10,099"
23-Jan-2025,"4,168.00","4,191.35","4,140.05","4,145.45","18,22,998"
22-Jan-2025,"4,050.00","4,163.15","4,044.20","4,156.60","24,09,223"
21-Jan-2025,"4,095.30","4,111.00","4,030.00","4,035.85","19,71,591"
20-Jan-2025,"4,145.80","4,145.80","4,068.10","4,077.80","12,87,799"
17-Jan-2025,"4,159.90","4,160.60","4,100.05","4,124.30","17,61,466"
16-Jan-2025,"4,260.00","4,294.00","4,191.85","4,206.30","26,37,705"
15-Jan-2025,"4,218.00","4,256.45","4,207.45","4,249.60","16,53,474"
14-Jan-2025,"4,302.00","4,313.90","4,219.05","4,233.05","34,41,709"
13-Jan-2025,"4,245.00","4,322.95","4,227.40","4,291.10","40,03,771"
10-Jan-2025,"4,200.00","4,297.00","4,170.00","4,265.65","78,94,300"
09-Jan-2025,"4,101.00","4,137.75","4,025.30","4,038.85","23,92,472"
08-Jan-2025,"4,034.90","4,126.00","4,017.75","4,108.40","21,81,277"
07-Jan-2025,"4,114.95","4,140.35","4,011.55","4,028.30","26,69,054"
06-Jan-2025,"4,105.50","4,149.65","4,066.40","4,095.00","20,85,593"
03-Jan-2025,"4,179.95","4,179.95","4,092.30","4,099.90","17,91,953"
02-Jan-2025,"4,120.00","4,183.00","4,096.95","4,175.75","17,20,835"
01-Jan-2025,"4,094.40","4,134.00","4,085.45","4,112.45","7,63,161"
31-Dec-2024,"4,135.00","4,139.95","4,032.05","4,094.80","15,55,429"
30-Dec-2024,"4,151.00","4,199.30","4,112.00","4,158.80","15,27,169"
27-Dec-2024,"4,163.00","4,180.95","4,147.25","4,164.85","8,58,100"
26-Dec-2024,"4,179.50","4,199.95","4,143.15","4,169.10","12,08,464"
24-Dec-2024,"4,158.30","4,218.00","4,158.30","4,179.50","11,81,886"
23-Dec-2024,"4,200.05","4,217.00","4,114.90","4,158.30","21,95,338"
20-Dec-2024,"4,329.00","4,382.00","4,152.50","4,170.30","41,16,989"
19-Dec-2024,"4,282.00","4,364.00","4,262.00","4,271.90","30,15,763"
18-Dec-2024,"4,311.70","4,362.00","4,289.60","4,347.85","15,75,404"
17-Dec-2024,"4,410.00","4,432.95","4,318.00","4,328.50","32,25,027"
16-Dec-2024,"4,459.00","4,475.00","4,397.00","4,415.20","16,46,224"
13-Dec-2024,"4,434.95","4,494.90","4,394.40","4,473.90","19,67,048"
12-Dec-2024,"4,430.05","4,485.00","4,426.00","4,454.95","19,14,642"
11-Dec-2024,"4,431.85","4,448.65","4,407.00","4,427.45","16,35,256"
10-Dec-2024,"4,426.15","4,493.80","4,412.10","4,432.55","20,87,828"
09-Dec-2024,"4,430.45","4,469.40","4,415.55","4,452.15","20,66,639"
06-Dec-2024,"4,453.00","4,465.00","4,412.75","4,445.50","18,42,087"
05-Dec-2024,"4,400.80","4,489.00","4,360.00","4,464.05","37,46,747"
04-Dec-2024,"4,313.55","4,386.95","4,289.05","4,354.40","33,02,642"
03-Dec-2024,"4,314.35","4,325.00","4,265.45","4,302.75","20,10,905"
02-Dec-2024,"4,270.00","4,288.20","4,230.05","4,276.65","16,70,944"
29-Nov-2024,"4,220.00","4,298.70","4,195.65","4,270.85","20,17,425"
28-Nov-2024,"4,319.00","4,339.95","4,233.00","4,244.90","25,58,544"
27-Nov-2024,"4,358.95","4,377.40","4,324.05","4,332.55","15,58,993"
26-Nov-2024,"4,321.05","4,366.60","4,310.00","4,352.70","20,60,669"
25-Nov-2024,"4,280.00","4,328.10","4,252.20","4,315.10","40,52,167"
22-Nov-2024,"4,071.00","4,254.95","4,054.00","4,244.60","30,96,553"
21-Nov-2024,"4,044.90","4,092.45","4,024.00","4,072.85","23,84,347"
19-Nov-2024,"4,019.90","4,132.15","4,014.10","4,039.55","17,76,233"
18-Nov-2024,"4,213.00","4,213.00","3,990.20","4,019.50","33,13,944"
14-Nov-2024,"4,135.00","4,160.00","4,116.45","4,145.90","18,25,432"
13-Nov-2024,"4,178.10","4,196.75","4,131.05","4,150.35","10,98,813"
12-Nov-2024,"4,216.00","4,218.00","4,164.35","4,197.40","15,87,640"
11-Nov-2024,"4,128.20","4,234.30","4,117.65","4,198.70","14,06,487"
08-Nov-2024,"4,155.00","4,169.75","4,117.65","4,147.00","16,48,039"
07-Nov-2024,"4,169.70","4,205.80","4,085.05","4,150.90","37,24,349"
06-Nov-2024,"4,003.60","4,149.80","3,975.25","4,139.65","37,92,017"
05-Nov-2024,"3,941.10","3,986.00","3,941.10","3,971.35","9,67,590"
04-Nov-2024,"3,966.30","3,991.90","3,913.25","3,964.15","22,69,192"
01-Nov-2024,"3,989.85","3,998.95","3,976.05","3,984.20","1,54,895"
31-Oct-2024,"4,070.00","4,078.30","3,960.00","3,968.45","37,40,372"
30-Oct-2024,"4,075.00","4,107.00","4,060.05","4,084.65","19,35,002"
29-Oct-2024,"4,095.85","4,103.50","4,060.10","4,075.25","14,45,885"
28-Oct-2024,"4,068.95","4,134.00","4,051.00","4,090.85","15,32,534"
25-Oct-2024,"4,057.05","4,092.00","4,032.70","4,057.55","17,59,676"
24-Oct-2024,"4,004.00","4,079.00","4,004.00","4,047.90","26,76,744"
23-Oct-2024,"3,999.60","4,113.55","3,995.15","4,066.25","19,66,476"
22-Oct-2024,"4,066.00","4,089.80","4,006.35","4,015.50","19,28,049"
21-Oct-2024,"4,132.60","4,139.95","4,070.00","4,079.85","15,95,450"
18-Oct-2024,"4,090.00","4,146.15","4,080.00","4,123.05","23,61,000"
17-Oct-2024,"4,112.80","4,129.95","4,092.95","4,109.00","25,22,659"
16-Oct-2024,"4,085.00","4,115.00","4,067.20","4,094.95","23,59,151"
15-Oct-2024,"4,131.05","4,169.95","4,095.00","4,116.80","27,59,474"
14-Oct-2024,"4,140.00","4,165.40","4,122.20","4,136.65","21,37,590"
11-Oct-2024,"4,143.00","4,241.95","4,112.45","4,149.20","57,59,183"
10-Oct-2024,"4,253.25","4,293.85","4,198.60","4,227.40","23,78,875"
09-Oct-2024,"4,260.00","4,295.00","4,246.70","4,252.95","10,82,504"
08-Oct-2024,"4,272.60","4,279.40","4,203.95","4,253.25","15,41,867"
07-Oct-2024,"4,273.90","4,297.25","4,229.40","4,272.85","14,72,619"
04-Oct-2024,"4,225.00","4,298.00","4,224.05","4,252.25","29,65,463"
03-Oct-2024,"4,262.60","4,279.00","4,210.00","4,232.75","33,50,119"
01-Oct-2024,"4,255.55","4,295.75","4,242.95","4,287.90","18,23,365"
30-Sep-2024,"4,286.90","4,298.75","4,260.05","4,268.50","25,03,416"
27-Sep-2024,"4,335.00","4,378.00","4,300.05","4,308.70","30,12,477"
26-Sep-2024,"4,260.00","4,316.80","4,260.00","4,292.50","39,64,251"
25-Sep-2024,"4,252.35","4,289.60","4,240.00","4,274.75","27,13,073"
