Date,Open,High,Low,Close,Volume
11-Mar-2025,"1,464.50","1,487.40","1,453.60","1,479.20","17,69,157"
10-Mar-2025,"1,492.35","1,500.00","1,482.50","1,486.85","7,98,491"
07-Mar-2025,"1,501.95","1,507.20","1,482.00","1,492.35","8,93,696"
06-Mar-2025,"1,541.00","1,550.80","1,500.95","1,503.45","22,46,380"
05-Mar-2025,"1,488.25","1,549.00","1,487.50","1,538.10","19,67,418"
04-Mar-2025,"1,475.00","1,499.45","1,433.05","1,488.25","23,86,196"
03-Mar-2025,"1,500.00","1,531.50","1,476.20","1,493.05","28,51,006"
28-Feb-2025,"1,570.00","1,572.90","1,478.40","1,487.85","41,55,992"
27-Feb-2025,"1,575.00","1,595.70","1,569.90","1,588.25","22,08,643"
25-Feb-2025,"1,608.05","1,614.00","1,589.00","1,593.95","14,25,126"
24-Feb-2025,"1,630.00","1,643.95","1,604.25","1,613.70","16,72,609"
21-Feb-2025,"1,657.75","1,664.95","1,642.20","1,649.50","14,79,239"
20-Feb-2025,"1,680.00","1,693.65","1,655.00","1,657.85","14,85,087"
19-Feb-2025,"1,694.05","1,712.40","1,675.05","1,685.80","11,13,961"
18-Feb-2025,"1,668.00","1,708.95","1,664.05","1,705.00","26,54,136"
17-Feb-2025,"1,655.90","1,667.95","1,631.00","1,664.95","11,14,005"
14-Feb-2025,"1,685.00","1,694.00","1,652.05","1,659.10","9,61,944"
13-Feb-2025,"1,675.00","1,689.45","1,640.55","1,675.30","15,55,491"
12-Feb-2025,"1,680.00","1,690.00","1,668.80","1,680.20","18,89,477"
11-Feb-2025,"1,706.00","1,709.00","1,663.20","1,669.10","18,00,036"
10-Feb-2025,"1,683.00","1,703.75","1,673.20","1,699.05","12,35,699"
07-Feb-2025,"1,675.00","1,695.60","1,657.90","1,692.10","15,82,031"
06-Feb-2025,"1,670.00","1,684.70","1,650.00","1,669.60","12,88,106"
05-Feb-2025,"1,662.85","1,671.00","1,644.40","1,661.00","14,49,280"
04-Feb-2025,"1,662.75","1,676.95","1,645.05","1,659.05","14,67,006"
03-Feb-2025,"1,630.00","1,664.05","1,605.15","1,654.70","14,15,698"
01-Feb-2025,"1,674.50","1,685.90","1,636.70","1,646.40","4,10,470"
31-Jan-2025,"1,675.00","1,695.00","1,665.25","1,674.45","10,65,425"
30-Jan-2025,"1,685.00","1,704.90","1,657.00","1,670.10","8,68,832"
29-Jan-2025,"1,663.95","1,685.00","1,654.05","1,681.15","11,46,508"
28-Jan-2025,"1,655.95","1,664.65","1,638.00","1,648.35","18,20,874"
27-Jan-2025,"1,710.00","1,713.90","1,645.00","1,653.90","11,74,799"
24-Jan-2025,"1,719.00","1,736.40","1,705.35","1,723.05","12,57,165"
23-Jan-2025,"1,671.00","1,729.50","1,671.00","1,713.40","22,55,334"
22-Jan-2025,"1,642.70","1,688.75","1,635.25","1,683.95","24,78,559"
21-Jan-2025,"1,674.60","1,703.55","1,636.10","1,640.50","25,00,061"
