Date,Open,High,Low,Close,Volume
11-Mar-2025,"3,015.00","3,055.90","3,010.00","3,046.40","5,76,260"
10-Mar-2025,"3,080.00","3,083.00","3,021.10","3,026.80","8,55,408"
07-Mar-2025,"3,121.10","3,124.60","3,074.65","3,079.35","10,20,056"
06-Mar-2025,"3,091.20","3,131.65","3,047.00","3,121.10","13,99,483"
05-Mar-2025,"3,048.50","3,107.45","3,035.70","3,086.55","5,79,883"
04-Mar-2025,"3,050.00","3,070.00","3,017.00","3,048.50","11,86,136"
03-Mar-2025,"3,090.00","3,102.10","3,057.75","3,082.00","5,16,171"
28-Feb-2025,"3,202.00","3,217.95","3,060.00","3,077.25","13,22,618"
27-Feb-2025,"3,198.80","3,228.00","3,176.95","3,223.10","6,04,023"
25-Feb-2025,"3,140.00","3,211.50","3,136.55","3,198.80","6,42,281"
24-Feb-2025,"3,131.00","3,187.95","3,131.00","3,173.00","4,31,232"
21-Feb-2025,"3,191.45","3,205.95","3,162.25","3,179.90","4,07,794"
20-Feb-2025,"3,210.00","3,218.65","3,188.15","3,191.45","6,53,151"
19-Feb-2025,"3,220.00","3,253.65","3,191.80","3,210.30","5,21,953"
18-Feb-2025,"3,234.80","3,244.00","3,192.30","3,221.85","5,92,636"
17-Feb-2025,"3,195.25","3,238.50","3,176.00","3,233.20","7,12,614"
14-Feb-2025,"3,236.30","3,253.00","3,186.45","3,213.25","5,87,411"
13-Feb-2025,"3,250.25","3,277.95","3,215.20","3,231.50","7,27,243"
12-Feb-2025,"3,282.75","3,317.40","3,212.60","3,255.45","7,74,619"
11-Feb-2025,"3,334.70","3,348.00","3,271.60","3,281.80","9,03,965"
10-Feb-2025,"3,415.00","3,425.00","3,311.00","3,327.45","9,04,436"
07-Feb-2025,"3,414.90","3,453.90","3,388.20","3,424.80","7,40,155"
06-Feb-2025,"3,490.90","3,504.25","3,397.85","3,410.75","10,59,617"
05-Feb-2025,"3,596.00","3,652.00","3,472.20","3,490.90","21,65,947"
04-Feb-2025,"3,590.00","3,614.00","3,520.00","3,597.70","12,79,779"
03-Feb-2025,"3,565.00","3,642.55","3,551.75","3,580.30","15,43,897"
01-Feb-2025,"3,527.00","3,635.15","3,408.00","3,552.00","21,86,692"
31-Jan-2025,"3,400.00","3,527.45","3,392.40","3,490.25","12,12,261"
30-Jan-2025,"3,370.65","3,390.00","3,345.20","3,368.40","6,88,608"
29-Jan-2025,"3,339.20","3,375.00","3,309.05","3,370.75","5,70,137"
28-Jan-2025,"3,319.35","3,370.85","3,299.55","3,325.90","5,79,957"
27-Jan-2025,"3,388.00","3,401.95","3,307.25","3,319.35","6,18,309"
24-Jan-2025,"3,407.00","3,447.65","3,380.45","3,402.15","5,64,244"
23-Jan-2025,"3,356.45","3,433.00","3,325.50","3,398.55","7,13,603"
22-Jan-2025,"3,354.80","3,385.00","3,334.65","3,356.45","5,98,329"
21-Jan-2025,"3,400.95","3,412.70","3,335.15","3,353.35","10,16,047"
20-Jan-2025,"3,374.10","3,407.70","3,347.50","3,382.25","7,22,342"
17-Jan-2025,"3,319.90","3,368.00","3,285.05","3,357.40","5,59,153"
16-Jan-2025,"3,327.00","3,338.85","3,282.00","3,316.90","11,70,734"
15-Jan-2025,"3,322.00","3,340.50","3,283.00","3,323.50","11,69,593"
14-Jan-2025,"3,400.00","3,429.00","3,310.00","3,322.50","11,33,561"
13-Jan-2025,"3,380.00","3,467.00","3,352.50","3,382.75","12,82,557"
10-Jan-2025,"3,462.00","3,488.00","3,428.75","3,440.25","5,70,060"
09-Jan-2025,"3,485.95","3,506.45","3,461.55","3,487.05","8,26,237"
08-Jan-2025,"3,487.65","3,514.50","3,391.30","3,484.05","13,17,377"
07-Jan-2025,"3,490.00","3,576.70","3,485.00","3,505.10","23,89,563"
06-Jan-2025,"3,490.00","3,528.50","3,441.20","3,470.40","21,45,936"
03-Jan-2025,"3,395.00","3,481.95","3,377.95","3,451.65","16,30,862"
02-Jan-2025,"3,264.00","3,400.95","3,251.00","3,388.95","11,52,493"
01-Jan-2025,"3,248.00","3,269.90","3,244.05","3,253.85","3,57,376"
31-Dec-2024,"3,250.00","3,275.65","3,230.80","3,253.15","6,16,440"
30-Dec-2024,"3,309.95","3,317.95","3,247.45","3,257.35","9,41,859"
27-Dec-2024,"3,319.85","3,345.00","3,301.10","3,309.20","5,68,989"
26-Dec-2024,"3,365.00","3,371.85","3,312.65","3,323.05","6,37,094"
24-Dec-2024,"3,385.35","3,419.00","3,338.20","3,353.40","4,85,245"
23-Dec-2024,"3,378.10","3,406.30","3,336.65","3,396.95","6,91,202"
20-Dec-2024,"3,350.00","3,419.00","3,333.15","3,356.25","12,35,769"
19-Dec-2024,"3,349.60","3,399.95","3,332.00","3,356.85","7,32,634"
18-Dec-2024,"3,401.20","3,424.00","3,390.00","3,401.90","6,46,145"
17-Dec-2024,"3,422.05","3,449.40","3,397.60","3,406.10","10,05,604"
16-Dec-2024,"3,505.00","3,511.00","3,429.00","3,438.20","12,95,227"
13-Dec-2024,"3,420.00","3,518.00","3,380.25","3,508.85","12,42,351"
12-Dec-2024,"3,470.50","3,473.10","3,412.00","3,445.75","9,26,472"
11-Dec-2024,"3,484.75","3,490.75","3,460.30","3,473.10","5,54,702"
10-Dec-2024,"3,470.00","3,516.95","3,436.05","3,475.75","10,63,355"
09-Dec-2024,"3,467.50","3,488.25","3,446.90","3,468.20","9,26,422"
06-Dec-2024,"3,453.95","3,499.65","3,430.00","3,470.10","12,78,516"
05-Dec-2024,"3,374.95","3,465.40","3,353.60","3,441.05","23,83,630"
04-Dec-2024,"3,342.00","3,383.00","3,338.00","3,364.45","16,30,076"
03-Dec-2024,"3,290.00","3,338.70","3,276.60","3,332.75","11,62,310"
02-Dec-2024,"3,249.00","3,309.90","3,222.05","3,306.85","9,15,980"
29-Nov-2024,"3,212.35","3,260.00","3,212.35","3,249.00","11,39,585"
28-Nov-2024,"3,292.00","3,305.00","3,200.35","3,212.35","17,01,387"
27-Nov-2024,"3,325.00","3,329.90","3,280.15","3,291.65","7,32,835"
26-Nov-2024,"3,310.00","3,343.75","3,295.70","3,327.50","7,21,345"
25-Nov-2024,"3,360.00","3,369.85","3,298.05","3,309.10","18,92,510"
22-Nov-2024,"3,174.85","3,317.00","3,152.15","3,308.70","22,07,527"
21-Nov-2024,"3,225.00","3,233.95","3,148.35","3,178.45","15,82,159"
19-Nov-2024,"3,192.00","3,283.00","3,172.30","3,224.70","11,74,506"
18-Nov-2024,"3,183.70","3,207.20","3,157.50","3,172.30","9,43,251"
14-Nov-2024,"3,145.05","3,195.15","3,136.00","3,183.70","11,61,637"
13-Nov-2024,"3,175.00","3,221.60","3,162.20","3,187.85","9,11,537"
12-Nov-2024,"3,201.65","3,239.00","3,185.00","3,198.45","9,92,983"
11-Nov-2024,"3,191.60","3,230.05","3,158.25","3,206.60","10,54,929"
08-Nov-2024,"3,121.00","3,192.90","3,106.00","3,186.25","17,19,882"
07-Nov-2024,"3,180.00","3,186.05","3,108.10","3,120.85","16,08,603"
06-Nov-2024,"3,145.00","3,208.95","3,114.00","3,177.05","45,22,923"
05-Nov-2024,"3,206.00","3,258.90","3,185.00","3,230.25","8,72,402"
04-Nov-2024,"3,318.00","3,318.00","3,190.10","3,222.00","11,22,152"
