Date,Open,High,Low,Close,Volume
11-Mar-2025,"4,739.70","5,045.00","4,722.95","4,995.45","14,37,957"
10-Mar-2025,"4,990.00","4,997.85","4,787.75","4,799.70","12,17,553"
07-Mar-2025,"5,075.00","5,099.95","4,985.00","4,999.85","6,90,809"
06-Mar-2025,"5,174.50","5,174.50","4,970.95","5,069.50","14,99,675"
05-Mar-2025,"4,987.00","5,320.00","4,987.00","5,106.10","21,28,488"
04-Mar-2025,"4,898.90","5,069.90","4,865.70","4,999.80","8,98,723"
03-Mar-2025,"4,900.05","5,022.95","4,775.00","4,946.90","14,15,550"
28-Feb-2025,"4,760.00","4,876.40","4,715.00","4,851.55","21,78,604"
27-Feb-2025,"4,951.00","4,959.00","4,770.10","4,805.30","9,97,906"
25-Feb-2025,"5,090.00","5,129.25","4,936.30","4,959.90","9,76,304"
24-Feb-2025,"4,998.60","5,080.00","4,928.25","5,066.00","8,23,625"
21-Feb-2025,"5,088.00","5,167.95","5,023.00","5,048.20","9,12,164"
20-Feb-2025,"4,960.00","5,137.30","4,951.45","5,099.50","8,12,700"
19-Feb-2025,"4,960.00","5,103.30","4,940.00","4,991.45","7,64,148"
18-Feb-2025,"5,100.00","5,119.45","4,928.25","4,997.75","7,21,122"
17-Feb-2025,"5,110.00","5,159.30","4,998.15","5,096.45","10,78,162"
14-Feb-2025,"5,268.00","5,325.00","5,033.20","5,117.35","8,88,168"
13-Feb-2025,"5,246.65","5,378.00","5,204.30","5,256.80","9,86,050"
12-Feb-2025,"5,228.35","5,290.00","5,113.30","5,237.30","13,13,946"
11-Feb-2025,"5,211.55","5,250.00","5,135.00","5,228.35","15,96,380"
10-Feb-2025,"5,460.00","5,490.00","5,170.00","5,196.75","15,29,876"
07-Feb-2025,"5,321.40","5,517.75","5,255.00","5,454.40","28,46,965"
06-Feb-2025,"5,845.00","5,845.00","5,245.00","5,277.10","60,21,478"
05-Feb-2025,"5,765.70","5,906.20","5,725.40","5,749.95","14,28,644"
04-Feb-2025,"6,169.95","6,190.00","5,653.45","5,750.30","26,02,288"
03-Feb-2025,"6,210.00","6,232.50","6,035.95","6,135.10","14,98,258"
01-Feb-2025,"5,780.00","6,270.40","5,677.05","6,189.50","21,20,509"
31-Jan-2025,"5,569.00","5,817.65","5,527.75","5,753.20","10,29,356"
30-Jan-2025,"5,600.00","5,634.00","5,456.80","5,511.20","5,75,077"
29-Jan-2025,"5,495.00","5,651.90","5,415.70","5,597.15","7,01,998"
28-Jan-2025,"5,484.00","5,538.90","5,317.20","5,455.10","11,36,463"
27-Jan-2025,"5,477.00","5,545.45","5,350.00","5,412.60","11,86,126"
24-Jan-2025,"5,720.00","5,755.05","5,466.45","5,490.45","11,19,070"
23-Jan-2025,"5,620.00","5,792.45","5,605.05","5,733.60","21,06,761"
22-Jan-2025,"5,736.00","5,748.00","5,568.00","5,626.35","13,77,528"
