Date,Open,High,Low,Close,Volume
11-Mar-2025,"10,411.00","10,508.55","10,356.25","10,439.25","1,80,753"
10-Mar-2025,"10,589.00","10,645.60","10,477.00","10,520.10","1,65,649"
07-Mar-2025,"10,501.00","10,609.60","10,446.70","10,582.40","3,02,339"
06-Mar-2025,"10,539.80","10,540.00","10,317.20","10,493.50","3,65,920"
05-Mar-2025,"10,387.90","10,506.80","10,295.25","10,464.20","3,10,832"
04-Mar-2025,"10,250.00","10,454.80","10,240.00","10,370.10","3,52,922"
03-Mar-2025,"10,319.25","10,621.80","10,283.15","10,340.80","8,35,344"
28-Feb-2025,"10,490.00","10,490.00","10,047.85","10,128.45","12,30,856"
27-Feb-2025,"10,800.00","10,800.00","10,264.40","10,447.65","17,22,295"
25-Feb-2025,"11,042.65","11,054.25","10,841.00","10,964.15","2,96,499"
24-Feb-2025,"11,008.65","11,170.00","10,975.05","11,042.65","1,75,294"
21-Feb-2025,"11,265.00","11,290.00","10,990.00","11,157.25","3,20,240"
20-Feb-2025,"11,291.10","11,330.00","11,245.20","11,287.60","1,42,187"
19-Feb-2025,"11,290.00","11,460.00","11,231.00","11,291.55","1,57,580"
18-Feb-2025,"11,450.00","11,460.60","11,251.00","11,308.90","2,68,795"
17-Feb-2025,"11,219.00","11,509.90","11,043.40","11,490.10","1,66,053"
14-Feb-2025,"11,589.00","11,589.00","11,182.00","11,263.85","2,79,199"
13-Feb-2025,"11,500.00","11,649.90","11,422.20","11,546.45","3,36,128"
12-Feb-2025,"11,300.00","11,599.00","11,074.60","11,478.50","3,47,198"
11-Feb-2025,"11,497.00","11,515.60","11,240.25","11,300.20","3,01,338"
10-Feb-2025,"11,520.00","11,613.70","11,490.00","11,532.30","2,62,455"
07-Feb-2025,"11,501.10","11,733.00","11,475.05","11,640.60","3,10,549"
06-Feb-2025,"11,577.20","11,619.55","11,327.70","11,477.35","3,08,664"
05-Feb-2025,"11,519.10","11,632.85","11,433.00","11,585.70","2,36,897"
04-Feb-2025,"11,200.10","11,547.85","11,112.15","11,519.15","3,14,752"
03-Feb-2025,"11,120.25","11,282.80","10,951.40","11,174.65","4,50,593"
01-Feb-2025,"11,544.90","11,787.00","10,798.25","11,259.15","5,13,602"
31-Jan-2025,"11,488.65","11,599.00","11,392.15","11,487.45","3,61,656"
30-Jan-2025,"11,544.85","11,612.50","11,450.00","11,479.40","2,74,820"
29-Jan-2025,"11,296.35","11,574.95","11,260.85","11,544.85","3,77,755"
28-Jan-2025,"11,215.00","11,411.60","11,066.00","11,296.35","4,36,707"
27-Jan-2025,"11,260.00","11,360.00","11,150.00","11,239.50","4,14,994"
24-Jan-2025,"11,251.00","11,609.70","11,222.40","11,285.85","5,45,939"
23-Jan-2025,"10,690.00","11,571.45","10,689.95","11,420.90","15,10,866"
22-Jan-2025,"10,700.00","10,797.80","10,606.75","10,693.75","2,49,552"
21-Jan-2025,"10,677.50","10,968.05","10,642.05","10,667.80","5,93,842"
20-Jan-2025,"10,587.40","10,652.80","10,484.25","10,624.45","3,32,061"
17-Jan-2025,"10,636.20","10,723.95","10,500.10","10,580.00","2,97,759"
16-Jan-2025,"10,590.00","10,807.60","10,550.00","10,636.20","3,75,910"
15-Jan-2025,"10,540.00","10,643.40","10,466.75","10,521.65","3,71,459"
14-Jan-2025,"10,570.00","10,733.00","10,462.00","10,483.75","3,44,404"
13-Jan-2025,"10,700.00","10,830.00","10,593.40","10,615.15","2,25,902"
10-Jan-2025,"11,203.25","11,287.25","10,837.55","10,865.20","2,28,618"
09-Jan-2025,"11,403.55","11,432.45","11,183.00","11,259.80","1,96,555"
08-Jan-2025,"11,618.55","11,629.95","11,370.00","11,403.55","1,59,583"
07-Jan-2025,"11,514.95","11,635.15","11,485.15","11,618.55","1,97,212"
06-Jan-2025,"11,801.95","11,854.75","11,450.20","11,503.60","1,39,820"
03-Jan-2025,"11,799.00","11,861.65","11,713.00","11,786.00","2,37,651"
02-Jan-2025,"11,500.00","11,829.15","11,455.05","11,797.70","2,67,609"
01-Jan-2025,"11,411.00","11,520.90","11,305.00","11,447.00","1,07,951"
