Date,Open,High,Low,Close,Volume
11-Mar-2025,277.0,279.3,273.2,277.75,"86,02,609"
10-Mar-2025,284.45,285.65,277.95,280.9,"81,65,123"
07-Mar-2025,287.4,287.7,282.9,284.8,"80,97,300"
06-Mar-2025,288.45,292.0,283.5,285.9,"97,82,051"
05-Mar-2025,281.4,286.95,278.65,285.1,"1,02,85,712"
04-Mar-2025,279.0,283.1,276.3,280.0,"93,31,785"
03-Mar-2025,279.45,286.35,279.3,283.55,"1,14,71,554"
28-Feb-2025,294.0,294.0,277.0,277.65,"1,74,58,839"
27-Feb-2025,294.0,295.8,291.35,294.5,"1,55,55,649"
25-Feb-2025,294.35,296.3,290.1,291.3,"1,08,10,040"
24-Feb-2025,302.95,303.3,293.35,295.05,"1,26,00,963"
21-Feb-2025,312.8,312.8,305.05,306.35,"87,22,925"
20-Feb-2025,311.2,314.3,310.25,313.3,"76,97,134"
19-Feb-2025,311.25,316.5,308.3,314.1,"78,35,672"
18-Feb-2025,305.35,312.75,305.35,312.2,"1,03,68,789"
17-Feb-2025,308.1,310.3,302.0,305.35,"75,07,772"
14-Feb-2025,310.05,312.4,304.55,308.1,"73,71,341"
13-Feb-2025,310.3,313.65,306.95,308.55,"88,32,731"
12-Feb-2025,313.45,315.75,309.35,310.2,"96,68,342"
11-Feb-2025,319.5,320.4,311.6,313.0,"1,06,27,890"
10-Feb-2025,318.8,321.0,315.85,319.05,"1,23,04,840"
07-Feb-2025,319.0,319.0,314.0,318.0,"85,89,587"
06-Feb-2025,320.0,323.6,314.55,317.95,"1,50,62,390"
05-Feb-2025,317.8,321.45,314.9,317.1,"96,28,027"
04-Feb-2025,318.0,318.85,313.35,316.25,"1,53,66,864"
03-Feb-2025,303.0,314.0,300.3,313.6,"1,48,77,076"
01-Feb-2025,312.55,313.25,303.35,304.8,"60,46,117"
31-Jan-2025,311.7,315.7,309.55,311.9,"1,55,97,644"
30-Jan-2025,311.0,313.7,305.95,309.0,"99,84,186"
29-Jan-2025,305.05,314.7,305.05,312.45,"1,63,38,112"
28-Jan-2025,304.0,307.6,301.55,303.6,"1,20,77,491"
27-Jan-2025,317.8,319.15,306.75,307.95,"1,23,72,895"
24-Jan-2025,319.0,322.5,316.6,320.1,"1,74,79,586"
23-Jan-2025,311.1,324.6,310.65,317.7,"3,99,04,371"
22-Jan-2025,299.35,310.0,299.35,309.1,"3,08,59,317"
21-Jan-2025,302.4,305.85,297.8,298.35,"1,56,19,474"
20-Jan-2025,302.0,305.4,296.95,300.25,"3,93,80,165"
17-Jan-2025,287.8,287.8,280.5,281.95,"93,58,955"
16-Jan-2025,295.9,296.5,286.7,288.05,"1,03,45,666"
15-Jan-2025,293.0,294.7,289.7,292.65,"46,62,694"
14-Jan-2025,291.8,294.55,286.55,292.85,"76,70,070"
13-Jan-2025,298.95,299.25,290.25,291.85,"95,41,248"
10-Jan-2025,294.3,303.25,294.3,300.55,"1,95,05,556"
09-Jan-2025,297.0,298.0,291.35,292.3,"79,64,702"
08-Jan-2025,293.0,298.45,289.3,297.55,"79,37,785"
07-Jan-2025,294.3,297.5,291.3,294.05,"73,81,943"
06-Jan-2025,295.0,297.8,290.55,294.3,"91,73,687"
03-Jan-2025,303.3,303.8,294.0,294.45,"1,25,35,720"
02-Jan-2025,298.0,304.45,297.15,303.8,"88,00,435"
01-Jan-2025,300.0,303.35,298.95,300.3,"78,78,201"
31-Dec-2024,300.95,303.0,295.25,301.85,"93,37,030"
30-Dec-2024,309.1,309.4,302.65,303.7,"1,37,09,891"
27-Dec-2024,305.2,310.9,304.7,309.1,"80,63,921"
26-Dec-2024,305.4,306.95,304.0,305.05,"65,16,148"
24-Dec-2024,307.5,309.2,302.8,305.3,"88,37,902"
23-Dec-2024,306.6,310.65,305.0,307.9,"66,93,583"
20-Dec-2024,315.5,320.0,304.4,305.2,"2,22,14,824"
19-Dec-2024,306.35,313.4,301.15,312.75,"1,24,05,595"
18-Dec-2024,309.0,313.25,308.55,312.6,"1,09,65,226"
17-Dec-2024,311.0,312.25,307.3,308.85,"1,05,68,517"
16-Dec-2024,310.0,311.4,307.1,309.2,"72,21,189"
13-Dec-2024,309.1,311.05,304.2,309.95,"73,82,211"
12-Dec-2024,308.0,313.8,307.45,309.1,"1,29,58,440"
11-Dec-2024,308.15,309.9,305.55,309.0,"86,08,406"
10-Dec-2024,306.0,311.0,303.45,308.1,"1,70,28,502"
09-Dec-2024,295.0,305.7,293.75,303.75,"92,85,213"
06-Dec-2024,299.15,299.15,296.2,297.35,"78,94,350"
05-Dec-2024,295.0,300.9,293.9,299.3,"1,34,87,264"
04-Dec-2024,294.65,297.0,291.8,294.0,"1,40,36,431"
03-Dec-2024,295.35,296.2,289.3,291.65,"1,54,45,286"
02-Dec-2024,582.45,585.55,578.2,584.55,"55,97,000"
29-Nov-2024,575.0,580.75,571.6,577.85,"42,70,056"
28-Nov-2024,585.75,586.0,570.55,572.2,"59,48,278"
27-Nov-2024,591.5,596.0,581.9,582.9,"68,29,838"
26-Nov-2024,585.0,590.35,579.3,589.0,"78,85,670"
25-Nov-2024,575.5,587.55,573.9,582.45,"1,16,48,737"
22-Nov-2024,561.95,573.6,557.9,571.65,"73,66,616"
21-Nov-2024,562.0,567.6,555.3,557.15,"58,36,304"
19-Nov-2024,556.0,569.8,554.7,562.0,"64,59,889"
18-Nov-2024,566.7,566.7,540.3,552.85,"76,44,882"
14-Nov-2024,568.95,574.55,564.2,566.7,"48,91,760"
13-Nov-2024,570.0,573.6,565.55,569.0,"56,95,600"
12-Nov-2024,575.0,579.7,569.05,570.65,"56,30,445"
11-Nov-2024,569.0,583.2,566.05,573.5,"80,69,722"
08-Nov-2024,565.0,578.8,565.0,569.0,"1,04,26,329"
07-Nov-2024,566.0,569.7,554.45,563.4,"59,98,571"
06-Nov-2024,547.45,565.85,541.0,563.9,"97,77,442"
05-Nov-2024,543.0,545.35,540.4,543.7,"34,31,130"
04-Nov-2024,551.0,552.45,534.2,540.8,"49,27,780"
01-Nov-2024,551.7,554.9,550.0,551.35,"9,81,405"
31-Oct-2024,564.8,566.3,548.3,551.8,"78,40,047"
30-Oct-2024,562.5,578.75,561.1,565.25,"1,03,77,746"
29-Oct-2024,559.8,563.4,553.25,562.2,"60,27,815"
28-Oct-2024,543.45,559.8,542.7,558.6,"55,92,929"
25-Oct-2024,549.75,552.0,540.5,543.45,"50,62,270"
24-Oct-2024,547.2,550.5,545.15,546.9,"47,88,302"
23-Oct-2024,547.5,554.5,542.2,547.2,"63,49,288"
22-Oct-2024,549.8,555.5,543.85,545.45,"92,39,150"
21-Oct-2024,551.6,561.9,547.0,548.1,"1,19,83,482"
18-Oct-2024,532.0,558.4,524.8,548.65,"3,73,26,527"
17-Oct-2024,534.95,538.0,525.05,528.75,"1,18,77,639"
16-Oct-2024,533.0,538.8,529.0,532.15,"62,76,811"
15-Oct-2024,552.85,552.85,530.85,532.95,"1,08,00,626"
14-Oct-2024,538.7,551.85,536.3,549.55,"1,65,68,133"
11-Oct-2024,520.35,534.4,520.35,528.3,"42,18,491"
10-Oct-2024,535.0,537.6,523.45,525.0,"63,10,122"
09-Oct-2024,529.8,538.7,528.5,531.15,"44,20,844"
08-Oct-2024,531.55,533.8,520.3,526.95,"57,51,402"
07-Oct-2024,538.0,541.7,525.95,531.45,"49,39,037"
04-Oct-2024,528.05,541.95,528.05,533.55,"59,61,377"
03-Oct-2024,540.1,542.4,526.25,530.15,"70,17,684"
01-Oct-2024,540.2,549.6,540.2,546.75,"47,05,637"
30-Sep-2024,538.0,544.5,534.0,541.45,"40,99,723"
27-Sep-2024,548.9,558.9,540.7,541.8,"1,32,31,192"
26-Sep-2024,538.7,543.1,535.7,541.9,"57,01,700"
25-Sep-2024,538.8,539.4,530.75,536.2,"40,32,598"
24-Sep-2024,532.2,541.9,529.35,539.55,"61,77,847"
23-Sep-2024,539.1,540.4,532.0,534.9,"42,72,145"
20-Sep-2024,537.9,540.75,531.0,539.1,"83,32,116"
19-Sep-2024,544.2,551.45,529.15,533.35,"1,04,84,591"
18-Sep-2024,549.05,549.05,532.65,538.15,"83,32,760"
17-Sep-2024,549.0,554.9,547.05,551.9,"43,64,119"
16-Sep-2024,553.0,556.85,549.0,551.9,"55,44,289"
13-Sep-2024,533.8,552.5,530.85,550.6,"1,79,59,853"
12-Sep-2024,520.45,532.0,517.75,530.05,"78,89,737"
11-Sep-2024,525.0,526.25,513.25,514.35,"41,30,762"
10-Sep-2024,516.8,528.0,514.0,525.75,"51,43,636"
09-Sep-2024,517.1,521.75,513.45,514.85,"59,59,770"
06-Sep-2024,524.85,529.9,518.45,520.6,"72,89,977"
05-Sep-2024,521.2,526.0,519.5,524.85,"60,34,559"
04-Sep-2024,528.0,528.25,516.75,519.15,"1,02,01,064"
03-Sep-2024,533.0,540.85,529.5,536.05,"75,28,343"
02-Sep-2024,538.4,542.0,531.85,532.45,"78,67,991"
30-Aug-2024,541.7,542.0,535.7,538.4,"97,17,402"
29-Aug-2024,535.0,541.95,534.05,538.7,"1,28,42,659"
28-Aug-2024,520.0,538.1,517.85,534.6,"1,71,87,783"
27-Aug-2024,520.0,523.25,516.0,517.15,"39,82,898"
26-Aug-2024,516.0,524.8,515.95,520.0,"86,75,690"
23-Aug-2024,519.9,521.45,511.35,512.4,"56,38,853"
22-Aug-2024,527.8,530.55,518.05,519.0,"57,48,253"
21-Aug-2024,523.4,528.1,521.05,526.35,"32,27,201"
20-Aug-2024,519.9,527.6,519.65,524.65,"47,71,906"
19-Aug-2024,516.0,523.2,513.7,519.75,"57,33,281"
16-Aug-2024,501.0,517.45,497.95,516.25,"1,29,65,570"
14-Aug-2024,493.0,496.85,490.45,495.15,"55,60,878"
13-Aug-2024,489.05,492.7,487.15,490.5,"31,44,709"
12-Aug-2024,491.55,494.0,487.4,489.05,"36,69,234"
09-Aug-2024,495.35,496.45,489.65,491.3,"30,32,974"
08-Aug-2024,494.0,494.0,486.35,487.3,"65,80,285"
07-Aug-2024,498.7,500.1,492.65,497.4,"35,39,913"
06-Aug-2024,489.75,499.35,486.6,489.5,"56,35,792"
05-Aug-2024,490.0,495.85,480.25,485.0,"1,09,69,040"
02-Aug-2024,515.0,519.25,501.0,502.15,"78,26,114"
01-Aug-2024,523.0,526.8,517.5,521.55,"53,79,876"
31-Jul-2024,521.8,524.9,519.45,522.0,"38,79,254"
30-Jul-2024,524.4,526.95,519.75,521.5,"54,08,263"
29-Jul-2024,528.0,530.55,522.85,524.4,"60,05,777"
26-Jul-2024,510.0,528.55,508.5,524.8,"1,30,76,998"
25-Jul-2024,496.0,507.5,493.3,506.85,"1,09,43,945"
24-Jul-2024,502.5,506.35,499.85,500.1,"61,20,138"
23-Jul-2024,508.0,508.0,486.35,500.55,"1,29,23,816"
22-Jul-2024,521.0,526.75,501.55,505.8,"3,80,07,284"
19-Jul-2024,579.9,579.9,554.7,557.2,"1,32,61,745"
18-Jul-2024,556.55,574.4,556.35,573.2,"1,25,09,893"
16-Jul-2024,561.85,562.6,556.4,559.7,"56,19,531"
15-Jul-2024,566.9,566.9,556.15,559.7,"80,49,739"
12-Jul-2024,545.0,564.8,541.55,560.15,"2,70,93,021"
11-Jul-2024,536.7,539.55,530.0,534.1,"44,03,809"
10-Jul-2024,541.0,543.35,531.75,535.55,"46,16,874"
09-Jul-2024,544.0,544.95,537.6,541.0,"43,40,722"
08-Jul-2024,535.95,543.0,535.0,541.2,"60,88,180"
05-Jul-2024,531.35,536.5,529.45,535.1,"51,88,045"
04-Jul-2024,541.4,548.8,529.1,530.7,"97,62,316"
03-Jul-2024,541.9,545.45,535.5,539.0,"80,24,692"
02-Jul-2024,529.3,545.0,528.3,538.2,"1,81,38,484"
01-Jul-2024,517.9,535.8,514.1,527.35,"1,53,78,764"
28-Jun-2024,512.0,516.3,505.85,514.85,"82,02,916"
27-Jun-2024,492.15,511.95,489.2,510.8,"2,10,68,569"
26-Jun-2024,496.85,499.9,493.8,495.2,"64,06,045"
25-Jun-2024,490.55,498.0,489.3,496.85,"46,29,105"
24-Jun-2024,490.1,494.9,489.45,490.55,"49,67,259"
21-Jun-2024,497.95,500.95,489.1,490.55,"4,75,85,588"
20-Jun-2024,497.5,497.5,488.25,490.4,"62,85,563"
19-Jun-2024,492.25,497.15,486.75,495.75,"1,04,40,142"
18-Jun-2024,481.0,493.0,480.05,491.85,"1,59,35,492"
14-Jun-2024,485.0,485.6,476.2,477.5,"56,61,298"
13-Jun-2024,480.0,485.35,478.15,482.6,"64,97,966"
12-Jun-2024,478.0,484.4,475.55,476.9,"69,37,558"
11-Jun-2024,479.2,479.2,474.35,476.05,"46,85,857"
10-Jun-2024,488.4,488.4,473.35,475.25,"91,55,876"
07-Jun-2024,470.0,486.4,468.3,484.55,"3,63,36,220"
06-Jun-2024,454.95,462.0,452.6,461.0,"77,12,784"
05-Jun-2024,439.7,455.0,439.05,451.5,"61,33,714"
04-Jun-2024,445.9,445.9,417.0,438.15,"88,65,366"
03-Jun-2024,450.2,450.55,441.55,444.1,"44,82,212"
31-May-2024,437.55,442.15,435.5,438.2,"1,07,19,002"
30-May-2024,449.0,449.5,435.1,436.95,"1,03,62,284"
29-May-2024,454.0,455.5,449.5,450.8,"48,78,018"
28-May-2024,454.0,457.25,453.1,456.05,"78,89,063"
