"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","6,130.00","6,155.70","6,040.00","6,149.60","6,134.10","6,134.80","6,084.71","7,545.35","5,693.20","5,26,709","3,20,48,70,279.30","69,621"
"10-Mar-2025","EQ","6,206.40","6,212.00","6,133.90","6,216.10","6,150.00","6,149.60","6,167.89","7,545.35","5,693.20","2,66,044","1,64,09,29,690.20","30,485"
"07-Mar-2025","EQ","6,292.25","6,314.75","6,197.30","6,274.10","6,207.80","6,216.10","6,257.88","7,545.35","5,693.20","2,99,433","1,87,38,17,118.45","42,613"
"06-Mar-2025","EQ","6,255.00","6,292.00","6,217.05","6,214.40","6,279.00","6,274.10","6,271.79","7,545.35","5,693.20","2,84,475","1,78,41,68,174.25","49,711"
"05-Mar-2025","EQ","6,200.00","6,235.05","6,130.65","6,188.15","6,223.00","6,214.40","6,191.79","7,545.35","5,693.20","3,45,922","2,14,18,77,791.60","40,891"
"04-Mar-2025","EQ","6,133.00","6,220.50","6,112.30","6,170.60","6,199.95","6,188.15","6,186.12","7,545.35","5,693.20","4,45,246","2,75,43,47,127.70","41,698"
"03-Mar-2025","EQ","6,025.60","6,195.00","6,001.00","6,052.60","6,182.00","6,170.60","6,142.57","7,545.35","5,693.20","3,73,515","2,29,43,41,330.55","81,757"
"28-Feb-2025","EQ","6,145.05","6,145.05","6,001.35","6,185.20","6,085.00","6,052.60","6,059.80","7,545.35","5,693.20","8,45,516","5,12,36,60,526.45","75,645"
"27-Feb-2025","EQ","6,261.00","6,282.25","6,145.45","6,251.35","6,170.00","6,185.20","6,189.22","7,545.35","5,693.20","3,97,857","2,46,24,24,029.75","75,758"
"25-Feb-2025","EQ","6,251.00","6,279.95","6,213.05","6,251.40","6,255.00","6,251.35","6,248.90","7,545.35","5,693.20","4,21,160","2,63,17,86,473.70","49,887"
"24-Feb-2025","EQ","6,275.00","6,275.00","6,236.00","6,317.55","6,255.00","6,251.40","6,254.18","7,545.35","5,693.20","4,58,224","2,86,58,16,461.00","45,968"
"21-Feb-2025","EQ","6,362.30","6,395.60","6,292.95","6,390.95","6,303.10","6,317.55","6,325.95","7,545.35","5,693.20","2,20,428","1,39,44,16,494.75","41,282"
"20-Feb-2025","EQ","6,384.25","6,469.45","6,377.90","6,422.65","6,394.00","6,390.95","6,414.52","7,545.35","5,693.20","1,65,304","1,06,03,45,176.15","32,942"
