"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","255.99","264.97","254.35","256.93","264.70","264.58","261.76","687.00","234.01","1,23,06,539","3,22,13,82,308.90","96,526"
"10-Mar-2025","EQ","261.26","265.96","256.06","261.26","256.69","256.93","260.89","687.00","234.01","84,87,911","2,21,43,90,409.63","87,326"
"07-Mar-2025","EQ","264.96","265.79","260.00","265.04","260.49","261.26","262.12","687.00","234.01","70,57,204","1,84,98,30,185.12","91,428"
"06-Mar-2025","EQ","260.00","265.95","259.00","255.84","264.96","265.04","263.31","687.00","234.01","1,28,28,381","3,37,78,91,882.81","1,39,226"
"05-Mar-2025","EQ","249.90","256.93","249.90","249.92","255.95","255.84","254.98","687.00","234.01","78,02,519","1,98,94,75,863.43","94,597"
"04-Mar-2025","EQ","241.00","250.94","236.10","242.41","249.60","249.92","245.74","687.00","234.01","72,01,075","1,76,95,70,994.42","82,150"
"03-Mar-2025","EQ","239.00","243.64","234.01","237.30","242.60","242.41","239.45","687.00","234.01","68,64,635","1,64,37,18,953.34","98,287"
"28-Feb-2025","EQ","244.05","244.05","236.15","244.75","238.00","237.30","238.41","687.00","236.15","1,40,66,882","3,35,36,58,701.30","1,02,500"
"27-Feb-2025","EQ","248.45","249.40","242.10","248.45","244.45","244.75","244.42","687.00","242.10","73,76,510","1,80,30,01,547.70","91,736"
"25-Feb-2025","EQ","251.90","252.90","247.70","251.00","248.15","248.45","249.69","687.00","242.20","41,72,676","1,04,18,58,341.40","58,345"
"24-Feb-2025","EQ","251.25","253.50","248.75","251.30","251.25","251.00","251.54","687.00","242.20","67,73,845","1,70,39,00,805.45","75,488"
"21-Feb-2025","EQ","258.00","259.40","250.65","258.60","251.70","251.30","252.63","687.00","242.20","98,45,416","2,48,72,22,385.45","72,541"
"20-Feb-2025","EQ","254.00","259.65","253.20","255.60","258.55","258.60","257.35","687.00","242.20","81,55,780","2,09,89,23,149.55","62,710"
"19-Feb-2025","EQ","251.00","256.45","249.55","252.75","255.10","255.60","253.97","687.00","242.20","68,87,175","1,74,91,02,318.05","59,509"
"18-Feb-2025","EQ","252.25","253.55","246.85","252.30","252.20","252.75","250.76","687.00","242.20","55,34,272","1,38,77,80,397.85","64,005"
"17-Feb-2025","EQ","251.00","253.55","246.35","251.00","252.90","252.30","250.43","687.00","242.20","58,99,597","1,47,74,65,574.25","58,218"
"14-Feb-2025","EQ","256.40","258.60","247.45","255.75","251.15","251.00","251.38","687.95","242.20","52,05,573","1,30,85,83,212.80","57,111"
"13-Feb-2025","EQ","256.20","260.10","255.00","255.60","255.45","255.75","257.50","687.95","242.20","55,14,711","1,42,00,21,019.50","70,192"
"12-Feb-2025","EQ","255.15","256.80","249.05","255.15","255.45","255.60","253.99","687.95","242.20","65,68,833","1,66,84,36,498.95","74,053"
"11-Feb-2025","EQ","259.50","259.75","253.75","259.90","255.15","255.15","256.54","687.95","242.20","68,19,100","1,74,93,82,577.15","59,039"
"10-Feb-2025","EQ","264.55","265.80","257.50","264.30","259.50","259.90","259.85","687.95","242.20","80,52,376","2,09,24,47,007.15","79,319"
"07-Feb-2025","EQ","262.10","264.90","260.05","262.55","264.25","264.30","262.85","687.95","242.20","65,57,480","1,72,36,65,077.25","69,015"
"06-Feb-2025","EQ","263.00","267.20","261.65","261.25","263.00","262.55","264.83","687.95","242.20","1,40,58,587","3,72,31,29,390.35","1,15,358"
"05-Feb-2025","EQ","260.25","265.65","260.25","255.95","261.55","261.25","263.13","687.95","242.20","1,00,88,345","2,65,45,74,634.60","1,14,389"
"04-Feb-2025","EQ","250.65","256.65","250.20","249.55","256.25","255.95","254.60","687.95","242.20","70,00,612","1,78,23,21,797.75","75,639"
"03-Feb-2025","EQ","250.95","251.80","242.20","255.65","250.00","249.55","246.45","687.95","242.20","2,15,17,136","5,30,29,08,371.55","1,67,349"
"01-Feb-2025","EQ","261.75","262.05","248.00","261.10","256.25","255.65","255.12","687.95","248.00","1,14,64,565","2,92,48,75,806.80","1,05,200"
"31-Jan-2025","EQ","257.90","262.00","254.25","257.15","261.50","261.10","259.68","687.95","251.50","87,90,578","2,28,27,11,282.20","1,16,810"
"30-Jan-2025","EQ","259.90","260.90","256.50","257.00","257.20","257.15","259.12","687.95","251.50","94,10,974","2,43,85,99,329.55","1,02,902"
"29-Jan-2025","EQ","256.95","257.95","251.50","258.05","257.75","257.00","254.70","687.95","251.50","94,35,973","2,40,32,95,668.65","80,629"
"28-Jan-2025","EQ","262.25","263.90","254.30","261.30","258.75","258.05","259.21","687.95","254.30","1,33,21,189","3,45,29,59,247.50","1,02,599"
"27-Jan-2025","EQ","263.70","263.70","258.35","263.80","261.90","261.30","260.47","687.95","258.35","1,00,83,126","2,62,63,52,633.00","80,875"
"24-Jan-2025","EQ","274.00","279.40","263.00","271.25","263.25","263.80","270.58","687.95","263.00","1,84,80,516","5,00,04,81,094.05","1,57,981"
"23-Jan-2025","EQ","283.00","285.00","270.30","277.60","271.65","271.25","273.82","687.95","263.50","1,88,06,324","5,14,95,30,716.60","1,44,815"
"22-Jan-2025","EQ","282.00","283.55","274.05","280.20","278.30","277.60","277.16","687.95","263.50","63,01,894","1,74,66,59,467.90","65,057"
"21-Jan-2025","EQ","278.55","287.00","278.15","277.30","280.35","280.20","283.51","687.95","263.50","1,53,04,149","4,33,88,91,246.20","1,32,926"
"20-Jan-2025","EQ","275.00","278.40","268.80","273.60","277.60","277.30","275.26","687.95","263.50","96,23,368","2,64,89,44,062.75","74,717"
"17-Jan-2025","EQ","268.80","275.20","267.25","266.90","274.05","273.60","272.80","687.95","263.50","93,00,647","2,53,71,90,545.20","1,13,165"
"16-Jan-2025","EQ","267.35","268.95","263.50","267.00","268.15","266.90","266.20","687.95","263.50","1,37,54,046","3,66,13,18,911.55","1,19,421"
"15-Jan-2025","EQ","273.90","275.90","265.25","270.20","267.80","267.00","270.11","687.95","264.25","1,34,48,052","3,63,24,45,629.25","1,18,092"
"14-Jan-2025","EQ","267.10","271.50","266.00","265.30","271.25","270.20","269.29","687.95","264.25","67,10,730","1,80,71,41,372.75","70,531"
"13-Jan-2025","EQ","271.25","274.70","264.25","277.65","265.45","265.30","269.42","687.95","264.25","1,04,88,655","2,82,58,62,926.10","1,17,582"
"10-Jan-2025","EQ","280.50","283.50","275.60","280.00","278.10","277.65","279.44","687.95","275.60","90,73,218","2,53,54,57,558.35","1,18,875"
"09-Jan-2025","EQ","287.00","287.85","279.05","286.80","281.05","280.00","282.45","687.95","279.05","62,15,902","1,75,57,11,990.45","98,148"
"08-Jan-2025","EQ","282.80","287.90","280.50","282.80","286.35","286.80","285.10","687.95","279.35","60,37,032","1,72,11,49,200.30","76,957"
"07-Jan-2025","EQ","287.10","290.50","280.70","284.85","282.80","282.80","283.94","687.95","279.35","83,06,436","2,35,84,88,901.35","93,131"
"06-Jan-2025","EQ","296.40","297.25","284.10","296.40","285.50","284.85","287.84","687.95","279.35","73,61,716","2,11,89,73,240.90","1,08,721"
"03-Jan-2025","EQ","296.00","299.15","294.35","296.90","296.70","296.40","296.65","687.95","279.35","48,06,469","1,42,58,47,169.70","48,583"
"02-Jan-2025","EQ","295.30","297.70","291.80","295.30","295.90","296.90","295.33","687.95","279.35","68,46,413","2,02,19,47,163.20","76,516"
"01-Jan-2025","EQ","292.30","295.90","290.30","292.45","295.55","295.30","293.52","687.95","279.35","35,45,200","1,04,06,04,427.85","40,365"
"31-Dec-2024","EQ","291.45","294.40","290.80","293.30","292.10","292.45","292.62","687.95","279.35","41,61,509","1,21,77,59,072.10","44,798"
"30-Dec-2024","EQ","293.55","295.25","289.75","293.55","293.00","293.30","292.75","687.95","279.35","82,36,910","2,41,13,93,097.95","83,662"
"27-Dec-2024","EQ","295.05","297.40","292.50","295.60","293.60","293.55","295.02","687.95","279.35","37,08,404","1,09,40,56,105.90","38,772"
"26-Dec-2024","EQ","294.85","299.30","292.55","292.00","295.00","295.60","295.71","687.95","279.35","1,13,10,555","3,34,45,87,919.75","1,10,782"
"24-Dec-2024","EQ","289.95","295.45","287.35","289.10","291.55","292.00","292.13","687.95","279.35","79,37,629","2,31,88,27,319.00","1,00,109"
"23-Dec-2024","EQ","292.00","294.90","288.00","289.05","289.00","289.10","290.44","687.95","279.35","68,19,725","1,98,07,02,416.40","68,248"
"20-Dec-2024","EQ","293.55","299.20","287.00","294.55","288.85","289.05","292.66","687.95","279.35","99,79,749","2,92,06,63,695.25","92,716"
"19-Dec-2024","EQ","282.05","295.85","282.05","288.30","294.20","294.55","292.59","687.95","279.35","1,18,22,064","3,45,89,98,514.85","1,12,440"
"18-Dec-2024","EQ","291.75","293.00","287.65","293.00","288.70","288.30","289.92","687.95","279.35","65,35,229","1,89,47,11,117.90","83,873"
"17-Dec-2024","EQ","299.85","299.85","292.10","297.95","293.25","293.00","294.63","687.95","279.35","84,15,828","2,47,95,88,046.05","92,002"
"16-Dec-2024","EQ","300.95","301.70","295.80","301.70","298.00","297.95","297.90","687.95","279.35","86,96,443","2,59,07,13,102.45","90,634"
"13-Dec-2024","EQ","302.00","305.15","296.00","302.15","301.60","301.70","300.75","687.95","279.35","77,26,611","2,32,38,16,305.00","91,253"
"12-Dec-2024","EQ","307.05","307.45","301.30","307.45","301.75","302.15","303.92","687.95","279.35","74,54,904","2,26,57,30,553.40","82,331"
"11-Dec-2024","EQ","303.45","308.95","302.10","303.50","307.00","307.45","307.11","687.95","279.35","1,08,67,782","3,33,76,22,087.30","1,08,526"
"10-Dec-2024","EQ","302.30","306.70","300.85","303.45","303.00","303.50","303.82","687.95","279.35","86,49,367","2,62,78,67,845.55","73,286"
"09-Dec-2024","EQ","300.95","304.20","299.10","300.35","303.05","303.45","301.85","687.95","279.35","1,16,37,358","3,51,27,59,233.90","95,826"
"06-Dec-2024","EQ","297.90","303.90","296.40","297.00","300.80","300.35","300.95","687.95","279.35","95,86,531","2,88,51,06,530.75","94,473"
"05-Dec-2024","EQ","295.10","298.25","291.30","293.65","296.85","297.00","295.47","687.95","279.35","92,87,638","2,74,42,04,685.90","1,11,932"
"04-Dec-2024","EQ","294.20","299.55","292.85","294.25","294.00","293.65","295.81","687.95","279.35","98,40,659","2,91,09,68,387.25","1,06,917"
"03-Dec-2024","EQ","297.50","297.80","292.05","294.15","294.50","294.25","294.13","687.95","279.35","91,98,285","2,70,55,04,907.95","93,116"
"02-Dec-2024","EQ","292.65","295.90","290.50","292.10","295.80","294.15","293.05","687.95","279.35","51,93,026","1,52,18,33,391.45","61,701"
"29-Nov-2024","EQ","292.40","294.25","289.40","290.95","292.50","292.10","291.82","687.95","279.35","81,25,467","2,37,11,60,268.55","61,014"
"28-Nov-2024","EQ","294.45","298.75","289.50","293.45","292.30","290.95","293.18","687.95","279.35","1,31,30,411","3,84,95,41,556.70","1,06,597"
"27-Nov-2024","EQ","296.95","297.00","291.05","293.85","293.50","293.45","292.99","687.95","279.35","59,95,425","1,75,65,92,548.40","63,329"
"26-Nov-2024","EQ","297.95","301.00","293.35","296.55","293.85","293.85","296.98","687.95","279.35","51,60,007","1,53,24,20,766.00","54,614"
"25-Nov-2024","EQ","292.05","304.40","292.00","285.85","297.30","296.55","298.54","687.95","279.35","1,69,03,527","5,04,63,01,317.00","1,19,077"
"22-Nov-2024","EQ","282.60","287.00","281.05","282.40","286.00","285.85","284.18","687.95","279.35","65,39,977","1,85,85,08,313.85","71,957"
"21-Nov-2024","EQ","287.45","287.45","279.35","287.50","282.60","282.40","282.27","687.95","279.35","82,73,120","2,33,52,35,525.65","1,14,418"
"19-Nov-2024","EQ","292.65","297.90","286.50","289.20","287.30","287.50","293.86","687.95","286.50","99,12,544","2,91,28,90,160.95","93,695"
"18-Nov-2024","EQ","298.15","299.65","288.30","298.20","290.40","289.20","293.21","687.95","288.30","79,40,666","2,32,83,20,962.45","97,575"
"14-Nov-2024","EQ","305.80","306.00","296.40","305.85","298.20","298.20","299.49","687.95","293.40","1,10,61,057","3,31,27,24,944.15","1,40,214"
"13-Nov-2024","EQ","307.95","309.00","302.00","309.80","306.65","305.85","306.14","687.95","293.40","73,06,795","2,23,69,24,826.60","99,047"
"12-Nov-2024","EQ","314.10","318.55","309.05","312.55","309.50","309.80","312.07","687.95","293.40","71,92,998","2,24,46,96,494.70","75,426"
"11-Nov-2024","EQ","308.00","314.00","304.05","310.45","312.80","312.55","310.53","687.95","293.40","52,77,147","1,63,87,14,339.45","97,404"
"08-Nov-2024","EQ","315.00","315.10","306.80","315.00","310.00","310.45","309.23","687.95","293.40","93,04,376","2,87,71,69,465.05","87,409"
"07-Nov-2024","EQ","316.35","317.70","311.10","317.00","315.05","315.00","314.54","687.95","293.40","73,87,875","2,32,38,08,753.65","87,258"
"06-Nov-2024","EQ","311.80","319.00","307.25","307.95","316.75","317.00","314.81","687.95","293.40","1,07,87,602","3,39,60,62,227.85","1,14,161"
"05-Nov-2024","EQ","301.00","309.05","300.20","303.45","307.90","307.95","305.30","687.95","293.40","95,42,018","2,91,31,79,235.70","95,301"
"04-Nov-2024","EQ","313.00","313.50","298.10","313.00","303.45","303.45","302.30","687.95","293.40","1,40,63,318","4,25,12,86,045.20","1,62,401"
"01-Nov-2024","EQ","311.95","313.85","311.80","310.75","312.85","313.00","313.02","687.95","293.40","7,10,149","22,22,92,156.65","19,419"
"31-Oct-2024","EQ","310.50","316.20","307.80","311.30","311.80","310.75","311.68","687.95","293.40","1,13,75,689","3,54,55,39,909.25","1,11,088"
"30-Oct-2024","EQ","309.00","314.90","307.35","311.45","311.10","311.30","311.47","687.95","293.40","62,48,318","1,94,61,62,100.00","67,843"
"29-Oct-2024","EQ","312.00","312.95","302.25","310.40","310.65","311.45","308.21","687.95","293.40","84,37,903","2,60,06,36,082.00","91,045"
"28-Oct-2024","EQ","307.30","315.50","305.30","306.30","311.10","310.40","310.08","687.95","293.40","1,32,99,872","4,12,40,73,037.70","1,01,794"
"25-Oct-2024","EQ","323.45","323.60","303.10","321.45","305.95","306.30","310.22","687.95","293.40","1,15,83,887","3,59,35,05,886.00","1,25,105"
"24-Oct-2024","EQ","323.00","325.40","320.00","323.05","320.25","321.45","322.83","687.95","293.40","57,06,821","1,84,23,07,042.70","55,455"
"23-Oct-2024","EQ","322.00","325.85","316.55","322.90","323.00","323.05","321.79","687.95","293.40","66,39,274","2,13,64,48,720.30","65,433"
"22-Oct-2024","EQ","332.00","332.55","322.00","331.65","323.25","322.90","325.98","687.95","293.40","63,72,285","2,07,72,30,574.95","1,09,589"
"21-Oct-2024","EQ","342.55","345.50","330.20","342.50","331.00","331.65","333.25","687.95","293.40","86,09,636","2,86,91,64,951.65","80,482"
"18-Oct-2024","EQ","342.70","343.90","334.30","342.70","342.60","342.50","339.22","687.95","293.40","73,28,694","2,48,60,37,648.70","90,046"
"17-Oct-2024","EQ","349.15","350.60","341.85","350.75","342.40","342.70","344.25","687.95","293.40","1,10,23,063","3,79,46,87,736.95","1,02,039"
"16-Oct-2024","EQ","352.00","355.90","348.05","348.75","349.40","350.75","351.24","687.95","293.40","1,70,73,700","5,99,69,94,422.95","1,17,681"
"15-Oct-2024","EQ","344.20","351.50","343.90","340.75","349.35","348.75","347.99","687.95","293.40","1,71,83,945","5,97,98,15,036.70","1,41,595"
"14-Oct-2024","EQ","340.00","344.60","337.25","337.65","339.85","340.75","341.17","687.95","293.40","79,67,181","2,71,81,75,482.85","84,576"
"11-Oct-2024","EQ","335.45","339.40","334.00","335.45","338.20","337.65","337.23","687.95","293.40","40,46,559","1,36,46,11,850.75","53,188"
"10-Oct-2024","EQ","342.00","343.30","334.55","338.85","335.65","335.45","338.13","687.95","293.40","57,06,365","1,92,94,85,044.30","88,965"
"09-Oct-2024","EQ","345.00","350.00","337.75","338.00","338.95","338.85","341.87","687.95","293.40","1,35,23,561","4,62,32,67,491.90","1,28,214"
"08-Oct-2024","EQ","331.50","339.45","328.25","335.00","338.80","338.00","334.89","687.95","293.40","95,65,667","3,20,34,23,245.30","98,649"
"07-Oct-2024","EQ","342.00","343.30","332.80","340.25","335.20","335.00","336.99","687.95","293.40","78,47,806","2,64,46,60,879.60","98,267"
"04-Oct-2024","EQ","342.50","347.95","334.35","348.85","340.80","340.25","341.21","687.95","293.40","1,81,85,208","6,20,49,99,384.60","1,75,111"
"03-Oct-2024","EQ","353.75","361.60","347.00","368.25","349.85","348.85","352.33","687.95","293.40","2,07,54,875","7,31,25,49,544.20","2,33,946"
"01-Oct-2024","EQ","370.00","373.35","364.15","369.95","367.75","368.25","368.10","687.95","293.40","94,40,793","3,47,51,77,351.45","1,09,872"
"30-Sep-2024","EQ","367.15","376.00","360.15","367.30","369.50","369.95","366.99","687.95","293.40","2,38,60,696","8,75,65,49,501.25","1,68,852"
"27-Sep-2024","EQ","347.00","370.50","346.35","345.10","366.60","367.30","363.37","687.95","293.40","4,07,56,678","14,80,97,62,549.15","3,06,010"
"26-Sep-2024","EQ","340.00","346.95","335.15","339.80","345.00","345.10","340.95","687.95","293.40","95,17,367","3,24,49,70,815.25","1,04,262"
"25-Sep-2024","EQ","341.00","341.80","335.15","339.15","339.95","339.80","338.65","687.95","293.40","60,87,353","2,06,14,73,955.30","60,121"
