"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","1,117.00","1,126.95","1,110.65","1,120.20","1,117.40","1,116.65","1,119.09","7,107.45","1,103.90","8,84,438","98,97,67,086.20","51,801"
"10-Mar-2025","EQ","1,134.95","1,137.15","1,115.40","1,133.25","1,120.00","1,120.20","1,127.02","7,107.45","1,103.90","9,50,503","1,07,12,39,552.55","63,406"
"07-Mar-2025","EQ","1,140.10","1,145.20","1,130.00","1,140.10","1,133.20","1,133.25","1,137.13","7,107.45","1,103.90","7,90,599","89,90,16,658.45","59,286"
"06-Mar-2025","EQ","1,135.00","1,145.70","1,118.65","1,126.40","1,138.40","1,140.10","1,134.29","7,107.45","1,103.90","16,48,697","1,87,00,96,561.65","1,16,885"
"05-Mar-2025","EQ","1,120.50","1,129.00","1,110.55","1,120.15","1,125.75","1,126.40","1,124.02","7,107.45","1,103.90","12,60,157","1,41,64,43,105.20","60,780"
"04-Mar-2025","EQ","1,111.10","1,124.15","1,105.05","1,119.60","1,118.05","1,120.15","1,117.00","7,107.45","1,103.90","10,74,133","1,19,98,08,579.80","58,710"
"03-Mar-2025","EQ","1,118.35","1,130.25","1,103.90","1,116.50","1,121.05","1,119.60","1,116.16","7,107.45","1,103.90","18,10,605","2,02,09,28,271.65","81,950"
"28-Feb-2025","EQ","1,128.70","1,132.00","1,104.55","1,125.55","1,115.70","1,116.50","1,117.38","7,107.45","1,104.55","38,95,033","4,35,22,46,093.75","1,18,092"
"27-Feb-2025","EQ","1,128.50","1,136.35","1,115.00","1,128.15","1,122.00","1,125.55","1,124.22","7,107.45","1,115.00","34,35,069","3,86,17,76,840.10","1,03,886"
"25-Feb-2025","EQ","1,167.15","1,169.55","1,122.50","1,164.55","1,128.50","1,128.15","1,135.92","7,107.45","1,122.50","64,63,238","7,34,17,36,988.70","97,406"
"24-Feb-2025","EQ","1,151.80","1,173.90","1,151.00","1,151.80","1,164.90","1,164.55","1,165.85","7,107.45","1,127.50","20,17,521","2,35,21,20,219.70","87,242"
"21-Feb-2025","EQ","1,170.70","1,170.75","1,145.25","1,170.95","1,150.80","1,151.80","1,152.69","7,107.45","1,127.50","68,28,902","7,87,15,87,403.60","1,17,743"
