"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","4,739.70","5,045.00","4,722.95","4,799.70","4,998.00","4,995.45","4,923.57","8,345.00","3,843.00","14,37,957","7,07,98,75,811.55","1,38,953"
"10-Mar-2025","EQ","4,990.00","4,997.85","4,787.75","4,999.85","4,794.45","4,799.70","4,866.57","8,345.00","3,843.00","12,17,553","5,92,53,06,905.15","1,25,557"
"07-Mar-2025","EQ","5,075.00","5,099.95","4,985.00","5,069.50","4,990.00","4,999.85","5,028.18","8,345.00","3,750.25","6,90,809","3,47,35,11,114.80","69,686"
"06-Mar-2025","EQ","5,174.50","5,174.50","4,970.95","5,106.10","5,048.90","5,069.50","5,035.73","8,345.00","3,750.25","14,99,675","7,55,19,63,144.65","1,55,997"
"05-Mar-2025","EQ","4,987.00","5,320.00","4,987.00","4,999.80","5,110.10","5,106.10","5,171.48","8,345.00","3,750.25","21,28,488","11,00,74,38,645.00","1,94,701"
"04-Mar-2025","EQ","4,898.90","5,069.90","4,865.70","4,946.90","4,984.30","4,999.80","4,998.03","8,345.00","3,750.25","8,98,723","4,49,18,40,778.20","1,12,939"
"03-Mar-2025","EQ","4,900.05","5,022.95","4,775.00","4,851.55","4,952.60","4,946.90","4,916.30","8,345.00","3,750.25","14,15,550","6,95,92,64,918.85","1,24,524"
"28-Feb-2025","EQ","4,760.00","4,876.40","4,715.00","4,805.30","4,838.65","4,851.55","4,810.30","8,345.00","3,750.25","21,78,604","10,47,97,44,203.15","1,27,092"
"27-Feb-2025","EQ","4,951.00","4,959.00","4,770.10","4,959.90","4,780.00","4,805.30","4,840.12","8,345.00","3,750.25","9,97,906","4,82,99,87,705.10","1,13,060"
"25-Feb-2025","EQ","5,090.00","5,129.25","4,936.30","5,066.00","4,944.00","4,959.90","5,014.64","8,345.00","3,750.25","9,76,304","4,89,58,17,320.35","97,538"
"24-Feb-2025","EQ","4,998.60","5,080.00","4,928.25","5,048.20","5,050.65","5,066.00","5,008.89","8,345.00","3,750.25","8,23,625","4,12,54,43,234.75","82,188"
"21-Feb-2025","EQ","5,088.00","5,167.95","5,023.00","5,099.50","5,032.00","5,048.20","5,074.18","8,345.00","3,750.25","9,12,164","4,62,84,82,156.30","89,955"
"20-Feb-2025","EQ","4,960.00","5,137.30","4,951.45","4,991.45","5,093.90","5,099.50","5,051.04","8,345.00","3,750.25","8,12,700","4,10,49,82,452.60","90,315"
"19-Feb-2025","EQ","4,960.00","5,103.30","4,940.00","4,997.75","4,975.00","4,991.45","5,031.72","8,345.00","3,750.25","7,64,148","3,84,49,78,866.20","88,104"
"18-Feb-2025","EQ","5,100.00","5,119.45","4,928.25","5,096.45","4,986.00","4,997.75","4,989.03","8,345.00","3,750.25","7,21,122","3,59,76,96,422.90","85,687"
"17-Feb-2025","EQ","5,110.00","5,159.30","4,998.15","5,117.35","5,100.00","5,096.45","5,079.64","8,345.00","3,750.25","10,78,162","5,47,66,71,721.60","1,07,687"
