"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","271.95","278.50","269.05","272.33","277.58","277.18","274.90","340.50","179.10","2,09,80,143","5,76,74,26,862.60","1,50,205"
"10-Mar-2025","EQ","278.60","283.47","271.55","276.99","272.29","272.33","278.05","340.50","179.10","2,09,86,855","5,83,54,87,724.85","1,62,153"
"07-Mar-2025","EQ","275.80","279.73","274.00","272.95","276.20","276.99","277.54","340.50","179.10","2,55,42,382","7,08,89,98,466.40","1,83,737"
"06-Mar-2025","EQ","276.21","281.00","271.83","274.92","272.50","272.95","274.51","340.50","179.10","2,25,86,087","6,20,00,83,338.86","1,98,864"
"05-Mar-2025","EQ","265.00","275.80","263.33","264.71","274.35","274.92","271.04","340.50","179.10","2,84,99,877","7,72,44,91,505.57","2,20,341"
"04-Mar-2025","EQ","253.89","266.50","252.50","257.39","264.60","264.71","263.31","340.50","179.10","2,49,98,454","6,58,24,29,399.35","1,98,471"
"03-Mar-2025","EQ","247.50","258.90","244.36","246.25","257.50","257.39","252.68","340.50","179.10","2,46,44,079","6,22,71,27,361.45","1,87,276"
"28-Feb-2025","EQ","250.00","250.95","243.50","252.45","247.25","246.25","246.60","340.50","179.10","1,77,54,591","4,37,83,41,842.55","1,48,251"
"27-Feb-2025","EQ","257.10","258.40","251.90","256.65","252.00","252.45","254.13","340.50","179.10","1,10,87,404","2,81,76,72,740.00","1,08,069"
"25-Feb-2025","EQ","256.35","258.55","255.35","256.35","256.10","256.65","257.35","340.50","179.10","1,47,70,656","3,80,11,85,536.50","1,04,286"
"24-Feb-2025","EQ","251.00","258.45","250.50","256.10","256.60","256.35","255.23","340.50","179.10","1,54,09,569","3,93,29,30,983.95","1,29,465"
"21-Feb-2025","EQ","259.50","262.50","254.40","260.25","255.00","256.10","257.51","340.50","179.10","1,65,94,628","4,27,32,84,833.05","1,31,323"
"20-Feb-2025","EQ","252.00","260.95","250.25","253.40","260.15","260.25","257.74","340.50","179.10","1,89,22,988","4,87,72,35,461.95","1,29,451"
"19-Feb-2025","EQ","240.70","254.00","240.25","244.60","253.25","253.40","250.98","340.50","179.10","2,15,16,255","5,40,00,86,856.70","1,59,897"
