"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","4,720.00","4,795.00","4,711.55","4,737.70","4,764.00","4,762.05","4,767.62","6,469.90","4,506.00","1,47,357","70,25,42,623.85","31,156"
"10-Mar-2025","EQ","4,749.00","4,823.95","4,710.05","4,748.25","4,725.00","4,737.70","4,766.61","6,469.90","4,506.00","2,90,019","1,38,24,08,465.50","38,288"
"07-Mar-2025","EQ","4,690.00","4,765.00","4,660.00","4,702.55","4,752.70","4,748.25","4,736.33","6,469.90","4,506.00","1,91,644","90,76,90,103.30","28,556"
"06-Mar-2025","EQ","4,725.00","4,799.90","4,654.65","4,722.15","4,690.00","4,702.55","4,718.06","6,469.90","4,506.00","4,60,852","2,17,43,26,905.65","77,689"
"05-Mar-2025","EQ","4,579.90","4,735.20","4,560.00","4,575.20","4,714.00","4,722.15","4,689.83","6,469.90","4,506.00","3,50,741","1,64,49,16,637.80","38,293"
"04-Mar-2025","EQ","4,530.05","4,581.00","4,506.00","4,596.60","4,577.00","4,575.20","4,553.10","6,469.90","4,506.00","3,21,501","1,46,38,25,528.50","37,223"
"03-Mar-2025","EQ","4,595.45","4,672.00","4,548.15","4,595.45","4,600.10","4,596.60","4,600.44","6,469.90","4,548.15","4,12,033","1,89,55,33,002.25","55,689"
"28-Feb-2025","EQ","4,782.80","4,786.45","4,553.80","4,782.80","4,591.90","4,595.45","4,627.90","6,469.90","4,553.80","6,76,501","3,13,07,81,239.75","73,994"
"27-Feb-2025","EQ","4,798.05","4,860.70","4,766.50","4,798.05","4,803.00","4,782.80","4,795.87","6,469.90","4,641.00","3,86,556","1,85,38,70,502.75","58,291"
"25-Feb-2025","EQ","4,785.90","4,853.70","4,760.00","4,804.30","4,795.00","4,798.05","4,796.70","6,469.90","4,641.00","4,79,647","2,30,07,21,787.95","51,001"
"24-Feb-2025","EQ","4,750.00","4,829.50","4,702.00","4,831.90","4,814.65","4,804.30","4,799.44","6,469.90","4,641.00","2,59,886","1,24,73,07,403.50","40,337"
"21-Feb-2025","EQ","4,850.00","4,850.20","4,783.55","4,832.40","4,818.55","4,831.90","4,805.94","6,469.90","4,641.00","3,34,003","1,60,51,97,458.05","34,751"
"20-Feb-2025","EQ","4,819.00","4,847.00","4,792.00","4,837.50","4,833.00","4,832.40","4,817.47","6,469.90","4,641.00","3,19,761","1,54,04,39,653.60","59,307"
"19-Feb-2025","EQ","4,881.00","4,899.00","4,812.35","4,891.20","4,838.75","4,837.50","4,842.23","6,469.90","4,641.00","2,15,919","1,04,55,28,756.25","40,608"
"18-Feb-2025","EQ","4,963.70","4,967.05","4,859.40","4,963.70","4,880.00","4,891.20","4,913.51","6,469.90","4,641.00","3,14,216","1,54,39,02,753.25","31,030"
"17-Feb-2025","EQ","4,934.50","4,969.00","4,911.90","4,939.65","4,952.60","4,963.70","4,939.49","6,469.90","4,641.00","2,75,352","1,36,00,97,512.95","41,195"
"14-Feb-2025","EQ","4,891.70","4,955.00","4,873.75","4,888.70","4,935.00","4,939.65","4,922.75","6,469.90","4,641.00","4,89,241","2,40,84,11,554.65","40,970"
"13-Feb-2025","EQ","4,915.95","4,950.75","4,867.25","4,918.30","4,874.00","4,888.70","4,908.57","6,469.90","4,641.00","3,41,650","1,67,70,12,665.85","47,374"
"12-Feb-2025","EQ","4,899.05","4,932.95","4,843.55","4,904.05","4,919.85","4,918.30","4,897.53","6,469.90","4,641.00","3,36,331","1,64,71,89,571.35","46,676"
"11-Feb-2025","EQ","4,910.95","4,939.55","4,854.00","4,909.65","4,914.00","4,904.05","4,889.84","6,469.90","4,641.00","2,79,638","1,36,73,85,276.55","37,999"
"10-Feb-2025","EQ","4,915.00","5,009.00","4,877.00","4,870.50","4,915.00","4,909.65","4,956.74","6,469.90","4,641.00","6,25,074","3,09,83,26,218.50","70,423"
"07-Feb-2025","EQ","5,010.00","5,075.40","4,844.00","4,956.05","4,872.00","4,870.50","4,940.22","6,469.90","4,641.00","7,01,024","3,46,32,11,113.90","78,335"
"06-Feb-2025","EQ","4,932.10","4,978.80","4,906.05","4,932.65","4,969.00","4,956.05","4,943.46","6,469.90","4,641.00","4,66,931","2,30,82,53,855.90","46,120"
"05-Feb-2025","EQ","5,058.00","5,058.00","4,924.35","5,028.35","4,930.00","4,932.65","4,963.01","6,469.90","4,641.00","3,84,948","1,91,04,99,501.40","57,790"
"04-Feb-2025","EQ","5,118.00","5,118.00","4,990.30","5,105.55","5,040.30","5,028.35","5,028.97","6,469.90","4,641.00","4,34,664","2,18,59,11,296.95","48,125"
"03-Feb-2025","EQ","5,232.60","5,232.60","5,015.00","5,201.35","5,089.00","5,105.55","5,096.71","6,469.90","4,641.00","5,17,520","2,63,76,51,833.10","78,025"
"01-Feb-2025","EQ","5,160.00","5,379.00","5,051.00","5,129.65","5,203.65","5,201.35","5,252.79","6,469.90","4,641.00","6,34,040","3,33,04,77,334.65","65,006"
"31-Jan-2025","EQ","5,104.00","5,170.00","5,040.10","5,075.35","5,129.05","5,129.65","5,120.11","6,469.90","4,641.00","3,16,771","1,62,19,01,077.60","48,569"
"30-Jan-2025","EQ","5,037.10","5,105.00","5,034.95","5,037.05","5,105.00","5,075.35","5,072.38","6,469.90","4,641.00","3,54,016","1,79,57,05,140.15","41,178"
"29-Jan-2025","EQ","5,100.00","5,100.00","4,991.00","5,060.75","5,030.50","5,037.05","5,024.93","6,469.90","4,641.00","2,98,533","1,50,01,07,671.65","53,255"
"28-Jan-2025","EQ","5,181.15","5,216.25","5,018.20","5,176.25","5,065.00","5,060.75","5,101.96","6,469.90","4,641.00","4,56,912","2,33,11,44,569.90","70,982"
"27-Jan-2025","EQ","5,103.65","5,215.00","5,103.05","5,101.55","5,178.05","5,176.25","5,183.77","6,469.90","4,641.00","9,37,878","4,86,17,40,190.70","1,26,271"
"24-Jan-2025","EQ","5,037.70","5,108.00","5,013.15","5,012.60","5,100.00","5,101.55","5,078.02","6,469.90","4,641.00","5,09,954","2,58,95,55,142.60","69,006"
"23-Jan-2025","EQ","4,944.15","5,042.95","4,883.20","4,956.70","5,018.15","5,012.60","4,999.95","6,469.90","4,641.00","3,61,082","1,80,53,91,921.85","65,782"
"22-Jan-2025","EQ","4,930.00","4,975.20","4,883.20","4,903.85","4,945.00","4,956.70","4,938.74","6,469.90","4,641.00","4,60,132","2,27,24,72,819.80","66,070"
"21-Jan-2025","EQ","4,885.40","4,944.15","4,850.10","4,885.40","4,903.00","4,903.85","4,901.95","6,469.90","4,641.00","3,77,457","1,85,02,74,689.40","37,483"
"20-Jan-2025","EQ","4,860.00","4,908.00","4,836.65","4,854.40","4,871.10","4,885.40","4,879.24","6,469.90","4,641.00","1,55,962","76,09,75,750.00","27,485"
"17-Jan-2025","EQ","4,846.10","4,923.50","4,815.70","4,844.55","4,860.00","4,854.40","4,850.29","6,469.90","4,641.00","4,92,847","2,39,04,48,974.95","39,854"
"16-Jan-2025","EQ","4,886.05","4,900.00","4,743.10","4,877.00","4,844.90","4,844.55","4,815.23","6,469.90","4,641.00","4,54,269","2,18,74,09,387.85","72,740"
"15-Jan-2025","EQ","4,871.00","4,937.20","4,804.10","4,862.40","4,873.00","4,877.00","4,863.29","6,469.90","4,641.00","2,42,422","1,17,89,68,402.40","38,746"
"14-Jan-2025","EQ","4,948.95","4,950.00","4,850.10","4,927.05","4,870.05","4,862.40","4,887.31","6,469.90","4,641.00","2,83,367","1,38,49,02,411.70","40,763"
"13-Jan-2025","EQ","4,922.20","4,997.90","4,906.00","4,939.20","4,909.00","4,927.05","4,945.08","6,469.90","4,641.00","4,48,698","2,21,88,47,533.80","49,445"
"10-Jan-2025","EQ","4,928.50","4,958.40","4,881.65","4,926.30","4,945.00","4,939.20","4,931.73","6,469.90","4,641.00","3,05,669","1,50,74,78,294.85","35,663"
