"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","371.00","380.00","368.00","375.15","378.60","379.05","375.22","543.55","349.25","53,40,552","2,00,39,05,013.15","64,573"
"10-Mar-2025","EQ","380.70","386.60","374.05","380.65","374.65","375.15","379.49","543.55","349.25","55,41,001","2,10,27,75,121.80","68,931"
"07-Mar-2025","EQ","382.60","389.60","379.40","382.60","380.90","380.65","383.71","543.55","349.25","83,21,771","3,19,31,59,133.05","98,371"
"06-Mar-2025","EQ","370.05","384.15","368.10","368.25","382.15","382.60","378.44","543.55","349.25","1,12,47,215","4,25,64,36,709.95","1,59,630"
"05-Mar-2025","EQ","362.05","368.90","362.05","363.85","368.25","368.25","366.59","543.55","349.25","57,30,797","2,10,08,29,182.80","97,125"
"04-Mar-2025","EQ","356.10","366.50","352.60","360.35","363.50","363.85","361.00","543.55","349.25","55,35,218","1,99,81,92,239.05","74,575"
"03-Mar-2025","EQ","370.00","371.00","352.40","369.35","360.60","360.35","358.41","543.55","349.25","1,26,75,744","4,54,30,78,526.30","1,96,314"
"28-Feb-2025","EQ","366.80","375.75","365.30","363.85","368.50","369.35","371.22","543.55","349.25","2,18,99,478","8,12,96,09,488.30","2,16,239"
"27-Feb-2025","EQ","359.00","367.80","356.15","361.15","362.90","363.85","361.46","543.55","349.25","61,96,610","2,23,98,55,376.40","76,400"
"25-Feb-2025","EQ","364.00","365.40","358.70","364.80","362.00","361.15","360.84","543.55","349.25","45,25,493","1,63,29,62,759.05","68,424"
"24-Feb-2025","EQ","368.05","368.50","361.15","369.95","364.30","364.80","364.80","543.55","349.25","45,33,486","1,65,37,99,923.80","89,346"
"21-Feb-2025","EQ","367.55","371.20","365.30","367.95","369.00","369.95","369.30","543.55","349.25","52,35,241","1,93,33,64,489.80","64,107"
"20-Feb-2025","EQ","360.00","369.45","360.00","362.30","369.00","367.95","366.04","543.55","349.25","46,24,287","1,69,26,86,096.70","70,120"
"19-Feb-2025","EQ","360.00","365.30","358.00","361.10","361.85","362.30","362.63","543.55","349.25","30,97,726","1,12,33,22,802.75","54,759"
"18-Feb-2025","EQ","360.25","362.35","353.80","360.10","360.00","361.10","357.94","543.55","349.25","38,43,725","1,37,58,14,251.00","62,294"
"17-Feb-2025","EQ","354.20","362.00","349.25","354.20","360.10","360.10","357.02","543.55","349.25","60,17,586","2,14,84,00,197.60","96,949"
"14-Feb-2025","EQ","363.90","365.00","350.50","361.65","352.95","354.20","355.49","543.55","350.50","44,64,446","1,58,70,43,712.60","1,01,906"
"13-Feb-2025","EQ","362.00","367.55","358.60","360.35","361.60","361.65","363.58","543.55","351.55","37,12,240","1,34,96,83,005.60","79,651"
"12-Feb-2025","EQ","359.90","361.80","351.55","359.00","360.85","360.35","357.40","543.55","351.55","45,65,992","1,63,18,92,784.35","75,997"
"11-Feb-2025","EQ","370.00","370.50","357.50","370.50","358.00","359.00","361.73","543.55","357.50","68,03,431","2,46,10,11,152.15","1,14,025"
"10-Feb-2025","EQ","377.00","379.85","369.00","378.25","370.90","370.50","371.51","543.55","361.25","33,80,494","1,25,58,92,535.05","67,761"
"07-Feb-2025","EQ","379.50","383.00","376.00","379.60","378.75","378.25","379.49","543.55","361.25","30,06,598","1,14,09,83,087.75","59,978"
"06-Feb-2025","EQ","382.80","384.65","377.20","382.85","379.55","379.60","379.61","543.55","361.25","46,52,107","1,76,59,78,481.30","67,077"
"05-Feb-2025","EQ","378.00","385.10","377.90","376.55","382.95","382.85","382.97","543.55","361.25","59,14,200","2,26,49,80,055.25","74,631"
"04-Feb-2025","EQ","377.50","380.70","374.90","374.00","377.05","376.55","376.83","543.55","361.25","46,49,921","1,75,22,21,963.70","75,092"
"03-Feb-2025","EQ","384.00","384.15","366.50","385.30","374.20","374.00","372.00","543.55","361.25","76,89,700","2,86,05,32,502.40","1,03,406"
"01-Feb-2025","EQ","395.90","399.45","379.05","395.90","385.45","385.30","389.40","543.55","361.25","70,15,540","2,73,18,30,274.35","94,148"
"31-Jan-2025","EQ","379.50","396.95","374.65","385.05","396.50","395.90","388.71","543.55","361.25","1,03,39,434","4,01,90,06,556.10","94,985"
"30-Jan-2025","EQ","381.70","387.35","380.40","379.45","385.30","385.05","384.65","543.55","361.25","63,00,164","2,42,33,35,457.30","82,146"
"29-Jan-2025","EQ","372.50","385.00","370.80","370.65","380.60","379.45","376.87","543.55","361.25","66,80,927","2,51,78,08,694.65","75,192"
"28-Jan-2025","EQ","376.00","377.60","367.75","375.75","371.70","370.65","371.61","543.55","361.25","1,08,66,038","4,03,78,88,314.60","1,28,945"
"27-Jan-2025","EQ","380.90","383.00","372.75","383.05","374.00","375.75","377.70","543.55","361.25","66,45,109","2,50,98,70,775.25","75,926"
"24-Jan-2025","EQ","386.05","392.25","381.70","385.80","384.00","383.05","385.80","543.55","361.25","53,51,964","2,06,47,71,146.30","66,559"
"23-Jan-2025","EQ","377.50","388.20","376.20","379.20","386.10","385.80","384.37","543.55","361.25","58,44,752","2,24,65,58,668.85","82,673"
"22-Jan-2025","EQ","381.50","383.90","374.65","381.55","379.70","379.20","377.93","543.55","361.25","1,06,53,690","4,02,63,01,865.55","1,02,780"
"21-Jan-2025","EQ","388.00","389.65","381.00","387.05","381.60","381.55","383.33","543.55","361.25","2,08,54,879","7,99,43,67,586.70","86,170"
"20-Jan-2025","EQ","389.60","391.00","382.65","387.65","387.50","387.05","386.07","543.55","361.25","1,45,97,375","5,63,55,58,113.40","1,20,705"
"17-Jan-2025","EQ","380.00","389.30","378.55","378.85","388.40","387.65","386.00","543.55","361.25","83,80,692","3,23,49,86,944.00","90,996"
"16-Jan-2025","EQ","378.45","381.50","374.80","374.60","381.00","378.85","378.76","543.55","361.25","69,23,722","2,62,24,37,012.65","92,498"
"15-Jan-2025","EQ","371.90","381.45","369.30","369.25","374.00","374.60","376.76","543.55","361.25","1,11,17,714","4,18,86,61,489.75","1,37,472"
"14-Jan-2025","EQ","365.00","374.00","363.00","362.90","370.00","369.25","366.97","543.55","361.25","56,98,113","2,09,10,55,778.60","1,08,290"
"13-Jan-2025","EQ","366.10","370.40","361.25","368.50","362.75","362.90","365.84","543.55","361.25","86,61,589","3,16,87,23,526.95","1,64,496"
"10-Jan-2025","EQ","371.40","373.20","364.70","372.20","368.80","368.50","369.22","543.55","364.70","48,93,721","1,80,68,71,074.30","89,338"
"09-Jan-2025","EQ","381.55","381.55","370.80","380.35","372.95","372.20","373.89","543.55","368.00","62,47,612","2,33,59,05,526.70","1,13,466"
"08-Jan-2025","EQ","380.05","382.05","376.00","379.80","380.50","380.35","378.66","543.55","368.00","74,07,778","2,80,50,05,886.40","1,00,310"
