"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","2,372.00","2,425.00","2,363.95","2,383.95","2,415.90","2,413.55","2,401.36","2,877.75","2,128.60","4,45,250","1,06,92,04,286.65","43,939"
"10-Mar-2025","EQ","2,407.25","2,425.00","2,373.30","2,407.25","2,386.20","2,383.95","2,402.60","2,877.75","2,128.60","6,50,796","1,56,36,01,436.10","53,695"
"07-Mar-2025","EQ","2,380.00","2,415.00","2,380.00","2,393.65","2,405.00","2,407.25","2,405.39","2,877.75","2,128.60","3,17,388","76,34,43,343.45","35,322"
"06-Mar-2025","EQ","2,401.65","2,415.00","2,353.50","2,391.65","2,388.20","2,393.65","2,388.47","2,877.75","2,128.60","7,54,593","1,80,23,24,870.10","76,858"
"05-Mar-2025","EQ","2,404.00","2,408.95","2,376.35","2,394.65","2,399.00","2,391.65","2,387.81","2,877.75","2,128.60","7,55,361","1,80,36,56,499.80","94,844"
"04-Mar-2025","EQ","2,356.00","2,404.20","2,351.60","2,377.45","2,395.85","2,394.65","2,385.07","2,877.75","2,128.60","5,21,061","1,24,27,66,247.60","55,486"
"03-Mar-2025","EQ","2,328.50","2,382.90","2,317.90","2,306.65","2,380.00","2,377.45","2,363.20","2,877.75","2,128.60","7,90,068","1,86,70,85,566.35","89,557"
"28-Feb-2025","EQ","2,347.15","2,361.75","2,301.65","2,339.95","2,324.85","2,306.65","2,321.78","2,877.75","2,128.60","11,53,007","2,67,70,27,803.70","74,923"
"27-Feb-2025","EQ","2,373.00","2,379.30","2,317.10","2,379.30","2,347.00","2,339.95","2,338.15","2,877.75","2,128.60","10,45,684","2,44,49,68,252.25","81,161"
"25-Feb-2025","EQ","2,392.00","2,403.50","2,367.10","2,393.70","2,370.70","2,379.30","2,381.73","2,877.75","2,128.60","4,97,013","1,18,37,52,035.15","39,966"
"24-Feb-2025","EQ","2,412.00","2,420.00","2,381.00","2,431.05","2,392.00","2,393.70","2,399.32","2,877.75","2,128.60","5,43,080","1,30,30,24,956.80","49,595"
"21-Feb-2025","EQ","2,440.00","2,453.35","2,401.05","2,453.70","2,417.15","2,431.05","2,432.17","2,877.75","2,102.20","5,04,415","1,22,68,24,398.25","57,130"
"20-Feb-2025","EQ","2,451.00","2,477.95","2,443.25","2,463.20","2,452.90","2,453.70","2,454.86","2,877.75","2,102.20","4,27,274","1,04,88,97,779.80","40,900"
"19-Feb-2025","EQ","2,448.00","2,481.50","2,446.30","2,463.20","2,460.35","2,463.20","2,464.33","2,877.75","2,102.20","2,89,053","71,23,23,297.95","30,974"
"18-Feb-2025","EQ","2,480.00","2,482.95","2,412.80","2,463.85","2,445.05","2,463.20","2,440.68","2,877.75","2,102.20","5,96,040","1,45,47,42,040.70","49,999"
"17-Feb-2025","EQ","2,431.30","2,471.15","2,405.55","2,431.30","2,460.00","2,463.85","2,454.51","2,877.75","2,102.20","6,46,841","1,58,76,78,783.65","43,407"
"14-Feb-2025","EQ","2,499.00","2,507.75","2,405.50","2,490.10","2,423.00","2,431.30","2,442.18","2,877.75","2,027.50","6,77,910","1,65,55,80,299.30","63,352"
"13-Feb-2025","EQ","2,481.00","2,532.95","2,474.15","2,484.95","2,477.05","2,490.10","2,505.50","2,877.75","2,027.50","7,08,830","1,77,59,73,525.15","49,450"
"12-Feb-2025","EQ","2,479.00","2,498.90","2,433.75","2,491.45","2,481.00","2,484.95","2,472.82","2,877.75","2,027.50","4,54,023","1,12,27,17,242.65","43,569"
"11-Feb-2025","EQ","2,460.00","2,542.00","2,456.05","2,473.25","2,492.00","2,491.45","2,507.38","2,877.75","2,027.50","17,10,410","4,28,86,39,987.75","99,491"
"10-Feb-2025","EQ","2,485.00","2,491.00","2,438.10","2,487.60","2,453.00","2,473.25","2,472.94","2,877.75","2,027.50","7,17,668","1,77,47,49,060.50","50,436"
"07-Feb-2025","EQ","2,504.00","2,522.75","2,466.45","2,499.00","2,485.20","2,487.60","2,495.91","2,877.75","2,027.50","7,38,201","1,84,24,83,462.40","67,477"
"06-Feb-2025","EQ","2,499.00","2,508.30","2,475.90","2,490.00","2,500.90","2,499.00","2,495.24","2,877.75","2,027.50","5,95,946","1,48,70,28,546.90","53,732"
"05-Feb-2025","EQ","2,499.00","2,499.90","2,474.30","2,484.70","2,489.90","2,490.00","2,486.46","2,877.75","2,027.50","4,64,164","1,15,41,27,270.25","45,885"
"04-Feb-2025","EQ","2,465.00","2,491.80","2,446.50","2,473.65","2,491.80","2,484.70","2,474.03","2,877.75","2,027.50","3,37,002","83,37,51,521.30","36,272"
"03-Feb-2025","EQ","2,418.00","2,479.75","2,418.00","2,440.75","2,469.00","2,473.65","2,453.22","2,877.75","2,027.50","4,27,217","1,04,80,57,547.15","35,803"
"01-Feb-2025","EQ","2,500.00","2,514.05","2,429.40","2,508.85","2,440.00","2,440.75","2,477.81","2,877.75","2,027.50","4,32,668","1,07,20,69,604.80","30,198"
"31-Jan-2025","EQ","2,491.70","2,518.30","2,475.80","2,491.70","2,506.95","2,508.85","2,501.25","2,877.75","2,027.50","4,31,982","1,08,04,92,982.65","38,739"
"30-Jan-2025","EQ","2,458.70","2,508.55","2,446.50","2,453.65","2,498.15","2,491.70","2,478.19","2,877.75","2,027.50","3,97,046","98,39,56,375.55","40,099"
"29-Jan-2025","EQ","2,403.00","2,464.00","2,397.00","2,411.30","2,453.00","2,453.65","2,439.97","2,877.75","2,027.50","2,00,039","48,80,89,059.05","25,458"
"28-Jan-2025","EQ","2,458.00","2,459.95","2,399.80","2,458.05","2,415.00","2,411.30","2,430.72","2,877.75","2,027.50","7,40,041","1,79,88,35,116.15","56,968"
"27-Jan-2025","EQ","2,475.50","2,484.40","2,430.40","2,490.75","2,441.80","2,458.05","2,458.66","2,877.75","2,027.50","4,58,264","1,12,67,17,557.40","46,903"
"24-Jan-2025","EQ","2,466.35","2,514.05","2,453.45","2,461.15","2,495.00","2,490.75","2,488.90","2,877.75","2,016.55","15,10,105","3,75,84,96,637.55","87,953"
"23-Jan-2025","EQ","2,388.00","2,475.75","2,365.40","2,388.15","2,458.95","2,461.15","2,446.48","2,877.75","2,016.55","5,96,720","1,45,98,62,401.00","48,727"
"22-Jan-2025","EQ","2,380.95","2,396.45","2,370.30","2,367.50","2,390.00","2,388.15","2,385.03","2,877.75","2,016.55","3,36,546","80,26,72,840.65","37,152"
"21-Jan-2025","EQ","2,404.90","2,426.50","2,361.65","2,402.00","2,375.95","2,367.50","2,387.82","2,877.75","2,016.55","3,16,019","75,45,95,410.80","32,379"
"20-Jan-2025","EQ","2,380.05","2,410.65","2,373.00","2,375.85","2,398.00","2,402.00","2,397.30","2,877.75","2,016.55","6,81,711","1,63,42,65,273.75","78,602"
"17-Jan-2025","EQ","2,363.10","2,387.25","2,348.65","2,350.70","2,372.00","2,375.85","2,371.40","2,877.75","2,016.55","4,43,089","1,05,07,43,175.30","45,197"
"16-Jan-2025","EQ","2,330.00","2,359.75","2,313.15","2,317.55","2,359.00","2,350.70","2,347.74","2,877.75","2,016.55","13,95,232","3,27,56,42,715.90","1,13,575"
"15-Jan-2025","EQ","2,326.90","2,349.75","2,296.75","2,310.60","2,318.00","2,317.55","2,324.85","2,877.75","2,016.55","5,83,299","1,35,60,80,848.60","47,894"
"14-Jan-2025","EQ","2,308.00","2,330.45","2,294.15","2,288.15","2,311.25","2,310.60","2,307.41","2,877.75","2,016.55","8,65,382","1,99,67,90,083.30","47,322"
"13-Jan-2025","EQ","2,329.95","2,348.20","2,276.95","2,364.10","2,290.00","2,288.15","2,305.73","2,877.75","2,016.55","4,22,845","97,49,66,514.60","40,427"
"10-Jan-2025","EQ","2,400.00","2,424.90","2,352.20","2,410.40","2,362.00","2,364.10","2,371.91","2,877.75","2,016.55","4,13,994","98,19,56,951.40","37,616"
"09-Jan-2025","EQ","2,435.05","2,438.80","2,396.40","2,435.75","2,414.00","2,410.40","2,413.17","2,877.75","2,016.55","7,66,796","1,85,04,10,398.75","87,249"
"08-Jan-2025","EQ","2,468.85","2,476.35","2,433.15","2,467.25","2,433.50","2,435.75","2,442.87","2,877.75","2,016.55","5,43,301","1,32,72,14,763.05","49,358"
"07-Jan-2025","EQ","2,460.60","2,497.00","2,456.60","2,460.55","2,465.00","2,467.25","2,474.20","2,877.75","2,016.55","4,95,162","1,22,51,31,857.80","32,419"
"06-Jan-2025","EQ","2,517.00","2,527.95","2,445.75","2,510.00","2,458.15","2,460.55","2,474.72","2,877.75","2,016.55","3,93,162","97,29,66,216.65","36,606"
