"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","684.00","699.00","676.80","689.15","699.00","695.50","689.93","772.65","501.20","52,62,297","3,63,06,25,226.85","85,450"
"10-Mar-2025","EQ","689.80","709.30","686.50","691.35","690.05","689.15","697.75","772.65","501.20","1,07,07,412","7,47,11,43,706.15","1,67,288"
"07-Mar-2025","EQ","678.60","694.60","678.60","681.95","689.95","691.35","688.35","772.65","501.20","81,42,832","5,60,51,18,732.05","1,20,043"
"06-Mar-2025","EQ","664.95","687.60","661.85","657.35","680.45","681.95","676.21","772.65","501.20","1,09,93,614","7,43,39,96,000.45","2,07,512"
"05-Mar-2025","EQ","638.00","662.50","638.00","641.65","657.35","657.35","655.65","772.65","501.20","78,76,653","5,16,43,45,356.50","1,36,065"
"04-Mar-2025","EQ","628.00","643.85","624.10","636.55","640.00","641.65","639.02","772.65","501.20","44,30,660","2,83,12,77,909.15","1,00,212"
"03-Mar-2025","EQ","634.45","643.50","620.70","634.35","638.20","636.55","632.23","772.65","501.20","53,68,388","3,39,40,61,372.65","1,23,609"
"28-Feb-2025","EQ","630.00","636.60","619.45","631.95","634.00","634.35","630.56","772.65","499.00","1,30,41,185","8,22,31,92,748.30","1,32,761"
"27-Feb-2025","EQ","625.10","633.90","619.50","619.45","630.50","631.95","627.12","772.65","499.00","72,63,151","4,55,48,38,777.90","1,06,240"
"25-Feb-2025","EQ","636.00","638.45","617.10","641.90","622.55","619.45","621.99","772.65","499.00","1,02,49,548","6,37,51,10,831.95","2,38,422"
"24-Feb-2025","EQ","642.00","647.90","636.25","653.55","640.90","641.90","642.65","772.65","499.00","59,31,712","3,81,20,08,464.35","1,01,478"
"21-Feb-2025","EQ","639.20","656.20","637.95","638.80","652.15","653.55","650.79","772.65","499.00","74,90,723","4,87,48,83,945.65","1,53,554"
"20-Feb-2025","EQ","627.00","644.20","625.00","626.30","639.25","638.80","638.41","772.65","499.00","69,04,537","4,40,79,57,400.45","1,16,688"
"19-Feb-2025","EQ","607.00","628.35","606.55","611.45","627.95","626.30","620.30","772.65","499.00","61,01,855","3,78,50,09,091.15","97,897"
"18-Feb-2025","EQ","609.00","613.70","601.70","610.85","609.00","611.45","608.24","772.65","499.00","29,56,837","1,79,84,54,671.20","63,828"
"17-Feb-2025","EQ","606.20","611.90","589.65","606.20","610.05","610.85","603.47","772.65","499.00","44,70,099","2,69,75,48,992.60","82,977"
"14-Feb-2025","EQ","609.00","616.00","595.05","602.50","604.00","606.20","604.22","772.65","496.35","1,14,75,440","6,93,36,88,949.45","1,80,429"
"13-Feb-2025","EQ","596.05","607.95","590.10","598.90","604.40","602.50","602.38","772.65","496.35","44,15,122","2,65,95,87,384.10","1,37,164"
"12-Feb-2025","EQ","599.05","604.95","586.35","595.85","597.15","598.90","596.98","772.65","496.35","37,64,143","2,24,71,29,270.05","78,775"
"11-Feb-2025","EQ","594.05","607.00","591.65","596.00","596.05","595.85","598.65","772.65","496.35","53,03,293","3,17,48,22,088.05","81,162"
"10-Feb-2025","EQ","605.00","606.10","589.50","607.40","595.85","596.00","595.83","772.65","496.35","34,34,505","2,04,63,70,235.35","85,912"
"07-Feb-2025","EQ","595.45","610.60","594.00","595.45","609.20","607.40","605.47","772.65","496.35","46,87,823","2,83,83,41,920.00","88,225"
"06-Feb-2025","EQ","601.05","606.80","591.25","600.60","596.95","595.45","596.47","772.65","496.35","35,71,342","2,13,01,82,114.25","64,929"
"05-Feb-2025","EQ","584.50","604.50","584.50","583.95","600.90","600.60","598.82","772.65","496.35","39,74,704","2,38,01,40,680.10","70,511"
"04-Feb-2025","EQ","580.50","595.90","580.20","574.05","585.10","583.95","586.42","772.65","496.35","53,18,376","3,11,88,16,972.55","65,170"
"03-Feb-2025","EQ","575.00","576.60","557.60","586.45","575.00","574.05","571.34","772.65","496.35","81,69,543","4,66,75,51,171.90","1,44,207"
"01-Feb-2025","EQ","594.00","595.40","582.00","594.30","586.10","586.45","590.50","772.65","496.35","17,40,719","1,02,79,02,113.20","28,126"
"31-Jan-2025","EQ","590.00","596.40","584.30","587.85","593.75","594.30","591.73","772.65","496.35","37,50,965","2,21,95,54,340.55","75,618"
"30-Jan-2025","EQ","586.90","601.85","581.70","584.10","590.60","587.85","590.63","772.65","496.35","46,04,752","2,71,97,15,145.95","78,457"
"29-Jan-2025","EQ","576.50","587.85","571.60","573.85","586.00","584.10","579.72","772.65","496.35","46,18,198","2,67,72,83,586.15","99,542"
"28-Jan-2025","EQ","590.10","591.65","568.30","586.90","574.70","573.85","578.43","772.65","496.35","62,50,865","3,61,56,97,803.60","87,278"
"27-Jan-2025","EQ","600.05","601.60","585.35","606.90","585.50","586.90","592.03","772.65","496.35","29,19,161","1,72,82,33,267.95","53,695"
"24-Jan-2025","EQ","608.70","615.35","599.90","608.25","607.60","606.90","608.04","772.65","496.35","46,08,870","2,80,23,71,176.75","63,215"
"23-Jan-2025","EQ","611.00","616.20","607.20","613.45","608.05","608.25","611.61","772.65","496.35","68,26,419","4,17,50,98,210.20","77,606"
"22-Jan-2025","EQ","615.00","615.40","605.35","614.95","614.60","613.45","610.14","772.65","496.35","44,26,051","2,70,05,04,761.15","96,562"
"21-Jan-2025","EQ","626.05","628.35","613.45","618.15","613.65","614.95","620.82","772.65","496.35","35,29,837","2,19,13,92,558.95","68,380"
"20-Jan-2025","EQ","617.05","621.95","612.25","617.00","618.20","618.15","618.57","772.65","496.35","29,95,173","1,85,27,13,894.60","48,896"
"17-Jan-2025","EQ","603.85","619.00","603.70","602.60","616.00","617.00","615.03","772.65","496.35","64,14,327","3,94,50,06,717.25","1,58,954"
"16-Jan-2025","EQ","596.00","607.00","590.55","591.55","602.50","602.60","601.99","772.65","496.35","49,59,410","2,98,54,92,106.40","1,08,375"
"15-Jan-2025","EQ","594.00","596.20","586.55","590.90","591.25","591.55","591.83","772.65","496.35","43,90,121","2,59,82,21,473.10","1,01,103"
"14-Jan-2025","EQ","569.90","591.95","568.35","563.75","590.35","590.90","584.85","772.65","496.35","85,06,497","4,97,50,58,308.50","1,11,089"
"13-Jan-2025","EQ","571.60","573.95","562.00","574.45","562.80","563.75","568.94","772.65","496.35","76,89,295","4,37,47,61,538.20","97,381"
"10-Jan-2025","EQ","586.00","589.25","571.60","589.25","574.70","574.45","576.39","772.65","496.35","1,06,13,705","6,11,75,85,026.70","1,54,111"
"09-Jan-2025","EQ","580.00","596.85","578.65","586.65","591.00","589.25","589.90","772.65","496.35","75,95,188","4,48,04,06,134.10","1,15,554"
"08-Jan-2025","EQ","582.75","587.60","577.45","584.50","586.35","586.65","582.57","772.65","496.35","40,77,369","2,37,53,44,234.40","77,241"
"07-Jan-2025","EQ","573.05","588.40","572.05","574.10","583.75","584.50","582.93","772.65","496.35","53,79,682","3,13,59,84,168.15","84,787"
"06-Jan-2025","EQ","592.60","593.85","571.60","591.15","573.05","574.10","578.37","772.65","496.35","1,12,02,314","6,47,90,86,503.70","2,59,851"
"03-Jan-2025","EQ","599.00","599.75","590.00","599.00","590.25","591.15","594.44","772.65","496.35","62,91,674","3,74,00,06,045.30","1,51,328"
"02-Jan-2025","EQ","594.90","600.55","588.60","592.95","600.55","599.00","595.65","772.65","496.35","85,25,001","5,07,79,28,979.60","2,60,265"
"01-Jan-2025","EQ","601.50","603.75","587.50","602.45","594.00","592.95","593.39","772.65","496.35","92,17,246","5,46,94,05,388.25","1,38,869"
"31-Dec-2024","EQ","601.40","605.90","597.45","601.10","601.90","602.45","601.78","772.65","496.35","38,07,525","2,29,12,94,085.20","82,312"
"30-Dec-2024","EQ","615.40","620.30","599.15","617.40","603.10","601.10","607.88","772.65","496.35","80,23,050","4,87,70,79,838.45","1,37,945"
"27-Dec-2024","EQ","628.75","632.85","615.70","628.75","617.90","617.40","621.74","772.65","496.35","33,91,148","2,10,84,21,655.35","54,710"
"26-Dec-2024","EQ","630.00","633.45","626.75","627.45","630.00","628.75","628.82","772.65","496.35","44,76,967","2,81,51,95,638.60","70,962"
"24-Dec-2024","EQ","635.00","638.10","625.75","634.15","629.00","627.45","629.52","772.65","496.35","48,30,151","3,04,06,70,128.70","94,152"
"23-Dec-2024","EQ","625.55","635.90","625.55","622.65","634.30","634.15","632.93","772.65","496.35","29,21,238","1,84,89,36,707.30","66,636"
"20-Dec-2024","EQ","629.35","640.60","620.70","629.35","624.45","622.65","628.08","772.65","496.35","59,64,142","3,74,59,70,987.20","87,373"
"19-Dec-2024","EQ","620.60","633.25","614.10","633.00","630.00","629.35","625.42","772.65","496.35","51,98,027","3,25,09,63,703.05","1,27,668"
"18-Dec-2024","EQ","641.95","642.05","628.25","639.45","633.20","633.00","634.98","772.65","496.35","37,53,662","2,38,35,02,871.00","1,07,104"
"17-Dec-2024","EQ","649.50","653.60","637.10","653.50","638.70","639.45","643.02","772.65","496.35","48,00,541","3,08,68,28,813.50","1,49,566"
