"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","810.45","810.45","649.00","900.50","656.80","655.95","691.22","1,576.35","649.00","10,10,75,220","69,86,55,98,876.35","10,87,296"
"10-Mar-2025","EQ","895.00","913.35","881.10","936.75","901.95","900.50","902.36","1,576.35","881.10","1,60,14,401","14,45,07,83,982.15","2,90,034"
"07-Mar-2025","EQ","971.00","976.60","932.30","971.70","935.00","936.75","943.85","1,576.35","923.70","77,37,031","7,30,25,99,516.60","1,71,823"
"06-Mar-2025","EQ","976.00","984.10","962.20","971.85","969.55","971.70","972.64","1,576.35","923.70","39,28,358","3,82,08,87,240.00","1,14,201"
"05-Mar-2025","EQ","984.25","995.25","970.65","987.60","973.00","971.85","979.77","1,576.35","923.70","39,44,062","3,86,42,77,937.05","97,539"
"04-Mar-2025","EQ","978.00","1,003.60","966.95","984.00","988.00","987.60","989.03","1,576.35","923.70","32,71,190","3,23,53,00,840.60","95,376"
"03-Mar-2025","EQ","978.95","986.30","947.00","990.10","984.40","984.00","966.42","1,576.35","923.70","61,58,061","5,95,12,78,931.05","1,80,102"
"28-Feb-2025","EQ","1,040.00","1,040.65","970.10","1,046.70","972.30","990.10","990.26","1,576.35","923.70","5,56,66,745","55,12,44,38,402.30","3,83,436"
"27-Feb-2025","EQ","1,046.90","1,063.30","1,040.70","1,034.25","1,040.70","1,046.70","1,049.89","1,576.35","923.70","59,51,737","6,24,86,69,672.95","1,34,263"
"25-Feb-2025","EQ","1,028.20","1,041.70","1,026.35","1,029.15","1,029.90","1,034.25","1,034.63","1,576.35","923.70","36,28,538","3,75,41,78,767.20","1,22,115"
"24-Feb-2025","EQ","1,030.10","1,038.75","1,021.10","1,043.75","1,029.50","1,029.15","1,028.57","1,576.35","923.70","30,74,297","3,16,21,21,565.70","86,690"
"21-Feb-2025","EQ","1,041.55","1,055.80","1,038.95","1,047.65","1,043.00","1,043.75","1,045.87","1,576.35","923.70","25,89,619","2,70,84,06,225.55","68,672"
"20-Feb-2025","EQ","1,029.95","1,049.90","1,025.60","1,035.80","1,045.00","1,047.65","1,042.54","1,576.35","923.70","18,19,683","1,89,70,84,102.80","63,972"
"19-Feb-2025","EQ","1,024.10","1,042.05","1,015.90","1,024.10","1,034.20","1,035.80","1,032.47","1,576.35","923.70","24,64,555","2,54,45,75,685.55","99,406"
"18-Feb-2025","EQ","1,045.00","1,051.50","1,021.35","1,048.25","1,022.10","1,024.10","1,031.04","1,576.35","923.70","26,20,716","2,70,20,52,326.75","97,530"
"17-Feb-2025","EQ","1,024.40","1,050.95","1,013.10","1,024.40","1,050.30","1,048.25","1,040.20","1,576.35","923.70","27,95,714","2,90,81,00,491.65","95,658"
"14-Feb-2025","EQ","1,049.60","1,058.10","1,018.20","1,047.25","1,023.05","1,024.40","1,030.91","1,576.35","923.70","40,36,016","4,16,07,61,718.95","1,04,813"
"13-Feb-2025","EQ","1,039.50","1,056.95","1,025.40","1,039.65","1,049.95","1,047.25","1,045.76","1,576.35","923.70","45,39,780","4,74,75,24,522.45","1,39,511"
"12-Feb-2025","EQ","1,060.45","1,063.95","1,020.25","1,054.15","1,038.00","1,039.65","1,038.35","1,576.35","923.70","47,98,340","4,98,23,58,828.20","1,45,201"
"11-Feb-2025","EQ","1,063.50","1,074.90","1,047.65","1,068.00","1,056.00","1,054.15","1,057.74","1,576.35","923.70","41,09,028","4,34,62,94,743.20","1,41,274"
"10-Feb-2025","EQ","1,076.00","1,082.00","1,062.70","1,079.10","1,069.70","1,068.00","1,069.56","1,576.35","923.70","44,57,091","4,76,71,44,367.30","1,23,445"
