"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","624.20","640.00","615.55","625.60","639.10","638.25","629.74","3,652.25","493.35","67,34,891","4,24,12,50,220.75","1,11,211"
"10-Mar-2025","EQ","631.55","641.50","622.85","630.85","625.00","625.60","630.22","3,652.25","493.35","49,06,168","3,09,19,85,619.25","1,37,154"
"07-Mar-2025","EQ","644.35","647.65","627.45","644.35","631.00","630.85","634.01","3,652.25","493.35","58,29,062","3,69,57,01,726.00","1,25,152"
"06-Mar-2025","EQ","638.80","650.80","637.00","631.30","644.00","644.35","643.71","3,652.25","493.35","80,75,827","5,19,84,80,820.75","1,96,836"
"05-Mar-2025","EQ","626.60","637.50","621.50","632.90","632.00","631.30","631.30","3,652.25","493.35","95,32,495","6,01,78,91,478.10","1,34,593"
"04-Mar-2025","EQ","618.60","635.40","613.40","621.30","633.90","632.90","626.68","3,652.25","493.35","53,69,562","3,36,49,70,815.15","98,602"
"03-Mar-2025","EQ","625.30","630.00","614.90","617.30","622.25","621.30","622.10","3,652.25","493.35","1,02,84,029","6,39,77,12,409.20","1,75,679"
"28-Feb-2025","EQ","609.95","620.00","602.25","606.80","619.00","617.30","613.76","3,652.25","493.35","2,37,71,834","14,59,02,58,367.50","2,97,239"
"27-Feb-2025","EQ","581.30","608.80","580.30","574.25","604.00","606.80","601.56","3,652.25","493.35","1,70,99,035","10,28,61,52,598.60","3,46,226"
"25-Feb-2025","EQ","581.80","586.75","571.50","577.20","575.20","574.25","577.74","3,652.25","493.35","62,22,936","3,59,52,57,614.75","1,40,745"
"24-Feb-2025","EQ","576.00","581.75","568.80","585.10","577.65","577.20","576.98","3,652.25","493.35","45,23,171","2,60,97,81,488.75","81,729"
"21-Feb-2025","EQ","580.85","594.70","576.70","580.85","581.50","585.10","585.98","3,652.25","493.35","93,28,402","5,46,62,26,677.90","1,76,766"
"20-Feb-2025","EQ","557.00","582.25","557.00","557.80","580.10","580.85","573.61","3,652.25","493.35","75,90,778","4,35,41,82,749.85","1,29,766"
"19-Feb-2025","EQ","547.80","559.75","546.50","553.35","556.50","557.80","556.00","3,652.25","493.35","40,66,886","2,26,11,85,745.00","84,793"
"18-Feb-2025","EQ","550.95","554.45","539.10","550.35","551.50","553.35","548.05","3,652.25","493.35","29,88,732","1,63,79,88,593.85","69,873"
"17-Feb-2025","EQ","537.00","553.00","525.10","539.15","550.45","550.35","543.52","3,652.25","493.35","43,97,756","2,39,02,46,514.65","1,66,392"
"14-Feb-2025","EQ","550.95","554.95","526.80","548.65","536.55","539.15","538.69","3,652.25","493.35","67,63,071","3,64,31,65,937.30","1,31,417"
"13-Feb-2025","EQ","547.00","560.25","538.00","547.15","548.00","548.65","551.63","3,652.25","493.35","57,23,009","3,15,69,72,663.05","1,45,840"
"12-Feb-2025","EQ","538.55","551.50","527.00","538.55","548.60","547.15","540.55","3,652.25","493.35","54,67,745","2,95,55,87,925.35","1,20,776"
"11-Feb-2025","EQ","566.00","566.00","534.00","560.80","535.50","538.55","543.79","3,652.25","493.35","64,16,783","3,48,93,52,706.05","1,18,718"
"10-Feb-2025","EQ","561.70","566.60","546.50","559.55","561.25","560.80","555.29","3,652.25","493.35","42,53,881","2,36,21,33,341.65","1,49,336"
"07-Feb-2025","EQ","567.90","579.10","554.85","566.35","560.60","559.55","566.18","3,652.25","493.35","57,47,620","3,25,41,99,298.20","1,36,541"
"06-Feb-2025","EQ","570.00","570.00","554.35","571.30","567.90","566.35","563.42","3,652.25","493.35","63,45,455","3,57,51,73,182.25","1,42,820"
"05-Feb-2025","EQ","577.00","590.80","568.40","576.75","570.00","571.30","579.93","3,652.25","493.35","69,53,215","4,03,23,50,460.35","1,55,604"
"04-Feb-2025","EQ","556.00","579.90","545.40","546.15","577.00","576.75","565.39","3,652.25","493.35","1,22,90,382","6,94,88,20,721.50","2,48,330"
"03-Feb-2025","EQ","525.00","558.00","516.00","531.80","548.05","546.15","536.58","3,652.25","493.35","74,42,129","3,99,32,61,599.25","1,27,110"
"01-Feb-2025","EQ","547.90","549.65","518.00","543.75","530.70","531.80","532.72","3,652.25","493.35","38,74,882","2,06,42,20,749.40","89,497"
"31-Jan-2025","EQ","546.40","550.90","536.20","538.30","545.55","543.75","544.59","3,652.25","493.35","40,58,608","2,21,02,68,100.05","1,06,229"
"30-Jan-2025","EQ","553.50","560.00","536.85","553.50","540.85","538.30","546.64","3,652.25","493.35","71,72,857","3,92,09,49,921.15","1,54,818"
"29-Jan-2025","EQ","531.15","555.65","530.25","530.10","551.20","553.50","545.89","3,652.25","493.35","91,35,552","4,98,69,60,987.90","1,55,809"
"28-Jan-2025","EQ","520.05","541.80","508.60","511.65","529.85","530.10","528.29","3,652.25","493.35","1,62,22,471","8,57,01,87,252.65","2,33,667"
"27-Jan-2025","EQ","525.90","530.65","508.15","527.45","510.45","511.65","519.10","3,652.25","493.35","85,23,575","4,42,45,73,142.95","2,37,542"
"24-Jan-2025","EQ","531.95","541.80","509.15","529.80","524.65","527.45","531.05","3,652.25","493.35","76,02,501","4,03,72,95,101.50","2,12,237"
"23-Jan-2025","EQ","518.65","533.45","511.60","518.65","531.00","529.80","526.25","3,652.25","493.35","51,50,004","2,71,01,76,529.25","1,11,854"
"22-Jan-2025","EQ","520.35","528.35","513.05","520.30","522.30","518.65","519.18","3,652.25","493.35","58,95,189","3,06,06,37,395.75","1,51,000"
"21-Jan-2025","EQ","518.00","530.75","513.45","516.70","520.05","520.30","520.10","3,652.25","493.35","77,53,705","4,03,26,88,262.35","1,88,110"
"20-Jan-2025","EQ","511.00","521.50","493.35","526.50","516.10","516.70","511.55","3,652.25","493.35","1,27,01,612","6,49,75,70,607.30","2,17,012"
"17-Jan-2025","EQ","546.55","547.55","523.85","546.80","526.50","526.50","530.49","3,652.25","518.30","53,47,916","2,83,70,15,958.70","1,45,101"
"16-Jan-2025","EQ","535.55","553.75","535.55","533.20","546.95","546.80","547.55","3,652.25","518.30","61,94,466","3,39,17,66,075.05","1,99,472"
"15-Jan-2025","EQ","545.00","545.95","529.10","544.10","534.45","533.20","532.95","3,652.25","518.30","40,72,535","2,17,04,64,006.65","1,30,639"
"14-Jan-2025","EQ","526.95","547.50","518.30","521.10","546.75","544.10","533.37","3,652.25","518.30","69,87,503","3,72,69,43,091.95","1,86,871"
"13-Jan-2025","EQ","530.05","540.70","518.75","532.00","519.90","521.10","528.84","3,652.25","518.75","55,58,523","2,93,95,56,939.35","1,62,305"
"10-Jan-2025","EQ","566.00","566.00","529.00","2,809.85","532.15","532.00","538.71","3,652.25","529.00","59,99,299","3,23,18,62,496.05","2,83,050"
"09-Jan-2025","EQ","2,903.75","2,924.15","2,801.00","2,898.75","2,828.95","2,809.85","2,836.36","3,652.25","2,135.70","10,81,641","3,06,79,26,641.05","91,335"
"08-Jan-2025","EQ","2,970.00","2,970.00","2,840.85","2,958.40","2,899.95","2,898.75","2,887.17","3,652.25","2,135.70","9,95,207","2,87,33,27,294.70","88,422"
"07-Jan-2025","EQ","2,977.05","3,022.00","2,950.00","2,969.55","2,954.00","2,958.40","2,976.55","3,652.25","2,135.70","5,56,342","1,65,59,78,196.15","67,163"
"06-Jan-2025","EQ","3,031.00","3,081.35","2,955.00","3,048.35","2,972.25","2,969.55","2,998.01","3,652.25","2,135.70","10,86,045","3,25,59,68,535.40","1,16,636"
"03-Jan-2025","EQ","3,060.00","3,098.00","3,036.15","3,060.05","3,055.00","3,048.35","3,063.56","3,652.25","2,016.00","7,30,445","2,23,77,64,814.40","58,454"
"02-Jan-2025","EQ","2,937.30","3,068.90","2,931.60","2,918.65","3,051.00","3,060.05","3,017.72","3,652.25","2,016.00","14,59,417","4,40,41,15,131.85","96,460"
"01-Jan-2025","EQ","2,899.00","2,931.00","2,882.90","2,889.15","2,920.50","2,918.65","2,908.84","3,652.25","2,016.00","2,59,435","75,46,56,125.00","28,035"
"31-Dec-2024","EQ","2,897.90","2,912.70","2,881.05","2,919.00","2,894.50","2,889.15","2,892.95","3,652.25","2,016.00","8,15,014","2,35,77,97,282.85","64,688"
"30-Dec-2024","EQ","2,912.80","2,968.85","2,895.30","2,898.90","2,921.85","2,919.00","2,927.50","3,652.25","2,016.00","6,90,544","2,02,15,68,673.90","58,296"
"27-Dec-2024","EQ","2,936.90","2,939.85","2,890.50","2,926.90","2,920.00","2,898.90","2,913.98","3,652.25","2,016.00","3,04,983","88,87,13,918.55","30,086"
"26-Dec-2024","EQ","2,892.30","2,935.95","2,871.15","2,882.95","2,928.00","2,926.90","2,909.37","3,652.25","2,016.00","8,92,468","2,59,65,23,597.50","69,421"
"24-Dec-2024","EQ","2,883.00","2,897.60","2,855.10","2,882.90","2,880.05","2,882.95","2,879.43","3,652.25","2,016.00","4,04,156","1,16,37,40,397.60","38,313"
"23-Dec-2024","EQ","2,906.00","2,954.00","2,872.80","2,877.25","2,877.00","2,882.90","2,915.62","3,652.25","2,016.00","9,38,250","2,73,55,83,839.35","99,624"
"20-Dec-2024","EQ","2,953.25","2,960.70","2,843.65","2,945.45","2,878.60","2,877.25","2,888.96","3,652.25","1,972.00","24,99,820","7,22,18,69,109.15","1,00,458"
"19-Dec-2024","EQ","2,870.00","2,952.50","2,853.30","2,931.40","2,942.00","2,945.45","2,910.09","3,652.25","1,972.00","14,70,935","4,28,05,57,155.50","1,14,604"
"18-Dec-2024","EQ","2,976.90","3,033.00","2,908.85","2,976.90","2,939.95","2,931.40","2,960.32","3,652.25","1,972.00","14,89,535","4,40,95,04,460.20","1,11,367"
"17-Dec-2024","EQ","3,135.00","3,135.00","2,965.25","3,137.45","2,972.00","2,976.90","3,015.85","3,652.25","1,972.00","20,82,634","6,28,09,14,771.55","1,47,405"
"16-Dec-2024","EQ","3,174.00","3,197.00","3,127.00","3,162.55","3,130.05","3,137.45","3,156.92","3,652.25","1,972.00","5,88,661","1,85,83,53,429.35","43,144"
"13-Dec-2024","EQ","3,242.05","3,254.65","3,117.60","3,248.10","3,169.00","3,162.55","3,155.17","3,652.25","1,972.00","12,00,626","3,78,81,76,222.55","1,33,802"
"12-Dec-2024","EQ","3,239.50","3,265.00","3,221.55","3,248.25","3,248.00","3,248.10","3,242.39","3,652.25","1,972.00","10,21,669","3,31,26,49,608.45","1,01,288"
"11-Dec-2024","EQ","3,195.50","3,267.60","3,178.00","3,186.50","3,247.00","3,248.25","3,236.05","3,652.25","1,972.00","14,70,021","4,75,70,60,455.05","93,520"
"10-Dec-2024","EQ","3,125.45","3,197.15","3,109.00","3,106.90","3,181.60","3,186.50","3,176.28","3,652.25","1,972.00","11,26,180","3,57,70,57,903.85","80,808"
"09-Dec-2024","EQ","3,100.60","3,163.35","3,095.50","3,126.35","3,105.00","3,106.90","3,117.44","3,652.25","1,972.00","7,92,799","2,47,15,05,508.35","67,913"
"06-Dec-2024","EQ","3,127.00","3,148.25","3,093.60","3,126.30","3,124.00","3,126.35","3,127.13","3,652.25","1,972.00","6,38,757","1,99,74,77,437.40","74,702"
"05-Dec-2024","EQ","3,152.45","3,159.05","3,073.00","3,132.30","3,126.00","3,126.30","3,117.26","3,652.25","1,972.00","14,23,470","4,43,73,26,304.65","1,15,597"
"04-Dec-2024","EQ","3,145.55","3,173.45","3,119.70","3,155.55","3,130.65","3,132.30","3,144.30","3,652.25","1,972.00","11,48,745","3,61,19,93,204.80","83,592"
"03-Dec-2024","EQ","3,131.00","3,206.90","3,125.05","3,094.20","3,145.60","3,155.55","3,168.19","3,652.25","1,972.00","19,74,444","6,25,54,18,442.80","99,820"
"02-Dec-2024","EQ","3,019.65","3,114.85","3,010.70","3,019.65","3,097.00","3,094.20","3,087.30","3,652.25","1,972.00","10,86,688","3,35,49,29,311.80","1,02,415"
"29-Nov-2024","EQ","3,057.50","3,066.55","2,992.20","3,043.70","3,015.45","3,019.65","3,026.12","3,652.25","1,934.55","11,20,109","3,38,95,89,519.20","74,530"
