"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","956.00","962.40","930.10","957.30","960.00","959.85","952.96","1,269.00","882.90","27,48,541","2,61,92,47,913.20","42,453"
"10-Mar-2025","EQ","960.00","969.30","953.00","962.05","956.00","957.30","962.42","1,269.00","882.90","16,60,207","1,59,78,24,425.20","41,166"
"07-Mar-2025","EQ","957.00","967.40","950.15","958.15","963.90","962.05","961.58","1,269.00","882.90","9,45,675","90,93,40,949.80","31,824"
"06-Mar-2025","EQ","964.00","965.00","943.05","956.80","953.95","958.15","953.75","1,269.00","882.90","24,21,530","2,30,95,37,981.20","90,307"
"05-Mar-2025","EQ","948.50","965.95","948.00","954.55","959.25","956.80","959.74","1,269.00","882.90","27,73,457","2,66,17,97,080.60","56,393"
"04-Mar-2025","EQ","945.10","957.85","943.15","953.90","953.10","954.55","952.54","1,269.00","882.90","19,16,433","1,82,54,77,594.00","48,825"
"03-Mar-2025","EQ","963.70","970.00","948.40","963.70","954.25","953.90","955.95","1,269.00","882.90","13,23,481","1,26,51,83,143.30","69,044"
"28-Feb-2025","EQ","995.00","1,001.50","957.35","1,008.00","966.30","963.70","969.01","1,269.00","882.90","50,82,193","4,92,46,91,453.95","90,874"
"27-Feb-2025","EQ","1,005.00","1,010.15","998.25","1,004.85","1,008.00","1,008.00","1,005.59","1,269.00","882.90","13,62,115","1,36,97,31,135.80","58,083"
"25-Feb-2025","EQ","994.00","1,010.00","993.15","1,002.40","1,004.95","1,004.85","1,005.80","1,269.00","882.90","16,63,313","1,67,29,51,937.80","41,567"
"24-Feb-2025","EQ","990.00","1,011.10","990.00","1,004.00","1,002.00","1,002.40","1,006.24","1,269.00","882.90","10,02,365","1,00,86,17,704.50","49,909"
"21-Feb-2025","EQ","1,008.00","1,013.65","991.45","1,008.90","1,002.50","1,004.00","1,003.41","1,269.00","882.90","13,30,146","1,33,46,85,450.50","45,894"
"20-Feb-2025","EQ","1,020.00","1,030.25","1,003.65","1,025.30","1,009.00","1,008.90","1,011.18","1,269.00","882.90","8,78,748","88,85,73,605.10","60,976"
"19-Feb-2025","EQ","1,024.00","1,032.85","1,021.30","1,026.95","1,024.45","1,025.30","1,026.35","1,269.00","882.90","7,82,204","80,28,12,467.45","51,187"
"18-Feb-2025","EQ","1,019.10","1,027.95","1,018.55","1,023.25","1,025.45","1,026.95","1,024.07","1,269.00","882.90","7,89,814","80,88,25,273.50","37,324"
"17-Feb-2025","EQ","1,022.00","1,027.45","1,005.05","1,022.55","1,021.70","1,023.25","1,017.33","1,269.00","882.90","9,25,113","94,11,47,730.50","52,337"
